,WHD,IWH,LBA,B365AH,SBH,SBA,BWD,WHA,B365A,LBH,GBA,B365D,B365H,WHH,BWA,BWH,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
0,3.5,3.5,1.727,,3.6,1.85,3.4,1.72,1.9,3.75,1.9,3.25,3.5,3.8,1.95,3.25,1.9,1.9,3.6,3.25,,,1.65,0.5,2.0,3.1,3.5,3.25,1.71,Mouscron,Anderlecht,Mouscron_Anderlecht_2004
1,3.4,5.4,1.571,,4.0,1.73,3.6,1.66,1.72,5.0,1.7,3.5,4.0,4.33,1.65,4.75,1.45,1.6,4.2,3.4,,,1.6,0.5,2.1,3.8,3.5,3.5,2.05,Beveren,Club Brugge,Beveren_Club Brugge_2004
2,3.1,2.5,2.5,,2.4,2.6,3.25,2.4,2.62,2.4,2.65,3.2,2.37,2.6,2.7,2.3,2.5,1.44,2.4,3.1,,,1.71,-0.5,1.95,3.0,3.25,3.15,2.4,Cercle Brugge,Lokeren,Cercle Brugge_Lokeren_2004
3,3.2,3.1,,,3.1,2.1,3.35,2.0,2.1,,2.0,3.25,3.0,3.2,2.0,3.2,2.1,2.0,3.35,3.1,,,1.71,0.5,1.95,3.0,,3.2,1.64,FC Brussels,Genk,FC Brussels_Genk_2004
4,3.4,1.9,3.5,,1.91,3.5,3.25,3.6,3.25,1.909,3.5,3.25,2.0,1.8,3.0,2.1,3.5,1.67,1.95,3.2,,,1.83,-0.5,1.83,3.1,3.2,3.2,1.95,Gent,Germinal,Gent_Germinal_2004
5,3.1,2.7,2.25,,2.8,2.25,3.3,2.2,2.2,2.75,2.25,3.25,2.8,2.87,2.1,3.0,2.3,2.25,2.85,3.1,,,1.71,0.5,1.95,3.0,3.2,3.2,1.51,Lierse,Standard,Lierse_Standard_2004
6,3.3,1.9,3.75,,1.91,3.5,3.35,3.75,3.75,1.8,4.0,3.25,1.83,1.8,3.2,2.0,3.5,1.81,1.8,3.2,,,1.79,-0.5,1.85,3.1,3.25,3.3,1.8,St Truiden,Bergen,St Truiden_Bergen_2004
7,3.2,2.2,2.75,,2.25,2.8,3.25,2.9,2.7,2.25,2.9,3.2,2.3,2.15,2.7,2.3,2.9,1.5,2.25,3.1,,,1.83,-0.5,1.83,3.0,3.2,3.1,2.25,Charleroi,Louvieroise,Charleroi_Louvieroise_2004
8,3.25,2.6,2.2,,2.75,2.25,3.2,2.4,2.3,2.75,2.35,3.2,2.7,2.5,2.2,2.9,2.4,2.35,2.65,3.2,,,1.83,0.5,1.83,3.0,3.25,3.25,1.46,Oostende,Westerlo,Oostende_Westerlo_2004
9,4.33,1.3,8.0,,1.33,7.0,4.5,7.0,8.0,1.3,7.25,4.33,1.33,1.33,8.25,1.3,8.0,2.78,1.33,4.33,,,1.5,-0.5,2.3,4.2,4.33,4.5,1.33,Standard,Charleroi,Standard_Charleroi_2004
10,4.5,1.33,10.0,,1.22,9.5,4.5,10.0,8.5,1.25,9.0,5.5,1.22,1.25,8.25,1.3,7.5,3.21,1.25,5.0,,,,-0.5,,4.0,4.5,5.0,1.25,Anderlecht,St Truiden,Anderlecht_St Truiden_2004
11,3.2,1.75,4.5,,1.8,3.8,3.35,4.33,4.0,1.67,4.5,3.25,1.8,1.72,3.65,1.85,4.0,2.02,1.7,3.25,,,1.71,-0.5,1.95,3.2,3.25,3.3,1.62,Genk,Mouscron,Genk_Mouscron_2004
12,3.3,1.7,5.0,,1.62,4.75,3.45,4.33,4.33,1.57,4.5,3.25,1.72,1.7,4.3,1.7,4.2,1.9,1.7,3.4,,,1.71,-0.5,1.95,3.2,3.5,3.3,1.7,Lokeren,FC Brussels,Lokeren_FC Brussels_2004
13,3.4,1.8,4.33,,1.75,4.0,3.4,4.0,4.33,1.73,4.25,3.4,1.66,1.72,4.05,1.75,3.8,1.86,1.75,3.25,,,1.83,-0.5,1.83,3.1,3.2,3.3,1.75,Louvieroise,Cercle Brugge,Louvieroise_Cercle Brugge_2004
14,3.3,2.0,3.5,,1.91,3.5,3.3,3.0,3.75,1.91,3.55,3.25,1.83,2.05,3.5,1.9,3.2,1.7,1.91,3.2,,,1.75,-0.5,1.9,3.1,3.2,3.25,1.91,Westerlo,Lierse,Westerlo_Lierse_2004
15,3.2,1.85,3.2,,2.2,2.88,3.25,3.0,2.75,2.0,3.05,3.25,2.2,2.1,3.25,2.0,3.5,1.57,2.1,3.1,,,1.83,-0.5,1.83,3.2,3.2,3.25,2.1,Bergen,Beveren,Bergen_Beveren_2004
