,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,SBH,SBA,SJA,BbMxH,BWD,BbAvA,WHA,B365A,SJD,BSD,LBH,GBD,VCH,GBA,B365D,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,BSA,Bb1X2,BWH,IWA,BbMx>2.5,VCD,BbAvAHA,SJH,GBH,BbAH,SBD,BbAvAHH,VCA,BSH,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,3.05,3.4,1.78,3.25,2.6,2.5,2.55,2.5,2.5,2.55,3.3,2.64,2.4,2.75,3.3,3.2,2.5,3.2,2.35,2.5,3.3,2.41,17,2.38,0.0,2.18,2.5,1.85,2.55,1.95,2.75,24,2.4,2.3,2.11,3.25,2.01,2.63,2.5,11,3.2,1.77,2.65,2.3,3.1,3.2,3.24,1.85,Cercle Brugge,Anderlecht,Cercle Brugge_Anderlecht_2008
1,1.73,3.7,1.83,3.4,4.0,1.72,4.5,1.7,1.73,5.5,3.5,1.64,1.7,1.65,3.5,3.3,4.0,3.5,4.5,1.65,3.5,4.87,17,5.0,0.0,1.33,4.2,4.33,1.6,1.89,1.67,24,5.0,1.7,2.05,3.4,1.26,4.5,4.5,11,3.4,3.57,1.65,4.75,3.3,3.4,3.49,1.95,Dender,Standard,Dender_Standard_2008
2,3.6,3.4,1.93,3.3,1.85,3.6,2.1,3.0,3.6,2.28,3.25,3.24,3.6,3.3,3.4,3.25,1.83,3.25,2.1,3.75,3.2,2.05,16,2.1,-0.25,1.92,1.83,2.0,3.15,1.79,3.1,23,2.05,3.5,1.85,3.25,1.91,1.91,1.85,10,3.25,1.96,3.0,2.1,3.2,3.3,3.27,2.08,Roeselare,Kortrijk,Roeselare_Kortrijk_2008
3,2.43,3.3,1.71,3.25,2.4,2.5,3.0,2.2,2.4,3.25,3.3,2.3,2.25,2.2,3.4,3.25,2.5,3.2,2.8,2.25,3.4,2.82,17,3.2,0.0,1.75,2.7,2.23,2.4,1.99,2.2,22,2.55,2.4,2.2,3.25,1.69,2.6,2.8,10,3.2,2.11,2.25,2.88,3.2,3.2,3.22,1.8,Tubize,Mouscron,Tubize_Mouscron_2008
4,4.0,3.4,1.76,3.3,1.9,3.5,1.9,3.7,3.8,2.17,3.3,3.6,3.6,3.6,3.3,3.25,1.9,3.25,2.0,3.75,3.2,1.93,17,1.95,-0.5,1.8,1.83,2.15,3.95,1.97,3.6,24,1.8,3.5,2.12,3.25,1.79,1.95,1.85,11,3.3,2.09,3.25,1.91,3.2,3.2,3.27,1.85,Waregem,Lokeren,Waregem_Lokeren_2008
5,3.1,3.4,1.75,3.25,2.1,2.75,2.35,2.75,3.1,2.4,3.25,2.84,2.75,2.88,3.3,3.2,2.25,3.3,2.25,2.8,3.25,2.27,17,2.25,0.0,2.2,2.2,1.72,2.7,1.97,2.8,24,2.3,3.0,2.12,3.25,2.16,2.2,2.2,11,3.2,1.67,2.8,2.25,3.1,3.2,3.24,1.8,Westerlo,Charleroi,Westerlo_Charleroi_2008
6,5.0,3.45,1.94,3.3,1.85,3.75,1.85,3.75,4.0,1.77,3.35,4.45,4.33,5.0,3.3,3.4,1.8,3.25,1.65,4.0,3.4,1.71,16,1.73,0.0,3.5,1.7,1.3,4.2,1.79,4.2,24,1.75,3.5,1.85,3.4,3.37,1.9,1.78,11,3.3,1.27,4.5,1.73,3.2,3.3,3.39,2.06,Genk,Germinal,Genk_Germinal_2008
7,7.5,4.0,1.99,3.75,1.4,6.5,1.5,6.0,7.5,1.5,4.0,6.66,6.0,7.5,4.0,3.75,1.44,3.75,1.45,5.5,3.75,1.45,14,1.44,-1.0,2.1,1.44,1.83,6.8,1.75,6.5,22,1.4,6.0,1.85,3.75,2.08,1.44,1.5,11,3.75,1.8,6.5,1.44,3.9,3.6,3.79,2.07,Gent,Bergen,Gent_Bergen_2008
8,6.0,3.68,2.04,3.4,1.5,5.5,1.6,5.0,6.0,1.71,3.55,5.2,4.8,5.0,3.4,3.4,1.53,3.5,1.55,5.0,3.4,1.62,30,1.65,-0.75,1.99,1.6,1.98,4.5,1.71,5.0,41,1.65,5.0,1.8,3.6,1.93,1.62,1.6,16,3.6,1.93,5.0,1.62,3.7,3.5,3.48,2.12,Anderlecht,Gent,Anderlecht_Gent_2008
9,7.02,3.76,1.86,3.5,1.7,5.0,1.55,5.5,6.5,1.67,3.45,5.62,4.5,6.5,3.4,3.6,1.57,3.4,1.55,4.75,3.6,1.56,30,1.5,-1.0,1.97,1.62,2.0,5.15,1.88,5.5,41,1.6,4.0,2.0,3.6,1.93,1.57,1.65,16,3.6,1.93,5.0,1.53,3.3,3.5,3.54,1.97,Charleroi,Roeselare,Charleroi_Roeselare_2008
