,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,SJA,BbMxH,BWD,BbAvA,WHA,B365A,SJD,BSD,LBH,PSD,VCH,GBD,GBA,B365D,PSA,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,BSA,Bb1X2,BWH,IWA,BbMx>2.5,VCD,PSH,BbAvAHA,SJH,GBH,BbAH,BbAvAHH,VCA,BSH,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,4.63,3.79,2.15,3.5,1.8,4.33,4.5,1.83,3.7,4.29,4.33,4.33,3.6,3.5,1.73,3.79,1.8,3.7,4.2,3.6,4.63,1.76,28,1.8,-0.75,1.9,1.73,2.08,4.2,1.67,4.0,34,1.75,3.7,1.75,3.6,1.83,1.85,1.73,1.75,15,2.02,4.5,1.8,3.2,3.4,3.52,2.25,Bergen,Oud-Heverlee Leuven,Bergen_Oud-Heverlee Leuven_2012
1,13.0,5.74,2.19,5.0,1.25,10.0,11.0,1.29,5.5,10.26,11.0,10.0,5.5,5.5,1.25,5.74,1.25,5.5,10.0,5.25,12.41,1.26,22,1.29,-1.5,2.06,1.25,1.88,10.0,1.63,9.0,34,1.25,9.0,1.75,5.5,1.29,2.01,1.25,1.25,17,1.84,12.0,1.25,4.5,5.0,5.26,2.28,Club Brugge,Waasland-Beveren,Club Brugge_Waasland-Beveren_2012
2,3.0,3.52,2.03,3.3,2.3,2.75,2.88,2.48,3.3,2.8,2.8,3.0,3.3,3.25,2.38,3.52,2.4,3.3,2.7,3.25,2.96,2.39,29,2.38,0.0,2.15,2.3,1.82,2.7,1.75,2.7,34,2.45,2.6,1.84,3.4,2.48,2.07,2.38,2.45,16,1.78,2.9,2.4,3.1,3.2,3.23,2.11,Germinal,Lokeren,Germinal_Lokeren_2012
3,1.76,3.82,1.87,3.5,3.8,1.67,1.67,5.25,3.6,1.69,1.7,1.65,3.6,3.5,4.5,3.82,5.0,,,3.75,1.76,4.7,29,5.25,0.75,2.0,4.5,1.96,1.67,1.92,1.7,33,5.0,1.75,2.0,3.7,5.1,1.95,5.0,,15,1.92,1.7,4.5,3.3,3.5,3.55,1.92,Kortrijk,Anderlecht,Kortrijk_Anderlecht_2012
4,7.0,4.3,2.11,3.8,1.5,6.0,6.0,1.58,3.9,5.89,6.0,7.0,4.0,3.8,1.5,4.27,1.57,3.9,6.0,4.0,6.25,1.52,29,1.5,-1.0,1.94,1.5,2.03,6.0,1.7,6.0,34,1.53,5.0,1.79,3.9,1.58,1.88,1.5,1.53,17,1.98,6.0,1.5,3.7,3.8,3.9,2.2,Mechelen,Charleroi,Mechelen_Charleroi_2012
5,5.1,3.93,2.1,3.8,1.7,4.5,4.8,1.76,3.75,4.74,5.0,5.0,3.8,3.6,1.67,3.93,1.7,3.75,4.75,3.75,4.85,1.67,29,1.67,-0.75,2.0,1.57,1.97,4.75,1.71,4.75,34,1.65,4.0,1.8,3.8,1.76,1.95,1.67,1.65,15,1.92,4.8,1.67,3.3,3.6,3.61,2.18,Genk,Cercle Brugge,Genk_Cercle Brugge_2012
6,11.0,5.5,2.27,4.5,1.3,9.0,9.5,1.35,5.0,8.89,9.5,11.0,5.0,4.75,1.29,5.16,1.29,,,5.0,9.96,1.3,21,1.3,-1.5,1.9,1.3,2.07,9.0,1.59,8.5,33,1.3,7.5,1.67,5.5,1.37,1.85,1.3,,16,2.01,10.5,1.3,4.4,5.0,4.87,2.4,Gent,Lierse,Gent_Lierse_2012
7,5.5,3.82,1.85,3.6,1.65,4.5,5.5,1.74,3.6,4.85,5.5,5.0,3.6,3.5,1.67,3.82,1.7,3.6,5.0,3.8,5.2,1.67,29,1.65,-0.75,1.96,1.57,1.98,5.0,1.94,4.5,34,1.67,4.4,2.0,3.7,1.74,1.92,1.62,1.67,15,1.95,5.0,1.7,3.3,3.5,3.57,1.92,Standard,Waregem,Standard_Waregem_2012
8,1.81,3.7,1.7,3.3,4.0,1.8,1.8,5.3,3.3,1.76,1.75,1.73,3.4,3.4,4.33,3.62,5.0,3.3,1.75,3.5,1.79,4.59,30,5.0,0.75,2.09,4.6,1.9,1.75,2.12,1.75,38,4.4,1.75,2.2,3.3,5.22,2.02,4.5,4.4,17,1.85,1.8,4.33,3.3,3.25,3.43,1.79,Lierse,Standard,Lierse_Standard_2012
9,12.59,5.94,2.46,5.5,1.22,10.0,10.0,1.3,5.0,10.5,9.5,12.0,5.0,5.4,1.22,5.94,1.25,5.0,10.0,5.5,12.59,1.25,22,1.25,-1.5,2.12,1.25,1.85,10.0,1.5,10.0,36,1.25,10.0,1.6,5.75,1.29,2.06,1.29,1.25,17,1.79,12.0,1.25,5.0,5.5,5.25,2.63,Anderlecht,Germinal,Anderlecht_Germinal_2012
