,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,SJA,BbMxH,BWD,BbAvA,WHA,B365A,SJD,PSD,LBH,VCH,B365D,PSA,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,Bb1X2,BWH,IWA,BbMx>2.5,VCD,PSH,BbAvAHA,SJH,BbAH,BbAvAHH,VCA,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,10.1,5.4,2.25,5.0,1.3,8.0,8.5,1.36,4.6,8.78,9.0,9.0,5.0,5.11,1.3,1.33,5.0,10.1,1.31,32,1.33,-1.5,1.92,1.3,2.1,7.0,1.61,37,1.35,8.5,1.7,5.25,1.36,1.86,1.33,21.0,1.98,10.0,4.4,5.0,4.98,2.34,Club Brugge,Charleroi,Club Brugge_Charleroi_2013
1,4.2,3.76,1.96,3.3,1.9,3.75,3.8,1.97,3.6,3.82,3.8,4.2,3.5,3.76,1.83,1.87,3.6,4.08,1.88,32,1.83,-0.5,2.01,1.91,1.93,3.4,1.81,35,1.9,3.5,1.91,3.6,1.93,1.96,1.9,15.0,1.89,4.0,3.3,3.4,3.48,2.1,Bergen,Cercle Brugge,Bergen_Cercle Brugge_2013
2,8.04,4.81,2.25,4.2,1.4,6.5,7.0,1.5,4.4,6.86,5.5,6.0,4.5,4.81,1.4,1.4,4.75,8.04,1.4,25,1.44,-1.0,2.33,1.5,1.73,6.25,1.59,35,1.4,6.5,1.67,4.8,1.43,2.22,1.4,16.0,1.67,8.0,4.0,4.33,4.55,2.48,Genk,Oostende,Genk_Oostende_2013
3,4.3,3.63,1.93,3.3,1.9,3.8,4.0,1.95,3.4,3.87,3.8,3.8,3.4,3.63,1.83,1.93,3.6,4.14,1.89,32,1.91,-0.5,1.98,1.91,1.96,4.0,1.84,35,1.8,3.6,1.92,3.6,1.94,1.93,1.9,15.0,1.91,4.1,3.2,3.4,3.38,2.02,Kortrijk,Oud-Heverlee Leuven,Kortrijk_Oud-Heverlee Leuven_2013
4,2.4,3.6,1.77,3.1,3.0,2.2,2.25,3.2,3.4,2.25,2.15,2.3,3.3,3.4,3.0,3.0,3.4,2.4,3.02,32,3.0,0.25,2.09,3.0,1.86,2.1,2.01,35,3.0,2.2,2.1,3.3,3.13,2.04,3.0,14.0,1.81,2.38,3.1,3.25,3.25,1.87,Lierse,Waregem,Lierse_Waregem_2013
5,1.91,3.7,1.82,3.4,3.5,1.83,1.9,4.3,3.5,1.87,1.91,1.83,3.4,3.68,3.8,4.1,3.6,1.91,3.91,31,4.2,0.5,1.93,3.75,2.02,1.8,1.95,34,3.9,1.9,2.12,3.6,4.25,1.87,4.0,14.0,1.97,1.87,3.3,3.4,3.44,1.91,Waasland-Beveren,Gent,Waasland-Beveren_Gent_2013
6,9.35,5.35,2.37,4.5,1.3,7.5,8.0,1.4,4.6,8.0,7.5,7.5,4.8,5.35,1.33,1.33,5.0,9.35,1.33,22,1.36,-1.5,1.88,1.36,2.18,7.0,1.4,34,1.35,8.5,1.57,5.2,1.36,1.82,1.33,18.0,2.02,8.5,4.4,4.5,4.82,2.64,Anderlecht,Lokeren,Anderlecht_Lokeren_2013
7,2.36,3.6,1.91,3.3,2.9,2.25,2.25,3.3,3.4,2.25,2.3,2.3,3.4,3.51,2.88,3.0,3.3,2.36,2.97,32,3.1,0.25,2.04,2.88,1.91,2.15,1.86,35,2.95,2.2,1.96,3.5,3.12,1.99,2.88,15.0,1.86,2.25,3.2,3.25,3.31,2.04,Mechelen,Standard,Mechelen_Standard_2013
8,1.77,3.95,2.14,3.6,4.5,1.67,1.73,5.02,3.6,1.71,1.7,1.73,3.6,3.95,4.8,4.4,3.75,1.76,4.65,32,4.5,0.75,2.02,4.8,1.94,1.65,1.69,37,4.6,1.65,1.77,3.9,4.77,1.97,4.5,16.0,1.88,1.75,3.5,3.5,3.64,2.34,Cercle Brugge,Anderlecht,Cercle Brugge_Anderlecht_2013
9,3.65,3.5,1.8,3.3,2.0,3.25,3.4,2.25,3.2,3.32,3.4,3.6,3.25,3.43,2.1,2.15,3.3,3.51,2.11,29,2.05,-0.25,2.04,2.1,1.91,3.1,1.98,33,2.15,3.3,2.08,3.4,2.2,2.0,2.1,13.0,1.85,3.4,3.2,3.1,3.26,1.9,Charleroi,Waasland-Beveren,Charleroi_Waasland-Beveren_2013
