,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,BbMxH,BWD,BbAvA,WHA,B365A,PSD,LBH,VCH,B365D,PSA,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,Bb1X2,BWH,IWA,BbMx>2.5,VCD,PSH,BbAvAHA,BbAH,BbAvAHH,VCA,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,1.81,4.08,2.08,3.6,4.2,1.75,4.76,3.8,1.75,1.8,1.7,4.08,4.33,4.5,3.8,1.75,4.36,40,4.75,0.75,2.01,4.0,1.95,1.7,1.7,53,4.6,1.8,1.76,3.9,4.76,1.95,28,1.86,1.73,3.5,3.8,3.72,2.21,Mechelen,Club Brugge,Mechelen_Club Brugge_2016
1,6.08,4.08,1.91,3.75,1.65,5.5,1.68,4.0,5.42,4.8,5.75,4.08,1.62,1.62,3.8,6.08,1.61,42,1.6,-1.0,1.8,1.65,2.19,5.0,1.84,53,1.6,5.1,1.92,3.9,1.63,1.73,27,2.1,5.4,3.6,3.8,3.79,1.99,Charleroi,Waasland-Beveren,Charleroi_Waasland-Beveren_2016
2,1.96,3.75,1.94,3.5,4.2,1.91,4.2,3.6,1.91,1.95,1.91,3.69,3.8,3.8,3.5,1.96,3.84,41,4.0,0.5,1.97,3.6,1.96,1.85,1.81,52,4.0,1.8,1.92,3.6,4.07,1.91,26,1.9,1.93,3.5,3.6,3.51,2.03,Mouscron,Anderlecht,Mouscron_Anderlecht_2016
3,2.89,3.43,1.74,3.2,2.45,2.8,2.58,3.4,2.75,2.7,2.7,3.43,2.5,2.55,3.4,2.89,2.51,41,2.5,0.0,2.05,2.5,1.88,2.85,2.02,53,2.35,2.7,2.11,3.3,2.58,1.98,29,1.82,2.75,3.3,3.3,3.25,1.82,St Truiden,Lokeren,St Truiden_Lokeren_2016
4,4.1,3.69,1.92,3.5,1.9,3.6,2.07,3.5,3.62,3.6,3.6,3.69,2.0,2.0,3.5,3.77,1.99,42,2.0,-0.5,1.89,1.95,2.06,3.8,1.83,53,1.91,3.8,1.91,3.5,2.05,1.83,27,1.98,3.6,3.45,3.5,3.46,2.04,Waregem,Eupen,Waregem_Eupen_2016
5,4.75,3.87,1.94,3.5,1.75,4.5,1.83,3.7,4.44,4.2,4.75,3.87,1.75,1.75,3.75,4.71,1.77,40,1.7,-0.75,1.88,1.8,2.06,4.4,1.81,51,1.75,4.5,1.9,3.75,1.81,1.82,27,1.99,4.5,3.5,3.6,3.6,2.07,Genk,Oostende,Genk_Oostende_2016
6,2.27,3.46,1.75,3.2,3.1,2.2,3.51,3.3,2.19,2.2,2.15,3.46,3.3,3.25,3.2,2.25,3.25,40,3.5,0.25,1.96,3.2,1.98,2.15,2.01,52,3.3,2.2,2.1,3.4,3.43,1.89,27,1.92,2.2,3.3,3.3,3.28,1.85,Kortrijk,Gent,Kortrijk_Gent_2016
7,1.85,3.84,1.89,3.5,4.0,1.8,4.75,3.6,1.79,1.8,1.75,3.84,4.33,4.4,3.5,1.81,4.36,42,4.75,0.5,1.83,4.2,2.12,1.8,1.86,53,4.2,1.85,1.96,3.7,4.7,1.79,26,2.04,1.8,3.45,3.6,3.55,1.98,Westerlo,Standard,Westerlo_Standard_2016
8,1.92,4.1,2.16,3.6,4.5,1.85,4.6,3.75,1.85,1.91,1.85,3.95,3.8,3.9,3.6,1.92,3.9,42,4.0,0.5,1.91,3.6,2.03,1.83,1.66,54,3.9,1.75,1.7,3.8,3.99,1.86,29,1.95,1.85,3.5,3.75,3.72,2.26,Oostende,Club Brugge,Oostende_Club Brugge_2016
9,3.25,3.58,1.98,3.3,2.3,2.9,2.38,3.5,2.98,2.8,3.0,3.58,2.3,2.3,3.4,3.09,2.29,44,2.3,0.0,2.38,2.38,1.75,3.0,1.78,55,2.2,2.9,1.86,3.5,2.37,2.16,29,1.68,2.9,3.3,3.4,3.36,2.08,Eupen,Mechelen,Eupen_Mechelen_2016
10,2.67,3.4,1.78,3.2,2.6,2.6,2.82,3.4,2.57,2.6,2.55,3.4,2.7,2.7,3.4,2.67,2.69,44,2.63,0.0,1.94,2.62,2.02,2.5,1.98,55,2.65,2.6,2.08,3.3,2.81,1.86,32,1.94,2.6,3.2,3.25,3.24,1.86,Mouscron,Charleroi,Mouscron_Charleroi_2016
11,7.64,4.85,2.09,4.5,1.4,7.0,1.5,4.5,6.81,7.0,7.0,4.65,1.44,1.44,4.33,7.64,1.43,38,1.44,-1.0,2.23,1.4,1.77,7.25,1.69,55,1.4,7.3,1.79,4.4,1.47,2.14,29,1.71,7.0,4.4,4.33,4.45,2.18,Standard,St Truiden,Standard_St Truiden_2016
