,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,BbMxH,BWD,BbAvA,WHA,B365A,PSD,VCH,B365D,PSA,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,Bb1X2,BWH,IWA,BbMx>2.5,VCD,PSH,BbAvAHA,BbAH,BbAvAHH,VCA,IWD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,3.5,3.4,1.74,3.2,2.15,2.31,3.25,3.26,3.1,3.25,3.34,2.25,3.4,3.44,2.21,38,2.14,-0.25,1.96,2.15,1.97,3.5,2.05,40,2.2,3.25,2.13,3.4,2.26,1.91,21,1.92,3.25,3.2,3.24,1.81,Standard,Gent,Standard_Gent_2018
1,1.82,4.2,2.21,4.2,4.15,4.5,3.8,1.74,1.67,1.72,4.18,4.3,3.8,1.76,4.21,35,4.5,0.75,2.05,3.8,1.9,1.72,1.63,40,4.4,1.73,1.67,3.9,4.29,1.98,19,1.84,1.75,3.85,3.86,2.33,Kortrijk,Anderlecht,Kortrijk_Anderlecht_2018
2,7.0,4.4,2.04,4.33,1.5,1.57,4.0,5.99,5.0,7.0,4.35,1.53,3.75,6.47,1.52,36,1.53,-1.0,1.97,1.5,1.97,6.0,1.75,39,1.53,5.8,1.81,4.1,1.53,1.91,22,1.9,6.0,4.05,4.05,2.13,Oostende,Mouscron,Oostende_Mouscron_2018
3,4.1,3.68,1.87,3.6,1.85,1.97,3.6,3.89,3.6,3.8,3.68,1.87,3.6,4.1,1.89,36,1.9,-0.5,1.99,1.83,1.94,3.8,1.9,39,1.9,3.9,1.97,3.6,1.91,1.94,18,1.89,4.0,3.5,3.51,1.94,St Truiden,Cercle Brugge,St Truiden_Cercle Brugge_2018
4,6.8,4.8,2.39,4.75,1.46,1.51,4.25,6.17,5.0,6.5,4.74,1.45,4.5,6.68,1.45,34,1.44,-1.0,2.16,1.44,1.79,6.0,1.55,39,1.5,6.0,1.58,4.75,1.47,2.08,20,1.74,6.25,4.4,4.46,2.5,Waregem,Waasland-Beveren,Waregem_Waasland-Beveren_2018
5,4.0,3.4,1.64,3.3,1.97,2.07,3.4,3.77,3.5,3.75,3.38,2.0,3.3,3.89,1.99,35,2.0,-0.5,1.88,1.95,2.06,3.9,2.19,39,1.91,3.75,2.28,3.3,2.05,1.83,17,1.99,3.9,3.2,3.26,1.7,Charleroi,Antwerp,Charleroi_Antwerp_2018
6,12.87,6.52,2.65,6.5,1.25,1.29,6.0,10.41,9.0,11.0,6.51,1.25,6.5,12.63,1.23,34,1.22,-1.75,1.98,1.2,2.0,11.5,1.44,40,1.22,9.8,1.5,6.0,1.24,1.89,19,1.92,11.0,5.7,6.06,2.75,Club Brugge,Eupen,Club Brugge_Eupen_2018
7,2.12,3.65,1.91,3.6,3.55,3.75,3.5,2.02,1.95,2.0,3.65,3.5,3.4,2.02,3.49,36,3.75,0.5,2.12,3.25,1.85,2.05,1.85,40,3.4,1.97,1.92,3.5,3.69,2.04,18,1.79,2.05,3.45,3.42,1.99,Lokeren,Genk,Lokeren_Genk_2018
8,1.88,3.85,1.84,3.7,4.15,4.4,3.7,1.82,1.73,1.85,3.74,4.33,3.8,1.85,4.14,34,3.8,0.5,1.87,4.0,2.06,1.83,1.94,38,4.33,1.8,2.02,3.6,4.4,1.82,17,2.01,1.8,3.55,3.62,1.92,Waasland-Beveren,Standard,Waasland-Beveren_Standard_2018
9,4.5,3.7,1.86,3.6,1.77,1.89,3.7,4.2,4.0,4.5,3.68,1.83,3.4,4.39,1.82,35,1.83,-0.5,2.05,1.75,1.87,4.2,1.91,39,1.85,4.25,1.99,3.6,1.85,2.0,17,1.83,4.2,3.55,3.53,1.95,Antwerp,Kortrijk,Antwerp_Kortrijk_2018
