,WHD,IWH,MaxAHH,Avg>2.5,AvgA,BWD,Max<2.5,B365A,PSD,WHA,Max>2.5,VCH,AHh,B365D,PSA,P<2.5,B365<2.5,B365H,MaxAHA,AvgD,AvgAHA,WHH,BWA,PAHA,BWH,B365>2.5,IWA,MaxD,VCD,PSH,P>2.5,MaxA,PAHH,AvgH,B365AHH,B365AHA,Avg<2.5,MaxH,VCA,IWD,AvgAHH,HomeTeam,AwayTeam,idGame
0,4.8,1.37,2.12,1.51,7.42,5.0,2.64,8.5,5.22,8.0,1.55,1.36,-1.5,4.75,7.44,2.64,2.4,1.36,1.85,4.94,1.79,1.36,8.0,1.85,1.4,1.53,6.9,5.25,5.0,1.4,1.52,8.5,2.04,1.38,2.07,1.72,2.48,1.41,8.0,4.8,2.05,Genk,Kortrijk,Genk_Kortrijk_2019
1,3.6,3.7,1.96,1.74,1.93,3.75,2.17,1.85,3.63,1.91,1.82,3.75,0.5,3.75,1.99,2.05,2.05,3.75,1.98,3.59,1.93,3.7,1.95,1.98,3.8,1.75,1.87,3.8,3.7,3.91,1.81,1.99,1.9,3.72,1.93,1.93,2.06,4.1,1.93,3.6,1.9,Cercle Brugge,Standard,Cercle Brugge_Standard_2019
2,3.6,1.93,2.02,1.82,3.77,3.5,2.07,3.75,3.52,3.75,1.88,1.93,-0.5,3.75,4.04,1.98,2.0,1.9,1.94,3.49,1.88,1.91,4.1,1.9,1.95,1.8,3.65,3.75,3.6,1.99,1.88,4.1,1.98,1.95,1.98,1.88,1.98,2.01,3.8,3.45,1.95,St Truiden,Mouscron,St Truiden_Mouscron_2019
3,3.5,2.15,1.97,1.65,3.03,3.75,2.29,3.1,3.76,3.0,1.69,2.2,-0.25,3.6,3.12,2.29,2.15,2.15,1.96,3.58,1.91,2.2,3.1,1.93,2.2,1.66,3.0,3.76,3.6,2.23,1.65,3.15,1.95,2.2,1.93,1.93,2.19,2.37,3.1,3.5,1.92,Waregem,Mechelen,Waregem_Mechelen_2019
4,4.33,5.3,2.04,1.55,1.53,4.5,2.5,1.5,4.59,1.52,1.58,5.75,1.0,4.0,1.56,2.5,2.35,6.5,1.94,4.36,1.87,5.5,1.53,1.93,6.0,1.57,1.5,4.6,4.5,5.52,1.55,1.59,1.96,5.53,1.98,1.88,2.38,6.5,1.5,4.3,1.96,Waasland-Beveren,Club Brugge,Waasland-Beveren_Club Brugge_2019
5,4.75,1.37,1.91,1.6,8.02,5.0,2.38,9.0,5.09,8.5,1.65,1.36,-1.25,4.5,8.96,2.34,2.3,1.36,2.07,4.82,1.99,1.35,9.25,1.97,1.36,1.6,7.2,5.1,5.0,1.36,1.63,9.25,1.91,1.36,1.85,2.0,2.29,1.4,8.0,4.75,1.85,Anderlecht,Oostende,Anderlecht_Oostende_2019
6,3.4,2.95,1.86,1.82,2.31,3.5,2.04,2.3,3.55,2.3,1.88,2.9,0.25,3.25,2.36,2.0,2.0,3.1,2.08,3.38,2.02,2.9,2.35,2.04,3.0,1.8,2.25,3.55,3.5,3.03,1.87,2.4,1.84,2.94,1.83,2.02,1.96,3.1,2.3,3.35,1.82,Charleroi,Gent,Charleroi_Gent_2019
7,3.5,3.5,2.19,1.8,2.01,3.6,2.07,1.95,3.69,2.0,1.86,3.6,0.25,3.3,2.02,2.04,2.0,3.8,1.8,3.51,1.74,3.5,2.0,1.74,3.8,1.8,1.97,3.69,3.6,3.74,1.82,2.13,2.17,3.55,2.1,1.7,1.99,3.8,2.0,3.45,2.12,Eupen,Antwerp,Eupen_Antwerp_2019
8,5.8,1.25,1.97,1.45,10.99,6.25,2.79,12.0,6.39,12.0,1.48,1.22,-1.75,5.5,11.45,2.78,2.7,1.25,1.98,6.04,1.94,1.22,11.0,1.97,1.26,1.44,9.9,6.5,6.0,1.25,1.47,12.0,1.93,1.24,1.9,1.95,2.66,1.26,12.0,5.6,1.9,Club Brugge,St Truiden,Club Brugge_St Truiden_2019
9,4.6,1.47,1.9,1.51,5.8,4.6,2.61,5.5,4.89,5.8,1.55,1.45,-1.0,4.33,6.07,2.61,2.4,1.53,2.14,4.53,2.05,1.47,6.25,2.1,1.5,1.53,5.6,4.89,4.6,1.49,1.51,6.25,1.79,1.49,1.9,1.95,2.46,1.54,6.25,4.45,1.79,Standard,Waregem,Standard_Waregem_2019
