,HTHG,Div,AwayTeam,FTR,HTAG,Date,HTR,HomeTeam,FTHG,FTAG,idGame
0,1,B1,Anderlecht,H,0,2004-08-06,H,Mouscron,2,0,Mouscron_Anderlecht_2004
1,1,B1,Club Brugge,D,1,2004-08-07,D,Beveren,1,1,Beveren_Club Brugge_2004
2,1,B1,Lokeren,D,1,2004-08-07,D,Cercle Brugge,2,2,Cercle Brugge_Lokeren_2004
3,0,B1,Genk,A,0,2004-08-07,D,FC Brussels,0,1,FC Brussels_Genk_2004
4,0,B1,Germinal,A,0,2004-08-07,D,Gent,0,1,Gent_Germinal_2004
5,0,B1,Standard,D,1,2004-08-07,A,Lierse,1,1,Lierse_Standard_2004
6,0,B1,Bergen,D,0,2004-08-07,D,St Truiden,0,0,St Truiden_Bergen_2004
7,1,B1,Louvieroise,A,3,2004-08-08,A,Charleroi,2,5,Charleroi_Louvieroise_2004
8,0,B1,Westerlo,D,2,2004-08-08,A,Oostende,3,3,Oostende_Westerlo_2004
9,1,B1,Charleroi,A,2,2004-08-13,A,Standard,1,2,Standard_Charleroi_2004
10,0,B1,St Truiden,H,0,2004-08-14,D,Anderlecht,2,1,Anderlecht_St Truiden_2004
11,0,B1,Mouscron,D,0,2004-08-14,D,Genk,0,0,Genk_Mouscron_2004
12,0,B1,FC Brussels,H,0,2004-08-14,D,Lokeren,1,0,Lokeren_FC Brussels_2004
13,0,B1,Cercle Brugge,H,1,2004-08-14,A,Louvieroise,2,1,Louvieroise_Cercle Brugge_2004
14,2,B1,Lierse,H,0,2004-08-14,H,Westerlo,2,1,Westerlo_Lierse_2004
15,2,B1,Beveren,D,1,2004-08-15,H,Bergen,2,2,Bergen_Beveren_2004
16,2,B1,Gent,H,0,2004-08-15,H,Club Brugge,5,0,Club Brugge_Gent_2004
17,1,B1,Oostende,H,0,2004-08-15,H,Germinal,4,0,Germinal_Oostende_2004
18,0,B1,Anderlecht,A,0,2004-08-21,D,Beveren,0,1,Beveren_Anderlecht_2004
19,0,B1,Westerlo,A,1,2004-08-21,A,Charleroi,0,1,Charleroi_Westerlo_2004
20,1,B1,Bergen,H,1,2004-08-21,D,Gent,2,1,Gent_Bergen_2004
21,2,B1,Germinal,H,0,2004-08-21,H,Lierse,2,0,Lierse_Germinal_2004
22,3,B1,St Truiden,H,0,2004-08-21,H,Mouscron,4,0,Mouscron_St Truiden_2004
23,0,B1,Club Brugge,A,0,2004-08-21,D,Oostende,1,2,Oostende_Club Brugge_2004
24,0,B1,Standard,A,1,2004-08-22,A,Cercle Brugge,1,3,Cercle Brugge_Standard_2004
