,HFKC,HY,AwayTeam,AFKC,AR,FTHG,FTAG,HTHG,HR,HTAG,AY,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
0,22.0,2,Gent,18.0,0,3,2,1,0,1,3,H,11,2018-07-27,Standard,B1,5,8,2,10,D,5,Standard_Gent_2018
1,22.0,2,Anderlecht,19.0,0,1,4,0,0,2,1,A,11,2018-07-28,Kortrijk,B1,6,1,6,8,A,2,Kortrijk_Anderlecht_2018
2,22.0,4,Mouscron,21.0,2,2,1,0,0,1,5,H,6,2018-07-28,Oostende,B1,2,5,4,11,A,0,Oostende_Mouscron_2018
3,23.0,2,Cercle Brugge,16.0,0,0,0,0,0,0,3,D,10,2018-07-28,St Truiden,B1,6,3,2,9,D,5,St Truiden_Cercle Brugge_2018
4,19.0,3,Waasland-Beveren,18.0,0,2,2,1,0,0,2,D,6,2018-07-28,Waregem,B1,4,5,5,8,H,4,Waregem_Waasland-Beveren_2018
5,18.0,1,Antwerp,15.0,0,0,1,0,0,1,2,A,6,2018-07-29,Charleroi,B1,3,5,7,10,A,3,Charleroi_Antwerp_2018
6,12.0,0,Eupen,16.0,1,5,2,3,0,0,4,H,9,2018-07-29,Club Brugge,B1,5,8,4,12,H,4,Club Brugge_Eupen_2018
7,14.0,1,Genk,8.0,0,0,4,0,1,2,0,A,20,2018-07-29,Lokeren,B1,7,1,2,5,A,9,Lokeren_Genk_2018
8,15.0,3,Standard,11.0,1,0,0,0,0,0,1,D,19,2018-08-03,Waasland-Beveren,B1,11,4,3,7,D,10,Waasland-Beveren_Standard_2018
9,14.0,1,Kortrijk,21.0,0,0,0,0,0,0,2,D,0,2018-08-04,Antwerp,B1,0,12,9,24,D,1,Antwerp_Kortrijk_2018
10,13.0,2,Lokeren,13.0,0,3,2,2,0,1,4,H,7,2018-08-04,Cercle Brugge,B1,3,10,5,18,H,0,Cercle Brugge_Lokeren_2018
11,12.0,1,Charleroi,14.0,0,1,4,1,1,2,0,A,11,2018-08-04,Eupen,B1,9,6,3,11,A,3,Eupen_Charleroi_2018
12,15.0,3,Waregem,19.0,0,1,1,0,0,0,3,D,5,2018-08-04,Gent,B1,3,3,9,12,D,4,Gent_Waregem_2018
13,18.0,2,Oostende,21.0,0,5,2,0,0,0,2,H,6,2018-08-05,Anderlecht,B1,2,5,6,11,D,1,Anderlecht_Oostende_2018
14,12.0,0,St Truiden,16.0,0,1,1,0,0,0,5,D,9,2018-08-05,Genk,B1,2,9,9,19,D,2,Genk_St Truiden_2018
15,16.0,1,Club Brugge,7.0,1,0,1,0,0,0,1,A,9,2018-08-05,Mouscron,B1,4,3,6,14,D,5,Mouscron_Club Brugge_2018
16,18.0,1,Kortrijk,24.0,0,3,0,2,0,0,1,H,3,2018-08-10,Club Brugge,B1,2,6,8,12,H,5,Club Brugge_Kortrijk_2018
17,9.0,1,Antwerp,17.0,0,0,1,0,0,0,2,A,19,2018-08-11,Mouscron,B1,6,0,1,1,D,5,Mouscron_Antwerp_2018
18,12.0,0,Lokeren,22.0,0,1,1,0,0,0,6,D,4,2018-08-11,St Truiden,B1,2,6,7,20,D,2,St Truiden_Lokeren_2018
19,18.0,2,Cercle Brugge,19.0,0,0,0,0,0,0,3,D,7,2018-08-11,Standard,B1,2,1,7,8,D,0,Standard_Cercle Brugge_2018
20,11.0,0,Eupen,18.0,0,4,0,2,0,0,3,H,6,2018-08-11,Waregem,B1,4,11,5,16,H,3,Waregem_Eupen_2018
21,21.0,2,Anderlecht,20.0,0,1,2,1,0,1,5,A,8,2018-08-12,Charleroi,B1,5,7,3,13,D,3,Charleroi_Anderlecht_2018
22,15.0,1,Waasland-Beveren,5.0,0,4,1,1,0,0,2,H,17,2018-08-12,Gent,B1,7,10,11,19,H,3,Gent_Waasland-Beveren_2018
23,18.0,3,Genk,15.0,0,0,2,0,0,0,3,A,15,2018-08-12,Oostende,B1,9,6,4,9,D,7,Oostende_Genk_2018
24,14.0,1,Mouscron,22.0,0,2,0,1,1,0,4,H,7,2018-08-17,Anderlecht,B1,3,8,11,16,H,5,Anderlecht_Mouscron_2018
25,18.0,4,Waregem,18.0,0,3,1,1,0,0,0,H,14,2018-08-18,Cercle Brugge,B1,6,4,2,8,H,13,Cercle Brugge_Waregem_2018
26,20.0,3,Oostende,10.0,0,1,2,0,1,1,3,A,6,2018-08-18,Kortrijk,B1,4,6,8,14,A,4,Kortrijk_Oostende_2018
27,20.0,4,Standard,9.0,0,0,3,0,0,0,2,A,20,2018-08-18,Lokeren,B1,14,2,4,5,D,5,Lokeren_Standard_2018
28,18.0,3,St Truiden,24.0,0,2,2,1,0,1,3,D,11,2018-08-18,Waasland-Beveren,B1,8,7,2,13,D,2,Waasland-Beveren_St Truiden_2018
29,27.0,3,Club Brugge,16.0,0,1,1,0,0,0,0,D,9,2018-08-19,Antwerp,B1,4,1,3,5,D,3,Antwerp_Club Brugge_2018
30,23.0,2,Gent,15.0,1,2,3,1,0,2,5,A,8,2018-08-19,Eupen,B1,4,4,6,11,A,8,Eupen_Gent_2018
31,12.0,0,Charleroi,19.0,0,3,1,1,0,1,4,H,12,2018-08-19,Genk,B1,7,6,10,18,D,2,Genk_Charleroi_2018
32,18.0,3,Waregem,21.0,0,3,1,1,0,1,4,H,10,2018-08-24,Oostende,B1,3,5,0,7,D,4,Oostende_Waregem_2018
33,14.0,3,Cercle Brugge,13.0,0,1,0,0,1,0,4,H,10,2018-08-25,Antwerp,B1,5,6,3,8,D,3,Antwerp_Cercle Brugge_2018
34,12.0,0,Kortrijk,19.0,0,0,2,0,0,1,5,A,8,2018-08-25,Charleroi,B1,4,1,8,7,A,1,Charleroi_Kortrijk_2018
35,16.0,1,Eupen,22.0,0,0,1,0,0,1,4,A,7,2018-08-25,Mouscron,B1,4,5,10,12,A,5,Mouscron_Eupen_2018
36,19.0,3,St Truiden,14.0,0,3,2,1,0,1,3,H,9,2018-08-25,Standard,B1,7,9,9,20,D,1,Standard_St Truiden_2018
37,24.0,2,Anderlecht,16.0,0,2,1,2,0,1,2,H,10,2018-08-26,Club Brugge,B1,1,9,7,11,H,2,Club Brugge_Anderlecht_2018
38,21.0,2,Waasland-Beveren,14.0,0,3,2,1,0,0,4,H,13,2018-08-26,Genk,B1,7,6,10,13,H,5,Genk_Waasland-Beveren_2018
39,8.0,1,Lokeren,21.0,0,2,1,0,0,0,0,H,7,2018-08-26,Gent,B1,5,6,19,16,D,4,Gent_Lokeren_2018
40,27.0,5,Club Brugge,23.0,0,2,5,0,0,3,1,A,23,2018-08-31,Waregem,B1,13,7,2,19,A,6,Waregem_Club Brugge_2018
41,17.0,2,Mouscron,14.0,0,3,1,2,0,0,6,H,5,2018-09-01,Charleroi,B1,1,9,4,12,H,5,Charleroi_Mouscron_2018
42,11.0,1,Standard,2.0,0,2,1,0,0,1,2,H,5,2018-09-01,Eupen,B1,3,5,2,10,A,5,Eupen_Standard_2018
43,12.0,1,Waasland-Beveren,21.0,0,1,0,0,0,0,4,H,10,2018-09-01,Lokeren,B1,5,5,5,7,D,5,Lokeren_Waasland-Beveren_2018
44,18.0,2,Oostende,14.0,0,1,0,0,0,0,2,H,6,2018-09-01,St Truiden,B1,3,5,6,13,D,3,St Truiden_Oostende_2018
45,18.0,1,Antwerp,19.0,0,1,1,1,0,0,3,D,9,2018-09-02,Anderlecht,B1,2,4,4,9,H,5,Anderlecht_Antwerp_2018
46,17.0,4,Gent,17.0,0,0,3,0,0,1,3,A,8,2018-09-02,Cercle Brugge,B1,7,0,7,1,A,5,Cercle Brugge_Gent_2018
47,13.0,3,Genk,3.0,1,3,3,0,0,0,2,D,17,2018-09-02,Kortrijk,B1,11,6,5,8,D,6,Kortrijk_Genk_2018
48,23.0,2,Lokeren,19.0,0,2,1,0,0,1,5,H,4,2018-09-14,Club Brugge,B1,2,7,9,13,A,5,Club Brugge_Lokeren_2018
49,18.0,3,Anderlecht,18.0,0,1,0,0,0,0,1,H,13,2018-09-15,Genk,B1,5,5,9,12,D,5,Genk_Anderlecht_2018
50,11.0,3,Cercle Brugge,20.0,0,1,1,0,0,0,2,D,11,2018-09-15,Oostende,B1,7,6,6,12,D,7,Oostende_Cercle Brugge_2018
51,15.0,3,Charleroi,18.0,0,0,0,0,1,0,4,D,10,2018-09-15,Standard,B1,4,6,5,8,D,9,Standard_Charleroi_2018
52,18.0,4,Eupen,23.0,0,0,0,0,0,0,2,D,7,2018-09-15,Waasland-Beveren,B1,3,6,2,15,D,7,Waasland-Beveren_Eupen_2018
53,17.0,2,Waregem,10.0,1,5,1,3,0,0,0,H,5,2018-09-16,Antwerp,B1,2,6,4,15,H,1,Antwerp_Waregem_2018
54,12.0,1,St Truiden,22.0,1,1,2,0,0,1,4,A,10,2018-09-16,Gent,B1,6,5,12,15,A,1,Gent_St Truiden_2018
55,16.0,1,Kortrijk,15.0,0,1,0,1,0,0,0,H,8,2018-09-16,Mouscron,B1,3,5,6,14,H,10,Mouscron_Kortrijk_2018
56,15.0,1,Kortrijk,17.0,0,0,2,0,0,0,2,A,9,2018-09-21,Waregem,B1,4,5,3,9,D,2,Waregem_Kortrijk_2018
57,17.0,4,Oostende,16.0,0,1,2,0,0,1,2,A,6,2018-09-22,Eupen,B1,3,3,6,6,A,2,Eupen_Oostende_2018
58,16.0,2,Mouscron,16.0,0,0,0,0,0,0,2,D,13,2018-09-22,Lokeren,B1,6,1,3,7,D,11,Lokeren_Mouscron_2018
59,12.0,2,Antwerp,15.0,0,2,0,0,0,0,2,H,9,2018-09-22,St Truiden,B1,3,5,3,12,D,9,St Truiden_Antwerp_2018
60,25.0,4,Charleroi,11.0,2,1,1,0,0,1,1,D,9,2018-09-22,Waasland-Beveren,B1,5,4,3,13,A,5,Waasland-Beveren_Charleroi_2018
61,14.0,2,Standard,19.0,0,2,1,0,0,1,2,H,7,2018-09-23,Anderlecht,B1,3,7,10,13,A,4,Anderlecht_Standard_2018
62,7.0,2,Genk,5.0,0,2,5,1,0,2,2,A,15,2018-09-23,Cercle Brugge,B1,7,3,1,7,A,4,Cercle Brugge_Genk_2018
63,18.0,1,Club Brugge,18.0,0,0,4,0,0,1,3,A,11,2018-09-23,Gent,B1,8,7,9,19,A,3,Gent_Club Brugge_2018
64,9.0,2,Eupen,11.0,0,1,3,1,0,2,2,A,6,2018-09-28,Kortrijk,B1,3,6,8,14,A,1,Kortrijk_Eupen_2018
65,11.0,0,Lokeren,11.0,0,2,1,0,0,0,3,H,3,2018-09-29,Charleroi,B1,1,3,3,9,D,2,Charleroi_Lokeren_2018
66,18.0,2,Cercle Brugge,15.0,0,4,0,2,0,0,6,H,3,2018-09-29,Club Brugge,B1,0,5,8,14,H,7,Club Brugge_Cercle Brugge_2018
67,11.0,0,Waregem,9.0,0,4,0,2,0,0,4,H,3,2018-09-29,Genk,B1,1,17,12,29,H,2,Genk_Waregem_2018
68,16.0,2,Waasland-Beveren,15.0,0,0,3,0,0,2,3,A,9,2018-09-29,Mouscron,B1,5,4,6,10,A,2,Mouscron_Waasland-Beveren_2018
69,17.0,1,St Truiden,11.0,1,0,0,0,0,0,0,D,2,2018-09-30,Anderlecht,B1,0,7,11,21,D,0,Anderlecht_St Truiden_2018
70,16.0,4,Gent,13.0,0,2,2,1,0,2,2,D,8,2018-09-30,Antwerp,B1,7,7,8,9,A,4,Antwerp_Gent_2018
71,25.0,3,Standard,19.0,0,1,3,0,0,1,2,A,5,2018-09-30,Oostende,B1,3,5,6,10,A,0,Oostende_Standard_2018
72,11.0,3,Charleroi,13.0,0,2,1,1,0,1,2,H,6,2018-10-05,Cercle Brugge,B1,4,2,3,3,D,5,Cercle Brugge_Charleroi_2018
73,17.0,2,Antwerp,18.0,0,1,2,1,0,0,2,A,11,2018-10-06,Eupen,B1,8,4,0,10,H,8,Eupen_Antwerp_2018
74,13.0,1,Kortrijk,14.0,0,1,3,1,0,0,2,A,15,2018-10-06,Lokeren,B1,7,4,5,9,H,5,Lokeren_Kortrijk_2018
75,12.0,0,Mouscron,15.0,2,3,1,1,0,1,6,H,15,2018-10-06,St Truiden,B1,6,8,5,13,D,4,St Truiden_Mouscron_2018
76,19.0,4,Oostende,26.0,0,1,1,0,0,0,4,D,9,2018-10-06,Waasland-Beveren,B1,3,5,4,7,D,2,Waasland-Beveren_Oostende_2018
77,11.0,4,Genk,16.0,0,1,5,1,1,3,0,A,13,2018-10-07,Gent,B1,8,5,4,10,A,13,Gent_Genk_2018
78,12.0,0,Club Brugge,13.0,0,3,1,1,0,0,2,H,6,2018-10-07,Standard,B1,3,8,6,18,H,1,Standard_Club Brugge_2018
79,17.0,1,Anderlecht,21.0,0,1,2,0,0,1,4,A,11,2018-10-07,Waregem,B1,6,3,10,9,A,2,Waregem_Anderlecht_2018
80,11.0,0,Waasland-Beveren,14.0,0,1,1,0,0,0,1,D,6,2018-10-19,Club Brugge,B1,1,8,6,19,D,4,Club Brugge_Waasland-Beveren_2018
81,18.0,3,Lokeren,21.0,1,2,1,1,0,0,4,H,5,2018-10-20,Antwerp,B1,2,9,9,17,H,2,Antwerp_Lokeren_2018
82,9.0,1,Eupen,15.0,0,2,1,1,0,0,4,H,9,2018-10-20,Genk,B1,4,10,13,26,H,5,Genk_Eupen_2018
83,14.0,1,St Truiden,8.0,0,3,1,2,0,1,0,H,10,2018-10-20,Kortrijk,B1,7,7,5,16,H,5,Kortrijk_St Truiden_2018
84,9.0,0,Standard,16.0,0,0,0,0,0,0,0,D,13,2018-10-20,Mouscron,B1,5,2,4,8,D,8,Mouscron_Standard_2018
85,17.0,2,Cercle Brugge,23.0,0,4,2,2,0,0,4,H,7,2018-10-21,Anderlecht,B1,4,7,7,12,H,4,Anderlecht_Cercle Brugge_2018
86,10.0,2,Waregem,10.0,0,3,2,1,0,0,3,H,9,2018-10-21,Charleroi,B1,4,8,2,11,H,6,Charleroi_Waregem_2018
87,18.0,4,Gent,18.0,0,0,4,0,0,2,1,A,14,2018-10-21,Oostende,B1,11,4,5,8,A,4,Oostende_Gent_2018
88,16.0,2,Charleroi,23.0,0,2,1,1,0,1,4,H,6,2018-10-26,Gent,B1,4,6,7,12,D,2,Gent_Charleroi_2018
89,17.0,1,Kortrijk,12.0,0,1,1,0,0,1,1,D,14,2018-10-27,Cercle Brugge,B1,8,2,6,7,A,10,Cercle Brugge_Kortrijk_2018
90,16.0,1,Oostende,12.0,0,0,0,0,0,0,1,D,16,2018-10-27,Lokeren,B1,10,3,3,9,D,7,Lokeren_Oostende_2018
91,10.0,2,Club Brugge,15.0,0,2,2,1,0,2,1,D,8,2018-10-27,St Truiden,B1,5,4,6,9,A,2,St Truiden_Club Brugge_2018
92,11.0,2,Mouscron,19.0,0,2,2,2,0,1,2,D,12,2018-10-27,Waregem,B1,4,6,8,8,H,3,Waregem_Mouscron_2018
