,Time,HY,AwayTeam,HF,AR,FTHG,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
0,19:30:00,0,Kortrijk,7,0,2,1,0,0,1,1,22,H,8,2019-07-26,Genk,B1,4,2,6,10,A,2,Genk_Kortrijk_2019
1,17:00:00,2,Standard,16,0,0,2,0,1,0,2,15,A,14,2019-07-27,Cercle Brugge,B1,9,5,3,13,D,7,Cercle Brugge_Standard_2019
2,19:00:00,2,Mouscron,10,0,0,1,0,0,1,4,21,A,10,2019-07-27,St Truiden,B1,6,4,5,10,A,5,St Truiden_Mouscron_2019
3,19:00:00,3,Mechelen,14,0,0,2,0,0,1,1,21,A,10,2019-07-27,Waregem,B1,5,2,4,7,A,2,Waregem_Mechelen_2019
4,19:30:00,3,Club Brugge,18,0,1,3,1,0,1,1,12,A,25,2019-07-27,Waasland-Beveren,B1,22,2,1,7,D,14,Waasland-Beveren_Club Brugge_2019
5,13:30:00,1,Oostende,12,0,1,2,1,0,1,3,17,A,8,2019-07-28,Anderlecht,B1,6,6,5,15,D,2,Anderlecht_Oostende_2019
6,17:00:00,0,Gent,20,0,1,1,0,0,0,2,21,D,5,2019-07-28,Charleroi,B1,4,4,5,7,D,6,Charleroi_Gent_2019
7,19:00:00,1,Antwerp,18,0,1,4,1,0,1,2,10,A,14,2019-07-28,Eupen,B1,8,3,3,12,D,10,Eupen_Antwerp_2019
8,19:30:00,1,St Truiden,19,0,6,0,4,1,0,3,12,H,4,2019-08-02,Club Brugge,B1,2,10,6,16,H,2,Club Brugge_St Truiden_2019
9,17:00:00,0,Waregem,19,1,4,0,2,0,0,2,18,H,3,2019-08-03,Standard,B1,1,7,4,16,H,2,Standard_Waregem_2019
10,19:00:00,1,Charleroi,21,0,1,1,0,0,1,2,18,D,11,2019-08-03,Kortrijk,B1,6,4,10,7,A,3,Kortrijk_Charleroi_2019
11,19:00:00,0,Cercle Brugge,9,1,3,1,2,0,1,2,18,H,9,2019-08-03,Oostende,B1,4,7,3,11,H,2,Oostende_Cercle Brugge_2019
12,19:30:00,1,Genk,14,0,3,1,1,0,1,0,13,H,9,2019-08-03,Mechelen,B1,5,5,5,11,D,4,Mechelen_Genk_2019
13,13:30:00,0,Eupen,13,0,6,1,4,0,0,2,13,H,8,2019-08-04,Gent,B1,5,11,6,18,H,2,Gent_Eupen_2019
