year,team,type_rating,value_rating
2007,FC Brussels,static_ft_total_g>35,202.7
2008,FC Brussels,static_ft_total_g>35,234.9
2009,FC Brussels,static_ft_total_g>35,205.6
2010,FC Brussels,static_ft_total_g>35,197.5
2011,FC Brussels,static_ft_total_g>35,162.4
2012,FC Brussels,static_ft_total_g>35,156.6
2013,FC Brussels,static_ft_total_g>35,147.4
2014,FC Brussels,static_ft_total_g>35,152.8
2015,FC Brussels,static_ft_total_g>35,159.4
2016,FC Brussels,static_ft_total_g>35,149.5
2017,FC Brussels,static_ft_total_g>35,116.1
2018,FC Brussels,static_ft_total_g>35,129.4
2019,FC Brussels,static_ft_total_g>35,142.7
2020,FC Brussels,static_ft_total_g>35,172.0
2007,Heusden Zolder,static_ft_total_g>35,129.2
2008,Heusden Zolder,static_ft_total_g>35,105.5
2009,Heusden Zolder,static_ft_total_g>35,120.3
2010,Heusden Zolder,static_ft_total_g>35,147.5
2011,Heusden Zolder,static_ft_total_g>35,147.7
2012,Heusden Zolder,static_ft_total_g>35,156.6
2013,Heusden Zolder,static_ft_total_g>35,147.4
2014,Heusden Zolder,static_ft_total_g>35,152.8
2015,Heusden Zolder,static_ft_total_g>35,159.4
2016,Heusden Zolder,static_ft_total_g>35,149.5
2017,Heusden Zolder,static_ft_total_g>35,116.1
2018,Heusden Zolder,static_ft_total_g>35,129.4
2019,Heusden Zolder,static_ft_total_g>35,142.7
2020,Heusden Zolder,static_ft_total_g>35,172.0
2007,Tubize,static_ft_total_g>35,102.7
2008,Tubize,static_ft_total_g>35,105.5
2009,Tubize,static_ft_total_g>35,237.9
2010,Tubize,static_ft_total_g>35,235.7
2011,Tubize,static_ft_total_g>35,206.5
2012,Tubize,static_ft_total_g>35,186.0
2013,Tubize,static_ft_total_g>35,147.4
2014,Tubize,static_ft_total_g>35,152.8
2015,Tubize,static_ft_total_g>35,159.4
2016,Tubize,static_ft_total_g>35,149.5
2017,Tubize,static_ft_total_g>35,116.1
2018,Tubize,static_ft_total_g>35,129.4
2019,Tubize,static_ft_total_g>35,142.7
2020,Tubize,static_ft_total_g>35,172.0
2007,Charleroi,static_ft_total_g>35,202.5
2008,Charleroi,static_ft_total_g>35,246.6
2009,Charleroi,static_ft_total_g>35,249.6
2010,Charleroi,static_ft_total_g>35,281.1
2011,Charleroi,static_ft_total_g>35,282.0
2012,Charleroi,static_ft_total_g>35,233.9
2013,Charleroi,static_ft_total_g>35,228.3
2014,Charleroi,static_ft_total_g>35,209.7
2015,Charleroi,static_ft_total_g>35,256.4
2016,Charleroi,static_ft_total_g>35,243.2
2017,Charleroi,static_ft_total_g>35,213.0
2018,Charleroi,static_ft_total_g>35,229.5
2019,Charleroi,static_ft_total_g>35,253.0
2020,Charleroi,static_ft_total_g>35,256.2
2007,Lokeren,static_ft_total_g>35,255.3
2008,Lokeren,static_ft_total_g>35,205.3
2009,Lokeren,static_ft_total_g>35,176.1
2010,Lokeren,static_ft_total_g>35,222.3
2011,Lokeren,static_ft_total_g>35,230.6
2012,Lokeren,static_ft_total_g>35,308.8
2013,Lokeren,static_ft_total_g>35,318.7
2014,Lokeren,static_ft_total_g>35,286.5
2015,Lokeren,static_ft_total_g>35,263.1
2016,Lokeren,static_ft_total_g>35,226.5
2017,Lokeren,static_ft_total_g>35,156.3
2018,Lokeren,static_ft_total_g>35,176.3
2019,Lokeren,static_ft_total_g>35,209.5
2020,Lokeren,static_ft_total_g>35,215.4
2007,Beveren,static_ft_total_g>35,337.8
2008,Beveren,static_ft_total_g>35,243.6
2009,Beveren,static_ft_total_g>35,187.9
2010,Beveren,static_ft_total_g>35,168.1
2011,Beveren,static_ft_total_g>35,147.7
2012,Beveren,static_ft_total_g>35,156.6
2013,Beveren,static_ft_total_g>35,147.4
2014,Beveren,static_ft_total_g>35,152.8
2015,Beveren,static_ft_total_g>35,159.4
2016,Beveren,static_ft_total_g>35,149.5
2017,Beveren,static_ft_total_g>35,116.1
2018,Beveren,static_ft_total_g>35,129.4
2019,Beveren,static_ft_total_g>35,142.7
2020,Beveren,static_ft_total_g>35,172.0
2007,Genk,static_ft_total_g>35,379.0
2008,Genk,static_ft_total_g>35,396.5
2009,Genk,static_ft_total_g>35,387.5
2010,Genk,static_ft_total_g>35,306.0
2011,Genk,static_ft_total_g>35,324.9
2012,Genk,static_ft_total_g>35,390.8
2013,Genk,static_ft_total_g>35,421.0
2014,Genk,static_ft_total_g>35,403.1
2015,Genk,static_ft_total_g>35,302.9
2016,Genk,static_ft_total_g>35,292.9
2017,Genk,static_ft_total_g>35,246.4
2018,Genk,static_ft_total_g>35,249.6
