year,team,type_rating,value_rating
2003,Anderlecht,static_ft_total,735
2003,Anderlecht,static_ft_home,764
2003,Anderlecht,static_ft_away,705
2003,Anderlecht,static_ft_total_g>15,764
2003,Anderlecht,static_ft_total_g>25,529
2003,Anderlecht,static_ft_total_g>35,411
2003,Anderlecht,static_ft_total_g>15,764
2003,Anderlecht,static_ft_total_g>25,529
2003,Anderlecht,static_ft_total_g>35,411
2003,Anderlecht,static_ft_home_g>15,882
2003,Anderlecht,static_ft_home_g>25,705
2003,Anderlecht,static_ft_home_g>35,470
2003,Anderlecht,static_ft_away_g>15,647
2003,Anderlecht,static_ft_away_g>25,352
2003,Anderlecht,static_ft_away_g>35,352
2003,Anderlecht,static_ft_total_g<15,235
2003,Anderlecht,static_ft_total_g<25,470
2003,Anderlecht,static_ft_total_g<35,588
2003,Anderlecht,static_ft_total_g<15,235
2003,Anderlecht,static_ft_total_g<25,470
2003,Anderlecht,static_ft_total_g<35,588
2003,Anderlecht,static_ft_home_g<15,117
2003,Anderlecht,static_ft_home_g<25,294
2003,Anderlecht,static_ft_home_g<35,529
2003,Anderlecht,static_ft_away_g<15,352
2003,Anderlecht,static_ft_away_g<25,647
2003,Anderlecht,static_ft_away_g<35,647
2003,Anderlecht,static_ht_total,558
2003,Anderlecht,static_ht_home,529
2003,Anderlecht,static_ht_away,588
2003,Anderlecht,static_ht_total_g>15,411
2003,Anderlecht,static_ht_total_g>25,205
2003,Anderlecht,static_ht_total_g>35,0
2003,Anderlecht,static_ht_total_g>15,411
2003,Anderlecht,static_ht_total_g>25,205
2003,Anderlecht,static_ht_total_g>35,0
2003,Anderlecht,static_ht_home_g>15,529
2003,Anderlecht,static_ht_home_g>25,411
2003,Anderlecht,static_ht_home_g>35,0
2003,Anderlecht,static_ht_away_g>15,294
2003,Anderlecht,static_ht_away_g>25,0
2003,Anderlecht,static_ht_away_g>35,0
2003,Anderlecht,static_ht_total_g<15,588
2003,Anderlecht,static_ht_total_g<25,794
2003,Anderlecht,static_ht_total_g<35,1000
2003,Anderlecht,static_ht_total_g<15,588
2003,Anderlecht,static_ht_total_g<25,794
2003,Anderlecht,static_ht_total_g<35,1000
2003,Anderlecht,static_ht_home_g<15,470
2003,Anderlecht,static_ht_home_g<25,588
2003,Anderlecht,static_ht_home_g<35,1000
2003,Anderlecht,static_ht_away_g<15,705
2003,Anderlecht,static_ht_away_g<25,1000
2003,Anderlecht,static_ht_away_g<35,1000
2003,Antwerp,static_ft_total,205
2003,Antwerp,static_ft_home,294
2003,Antwerp,static_ft_away,117
2003,Antwerp,static_ft_total_g>15,794
