year,team,home_away_total,type_rating,points,game_id,date
2007,Anderlecht,total,dynamic_ft_total,3,Mechelen_Anderlecht_2007,2007-08-03
2007,Anderlecht,total,dynamic_ft_total,3,Anderlecht_Lokeren_2007,2007-08-11
2007,Anderlecht,total,dynamic_ft_total,1,Dender_Anderlecht_2007,2007-08-18
2007,Anderlecht,total,dynamic_ft_total,3,Anderlecht_FC Brussels_2007,2007-08-25
2007,Anderlecht,total,dynamic_ft_total,3,Mouscron_Anderlecht_2007,2007-09-02
2007,Anderlecht,total,dynamic_ft_total,1,Anderlecht_Waregem_2007,2007-09-15
2007,Anderlecht,total,dynamic_ft_total,1,Genk_Anderlecht_2007,2007-09-23
2007,Anderlecht,total,dynamic_ft_total,0,Anderlecht_Charleroi_2007,2007-09-29
2007,Anderlecht,total,dynamic_ft_total,1,Roeselare_Anderlecht_2007,2007-10-07
2007,Anderlecht,total,dynamic_ft_total,3,Anderlecht_Gent_2007,2007-10-21
2007,Anderlecht,total,dynamic_ft_total,1,Cercle Brugge_Anderlecht_2007,2007-10-28
2007,Anderlecht,total,dynamic_ft_total,3,Anderlecht_Westerlo_2007,2007-11-03
2007,Anderlecht,total,dynamic_ft_total,0,Germinal_Anderlecht_2007,2007-11-11
2007,Anderlecht,total,dynamic_ft_total,1,Anderlecht_Standard_2007,2007-11-30
2007,Anderlecht,total,dynamic_ft_total,0,St Truiden_Anderlecht_2007,2007-12-09
2007,Anderlecht,total,dynamic_ft_total,0,Club Brugge_Anderlecht_2007,2007-12-16
2007,Anderlecht,total,dynamic_ft_total,3,Anderlecht_Bergen_2007,2007-12-22
2007,Anderlecht,total,dynamic_ft_total,3,Anderlecht_Mechelen_2007,2008-01-19
2007,Anderlecht,total,dynamic_ft_total,1,Lokeren_Anderlecht_2007,2008-01-27
2007,Anderlecht,total,dynamic_ft_total,3,Anderlecht_Dender_2007,2008-02-02
2007,Anderlecht,total,dynamic_ft_total,3,FC Brussels_Anderlecht_2007,2008-02-09
2007,Anderlecht,total,dynamic_ft_total,3,Anderlecht_Mouscron_2007,2008-02-17
2007,Anderlecht,total,dynamic_ft_total,0,Waregem_Anderlecht_2007,2008-02-24
2007,Anderlecht,total,dynamic_ft_total,3,Anderlecht_Genk_2007,2008-03-02
2007,Anderlecht,total,dynamic_ft_total,3,Charleroi_Anderlecht_2007,2008-03-09
2007,Anderlecht,total,dynamic_ft_total,3,Anderlecht_Roeselare_2007,2008-03-16
2007,Anderlecht,total,dynamic_ft_total,3,Gent_Anderlecht_2007,2008-03-23
2007,Anderlecht,total,dynamic_ft_total,3,Anderlecht_Cercle Brugge_2007,2008-03-30
2007,Anderlecht,total,dynamic_ft_total,3,Westerlo_Anderlecht_2007,2008-04-06
2007,Anderlecht,total,dynamic_ft_total,3,Anderlecht_Germinal_2007,2008-04-13
2007,Anderlecht,total,dynamic_ft_total,0,Standard_Anderlecht_2007,2008-04-20
2007,Anderlecht,total,dynamic_ft_total,3,Anderlecht_St Truiden_2007,2008-04-26
2007,Anderlecht,total,dynamic_ft_total,3,Anderlecht_Club Brugge_2007,2008-05-03
2007,Anderlecht,total,dynamic_ft_total,3,Bergen_Anderlecht_2007,2008-05-10
2007,Anderlecht,home,dynamic_ft_home,3,Anderlecht_Lokeren_2007,2007-08-11
2007,Anderlecht,home,dynamic_ft_home,3,Anderlecht_FC Brussels_2007,2007-08-25
2007,Anderlecht,home,dynamic_ft_home,1,Anderlecht_Waregem_2007,2007-09-15
2007,Anderlecht,home,dynamic_ft_home,0,Anderlecht_Charleroi_2007,2007-09-29
2007,Anderlecht,home,dynamic_ft_home,3,Anderlecht_Gent_2007,2007-10-21
2007,Anderlecht,home,dynamic_ft_home,3,Anderlecht_Westerlo_2007,2007-11-03
2007,Anderlecht,home,dynamic_ft_home,1,Anderlecht_Standard_2007,2007-11-30
2007,Anderlecht,home,dynamic_ft_home,3,Anderlecht_Bergen_2007,2007-12-22
2007,Anderlecht,home,dynamic_ft_home,3,Anderlecht_Mechelen_2007,2008-01-19
2007,Anderlecht,home,dynamic_ft_home,3,Anderlecht_Dender_2007,2008-02-02
2007,Anderlecht,home,dynamic_ft_home,3,Anderlecht_Mouscron_2007,2008-02-17
2007,Anderlecht,home,dynamic_ft_home,3,Anderlecht_Genk_2007,2008-03-02
2007,Anderlecht,home,dynamic_ft_home,3,Anderlecht_Roeselare_2007,2008-03-16
2007,Anderlecht,home,dynamic_ft_home,3,Anderlecht_Cercle Brugge_2007,2008-03-30
2007,Anderlecht,home,dynamic_ft_home,3,Anderlecht_Germinal_2007,2008-04-13
2007,Anderlecht,home,dynamic_ft_home,3,Anderlecht_St Truiden_2007,2008-04-26
2007,Anderlecht,home,dynamic_ft_home,3,Anderlecht_Club Brugge_2007,2008-05-03
2007,Anderlecht,away,dynamic_ft_away,3,Mechelen_Anderlecht_2007,2007-08-03
2007,Anderlecht,away,dynamic_ft_away,1,Dender_Anderlecht_2007,2007-08-18
2007,Anderlecht,away,dynamic_ft_away,3,Mouscron_Anderlecht_2007,2007-09-02
2007,Anderlecht,away,dynamic_ft_away,1,Genk_Anderlecht_2007,2007-09-23
2007,Anderlecht,away,dynamic_ft_away,1,Roeselare_Anderlecht_2007,2007-10-07
2007,Anderlecht,away,dynamic_ft_away,1,Cercle Brugge_Anderlecht_2007,2007-10-28
2007,Anderlecht,away,dynamic_ft_away,0,Germinal_Anderlecht_2007,2007-11-11
2007,Anderlecht,away,dynamic_ft_away,0,St Truiden_Anderlecht_2007,2007-12-09
2007,Anderlecht,away,dynamic_ft_away,0,Club Brugge_Anderlecht_2007,2007-12-16
2007,Anderlecht,away,dynamic_ft_away,1,Lokeren_Anderlecht_2007,2008-01-27
2007,Anderlecht,away,dynamic_ft_away,3,FC Brussels_Anderlecht_2007,2008-02-09
2007,Anderlecht,away,dynamic_ft_away,0,Waregem_Anderlecht_2007,2008-02-24
2007,Anderlecht,away,dynamic_ft_away,3,Charleroi_Anderlecht_2007,2008-03-09
2007,Anderlecht,away,dynamic_ft_away,3,Gent_Anderlecht_2007,2008-03-23
2007,Anderlecht,away,dynamic_ft_away,3,Westerlo_Anderlecht_2007,2008-04-06
2007,Anderlecht,away,dynamic_ft_away,0,Standard_Anderlecht_2007,2008-04-20
