Date,idGame,team,Round_as_Home,Round_as_Away,Round_as_Total,Round_by_Week_Total
2007-08-03,Mechelen_Anderlecht_2007,Anderlecht,1,1,1,1
2007-08-03,Mechelen_Anderlecht_2007,Mechelen,1,1,1,1
2007-08-04,Lokeren_St Truiden_2007,St Truiden,1,1,1,1
2007-08-04,Charleroi_Roeselare_2007,Roeselare,1,1,1,1
2007-08-04,Genk_Cercle Brugge_2007,Genk,1,1,1,1
2007-08-04,Genk_Cercle Brugge_2007,Cercle Brugge,1,1,1,1
2007-08-04,Lokeren_St Truiden_2007,Lokeren,1,1,1,1
2007-08-04,FC Brussels_Westerlo_2007,Westerlo,1,1,1,1
2007-08-04,Club Brugge_Bergen_2007,Bergen,1,1,1,1
2007-08-04,Charleroi_Roeselare_2007,Charleroi,1,1,1,1
2007-08-04,Club Brugge_Bergen_2007,Club Brugge,1,1,1,1
2007-08-04,Dender_Germinal_2007,Dender,1,1,1,1
2007-08-04,FC Brussels_Westerlo_2007,FC Brussels,1,1,1,1
2007-08-04,Dender_Germinal_2007,Germinal,1,1,1,1
2007-08-05,Waregem_Standard_2007,Waregem,1,1,1,1
2007-08-05,Mouscron_Gent_2007,Gent,1,1,1,1
2007-08-05,Waregem_Standard_2007,Standard,1,1,1,1
2007-08-05,Mouscron_Gent_2007,Mouscron,1,1,1,1
2007-08-10,Westerlo_Charleroi_2007,Charleroi,1,1,2,2
2007-08-10,Westerlo_Charleroi_2007,Westerlo,1,1,2,2
2007-08-11,Anderlecht_Lokeren_2007,Lokeren,1,1,2,2
2007-08-11,Bergen_Mechelen_2007,Bergen,1,1,2,2
2007-08-11,St Truiden_Mouscron_2007,St Truiden,1,1,2,2
2007-08-11,Anderlecht_Lokeren_2007,Anderlecht,1,1,2,2
2007-08-11,St Truiden_Mouscron_2007,Mouscron,1,1,2,2
2007-08-11,Roeselare_Dender_2007,Dender,1,1,2,2
2007-08-11,Gent_Genk_2007,Gent,1,1,2,2
2007-08-11,Roeselare_Dender_2007,Roeselare,1,1,2,2
2007-08-11,Gent_Genk_2007,Genk,1,1,2,2
2007-08-11,Standard_FC Brussels_2007,FC Brussels,1,1,2,2
2007-08-11,Cercle Brugge_Waregem_2007,Cercle Brugge,1,1,2,2
2007-08-11,Cercle Brugge_Waregem_2007,Waregem,1,1,2,2
2007-08-11,Standard_FC Brussels_2007,Standard,1,1,2,2
2007-08-11,Bergen_Mechelen_2007,Mechelen,1,1,2,2
2007-08-12,Germinal_Club Brugge_2007,Club Brugge,1,1,2,2
2007-08-12,Germinal_Club Brugge_2007,Germinal,1,1,2,2
2007-08-17,Club Brugge_St Truiden_2007,St Truiden,1,2,3,3
2007-08-17,Club Brugge_St Truiden_2007,Club Brugge,2,1,3,3
2007-08-18,Waregem_Westerlo_2007,Waregem,2,1,3,3
2007-08-18,Waregem_Westerlo_2007,Westerlo,1,2,3,3
2007-08-18,Mouscron_Bergen_2007,Mouscron,2,1,3,3
2007-08-18,Charleroi_Mechelen_2007,Mechelen,1,2,3,3
2007-08-18,Genk_Roeselare_2007,Roeselare,1,2,3,3
2007-08-18,Charleroi_Mechelen_2007,Charleroi,2,1,3,3
2007-08-18,FC Brussels_Gent_2007,FC Brussels,2,1,3,3
2007-08-18,Dender_Anderlecht_2007,Dender,2,1,3,3
2007-08-18,Lokeren_Germinal_2007,Germinal,1,2,3,3
2007-08-18,Mouscron_Bergen_2007,Bergen,1,2,3,3
2007-08-18,FC Brussels_Gent_2007,Gent,1,2,3,3
2007-08-18,Dender_Anderlecht_2007,Anderlecht,1,2,3,3
2007-08-18,Lokeren_Germinal_2007,Lokeren,2,1,3,3
2007-08-18,Genk_Roeselare_2007,Genk,2,1,3,3
2007-08-19,Standard_Cercle Brugge_2007,Cercle Brugge,1,2,3,3
2007-08-19,Standard_Cercle Brugge_2007,Standard,2,1,3,3
2007-08-25,Westerlo_Mouscron_2007,Westerlo,2,2,4,4
2007-08-25,Roeselare_Standard_2007,Standard,2,2,4,4
2007-08-25,Bergen_Lokeren_2007,Lokeren,2,2,4,4
2007-08-25,Cercle Brugge_Dender_2007,Dender,2,2,4,4
2007-08-25,Westerlo_Mouscron_2007,Mouscron,2,2,4,4
2007-08-25,Gent_Waregem_2007,Waregem,2,2,4,4
2007-08-25,Roeselare_Standard_2007,Roeselare,2,2,4,4
2007-08-25,Cercle Brugge_Dender_2007,Cercle Brugge,2,2,4,4
2007-08-25,Anderlecht_FC Brussels_2007,Anderlecht,2,2,4,4
2007-08-25,Gent_Waregem_2007,Gent,2,2,4,4
2007-08-25,Bergen_Lokeren_2007,Bergen,2,2,4,4
2007-08-25,Germinal_Genk_2007,Genk,2,2,4,4
2007-08-25,Germinal_Genk_2007,Germinal,2,2,4,4
2007-08-25,Anderlecht_FC Brussels_2007,FC Brussels,2,2,4,4
2007-08-26,St Truiden_Charleroi_2007,Charleroi,2,2,4,4
2007-08-26,St Truiden_Charleroi_2007,St Truiden,2,2,4,4
2007-08-27,Mechelen_Club Brugge_2007,Club Brugge,2,2,4,4
2007-08-27,Mechelen_Club Brugge_2007,Mechelen,2,2,4,4
2007-08-31,Charleroi_Bergen_2007,Bergen,2,3,5,5
2007-08-31,Charleroi_Bergen_2007,Charleroi,3,2,5,5
2007-09-01,Genk_Westerlo_2007,Genk,3,2,5,5
2007-09-01,FC Brussels_Roeselare_2007,FC Brussels,3,2,5,5
2007-09-01,Genk_Westerlo_2007,Westerlo,2,3,5,5
2007-09-01,FC Brussels_Roeselare_2007,Roeselare,2,3,5,5
2007-09-01,Lokeren_Mechelen_2007,Mechelen,2,3,5,5
2007-09-01,Waregem_Germinal_2007,Germinal,2,3,5,5
2007-09-01,Lokeren_Mechelen_2007,Lokeren,3,2,5,5
2007-09-01,Cercle Brugge_Gent_2007,Cercle Brugge,3,2,5,5
2007-09-01,Dender_St Truiden_2007,St Truiden,2,3,5,5
2007-09-01,Dender_St Truiden_2007,Dender,3,2,5,5
2007-09-01,Waregem_Germinal_2007,Waregem,3,2,5,5
2007-09-01,Cercle Brugge_Gent_2007,Gent,2,3,5,5
2007-09-02,Mouscron_Anderlecht_2007,Anderlecht,2,3,5,5
2007-09-02,Standard_Club Brugge_2007,Club Brugge,2,3,5,5
2007-09-02,Mouscron_Anderlecht_2007,Mouscron,3,2,5,5
2007-09-02,Standard_Club Brugge_2007,Standard,3,2,5,5
2007-09-15,Westerlo_Dender_2007,Westerlo,3,3,6,7
2007-09-15,Mechelen_Mouscron_2007,Mouscron,3,3,6,7
2007-09-15,Roeselare_Cercle Brugge_2007,Cercle Brugge,3,3,6,7
2007-09-15,Germinal_Charleroi_2007,Germinal,3,3,6,7
2007-09-15,Westerlo_Dender_2007,Dender,3,3,6,7
2007-09-15,Club Brugge_Lokeren_2007,Lokeren,3,3,6,7
2007-09-15,Anderlecht_Waregem_2007,Waregem,3,3,6,7
2007-09-15,Anderlecht_Waregem_2007,Anderlecht,3,3,6,7
2007-09-15,Bergen_FC Brussels_2007,Bergen,3,3,6,7
2007-09-15,Mechelen_Mouscron_2007,Mechelen,3,3,6,7
2007-09-15,Germinal_Charleroi_2007,Charleroi,3,3,6,7
2007-09-15,Roeselare_Cercle Brugge_2007,Roeselare,3,3,6,7
2007-09-15,Club Brugge_Lokeren_2007,Club Brugge,3,3,6,7
2007-09-15,Bergen_FC Brussels_2007,FC Brussels,3,3,6,7
2007-09-16,Gent_Standard_2007,Gent,3,3,6,7
2007-09-16,Gent_Standard_2007,Standard,3,3,6,7
2007-09-16,St Truiden_Genk_2007,Genk,3,3,6,7
2007-09-16,St Truiden_Genk_2007,St Truiden,3,3,6,7
2007-09-22,Gent_Roeselare_2007,Gent,4,3,7,8
2007-09-22,Dender_Bergen_2007,Dender,4,3,7,8
2007-09-22,FC Brussels_St Truiden_2007,FC Brussels,4,3,7,8
2007-09-22,FC Brussels_St Truiden_2007,St Truiden,3,4,7,8
2007-09-22,Cercle Brugge_Germinal_2007,Germinal,3,4,7,8
2007-09-22,Gent_Roeselare_2007,Roeselare,3,4,7,8
2007-09-22,Waregem_Mechelen_2007,Waregem,4,3,7,8
2007-09-22,Dender_Bergen_2007,Bergen,3,4,7,8
2007-09-22,Mouscron_Lokeren_2007,Lokeren,3,4,7,8
2007-09-22,Waregem_Mechelen_2007,Mechelen,3,4,7,8
2007-09-22,Mouscron_Lokeren_2007,Mouscron,4,3,7,8
2007-09-22,Cercle Brugge_Germinal_2007,Cercle Brugge,4,3,7,8
2007-09-23,Charleroi_Club Brugge_2007,Charleroi,4,3,7,8
2007-09-23,Genk_Anderlecht_2007,Genk,4,3,7,8
2007-09-23,Genk_Anderlecht_2007,Anderlecht,3,4,7,8
2007-09-23,Charleroi_Club Brugge_2007,Club Brugge,3,4,7,8
2007-09-24,Standard_Westerlo_2007,Westerlo,3,4,7,8
2007-09-24,Standard_Westerlo_2007,Standard,4,3,7,8
2007-09-28,Bergen_Genk_2007,Bergen,4,4,8,9
2007-09-28,Bergen_Genk_2007,Genk,4,4,8,9
2007-09-29,Westerlo_Cercle Brugge_2007,Westerlo,4,4,8,9
2007-09-29,Roeselare_Waregem_2007,Roeselare,4,4,8,9
2007-09-29,Club Brugge_Mouscron_2007,Mouscron,4,4,8,9
2007-09-29,St Truiden_Standard_2007,Standard,4,4,8,9
2007-09-29,Anderlecht_Charleroi_2007,Charleroi,4,4,8,9
2007-09-29,Roeselare_Waregem_2007,Waregem,4,4,8,9
2007-09-29,Lokeren_FC Brussels_2007,Lokeren,4,4,8,9
2007-09-29,Anderlecht_Charleroi_2007,Anderlecht,4,4,8,9
2007-09-29,St Truiden_Standard_2007,St Truiden,4,4,8,9
2007-09-29,Westerlo_Cercle Brugge_2007,Cercle Brugge,4,4,8,9
2007-09-29,Club Brugge_Mouscron_2007,Club Brugge,4,4,8,9
2007-09-29,Lokeren_FC Brussels_2007,FC Brussels,4,4,8,9
2007-09-30,Germinal_Gent_2007,Germinal,4,4,8,9
2007-09-30,Mechelen_Dender_2007,Dender,4,4,8,9
2007-09-30,Germinal_Gent_2007,Gent,4,4,8,9
2007-09-30,Mechelen_Dender_2007,Mechelen,4,4,8,9
2007-10-05,Charleroi_Mouscron_2007,Charleroi,5,4,9,10
2007-10-05,Charleroi_Mouscron_2007,Mouscron,4,5,9,10
2007-10-06,Dender_Lokeren_2007,Dender,5,4,9,10
2007-10-06,Waregem_Bergen_2007,Bergen,4,5,9,10
2007-10-06,Cercle Brugge_St Truiden_2007,Cercle Brugge,5,4,9,10
2007-10-06,Waregem_Bergen_2007,Waregem,5,4,9,10
2007-10-06,Genk_Mechelen_2007,Mechelen,4,5,9,10
2007-10-06,Genk_Mechelen_2007,Genk,5,4,9,10
2007-10-06,Dender_Lokeren_2007,Lokeren,4,5,9,10
2007-10-06,Gent_Westerlo_2007,Westerlo,4,5,9,10
2007-10-06,Cercle Brugge_St Truiden_2007,St Truiden,4,5,9,10
2007-10-06,Gent_Westerlo_2007,Gent,5,4,9,10
2007-10-07,Standard_Germinal_2007,Germinal,4,5,9,10
2007-10-07,Roeselare_Anderlecht_2007,Roeselare,5,4,9,10
2007-10-07,Standard_Germinal_2007,Standard,5,4,9,10
2007-10-07,Roeselare_Anderlecht_2007,Anderlecht,4,5,9,10
2007-10-07,FC Brussels_Club Brugge_2007,FC Brussels,5,4,9,10
2007-10-07,FC Brussels_Club Brugge_2007,Club Brugge,4,5,9,10
2007-10-20,Mechelen_Cercle Brugge_2007,Cercle Brugge,5,5,10,12
2007-10-20,Westerlo_Roeselare_2007,Westerlo,5,5,10,12
2007-10-20,Lokeren_Charleroi_2007,Charleroi,5,5,10,12
2007-10-20,Lokeren_Charleroi_2007,Lokeren,5,5,10,12
2007-10-20,St Truiden_Waregem_2007,Waregem,5,5,10,12
2007-10-20,Mouscron_Genk_2007,Genk,5,5,10,12
2007-10-20,Germinal_FC Brussels_2007,FC Brussels,5,5,10,12
2007-10-20,Club Brugge_Dender_2007,Dender,5,5,10,12
2007-10-20,Mouscron_Genk_2007,Mouscron,5,5,10,12
2007-10-20,Mechelen_Cercle Brugge_2007,Mechelen,5,5,10,12
2007-10-20,Germinal_FC Brussels_2007,Germinal,5,5,10,12
2007-10-20,St Truiden_Waregem_2007,St Truiden,5,5,10,12
