,WHD,IWH,LBA,B365AH,SBH,SBA,SOA,LBAH,WHA,B365A,LBH,GBA,B365D,B365H,B365<2.5,LBAHA,WHH,SOH,SOD,LBAHH,B365>2.5,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
0,4.5,1.25,10.0,,1.22,10.0,10.0,-1.75,10.0,11.0,1.25,10.0,5.0,1.2,,2.05,1.25,1.22,5.0,1.8,,9.0,1.8,1.25,5.0,,,1.5,-2.0,2.25,4.5,4.5,5.0,2.0,Bayern Munich,Ein Frankfurt,Bayern Munich_Ein Frankfurt_2003
1,3.5,1.65,5.0,-0.75,1.57,5.25,5.25,-1.0,5.0,5.0,1.571,4.75,3.5,1.571,,1.8,1.57,1.57,3.5,2.05,,4.4,2.1,1.65,3.5,1.8,2.1,1.65,-0.75,1.95,3.3,3.5,3.5,1.75,Hamburg,Hannover,Hamburg_Hannover_2003
2,3.4,1.8,3.75,-0.75,1.8,4.0,3.75,-0.5,4.0,3.75,1.8,4.0,3.2,1.833,,2.05,1.72,1.83,3.3,1.8,,3.8,2.0,1.85,3.25,2.025,1.875,1.7,-0.5,1.9,3.1,3.25,3.25,1.8,Hertha,Werder Bremen,Hertha_Werder Bremen_2003
3,3.2,1.9,3.75,-0.5,1.85,3.75,3.75,-0.5,3.5,3.75,1.8,3.9,3.3,1.8,,2.05,1.9,1.85,3.25,1.8,,3.5,2.0,1.85,3.25,1.825,2.075,1.65,-0.5,1.95,3.1,3.25,3.25,1.8,Kaiserslautern,Munich 1860,Kaiserslautern_Munich 1860_2003
4,3.3,1.7,4.5,-0.75,1.61,5.0,5.0,-0.75,5.0,4.5,1.615,4.75,3.3,1.667,,2.05,1.61,1.62,3.4,1.8,,4.2,2.0,1.65,3.4,1.925,1.975,1.6,-0.75,2.0,3.2,3.5,3.4,1.8,Leverkusen,Freiburg,Leverkusen_Freiburg_2003
5,3.1,2.3,2.6,-0.25,2.3,2.8,2.8,-0.25,2.75,2.625,2.375,2.75,3.1,2.375,,1.8,2.3,2.3,3.1,2.05,,2.7,1.75,2.35,3.1,2.125,1.775,1.75,-0.25,1.85,3.0,3.2,3.2,2.05,Schalke 04,Dortmund,Schalke 04_Dortmund_2003
6,3.25,1.75,4.0,-0.75,1.7,4.5,4.2,-0.75,4.2,4.2,1.727,4.3,3.3,1.727,,2.05,1.72,1.75,3.25,1.8,,4.0,1.7,1.75,3.25,1.875,2.025,1.7,-1.0,1.9,3.2,3.4,3.4,2.1,Wolfsburg,Bochum,Wolfsburg_Bochum_2003
7,3.2,2.5,2.4,0.0,2.62,2.37,2.38,0.0,2.3,2.375,2.5,2.4,3.1,2.625,,1.85,2.62,2.63,3.2,2.0,,2.5,1.9,2.65,3.2,2.1,1.8,1.75,0.0,1.85,3.0,3.25,3.25,1.9,Hansa Rostock,Stuttgart,Hansa Rostock_Stuttgart_2003
8,3.2,1.9,3.5,-0.5,1.9,3.5,3.5,-0.5,3.5,3.75,1.833,3.4,3.2,1.833,,1.9,1.9,1.91,3.25,1.95,,3.5,1.85,2.0,3.25,2.0,1.9,1.7,-0.5,1.9,3.1,3.4,3.25,1.95,M'gladbach,FC Koln,M'gladbach_FC Koln_2003
9,3.1,2.5,2.5,0.0,2.5,2.5,2.5,0.0,2.62,2.5,2.4,2.55,3.25,2.4,1.9,1.9,2.37,2.5,3.2,1.95,1.8,2.5,1.95,2.5,3.2,1.875,2.025,1.65,0.0,2.05,3.0,3.25,3.25,1.85,Bochum,Hamburg,Bochum_Hamburg_2003
