,WHD,IWH,LBA,B365AH,SBH,SBA,BWD,LBAH,WHA,B365A,LBH,GBA,B365D,B365H,B365<2.5,LBAHA,WHH,BWA,LBAHH,BWH,B365>2.5,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
0,3.3,2.2,3.4,-0.25,2.0,3.3,3.25,-0.25,3.1,3.5,1.909,3.35,3.25,1.9,2.1,1.88,2.0,3.4,1.96,2.0,1.7,2.9,2.4,2.1,3.2,1.95,1.95,1.65,0.0,2.05,3.0,3.25,3.3,1.5,Werder Bremen,Schalke 04,Werder Bremen_Schalke 04_2004
1,3.5,1.65,5.0,-0.75,1.62,5.0,3.7,-0.75,4.5,5.5,1.571,5.5,3.4,1.57,2.05,2.04,1.61,5.4,1.8,1.55,1.75,4.4,1.65,1.6,3.4,1.85,2.05,1.65,-1.0,2.05,3.3,3.5,3.65,2.15,Dortmund,Wolfsburg,Dortmund_Wolfsburg_2004
2,3.3,2.1,3.0,-0.25,2.1,3.1,3.25,-0.25,3.1,3.0,2.1,3.5,3.25,2.1,2.15,1.98,2.0,3.4,1.86,2.0,1.65,3.1,2.4,2.05,3.2,1.9,2.0,1.65,0.0,2.05,3.0,3.2,3.25,1.5,Freiburg,Hansa Rostock,Freiburg_Hansa Rostock_2004
3,3.3,3.6,1.833,0.5,3.3,2.0,3.4,0.5,2.0,2.0,3.75,2.0,3.25,3.25,2.0,1.9,3.1,1.85,1.94,3.75,1.8,1.9,1.7,3.65,3.2,1.9,2.0,1.65,0.25,2.05,3.2,3.2,3.25,2.05,Hamburg,Bayern Munich,Hamburg_Bayern Munich_2004
4,3.3,1.75,3.75,-0.5,1.8,4.0,3.5,-0.5,3.75,3.75,1.833,4.25,3.25,1.83,2.2,1.96,1.8,4.4,1.88,1.7,1.6,4.0,2.3,1.85,3.25,1.875,2.025,1.71,-0.25,2.0,3.2,3.2,3.3,1.55,Hertha,Bochum,Hertha_Bochum_2004
5,3.3,1.85,3.75,-0.5,1.85,3.75,3.4,-0.5,3.75,4.33,1.8,4.0,3.25,1.72,2.05,1.92,1.8,4.2,1.92,1.75,1.75,3.6,2.15,1.9,3.25,1.9,2.0,1.71,-0.25,2.0,3.1,3.25,3.3,1.65,Kaiserslautern,Nurnberg,Kaiserslautern_Nurnberg_2004
6,3.75,1.55,5.5,-1.0,1.5,6.0,4.0,-1.0,6.0,6.0,1.533,6.0,3.5,1.5,2.25,1.82,1.44,6.2,2.02,1.45,1.55,4.8,1.55,1.6,3.6,2.0,1.9,1.6,-1.25,2.15,3.5,3.4,3.5,2.3,Leverkusen,Hannover,Leverkusen_Hannover_2004
7,3.25,2.3,2.75,-0.25,2.38,2.7,3.3,-0.25,2.75,2.75,2.25,2.95,3.25,2.25,2.15,1.82,2.2,2.6,2.02,2.4,1.65,2.7,2.1,2.35,3.1,2.025,1.875,1.71,0.0,2.0,3.0,3.2,3.2,1.68,Bielefeld,M'gladbach,Bielefeld_M'gladbach_2004
8,3.75,1.5,7.0,-1.25,1.4,7.5,4.2,-1.25,6.0,7.5,1.4,7.25,3.75,1.4,2.1,1.88,1.44,6.7,1.96,1.4,1.7,5.0,2.05,1.41,3.75,2.05,1.85,1.65,-1.0,2.05,3.7,3.75,4.25,1.7,Stuttgart,Mainz,Stuttgart_Mainz_2004
9,4.0,1.4,8.0,-1.25,1.4,7.5,4.7,-1.25,7.0,9.0,1.36,7.75,4.0,1.4,2.4,2.08,1.36,8.2,1.76,1.3,1.45,6.0,2.05,1.43,4.0,1.75,2.15,1.55,-1.0,2.25,3.9,3.75,4.0,1.7,Bayern Munich,Hertha,Bayern Munich_Hertha_2004
