,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,SBH,SBA,SJA,BbMxH,BWD,BbAvA,WHA,B365A,SJD,LBH,GBD,VCH,GBA,B365D,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,Bb1X2,BWH,IWA,BbMx>2.5,VCD,BbAvAHA,SJH,GBH,BbAH,SBD,BbAvAHH,VCA,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,10.35,5.0,2.26,4.0,1.35,8.0,1.33,8.0,9.5,1.4,4.2,8.59,8.0,9.5,4.5,1.33,4.25,1.35,9.0,5.0,1.31,36,1.3,-1.5,1.96,1.33,2.06,8.0,1.52,66,1.35,7.5,1.63,4.0,1.88,1.29,1.36,18,5.0,1.94,8.0,4.0,4.0,4.37,2.45,Bayern Munich,M'gladbach,Bayern Munich_M'gladbach_2005
1,2.35,3.35,1.86,3.25,2.7,2.1,3.0,2.25,2.2,3.35,3.35,2.16,2.15,2.25,3.3,3.0,3.35,2.7,2.25,3.25,2.96,41,2.75,0.25,1.95,2.87,2.05,2.2,1.81,68,2.85,2.3,1.96,3.25,1.87,2.88,3.0,26,3.2,1.98,2.25,3.0,3.2,3.22,1.95,Duisburg,Stuttgart,Duisburg_Stuttgart_2005
2,3.8,3.45,2.03,3.25,1.9,3.2,1.95,3.6,3.4,2.15,3.3,3.34,3.3,3.0,3.25,2.0,3.25,1.85,3.5,3.25,1.99,41,2.1,-0.25,2.09,1.95,1.9,3.5,1.67,67,1.95,3.5,1.85,3.3,2.01,2.0,2.05,26,3.3,1.84,3.6,3.1,3.2,3.24,2.2,FC Koln,Mainz,FC Koln_Mainz_2005
3,7.2,4.1,2.17,3.5,1.55,5.5,1.5,5.5,5.5,1.65,3.7,5.71,5.0,5.5,3.75,1.53,3.65,1.55,5.5,3.4,1.51,41,1.57,-1.0,1.97,1.57,2.04,5.35,1.59,66,1.55,4.8,1.75,3.5,1.9,1.53,1.6,25,4.0,1.93,5.0,3.5,3.4,3.65,2.45,Hamburg,Nurnberg,Hamburg_Nurnberg_2005
4,2.7,3.45,1.86,3.25,2.5,2.4,2.7,2.5,2.3,2.9,3.15,2.46,2.5,2.6,3.3,2.5,3.15,2.4,2.65,3.2,2.57,42,2.4,0.0,1.87,2.4,2.1,2.6,1.83,68,2.5,2.5,1.98,3.2,1.81,2.75,2.6,25,3.2,2.01,2.5,3.0,3.25,3.18,1.95,Hannover,Hertha,Hannover_Hertha_2005
5,9.5,4.6,2.26,3.75,1.4,7.0,1.36,7.5,8.5,1.5,4.0,7.5,7.0,6.5,4.0,1.4,4.0,1.45,7.25,3.75,1.37,42,1.44,-1.25,2.07,1.4,1.92,7.2,1.53,69,1.4,6.0,1.65,3.75,1.99,1.36,1.45,25,4.33,1.85,6.0,3.9,3.75,4.02,2.45,Werder Bremen,Bielefeld,Werder Bremen_Bielefeld_2005
6,2.85,3.5,2.05,3.2,2.4,2.6,2.4,2.7,2.62,2.6,3.35,2.62,2.62,2.62,3.25,2.37,3.25,2.4,2.75,3.2,2.41,42,2.37,0.0,2.15,2.3,1.84,2.5,1.66,67,2.5,2.6,1.77,3.2,2.04,2.38,2.45,26,3.2,1.79,2.5,3.0,3.2,3.21,2.2,Wolfsburg,Dortmund,Wolfsburg_Dortmund_2005
7,2.4,3.4,2.07,3.2,2.7,2.25,2.75,2.38,2.3,3.0,3.35,2.29,2.3,2.25,3.3,2.75,3.35,2.6,2.4,3.25,2.75,34,2.75,0.0,1.8,2.62,2.2,2.3,1.63,57,2.7,2.3,1.8,3.25,1.74,2.75,2.75,14,3.2,2.06,2.3,3.0,3.2,3.22,2.2,Ein Frankfurt,Leverkusen,Ein Frankfurt_Leverkusen_2005
8,7.2,4.0,2.16,3.75,1.5,6.0,1.5,6.0,7.0,1.6,3.8,5.85,6.0,6.0,3.75,1.5,3.6,1.55,6.0,3.5,1.5,35,1.5,-1.0,2.1,1.44,1.9,5.8,1.58,58,1.5,5.0,1.7,3.5,1.99,1.44,1.57,14,4.0,1.83,5.0,3.7,3.4,3.65,2.4,Schalke 04,Kaiserslautern,Schalke 04_Kaiserslautern_2005
9,2.25,3.5,2.14,3.2,2.9,2.2,3.0,2.2,2.1,3.6,3.4,2.09,2.15,2.1,3.4,2.8,3.35,2.7,2.25,3.25,3.09,33,3.0,0.5,2.16,2.9,1.79,2.05,1.61,52,3.15,2.2,1.7,3.25,2.1,3.0,3.0,17,3.25,1.73,2.25,3.0,3.2,3.29,2.3,Bielefeld,Hamburg,Bielefeld_Hamburg_2005
