,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,SBH,SBA,SJA,BbMxH,BWD,BbAvA,WHA,B365A,SJD,BSD,LBH,GBD,VCH,GBA,B365D,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,BSA,Bb1X2,BWH,IWA,BbMx>2.5,VCD,BbAvAHA,SJH,GBH,BbAH,SBD,BbAvAHH,VCA,BSH,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,7.25,4.38,2.02,4.0,1.65,6.0,1.53,5.5,6.0,1.57,4.2,6.36,5.5,6.0,4.0,4.0,1.57,3.75,1.57,6.0,3.8,1.52,33,1.57,-1.0,2.09,1.57,1.89,5.75,1.77,5.0,35,1.5,4.6,1.85,4.2,2.02,1.57,1.55,18,3.8,1.85,6.5,1.6,3.5,3.75,4.1,2.14,Dortmund,Hamburg,Dortmund_Hamburg_2011
1,3.4,3.61,1.84,3.4,2.3,3.1,2.2,2.9,3.25,2.32,3.3,3.16,3.0,3.1,3.3,3.25,2.25,3.3,2.25,3.0,3.4,2.24,34,2.25,-0.25,1.98,2.3,2.01,3.1,1.94,3.1,35,2.2,2.75,2.04,3.5,1.92,2.25,2.25,18,3.3,1.95,3.4,2.25,3.3,3.4,3.33,1.88,Augsburg,Freiburg,Augsburg_Freiburg_2011
2,2.8,3.57,2.01,3.1,2.65,2.62,2.55,2.55,2.7,2.7,3.4,2.66,2.8,2.7,3.25,3.25,2.62,3.25,2.6,2.6,3.4,2.58,32,2.5,0.0,2.05,2.6,1.91,2.65,1.77,2.62,35,2.45,2.4,1.85,3.5,1.97,2.63,2.6,20,3.2,1.87,2.75,2.6,3.3,3.3,3.33,2.15,FC Koln,Wolfsburg,FC Koln_Wolfsburg_2011
3,3.64,3.62,1.91,3.4,2.2,3.4,2.1,3.2,3.4,2.2,3.25,3.38,3.1,3.4,3.4,3.3,2.1,3.3,2.15,3.0,3.4,2.13,34,2.1,-0.25,2.1,2.25,1.92,3.25,1.87,3.4,35,2.15,2.9,1.95,3.5,2.04,2.1,2.2,19,3.25,1.83,3.5,2.1,3.3,3.4,3.37,2.02,Hannover,Hoffenheim,Hannover_Hoffenheim_2011
4,3.8,3.53,1.84,3.1,2.1,3.4,2.1,3.2,3.2,2.2,3.4,3.47,3.6,3.4,3.4,3.3,2.1,3.25,2.1,3.4,3.4,2.08,34,2.1,-0.25,2.14,2.15,1.88,3.5,1.94,3.2,35,2.0,3.1,2.05,3.5,2.06,2.2,2.1,18,3.25,1.82,3.75,2.2,3.3,3.4,3.36,1.9,Hertha,Nurnberg,Hertha_Nurnberg_2011
5,3.4,3.54,1.9,3.3,2.3,3.0,2.2,3.0,2.88,2.36,3.3,3.08,3.1,3.2,3.4,3.3,2.25,3.4,2.25,3.0,3.4,2.27,34,2.2,-0.25,1.91,2.3,2.03,2.9,1.87,3.0,35,2.3,2.75,1.98,3.5,1.88,2.38,2.25,19,3.2,1.99,3.3,2.3,3.3,3.5,3.35,2.0,Stuttgart,Schalke 04,Stuttgart_Schalke 04_2011
6,4.65,3.83,2.17,3.3,1.7,4.33,1.85,3.7,4.33,1.88,3.55,4.31,4.2,4.33,3.5,3.5,1.83,3.5,1.83,4.0,3.6,1.82,26,1.8,-0.75,1.9,1.91,2.05,3.75,1.64,4.0,35,1.88,4.4,1.71,3.75,1.85,1.83,1.85,18,3.5,2.01,4.6,1.85,3.5,3.5,3.55,2.25,Werder Bremen,Kaiserslautern,Werder Bremen_Kaiserslautern_2011
7,15.75,7.2,1.7,6.0,1.25,11.0,1.22,10.0,13.0,1.23,6.0,12.94,15.0,13.0,6.5,6.0,1.22,6.0,1.2,11.0,6.5,1.21,25,1.2,-1.75,2.11,1.2,1.86,10.5,2.09,12.0,35,1.22,10.0,2.2,6.5,2.06,1.2,1.22,18,5.5,1.82,15.0,1.22,5.0,6.5,6.22,1.76,Bayern Munich,M'gladbach,Bayern Munich_M'gladbach_2011
8,2.0,3.73,1.85,3.3,3.3,2.0,3.5,1.95,2.0,4.2,3.5,1.94,2.0,1.95,3.5,3.4,3.6,3.4,4.0,1.95,3.5,3.84,34,3.8,0.5,1.99,3.75,1.98,1.85,1.93,2.0,35,4.0,2.0,2.0,3.5,1.94,3.6,3.75,19,3.3,1.92,1.91,3.6,3.3,3.5,3.47,1.93,Mainz,Leverkusen,Mainz_Leverkusen_2011
9,3.08,3.46,1.79,3.3,2.3,3.0,2.25,2.85,2.75,2.5,3.4,2.92,2.9,3.0,3.6,3.3,2.3,3.4,2.4,2.75,3.4,2.39,36,2.3,-0.25,1.86,2.4,2.12,2.8,2.0,2.88,37,2.35,2.75,2.09,3.5,1.82,2.38,2.4,20,3.3,2.06,3.0,2.4,3.3,3.4,3.31,1.84,Freiburg,Mainz,Freiburg_Mainz_2011
10,4.33,3.75,2.01,3.2,1.85,4.0,1.85,3.8,4.0,1.98,3.5,3.93,4.0,3.6,3.75,3.5,1.83,3.4,1.95,3.75,3.6,1.92,35,1.95,-0.5,1.99,2.0,1.97,3.8,1.77,3.8,37,1.88,3.8,1.86,3.6,1.93,1.83,1.95,18,3.4,1.94,4.0,1.91,3.4,3.75,3.48,2.1,Hamburg,Hertha,Hamburg_Hertha_2011
11,1.75,4.0,2.06,3.5,4.0,1.73,4.5,1.7,1.67,5.25,3.8,1.71,1.73,1.73,4.0,3.75,4.5,3.6,5.0,1.73,3.75,4.84,33,4.5,0.75,1.99,5.0,2.0,1.7,1.73,1.67,37,4.4,1.8,1.85,4.0,1.93,4.75,4.5,19,3.4,1.95,1.73,5.0,3.4,3.75,3.68,2.15,Hoffenheim,Dortmund,Hoffenheim_Dortmund_2011
12,2.87,3.55,2.16,3.3,2.6,2.6,2.5,2.55,2.88,2.75,3.5,2.68,2.62,2.7,3.6,3.3,2.62,3.25,2.6,2.6,3.4,2.56,32,2.5,0.0,2.08,2.62,1.92,2.6,1.66,2.6,37,2.45,2.4,1.74,3.4,1.99,2.3,2.6,20,3.25,1.84,2.88,2.6,3.3,3.3,3.33,2.29,M'gladbach,Stuttgart,M'gladbach_Stuttgart_2011
13,3.24,3.52,1.86,3.2,2.3,3.0,2.25,2.85,2.75,2.4,3.3,3.09,3.2,3.0,3.6,3.3,2.3,3.25,2.3,3.0,3.4,2.28,36,2.3,-0.25,1.95,2.3,2.01,3.1,1.92,3.2,37,2.2,2.75,2.03,3.5,1.9,2.38,2.3,18,3.3,1.97,3.2,2.2,3.3,3.4,3.31,1.93,Nurnberg,Hannover,Nurnberg_Hannover_2011
14,6.0,4.12,2.11,3.8,1.55,5.5,1.55,5.5,5.5,1.65,4.0,5.64,5.5,5.5,3.9,3.75,1.62,3.75,1.62,5.5,3.8,1.6,32,1.62,-0.75,2.17,1.62,1.83,5.5,1.69,5.5,35,1.55,5.4,1.74,4.0,2.09,1.62,1.6,18,3.6,1.79,5.5,1.62,3.7,3.75,3.83,2.21,Schalke 04,FC Koln,Schalke 04_FC Koln_2011
15,1.91,4.0,2.43,3.6,3.7,1.91,3.8,1.85,1.83,4.41,3.6,1.84,1.83,1.83,3.75,3.5,3.75,3.5,4.4,1.85,3.75,4.11,26,4.0,0.5,1.88,4.2,2.15,1.83,1.51,1.91,37,3.9,1.9,1.57,3.8,1.81,4.0,4.0,21,3.4,2.06,1.83,3.8,3.3,3.6,3.64,2.6,Wolfsburg,Bayern Munich,Wolfsburg_Bayern Munich_2011
16,4.6,3.79,1.91,3.3,1.9,4.2,1.8,4.0,4.2,1.9,3.4,4.25,4.5,4.2,3.6,3.5,1.83,3.4,1.85,4.2,3.5,1.85,37,1.83,-0.5,2.09,1.83,1.92,4.15,1.87,4.2,37,1.83,3.7,1.95,3.6,2.02,1.83,1.85,20,3.4,1.85,4.4,1.83,3.3,3.6,3.48,1.99,Kaiserslautern,Augsburg,Kaiserslautern_Augsburg_2011
17,4.33,3.9,2.25,3.6,1.9,4.2,1.85,3.8,4.2,1.93,3.75,4.03,4.2,4.2,3.75,3.5,1.83,3.5,1.85,4.0,3.6,1.87,33,1.83,-0.5,2.05,1.83,1.9,3.75,1.61,4.0,37,1.83,3.55,1.68,3.8,1.99,1.8,1.85,21,3.4,1.87,4.33,1.91,3.4,3.6,3.54,2.38,Leverkusen,Werder Bremen,Leverkusen_Werder Bremen_2011
18,2.63,3.6,1.83,3.4,2.5,2.62,2.6,2.5,2.5,2.91,3.5,2.53,2.6,2.6,3.6,3.3,2.6,3.25,2.75,2.6,3.3,2.73,34,2.7,0.0,1.91,2.62,2.13,2.5,1.95,2.62,35,2.75,2.5,2.12,3.5,1.82,2.63,2.6,21,3.2,2.02,2.62,2.6,3.3,3.3,3.37,1.95,M'gladbach,Wolfsburg,M'gladbach_Wolfsburg_2011
19,2.62,3.48,1.78,3.3,2.6,2.5,2.6,2.45,2.5,2.91,3.5,2.5,2.4,2.5,3.4,3.3,2.75,3.25,2.88,2.5,3.3,2.78,33,2.8,0.0,1.9,2.88,2.08,2.45,2.01,2.5,36,2.85,2.5,2.09,3.4,1.84,2.7,2.7,20,3.25,2.0,2.5,2.7,3.2,3.3,3.29,1.86,Augsburg,Hoffenheim,Augsburg_Hoffenheim_2011
20,12.0,5.53,2.28,5.0,1.35,8.5,1.29,9.0,10.0,1.35,5.25,9.49,9.0,9.0,4.75,5.0,1.33,4.75,1.33,9.0,5.0,1.32,25,1.33,-1.5,1.96,1.33,1.99,8.5,1.57,8.5,35,1.31,7.3,1.62,5.4,1.91,1.33,1.33,19,4.75,1.94,10.5,1.33,4.5,5.0,4.98,2.35,Bayern Munich,Hamburg,Bayern Munich_Hamburg_2011
21,11.5,5.6,2.26,5.5,1.35,11.0,1.25,10.0,11.0,1.34,5.25,10.06,9.5,11.0,5.0,5.0,1.29,5.0,1.3,10.0,5.0,1.31,31,1.29,-1.5,1.91,1.29,2.05,8.75,1.61,8.5,36,1.31,7.3,1.69,5.0,1.87,1.3,1.28,20,5.0,1.99,11.0,1.33,4.5,5.0,5.04,2.35,Dortmund,Nurnberg,Dortmund_Nurnberg_2011
22,3.2,3.5,1.83,3.3,2.2,3.0,2.3,2.85,3.1,2.4,3.4,3.06,3.3,3.1,3.5,3.25,2.3,3.25,2.38,3.0,3.3,2.31,35,2.3,-0.25,1.9,2.2,2.08,2.95,1.95,3.1,36,2.3,2.9,2.05,3.4,1.85,2.2,2.3,20,3.2,2.02,3.2,2.3,3.3,3.4,3.31,1.89,FC Koln,Kaiserslautern,FC Koln_Kaiserslautern_2011
