,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,SJA,BbMxH,BWD,BbAvA,WHA,B365A,SJD,BSD,LBH,PSD,VCH,GBD,GBA,B365D,PSA,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,BSA,Bb1X2,BWH,IWA,BbMx>2.5,VCD,PSH,BbAvAHA,SJH,GBH,BbAH,BbAvAHH,VCA,BSH,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,11.0,5.91,2.45,5.5,1.37,9.0,10.0,1.35,5.25,9.71,9.0,9.0,5.25,5.5,1.33,5.88,1.3,5.25,9.25,5.5,10.8,1.3,25,1.3,-1.5,2.1,1.3,1.91,9.25,1.52,9.0,37,1.33,7.2,1.6,5.75,1.32,2.03,1.29,1.33,22,1.85,11.5,1.29,4.3,5.0,5.45,2.65,Dortmund,Werder Bremen,Dortmund_Werder Bremen_2012
1,3.92,3.52,1.79,3.4,2.2,3.75,3.5,2.2,3.3,3.58,3.4,3.6,3.3,3.4,2.0,3.52,2.05,3.3,3.4,3.5,3.92,2.05,33,2.0,-0.25,2.19,2.1,1.84,3.4,2.01,3.6,37,2.1,3.0,2.09,3.5,2.08,2.13,2.05,2.1,20,1.76,3.9,2.0,3.2,3.3,3.37,1.87,Augsburg,Fortuna Dusseldorf,Augsburg_Fortuna Dusseldorf_2012
2,2.46,3.53,1.92,3.4,2.65,2.4,2.38,3.02,3.6,2.4,2.45,2.4,3.3,3.4,2.88,3.54,3.0,3.6,2.3,3.4,2.44,2.87,33,2.8,0.25,2.16,2.8,1.83,2.3,1.88,2.4,37,3.0,2.4,1.97,3.5,3.05,2.12,2.88,3.0,21,1.77,2.45,2.8,3.3,3.3,3.35,2.01,Ein Frankfurt,Leverkusen,Ein Frankfurt_Leverkusen_2012
3,2.91,3.41,1.76,3.2,2.4,2.75,2.8,2.62,3.2,2.77,2.75,2.75,3.25,3.3,2.5,3.41,2.6,3.2,2.8,3.3,2.9,2.53,31,2.5,0.0,2.07,2.6,1.88,2.8,2.04,2.75,37,2.5,2.65,2.13,3.4,2.62,2.0,2.5,2.5,22,1.84,2.88,2.5,3.3,3.3,3.26,1.83,Freiburg,Mainz,Freiburg_Mainz_2012
4,1.42,5.1,2.24,4.75,6.5,1.4,1.4,9.28,4.6,1.38,1.4,1.36,4.5,4.75,8.0,5.09,8.5,4.6,1.34,4.75,1.41,8.13,25,8.5,1.25,1.94,7.5,2.03,1.34,1.61,1.36,37,9.25,1.45,1.7,5.0,8.69,1.89,8.0,9.25,21,1.98,1.4,8.0,3.9,4.5,4.63,2.38,Greuther Furth,Bayern Munich,Greuther Furth_Bayern Munich_2012
5,3.85,3.5,1.86,3.4,2.0,3.5,3.5,2.18,3.3,3.51,3.6,3.5,3.3,3.3,2.05,3.34,2.15,3.3,3.4,3.4,3.82,2.1,33,2.05,-0.5,1.8,2.05,2.18,3.4,1.93,3.3,37,2.1,3.3,2.01,3.3,2.18,1.77,2.05,2.1,20,2.12,3.75,2.15,3.3,3.4,3.31,1.94,Hamburg,Nurnberg,Hamburg_Nurnberg_2012
6,4.1,3.58,1.83,3.5,1.9,4.0,4.0,2.06,3.3,3.89,4.0,4.0,3.4,3.4,1.91,3.61,2.0,3.3,4.0,3.4,3.98,1.96,32,1.91,-0.5,1.94,1.91,2.05,4.0,1.97,3.8,37,2.0,3.7,2.06,3.6,2.03,1.87,1.91,2.0,20,2.0,4.0,1.95,3.3,3.4,3.38,1.91,M'gladbach,Hoffenheim,M'gladbach_Hoffenheim_2012
7,4.0,3.65,2.21,3.6,1.9,3.75,3.6,2.05,3.6,3.72,3.4,3.6,3.4,3.4,2.0,3.65,2.0,3.6,3.5,3.5,4.0,1.98,27,2.0,-0.5,1.94,2.05,2.03,3.5,1.65,3.6,32,2.05,3.7,1.7,3.6,2.01,1.9,2.0,2.05,15,1.98,3.9,2.0,3.3,3.3,3.44,2.42,Stuttgart,Wolfsburg,Stuttgart_Wolfsburg_2012
8,2.55,3.52,1.95,3.5,2.55,2.4,2.5,3.0,3.4,2.42,2.4,2.38,3.25,3.3,2.8,3.52,2.9,3.4,2.4,3.4,2.51,2.84,30,2.88,0.0,1.82,2.8,2.14,2.4,1.84,2.4,31,2.8,2.5,1.92,3.5,2.96,1.77,2.88,2.8,19,2.08,2.5,2.88,3.25,3.4,3.35,2.04,Hannover,Schalke 04,Hannover_Schalke 04_2012
9,4.7,3.8,1.83,3.5,1.8,4.33,4.33,1.88,3.5,4.43,4.33,4.5,3.4,3.5,1.83,3.7,1.85,3.5,4.33,3.5,4.7,1.83,34,1.8,-0.5,2.09,1.83,1.86,4.33,1.98,4.33,39,1.87,4.0,2.09,3.7,1.86,2.05,1.83,1.87,21,1.84,4.6,1.8,3.4,3.5,3.5,1.94,Mainz,Greuther Furth,Mainz_Greuther Furth_2012
