,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,SJA,BbMxH,BWD,BbAvA,WHA,B365A,SJD,PSD,LBH,VCH,B365D,PSA,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,Bb1X2,BWH,IWA,BbMx>2.5,VCD,PSH,BbAvAHA,SJH,BbAH,BbAvAHH,VCA,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,24.0,10.15,3.29,6.5,1.2,19.0,17.0,1.2,8.25,18.53,15.0,19.0,7.5,10.08,1.12,1.14,8.5,21.46,1.13,20,1.13,-2.5,1.89,1.14,2.12,15.0,1.31,32,1.14,13.0,1.35,9.0,1.14,1.84,1.13,20.0,2.04,19.0,5.8,8.0,8.33,3.5,Bayern Munich,M'gladbach,Bayern Munich_M'gladbach_2013
1,1.5,4.75,2.14,3.75,6.1,1.44,1.4,8.32,4.6,1.44,1.5,1.44,4.0,4.69,7.0,8.0,4.33,1.46,7.37,30,7.0,1.0,1.81,7.5,2.52,1.4,1.7,32,7.5,1.5,1.76,4.6,8.25,1.74,7.5,21.0,2.16,1.45,4.0,4.33,4.26,2.24,Augsburg,Dortmund,Augsburg_Dortmund_2013
2,2.63,3.57,2.1,3.1,2.7,2.4,2.38,3.0,3.4,2.44,2.62,2.5,3.3,3.57,2.87,2.8,3.4,2.54,2.83,30,2.7,0.0,1.85,2.75,2.13,2.5,1.74,32,2.7,2.4,1.8,3.5,2.89,1.79,2.8,17.0,2.07,2.55,3.4,3.3,3.34,2.24,Braunschweig,Werder Bremen,Braunschweig_Werder Bremen_2013
3,2.75,3.51,2.19,3.0,2.4,2.7,2.5,2.85,3.4,2.59,2.75,2.6,3.3,3.5,2.5,2.7,3.4,2.61,2.65,28,2.6,0.0,1.95,2.75,2.05,2.55,1.67,32,2.65,2.75,1.75,3.6,2.84,1.88,2.63,18.0,1.97,2.62,3.3,3.4,3.34,2.34,Hannover,Wolfsburg,Hannover_Wolfsburg_2013
4,3.2,3.6,2.0,3.1,2.2,3.0,3.0,2.4,3.3,3.04,3.1,3.2,3.3,3.52,2.3,2.38,3.4,3.16,2.31,30,2.2,0.0,2.31,2.4,1.73,2.9,1.81,32,2.4,3.1,1.89,3.5,2.38,2.24,2.3,18.0,1.68,3.1,3.3,3.4,3.33,2.12,Hertha,Ein Frankfurt,Hertha_Ein Frankfurt_2013
5,3.83,3.55,1.83,3.1,2.0,3.5,3.4,2.2,3.3,3.52,3.5,3.5,3.3,3.51,2.1,2.15,3.3,3.83,2.08,30,2.1,-0.5,1.83,2.2,2.13,3.6,1.98,32,2.05,3.5,2.04,3.5,2.11,1.8,2.05,17.0,2.09,3.6,3.4,3.25,3.32,1.9,Hoffenheim,Nurnberg,Hoffenheim_Nurnberg_2013
6,8.0,4.81,2.25,3.75,1.4,7.0,7.0,1.5,4.5,7.09,7.5,6.5,4.33,4.81,1.44,1.45,4.5,7.89,1.44,30,1.44,-1.0,2.23,1.5,1.82,6.5,1.64,32,1.45,7.3,1.71,4.8,1.46,2.16,1.44,21.0,1.74,7.5,4.4,4.33,4.37,2.38,Leverkusen,Freiburg,Leverkusen_Freiburg_2013
7,3.11,3.48,1.9,3.1,2.4,3.0,2.8,2.5,3.3,2.91,2.9,2.8,3.3,3.46,2.3,2.5,3.4,3.07,2.4,30,2.4,-0.25,1.85,2.5,2.12,2.9,1.91,32,2.4,2.7,1.99,3.4,2.47,1.81,2.38,17.0,2.09,2.9,3.4,3.4,3.31,2.0,Mainz,Stuttgart,Mainz_Stuttgart_2013
8,7.5,4.86,2.27,4.0,1.6,7.0,7.0,1.6,4.5,6.91,7.0,7.0,4.33,4.86,1.44,1.5,4.33,7.2,1.44,21,1.44,-1.0,2.26,1.5,1.78,6.75,1.62,31,1.44,5.4,1.67,4.6,1.48,2.18,1.4,20.0,1.72,7.0,3.7,4.33,4.46,2.46,Schalke 04,Hamburg,Schalke 04_Hamburg_2013
9,1.35,6.64,2.83,5.5,7.6,1.28,1.27,12.39,6.25,1.27,1.29,1.29,5.25,6.3,11.0,12.0,5.25,1.28,10.49,19,10.0,,,10.0,,1.26,1.4,31,9.0,1.35,1.46,6.0,12.8,,9.5,,,1.29,4.8,5.0,5.65,3.0,Ein Frankfurt,Bayern Munich,Ein Frankfurt_Bayern Munich_2013
