,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,BbMxH,BWD,BbAvA,WHA,B365A,PSD,LBH,VCH,B365D,PSA,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,Bb1X2,BWH,IWA,BbMx>2.5,VCD,PSH,BbAvAHA,BbAH,BbAvAHH,VCA,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,30.0,12.2,3.94,8.0,1.15,26.0,1.16,9.75,24.26,21.0,23.0,12.2,1.1,1.12,10.0,27.0,1.1,33,1.1,-2.5,3.79,1.11,1.85,18.5,1.25,53,1.1,15.0,1.35,10.0,1.11,3.53,31,1.79,22.0,7.0,10.0,10.0,4.46,Bayern Munich,Werder Bremen,Bayern Munich_Werder Bremen_2016
1,2.64,3.43,1.82,3.2,2.6,2.5,2.88,3.4,2.57,2.45,2.6,3.43,2.75,2.75,3.25,2.64,2.76,41,2.8,0.0,1.91,2.7,2.04,2.4,1.96,52,2.8,2.6,2.03,3.4,2.85,1.85,29,1.98,2.6,3.2,3.3,3.3,1.89,Augsburg,Wolfsburg,Augsburg_Wolfsburg_2016
2,9.49,5.41,2.32,4.5,1.4,9.0,1.41,4.6,8.53,7.0,8.5,5.41,1.35,1.33,5.0,9.49,1.35,37,1.36,-1.5,1.9,1.36,2.08,8.25,1.58,52,1.36,7.3,1.62,5.4,1.37,1.84,32,1.99,9.0,4.4,5.0,5.04,2.5,Dortmund,Mainz,Dortmund_Mainz_2016
3,2.3,3.64,1.98,3.5,3.1,2.15,3.4,3.5,2.19,2.2,2.2,3.64,3.25,3.25,3.3,2.22,3.28,41,3.4,0.25,1.95,2.88,2.01,2.2,1.8,52,3.0,2.2,1.89,3.6,3.39,1.9,30,1.95,2.2,3.3,3.4,3.43,2.07,Ein Frankfurt,Schalke 04,Ein Frankfurt_Schalke 04_2016
4,5.34,3.72,1.64,3.4,1.8,5.0,1.84,3.5,4.92,4.0,4.75,3.72,1.75,1.8,3.5,5.31,1.77,38,1.8,-1.0,1.61,1.8,2.6,4.75,2.2,52,1.75,4.2,2.31,3.6,1.78,1.56,30,2.46,4.8,3.5,3.5,3.54,1.7,FC Koln,Darmstadt,FC Koln_Darmstadt_2016
5,3.79,3.3,1.58,3.3,2.1,3.6,2.25,3.2,3.5,3.2,3.5,3.27,2.15,2.2,3.2,3.79,2.19,39,2.2,-0.25,2.06,2.1,1.95,3.3,2.33,53,2.2,3.3,2.44,3.3,2.22,1.98,30,1.88,3.5,3.3,3.1,3.21,1.63,Hamburg,Ingolstadt,Hamburg_Ingolstadt_2016
6,3.23,3.62,2.07,3.3,2.5,3.1,2.5,3.4,3.07,2.9,3.1,3.62,2.25,2.3,3.4,3.23,2.29,40,2.3,-0.25,1.92,2.25,2.02,3.0,1.74,53,2.25,2.75,1.8,3.5,2.31,1.88,28,1.98,3.1,3.2,3.4,3.44,2.17,M'gladbach,Leverkusen,M'gladbach_Leverkusen_2016
7,4.0,3.38,1.62,3.0,2.2,3.6,2.25,3.3,3.61,3.4,3.5,3.38,2.1,2.15,3.3,3.84,2.14,39,2.15,-0.25,2.1,2.15,1.88,3.6,2.24,51,2.05,3.2,2.36,3.3,2.16,2.02,26,1.83,3.7,3.2,3.2,3.24,1.7,Hertha,Freiburg,Hertha_Freiburg_2016
8,3.0,3.49,1.92,3.3,2.6,2.8,2.61,3.1,2.85,2.7,2.9,3.43,2.4,2.5,3.25,2.94,2.5,39,2.5,-0.25,1.8,2.4,2.21,2.75,1.85,52,2.6,2.6,1.95,3.4,2.58,1.74,28,2.15,2.9,3.2,3.3,3.31,2.02,Hoffenheim,RB Leipzig,Hoffenheim_RB Leipzig_2016
9,1.36,6.05,2.38,5.5,8.5,1.3,11.0,5.75,1.3,1.3,1.3,5.89,10.0,11.0,5.5,1.32,10.22,39,10.0,1.5,1.92,9.0,2.06,1.3,1.55,54,11.0,1.35,1.61,5.75,10.84,1.86,33,2.0,1.29,5.0,5.25,5.5,2.62,Schalke 04,Bayern Munich,Schalke 04_Bayern Munich_2016
