,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,BbMxH,BWD,BbAvA,WHA,B365A,PSD,VCH,B365D,PSA,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,Bb1X2,BWH,IWA,BbMx>2.5,VCD,PSH,BbAvAHA,BbAH,BbAvAHH,VCA,IWD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,15.0,8.08,3.55,8.0,1.3,1.3,7.5,13.26,13.0,12.0,7.86,1.2,7.5,14.9,1.2,34,1.2,-2.0,2.05,1.17,1.92,11.5,1.4,40,1.2,9.0,1.33,7.5,1.2,1.99,22,1.87,15.0,5.8,7.37,3.3,Bayern Munich,Hoffenheim,Bayern Munich_Hoffenheim_2018
1,3.13,3.36,1.76,3.25,2.4,2.65,3.3,2.97,2.9,3.0,3.32,2.5,3.25,3.06,2.47,38,2.37,0.0,2.17,2.45,1.8,3.0,2.05,41,2.4,2.95,2.13,3.3,2.51,2.11,20,1.76,3.0,3.3,3.24,1.84,Fortuna Dusseldorf,Augsburg,Fortuna Dusseldorf_Augsburg_2018
2,3.31,3.4,1.69,3.3,2.4,2.45,3.2,3.19,3.2,3.25,3.4,2.38,3.3,3.28,2.34,38,2.3,-0.25,1.92,2.25,2.02,3.2,2.15,41,2.35,2.95,2.23,3.3,2.34,1.88,20,1.99,3.2,3.3,3.25,1.75,Freiburg,Ein Frankfurt,Freiburg_Ein Frankfurt_2018
3,4.06,3.49,1.76,3.4,2.1,2.1,3.4,3.83,3.6,3.75,3.43,2.05,3.4,4.06,2.04,37,2.04,-0.25,2.21,2.05,1.78,3.7,2.05,40,2.05,3.5,2.12,3.4,2.05,2.14,20,1.74,3.8,3.4,3.37,1.83,Hertha,Nurnberg,Hertha_Nurnberg_2018
4,2.52,3.72,2.32,3.7,2.8,2.96,3.5,2.42,2.45,2.45,3.69,2.8,3.5,2.47,2.82,37,2.8,0.0,1.84,2.62,2.13,2.4,1.6,41,2.85,2.5,1.64,3.7,2.89,1.78,20,2.07,2.4,3.4,3.55,2.5,M'gladbach,Leverkusen,M'gladbach_Leverkusen_2018
5,4.12,3.85,2.12,3.6,1.9,1.97,3.75,3.95,4.0,4.0,3.79,1.9,3.6,4.1,1.9,38,1.85,-1.0,1.55,1.85,2.88,4.0,1.71,41,1.87,4.1,1.76,3.8,1.93,1.49,20,2.65,4.0,3.5,3.68,2.22,Werder Bremen,Hannover,Werder Bremen_Hannover_2018
6,2.5,3.35,1.68,3.2,2.85,3.39,3.3,2.36,2.3,2.37,3.25,3.2,3.3,2.37,3.19,38,3.1,0.25,2.04,3.2,1.9,2.4,2.17,41,3.0,2.5,2.27,3.3,3.36,2.0,20,1.86,2.38,3.3,3.21,1.75,Wolfsburg,Schalke 04,Wolfsburg_Schalke 04_2018
7,4.75,4.13,2.46,4.0,1.8,1.81,3.8,4.45,4.2,4.75,4.05,1.8,3.8,4.57,1.76,36,1.72,-1.0,1.7,1.75,2.41,4.6,1.53,41,1.75,4.5,1.58,4.0,1.79,1.64,22,2.3,4.3,3.6,3.92,2.57,Dortmund,RB Leipzig,Dortmund_RB Leipzig_2018
8,2.8,3.31,1.71,3.2,2.65,2.92,3.25,2.67,2.62,2.7,3.22,2.75,3.25,2.67,2.76,38,2.7,0.0,1.95,2.75,2.02,2.6,2.12,41,2.8,2.65,2.24,3.25,2.92,1.9,20,1.95,2.7,3.3,3.18,1.77,Mainz,Stuttgart,Mainz_Stuttgart_2018
9,1.65,4.5,2.4,4.33,5.5,5.65,4.33,1.6,1.62,1.57,4.25,5.2,4.33,1.65,5.34,35,5.5,1.0,2.08,4.8,1.89,1.57,1.56,36,5.5,1.6,1.61,4.4,5.44,2.01,20,1.84,1.62,4.0,4.26,2.49,Hannover,Dortmund,Hannover_Dortmund_2018
10,2.87,3.45,1.92,3.4,2.65,2.78,3.4,2.73,2.62,2.7,3.41,2.63,3.4,2.83,2.63,37,2.62,0.0,2.01,2.6,1.94,2.65,1.88,38,2.65,2.65,1.97,3.4,2.64,1.96,20,1.9,2.75,3.4,3.34,1.98,Augsburg,M'gladbach,Augsburg_M'gladbach_2018
11,3.15,3.5,1.94,3.3,2.3,2.52,3.4,2.94,2.88,2.9,3.47,2.4,3.5,2.97,2.42,36,2.4,-0.25,1.84,2.45,2.13,2.85,1.86,37,2.45,3.15,1.91,3.5,2.47,1.81,18,2.08,3.0,3.3,3.4,2.03,Ein Frankfurt,Werder Bremen,Ein Frankfurt_Werder Bremen_2018
12,6.5,4.33,2.22,4.2,1.6,1.63,4.1,5.71,5.0,6.5,4.19,1.62,4.0,6.14,1.59,37,1.55,-1.0,1.91,1.6,2.03,5.5,1.66,39,1.6,5.3,1.72,4.2,1.6,1.87,23,1.98,5.5,4.2,4.12,2.29,Hoffenheim,Freiburg,Hoffenheim_Freiburg_2018
13,5.5,4.33,2.35,4.0,1.65,1.7,3.9,5.12,4.75,5.0,4.27,1.67,4.33,5.47,1.64,36,1.61,-1.0,1.82,1.67,2.14,5.25,1.58,39,1.65,5.0,1.63,4.33,1.64,1.77,22,2.08,4.8,4.1,4.11,2.44,Leverkusen,Wolfsburg,Leverkusen_Wolfsburg_2018
14,3.39,3.31,1.67,3.2,2.4,2.42,3.3,3.23,3.2,3.1,3.23,2.38,3.3,3.39,2.35,35,2.37,-0.25,1.9,2.3,2.04,3.1,2.19,37,2.35,2.95,2.26,3.3,2.37,1.87,19,2.0,3.2,3.3,3.2,1.74,Nurnberg,Mainz,Nurnberg_Mainz_2018
15,1.32,6.0,2.55,4.8,9.5,11.6,5.25,1.29,1.3,1.28,5.96,11.0,5.5,1.31,10.38,36,11.0,1.5,1.87,11.0,2.08,1.3,1.5,39,11.0,1.3,1.56,5.75,10.3,1.83,20,2.04,1.29,5.5,5.58,2.65,Stuttgart,Bayern Munich,Stuttgart_Bayern Munich_2018
