,WHD,IWH,MaxAHH,Avg>2.5,AvgA,BWD,Max<2.5,B365A,PSD,WHA,Max>2.5,VCH,AHh,B365D,PSA,P<2.5,B365<2.5,B365H,MaxAHA,AvgD,AvgAHA,WHH,BWA,PAHA,BWH,B365>2.5,IWA,MaxD,VCD,PSH,P>2.5,MaxA,PAHH,AvgH,B365AHH,B365AHA,Avg<2.5,MaxH,VCA,IWD,AvgAHH,HomeTeam,AwayTeam,idGame
0,7.5,1.25,2.1,1.34,15.04,7.0,3.4,15.0,7.73,15.0,1.4,1.18,-2.0,8.0,15.3,3.35,3.4,1.14,2.11,7.55,2.04,1.18,16.0,2.07,1.18,1.33,11.0,8.3,8.0,1.19,1.36,17.5,1.85,1.18,1.8,2.0,3.24,1.25,15.0,6.1,1.84,Bayern Munich,Hertha,Bayern Munich_Hertha_2019
1,6.5,1.25,2.1,1.43,13.38,6.5,2.95,13.0,6.76,15.0,1.46,1.22,-2.0,7.0,13.52,2.95,2.75,1.2,1.9,6.62,1.85,1.2,12.5,1.88,1.22,1.44,11.0,7.15,6.5,1.23,1.44,17.0,2.03,1.22,2.02,1.77,2.79,1.25,15.0,6.1,2.02,Dortmund,Augsburg,Dortmund_Augsburg_2019
2,3.3,2.15,1.94,1.93,3.36,3.3,1.95,3.4,3.45,3.4,2.0,2.2,-0.25,3.25,3.44,1.95,1.9,2.25,2.01,3.37,1.98,2.2,3.4,2.0,2.2,1.9,3.35,3.49,3.4,2.23,1.95,3.65,1.93,2.2,1.94,1.99,1.88,2.26,3.4,3.4,1.91,Freiburg,Mainz,Freiburg_Mainz_2019
3,5.8,1.27,1.99,1.38,10.27,5.5,3.25,12.0,6.07,11.0,1.45,1.29,-1.75,6.0,10.57,3.2,3.2,1.25,1.97,5.97,1.93,1.27,10.0,1.94,1.3,1.36,10.5,6.4,6.0,1.29,1.39,12.25,1.97,1.28,1.98,1.95,3.03,1.31,10.5,5.8,1.95,Leverkusen,Paderborn,Leverkusen_Paderborn_2019
4,3.9,1.7,1.99,1.67,4.57,4.0,2.28,4.75,4.05,4.75,1.72,1.75,-0.75,3.75,4.68,2.22,2.2,1.75,1.95,3.93,1.92,1.73,4.4,1.93,1.75,1.66,4.7,4.05,4.0,1.75,1.72,4.95,1.99,1.74,1.99,1.94,2.21,1.8,4.6,4.0,1.96,Werder Bremen,Fortuna Dusseldorf,Werder Bremen_Fortuna Dusseldorf_2019
5,3.8,1.9,1.95,1.67,3.91,3.6,2.29,4.0,3.96,3.9,1.72,1.9,-0.5,3.5,3.98,2.28,2.2,1.95,2.01,3.74,1.98,1.88,4.0,2.01,1.91,1.66,3.85,3.96,3.9,1.91,1.69,4.1,1.91,1.91,1.92,2.01,2.21,1.97,3.9,3.8,1.9,Wolfsburg,FC Koln,Wolfsburg_FC Koln_2019
6,3.4,2.05,2.09,1.78,3.6,3.5,2.11,3.75,3.51,3.7,1.83,2.1,-0.5,3.5,3.76,2.08,2.0,2.0,1.86,3.49,1.82,2.05,3.5,1.83,2.1,1.8,3.65,3.6,3.5,2.09,1.82,3.76,2.09,2.06,2.08,1.85,2.04,2.11,3.6,3.45,2.06,M'gladbach,Schalke 04,M'gladbach_Schalke 04_2019
7,3.6,2.3,2.06,1.54,2.92,3.5,2.6,3.0,3.72,3.0,1.58,2.3,-0.25,3.6,3.01,2.51,2.5,2.25,1.91,3.65,1.86,2.3,2.95,1.88,2.35,1.53,2.9,3.8,3.7,2.33,1.58,3.04,2.04,2.32,2.04,1.89,2.46,2.45,2.9,3.75,2.02,Ein Frankfurt,Hoffenheim,Ein Frankfurt_Hoffenheim_2019
8,4.0,4.65,1.99,1.71,1.72,4.1,2.23,1.7,4.21,1.7,1.76,4.6,0.75,3.8,1.71,2.18,2.1,5.0,1.97,4.02,1.92,4.75,1.72,1.93,4.4,1.72,1.7,4.21,4.1,4.77,1.75,1.76,1.98,4.63,1.98,1.95,2.13,5.0,1.73,4.0,1.96,Union Berlin,RB Leipzig,Union Berlin_RB Leipzig_2019
9,4.6,6.5,1.92,1.45,1.48,4.75,2.86,1.44,4.79,1.5,1.48,6.25,1.25,4.75,1.5,2.86,2.75,6.5,2.07,4.74,2.02,6.0,1.42,2.05,6.5,1.44,1.5,5.0,4.8,6.44,1.46,1.53,1.87,6.18,1.92,2.01,2.73,6.6,1.5,4.3,1.86,FC Koln,Dortmund,FC Koln_Dortmund_2019
