,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,HC,HS,HTR,AC,idGame
0,1,Ein Frankfurt,19,3,0,1,3,0,0,2,17,H,6,2003-08-01,Bayern Munich,D1,4,17,H,3,Bayern Munich_Ein Frankfurt_2003
1,3,Hannover,14,0,0,3,0,0,1,1,19,A,16,2003-08-02,Hamburg,D1,7,10,A,4,Hamburg_Hannover_2003
2,1,Werder Bremen,12,0,0,3,0,0,2,1,23,A,19,2003-08-02,Hertha,D1,6,23,A,6,Hertha_Werder Bremen_2003
3,2,Munich 1860,17,0,0,1,0,1,1,3,21,A,15,2003-08-02,Kaiserslautern,D1,8,13,A,8,Kaiserslautern_Munich 1860_2003
4,0,Freiburg,18,4,0,1,3,0,1,3,12,H,10,2003-08-02,Leverkusen,D1,7,21,H,6,Leverkusen_Freiburg_2003
5,2,Dortmund,25,2,0,2,1,1,0,3,25,D,7,2003-08-02,Schalke 04,D1,7,20,H,3,Schalke 04_Dortmund_2003
6,3,Bochum,18,3,0,2,2,0,2,4,20,H,16,2003-08-02,Wolfsburg,D1,4,15,D,4,Wolfsburg_Bochum_2003
7,1,Stuttgart,21,0,0,2,0,0,0,4,27,A,15,2003-08-03,Hansa Rostock,D1,7,10,D,4,Hansa Rostock_Stuttgart_2003
8,1,FC Koln,19,1,1,0,0,0,0,2,23,H,11,2003-08-03,M'gladbach,D1,6,16,D,1,M'gladbach_FC Koln_2003
9,0,Hamburg,11,1,0,1,1,0,1,3,28,D,13,2003-08-09,Bochum,D1,5,12,D,3,Bochum_Hamburg_2003
10,0,Wolfsburg,15,4,0,0,1,0,0,3,18,H,9,2003-08-09,Dortmund,D1,5,17,H,3,Dortmund_Wolfsburg_2003
11,3,Kaiserslautern,17,1,0,2,1,0,1,5,20,A,18,2003-08-09,FC Koln,D1,3,21,D,12,FC Koln_Kaiserslautern_2003
12,1,Hansa Rostock,12,2,0,2,0,0,2,2,23,D,9,2003-08-09,Freiburg,D1,7,22,A,1,Freiburg_Hansa Rostock_2003
13,2,Bayern Munich,25,3,0,3,3,1,1,1,17,D,12,2003-08-09,Hannover,D1,8,9,H,9,Hannover_Bayern Munich_2003
14,2,Schalke 04,21,1,0,1,1,0,0,0,20,D,13,2003-08-09,Munich 1860,D1,4,10,H,2,Munich 1860_Schalke 04_2003
15,1,M'gladbach,18,1,0,1,0,0,0,0,22,D,12,2003-08-09,Werder Bremen,D1,2,12,D,9,Werder Bremen_M'gladbach_2003
16,2,Leverkusen,16,1,0,2,1,0,0,3,25,A,11,2003-08-10,Ein Frankfurt,D1,3,11,H,3,Ein Frankfurt_Leverkusen_2003
17,1,Hertha,16,0,1,0,0,0,0,4,28,D,6,2003-08-10,Stuttgart,D1,6,12,D,2,Stuttgart_Hertha_2003
18,2,Bochum,25,2,0,0,2,0,0,1,16,H,17,2003-08-16,Bayern Munich,D1,3,8,H,5,Bayern Munich_Bochum_2003
19,1,Munich 1860,13,3,0,1,0,0,0,2,21,H,12,2003-08-16,Dortmund,D1,6,13,D,2,Dortmund_Munich 1860_2003
20,9,Ein Frankfurt,34,3,0,0,1,0,0,3,21,H,13,2003-08-16,Hansa Rostock,D1,6,19,H,3,Hansa Rostock_Ein Frankfurt_2003
21,1,Freiburg,24,0,0,0,0,0,0,2,27,D,12,2003-08-16,Hertha,D1,11,26,D,6,Hertha_Freiburg_2003
22,2,Werder Bremen,22,0,0,1,0,0,0,2,25,A,19,2003-08-16,Kaiserslautern,D1,8,15,D,7,Kaiserslautern_Werder Bremen_2003
23,1,Hannover,20,4,0,0,2,0,0,5,22,H,16,2003-08-16,Leverkusen,D1,3,12,H,10,Leverkusen_Hannover_2003
24,2,Stuttgart,20,0,0,1,0,0,1,5,25,A,5,2003-08-16,M'gladbach,D1,1,14,A,0,M'gladbach_Stuttgart_2003
