,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
0,1,Hamburg,12,3,0,1,2,0,0,3,18,H,8,2011-08-05,Dortmund,D1,3,5,7,16,H,7,Dortmund_Hamburg_2011
1,2,Freiburg,17,2,0,2,0,0,0,4,25,D,9,2011-08-06,Augsburg,D1,4,7,5,11,D,4,Augsburg_Freiburg_2011
2,0,Wolfsburg,15,0,0,3,0,1,1,5,22,A,17,2011-08-06,FC Koln,D1,8,1,7,7,A,5,FC Koln_Wolfsburg_2011
3,2,Hoffenheim,14,2,0,1,2,0,1,2,20,H,12,2011-08-06,Hannover,D1,5,4,4,7,H,5,Hannover_Hoffenheim_2011
4,2,Nurnberg,25,0,0,1,0,0,0,3,27,A,13,2011-08-06,Hertha,D1,7,0,2,4,D,3,Hertha_Nurnberg_2011
5,1,Schalke 04,13,3,0,0,1,0,0,1,19,H,15,2011-08-06,Stuttgart,D1,9,6,2,12,H,6,Stuttgart_Schalke 04_2011
6,1,Kaiserslautern,14,2,0,0,0,0,0,2,27,H,9,2011-08-06,Werder Bremen,D1,3,5,6,19,D,5,Werder Bremen_Kaiserslautern_2011
7,0,M'gladbach,11,0,0,1,0,0,0,1,11,A,7,2011-08-07,Bayern Munich,D1,3,7,12,19,D,2,Bayern Munich_M'gladbach_2011
8,3,Leverkusen,20,2,0,0,1,0,0,1,19,H,9,2011-08-07,Mainz,D1,2,8,7,22,H,3,Mainz_Leverkusen_2011
9,0,Mainz,11,1,0,2,0,0,0,2,18,A,9,2011-08-13,Freiburg,D1,4,7,4,18,D,6,Freiburg_Mainz_2011
10,3,Hertha,13,2,0,2,1,0,1,3,10,D,24,2011-08-13,Hamburg,D1,6,4,5,9,D,6,Hamburg_Hertha_2011
11,4,Dortmund,13,1,0,0,1,0,0,1,11,H,15,2011-08-13,Hoffenheim,D1,4,3,5,13,H,6,Hoffenheim_Dortmund_2011
12,2,Stuttgart,9,1,0,1,0,1,0,2,9,D,15,2011-08-13,M'gladbach,D1,7,3,2,10,D,5,M'gladbach_Stuttgart_2011
13,2,Hannover,16,1,0,2,0,0,2,3,19,A,4,2011-08-13,Nurnberg,D1,3,5,8,13,A,6,Nurnberg_Hannover_2011
14,0,FC Koln,17,5,0,1,1,0,1,3,16,H,6,2011-08-13,Schalke 04,D1,2,5,7,18,D,2,Schalke 04_FC Koln_2011
15,0,Bayern Munich,14,0,0,1,0,0,0,3,15,A,11,2011-08-13,Wolfsburg,D1,3,1,9,7,D,8,Wolfsburg_Bayern Munich_2011
16,4,Augsburg,21,1,0,1,0,0,1,1,11,D,13,2011-08-14,Kaiserslautern,D1,4,7,8,17,A,1,Kaiserslautern_Augsburg_2011
17,1,Werder Bremen,18,1,0,0,0,0,0,2,18,H,9,2011-08-14,Leverkusen,D1,1,6,7,16,D,1,Leverkusen_Werder Bremen_2011
18,1,Wolfsburg,13,4,0,1,3,0,1,2,18,H,7,2011-08-19,M'gladbach,D1,3,9,8,21,H,6,M'gladbach_Wolfsburg_2011
19,1,Hoffenheim,18,0,0,2,0,0,1,1,18,A,17,2011-08-20,Augsburg,D1,5,4,4,12,A,2,Augsburg_Hoffenheim_2011
20,2,Hamburg,12,5,0,0,3,0,0,4,16,H,4,2011-08-20,Bayern Munich,D1,1,13,5,24,H,3,Bayern Munich_Hamburg_2011
21,0,Nurnberg,13,2,0,0,0,0,0,2,13,H,10,2011-08-20,Dortmund,D1,3,5,5,12,D,5,Dortmund_Nurnberg_2011
22,3,Kaiserslautern,16,1,0,1,1,0,1,4,22,D,8,2011-08-20,FC Koln,D1,3,5,7,10,D,5,FC Koln_Kaiserslautern_2011
23,1,Leverkusen,18,0,0,1,0,1,1,0,16,A,11,2011-08-20,Stuttgart,D1,3,0,5,11,A,4,Stuttgart_Leverkusen_2011
24,1,Freiburg,17,5,0,3,2,0,1,4,29,H,11,2011-08-20,Werder Bremen,D1,7,8,12,26,H,1,Werder Bremen_Freiburg_2011
25,1,Hertha,20,1,0,1,1,0,0,6,20,D,10,2011-08-21,Hannover,D1,4,6,3,14,H,6,Hannover_Hertha_2011
26,0,Schalke 04,15,2,0,4,2,0,0,2,15,A,12,2011-08-21,Mainz,D1,6,5,6,15,H,5,Mainz_Schalke 04_2011
27,0,Stuttgart,10,1,0,0,0,0,0,1,13,H,22,2011-08-26,Hertha,D1,5,5,4,16,D,3,Hertha_Stuttgart_2011
28,0,Wolfsburg,12,3,0,0,2,0,0,2,21,H,14,2011-08-27,Freiburg,D1,4,4,4,15,H,6,Freiburg_Wolfsburg_2011
29,1,FC Koln,18,3,0,4,1,0,1,3,21,A,7,2011-08-27,Hamburg,D1,5,6,5,15,D,4,Hamburg_FC Koln_2011
30,0,Werder Bremen,16,1,0,2,1,0,1,1,12,A,9,2011-08-27,Hoffenheim,D1,4,4,3,15,D,6,Hoffenheim_Werder Bremen_2011
31,3,Bayern Munich,14,0,0,3,0,1,1,1,17,A,17,2011-08-27,Kaiserslautern,D1,12,1,1,4,A,2,Kaiserslautern_Bayern Munich_2011
32,2,Dortmund,11,0,1,0,0,1,0,1,13,D,13,2011-08-27,Leverkusen,D1,4,6,5,16,D,3,Leverkusen_Dortmund_2011
33,4,Augsburg,12,1,0,0,0,0,0,2,17,H,12,2011-08-27,Nurnberg,D1,2,6,4,15,D,3,Nurnberg_Augsburg_2011
34,2,Mainz,15,1,0,1,1,0,1,0,24,D,9,2011-08-28,Hannover,D1,2,8,8,19,D,9,Hannover_Mainz_2011
35,2,M'gladbach,11,1,0,0,0,0,0,3,13,H,12,2011-08-28,Schalke 04,D1,5,9,8,22,D,6,Schalke 04_M'gladbach_2011
36,1,Leverkusen,14,1,0,4,1,0,2,3,9,A,17,2011-09-09,Augsburg,D1,9,4,4,17,A,2,Augsburg_Leverkusen_2011
37,0,Freiburg,8,7,0,0,3,0,0,0,8,H,3,2011-09-10,Bayern Munich,D1,1,12,12,25,H,0,Bayern Munich_Freiburg_2011
38,1,Hertha,13,1,0,2,0,0,0,3,7,A,11,2011-09-10,Dortmund,D1,6,6,4,25,D,1,Dortmund_Hertha_2011
39,0,Hoffenheim,18,0,0,4,0,0,2,0,24,A,9,2011-09-10,Mainz,D1,5,2,7,13,A,4,Mainz_Hoffenheim_2011
40,2,Kaiserslautern,21,1,0,0,0,0,0,4,19,H,5,2011-09-10,M'gladbach,D1,2,4,4,19,D,3,M'gladbach_Kaiserslautern_2011
41,0,Hannover,8,3,0,0,1,0,0,1,13,H,9,2011-09-10,Stuttgart,D1,5,7,9,17,H,4,Stuttgart_Hannover_2011
42,3,Hamburg,13,2,0,0,0,0,0,5,15,H,8,2011-09-10,Werder Bremen,D1,3,5,11,22,D,6,Werder Bremen_Hamburg_2011
43,3,Nurnberg,24,1,1,2,1,1,2,1,18,A,13,2011-09-11,FC Koln,D1,5,2,2,10,A,5,FC Koln_Nurnberg_2011
44,1,Schalke 04,17,2,0,1,1,0,1,3,19,H,6,2011-09-11,Wolfsburg,D1,2,6,9,12,D,3,Wolfsburg_Schalke 04_2011
45,3,Stuttgart,20,1,0,2,0,0,1,4,21,A,12,2011-09-16,Freiburg,D1,5,3,6,18,A,5,Freiburg_Stuttgart_2011
46,2,M'gladbach,22,0,0,1,0,0,0,3,15,A,12,2011-09-17,Hamburg,D1,4,2,2,5,D,8,Hamburg_M'gladbach_2011
47,2,Augsburg,13,2,1,2,0,0,1,4,20,D,7,2011-09-17,Hertha,D1,3,5,3,17,A,2,Hertha_Augsburg_2011
48,3,Wolfsburg,15,3,1,1,2,0,0,1,15,H,10,2011-09-17,Hoffenheim,D1,6,8,4,14,H,6,Hoffenheim_Wolfsburg_2011
49,0,Mainz,13,3,0,1,1,0,1,2,20,H,11,2011-09-17,Kaiserslautern,D1,1,7,6,15,D,3,Kaiserslautern_Mainz_2011
50,1,FC Koln,15,1,0,4,0,1,1,4,13,A,8,2011-09-17,Leverkusen,D1,4,7,5,15,A,0,Leverkusen_FC Koln_2011
51,1,Werder Bremen,17,1,1,1,0,0,1,1,11,D,2,2011-09-17,Nurnberg,D1,1,4,13,21,A,0,Nurnberg_Werder Bremen_2011
52,1,Dortmund,13,2,0,1,0,1,0,0,8,H,13,2011-09-18,Hannover,D1,7,5,7,14,D,3,Hannover_Dortmund_2011
53,1,Bayern Munich,16,0,0,2,0,0,1,1,18,A,19,2011-09-18,Schalke 04,D1,6,1,2,7,A,5,Schalke 04_Bayern Munich_2011
54,1,Hamburg,20,1,0,2,1,0,0,1,16,A,16,2011-09-23,Stuttgart,D1,8,5,3,17,H,7,Stuttgart_Hamburg_2011
55,1,Hannover,21,0,0,0,0,0,0,2,17,D,11,2011-09-24,Augsburg,D1,4,3,2,13,D,2,Augsburg_Hannover_2011
56,1,Leverkusen,10,3,0,0,2,0,0,4,13,H,4,2011-09-24,Bayern Munich,D1,3,4,4,12,H,1,Bayern Munich_Leverkusen_2011
57,1,Dortmund,12,1,0,2,1,0,0,0,9,A,20,2011-09-24,Mainz,D1,9,3,3,9,H,10,Mainz_Dortmund_2011
58,1,Nurnberg,13,1,0,0,0,0,0,1,18,H,7,2011-09-24,M'gladbach,D1,1,9,9,21,D,4,M'gladbach_Nurnberg_2011
59,1,Freiburg,19,4,0,2,1,0,1,1,17,H,14,2011-09-24,Schalke 04,D1,10,7,7,16,D,1,Schalke 04_Freiburg_2011
60,1,Kaiserslautern,13,1,0,0,0,1,0,2,19,H,11,2011-09-24,Wolfsburg,D1,2,3,4,6,D,5,Wolfsburg_Kaiserslautern_2011
61,1,Hoffenheim,12,2,0,0,1,0,0,2,18,H,16,2011-09-25,FC Koln,D1,2,4,4,9,H,6,FC Koln_Hoffenheim_2011
