,Time,HY,AwayTeam,HF,AR,FTHG,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
0,19:30:00,3,Hertha,6,0,2,2,1,0,2,3,17,D,6,2019-08-16,Bayern Munich,D1,3,7,12,17,A,0,Bayern Munich_Hertha_2019
1,14:30:00,0,Augsburg,8,0,5,1,1,0,1,0,6,H,5,2019-08-17,Dortmund,D1,1,10,10,23,D,0,Dortmund_Augsburg_2019
2,14:30:00,1,Mainz,6,0,3,0,0,0,0,3,15,H,19,2019-08-17,Freiburg,D1,5,8,5,19,D,5,Freiburg_Mainz_2019
3,14:30:00,2,Paderborn,8,0,3,2,2,0,2,0,9,H,11,2019-08-17,Leverkusen,D1,6,4,6,13,D,6,Leverkusen_Paderborn_2019
4,14:30:00,0,Fortuna Dusseldorf,8,0,1,3,0,0,1,2,13,A,12,2019-08-17,Werder Bremen,D1,7,10,14,23,A,5,Werder Bremen_Fortuna Dusseldorf_2019
5,14:30:00,1,FC Koln,14,0,2,1,1,0,0,3,18,H,11,2019-08-17,Wolfsburg,D1,2,5,2,14,H,6,Wolfsburg_FC Koln_2019
6,17:30:00,3,Schalke 04,8,0,0,0,0,0,0,2,10,D,8,2019-08-17,M'gladbach,D1,1,4,8,16,D,3,M'gladbach_Schalke 04_2019
7,14:30:00,3,Hoffenheim,16,0,1,0,1,0,0,1,9,H,10,2019-08-18,Ein Frankfurt,D1,1,8,10,17,H,5,Ein Frankfurt_Hoffenheim_2019
8,17:00:00,1,RB Leipzig,14,0,0,4,0,0,3,0,5,A,14,2019-08-18,Union Berlin,D1,8,2,3,13,A,6,Union Berlin_RB Leipzig_2019
9,19:30:00,2,Dortmund,11,0,1,3,1,0,0,1,10,A,14,2019-08-23,FC Koln,D1,6,1,7,13,H,8,FC Koln_Dortmund_2019
10,14:30:00,3,Union Berlin,16,1,1,1,0,0,0,1,19,D,13,2019-08-24,Augsburg,D1,1,4,3,12,D,4,Augsburg_Union Berlin_2019
11,14:30:00,3,Leverkusen,14,0,1,3,0,0,3,2,10,A,11,2019-08-24,Fortuna Dusseldorf,D1,7,6,1,11,A,5,Fortuna Dusseldorf_Leverkusen_2019
12,14:30:00,2,Werder Bremen,13,1,3,2,0,0,1,5,15,H,18,2019-08-24,Hoffenheim,D1,6,3,3,10,A,6,Hoffenheim_Werder Bremen_2019
