year,team,type_rating,value_rating
2007,Kaiserslautern,static_ft_total_g>35,288.0
2008,Kaiserslautern,static_ft_total_g>35,217.5
2009,Kaiserslautern,static_ft_total_g>35,188.0
2010,Kaiserslautern,static_ft_total_g>35,167.3
2011,Kaiserslautern,static_ft_total_g>35,231.9
2012,Kaiserslautern,static_ft_total_g>35,220.1
2013,Kaiserslautern,static_ft_total_g>35,205.4
2014,Kaiserslautern,static_ft_total_g>35,225.9
2015,Kaiserslautern,static_ft_total_g>35,178.8
2016,Kaiserslautern,static_ft_total_g>35,175.9
2017,Kaiserslautern,static_ft_total_g>35,184.6
2018,Kaiserslautern,static_ft_total_g>35,167.2
2019,Kaiserslautern,static_ft_total_g>35,196.7
2020,Kaiserslautern,static_ft_total_g>35,238.0
2007,Schalke 04,static_ft_total_g>35,214.3
2008,Schalke 04,static_ft_total_g>35,214.3
2009,Schalke 04,static_ft_total_g>35,196.6
2010,Schalke 04,static_ft_total_g>35,202.3
2011,Schalke 04,static_ft_total_g>35,214.2
2012,Schalke 04,static_ft_total_g>35,317.1
2013,Schalke 04,static_ft_total_g>35,361.3
2014,Schalke 04,static_ft_total_g>35,396.5
2015,Schalke 04,static_ft_total_g>35,340.7
2016,Schalke 04,static_ft_total_g>35,320.1
2017,Schalke 04,static_ft_total_g>35,267.0
2018,Schalke 04,static_ft_total_g>35,243.6
2019,Schalke 04,static_ft_total_g>35,249.4
2020,Schalke 04,static_ft_total_g>35,264.3
2007,Leverkusen,static_ft_total_g>35,393.5
2008,Leverkusen,static_ft_total_g>35,331.7
2009,Leverkusen,static_ft_total_g>35,320.0
2010,Leverkusen,static_ft_total_g>35,364.3
2011,Leverkusen,static_ft_total_g>35,399.7
2012,Leverkusen,static_ft_total_g>35,405.6
2013,Leverkusen,static_ft_total_g>35,411.3
2014,Leverkusen,static_ft_total_g>35,373.0
2015,Leverkusen,static_ft_total_g>35,370.1
2016,Leverkusen,static_ft_total_g>35,314.3
2017,Leverkusen,static_ft_total_g>35,320.0
2018,Leverkusen,static_ft_total_g>35,355.2
2019,Leverkusen,static_ft_total_g>35,417.2
2020,Leverkusen,static_ft_total_g>35,420.2
2007,Cottbus,static_ft_total_g>35,208.5
2008,Cottbus,static_ft_total_g>35,220.3
2009,Cottbus,static_ft_total_g>35,235.0
2010,Cottbus,static_ft_total_g>35,217.3
2011,Cottbus,static_ft_total_g>35,205.3
2012,Cottbus,static_ft_total_g>35,179.0
2013,Cottbus,static_ft_total_g>35,173.1
2014,Cottbus,static_ft_total_g>35,208.3
2015,Cottbus,static_ft_total_g>35,175.9
2016,Cottbus,static_ft_total_g>35,175.9
2017,Cottbus,static_ft_total_g>35,184.6
2018,Cottbus,static_ft_total_g>35,167.2
2019,Cottbus,static_ft_total_g>35,196.7
2020,Cottbus,static_ft_total_g>35,238.0
2007,Fortuna Dusseldorf,static_ft_total_g>35,149.7
2008,Fortuna Dusseldorf,static_ft_total_g>35,141.0
2009,Fortuna Dusseldorf,static_ft_total_g>35,155.6
2010,Fortuna Dusseldorf,static_ft_total_g>35,167.3
2011,Fortuna Dusseldorf,static_ft_total_g>35,184.7
2012,Fortuna Dusseldorf,static_ft_total_g>35,173.1
2013,Fortuna Dusseldorf,static_ft_total_g>35,231.9
2014,Fortuna Dusseldorf,static_ft_total_g>35,252.4
2015,Fortuna Dusseldorf,static_ft_total_g>35,205.3
2016,Fortuna Dusseldorf,static_ft_total_g>35,190.6
2017,Fortuna Dusseldorf,static_ft_total_g>35,184.6
2018,Fortuna Dusseldorf,static_ft_total_g>35,167.2
2019,Fortuna Dusseldorf,static_ft_total_g>35,243.5
2020,Fortuna Dusseldorf,static_ft_total_g>35,296.3
2007,Hannover,static_ft_total_g>35,281.9
2008,Hannover,static_ft_total_g>35,311.3
2009,Hannover,static_ft_total_g>35,376.1
2010,Hannover,static_ft_total_g>35,375.9
2011,Hannover,static_ft_total_g>35,361.2
2012,Hannover,static_ft_total_g>35,293.4
2013,Hannover,static_ft_total_g>35,384.5
2014,Hannover,static_ft_total_g>35,381.5
2015,Hannover,static_ft_total_g>35,366.9
2016,Hannover,static_ft_total_g>35,363.9
2017,Hannover,static_ft_total_g>35,287.4
2018,Hannover,static_ft_total_g>35,293.4
2019,Hannover,static_ft_total_g>35,337.5
2020,Hannover,static_ft_total_g>35,326.0
2007,Hertha,static_ft_total_g>35,346.6
2008,Hertha,static_ft_total_g>35,302.6
2009,Hertha,static_ft_total_g>35,270.3
2010,Hertha,static_ft_total_g>35,273.3
2011,Hertha,static_ft_total_g>35,240.7
2012,Hertha,static_ft_total_g>35,296.6
2013,Hertha,static_ft_total_g>35,255.4
2014,Hertha,static_ft_total_g>35,255.3
2015,Hertha,static_ft_total_g>35,270.2
2016,Hertha,static_ft_total_g>35,240.6
2017,Hertha,static_ft_total_g>35,228.7
2018,Hertha,static_ft_total_g>35,225.9
2019,Hertha,static_ft_total_g>35,308.4
2020,Hertha,static_ft_total_g>35,376.2
2007,Mainz,static_ft_total_g>35,281.7
2008,Mainz,static_ft_total_g>35,229.0
2009,Mainz,static_ft_total_g>35,199.6
2010,Mainz,static_ft_total_g>35,179.0
2011,Mainz,static_ft_total_g>35,196.7
2012,Mainz,static_ft_total_g>35,287.7
2013,Mainz,static_ft_total_g>35,281.9
2014,Mainz,static_ft_total_g>35,340.6
2015,Mainz,static_ft_total_g>35,340.6
2016,Mainz,static_ft_total_g>35,320.2
2017,Mainz,static_ft_total_g>35,323.1
2018,Mainz,static_ft_total_g>35,305.6
2019,Mainz,static_ft_total_g>35,323.0
2020,Mainz,static_ft_total_g>35,373.1
2007,Hoffenheim,static_ft_total_g>35,149.7
2008,Hoffenheim,static_ft_total_g>35,141.0
2009,Hoffenheim,static_ft_total_g>35,261.6
2010,Hoffenheim,static_ft_total_g>35,258.4
2011,Hoffenheim,static_ft_total_g>35,317.2
2012,Hoffenheim,static_ft_total_g>35,305.3
2013,Hoffenheim,static_ft_total_g>35,328.9
2014,Hoffenheim,static_ft_total_g>35,464.4
2015,Hoffenheim,static_ft_total_g>35,437.7
2016,Hoffenheim,static_ft_total_g>35,414.0
2017,Hoffenheim,static_ft_total_g>35,358.3
2018,Hoffenheim,static_ft_total_g>35,358.2
2019,Hoffenheim,static_ft_total_g>35,428.9
2020,Hoffenheim,static_ft_total_g>35,411.1
2007,Braunschweig,static_ft_total_g>35,149.7
2008,Braunschweig,static_ft_total_g>35,141.0
2009,Braunschweig,static_ft_total_g>35,155.6
2010,Braunschweig,static_ft_total_g>35,167.3
2011,Braunschweig,static_ft_total_g>35,184.7
2012,Braunschweig,static_ft_total_g>35,173.1
2013,Braunschweig,static_ft_total_g>35,173.1
2014,Braunschweig,static_ft_total_g>35,220.3
2015,Braunschweig,static_ft_total_g>35,184.9
2016,Braunschweig,static_ft_total_g>35,181.9
2017,Braunschweig,static_ft_total_g>35,187.6
2018,Braunschweig,static_ft_total_g>35,167.2
2019,Braunschweig,static_ft_total_g>35,196.7
2020,Braunschweig,static_ft_total_g>35,238.0
2007,Ingolstadt,static_ft_total_g>35,149.7
2008,Ingolstadt,static_ft_total_g>35,141.0
2009,Ingolstadt,static_ft_total_g>35,155.6
2010,Ingolstadt,static_ft_total_g>35,167.3
2011,Ingolstadt,static_ft_total_g>35,184.7
2012,Ingolstadt,static_ft_total_g>35,173.1
2013,Ingolstadt,static_ft_total_g>35,173.1
2014,Ingolstadt,static_ft_total_g>35,208.3
2015,Ingolstadt,static_ft_total_g>35,175.9
2016,Ingolstadt,static_ft_total_g>35,175.9
2017,Ingolstadt,static_ft_total_g>35,196.6
2018,Ingolstadt,static_ft_total_g>35,176.2
2019,Ingolstadt,static_ft_total_g>35,202.7
2020,Ingolstadt,static_ft_total_g>35,241.0
2007,Darmstadt,static_ft_total_g>35,149.7
2008,Darmstadt,static_ft_total_g>35,141.0
2009,Darmstadt,static_ft_total_g>35,155.6
2010,Darmstadt,static_ft_total_g>35,167.3
2011,Darmstadt,static_ft_total_g>35,184.7
2012,Darmstadt,static_ft_total_g>35,173.1
2013,Darmstadt,static_ft_total_g>35,173.1
2014,Darmstadt,static_ft_total_g>35,208.3
2015,Darmstadt,static_ft_total_g>35,175.9
2016,Darmstadt,static_ft_total_g>35,234.7
2017,Darmstadt,static_ft_total_g>35,252.3
2018,Darmstadt,static_ft_total_g>35,214.3
2019,Darmstadt,static_ft_total_g>35,223.2
2020,Darmstadt,static_ft_total_g>35,243.9
2007,Karlsruhe,static_ft_total_g>35,149.7
2008,Karlsruhe,static_ft_total_g>35,223.0
2009,Karlsruhe,static_ft_total_g>35,275.9
2010,Karlsruhe,static_ft_total_g>35,252.4
2011,Karlsruhe,static_ft_total_g>35,234.6
2012,Karlsruhe,static_ft_total_g>35,187.8
2013,Karlsruhe,static_ft_total_g>35,173.1
2014,Karlsruhe,static_ft_total_g>35,208.3
2015,Karlsruhe,static_ft_total_g>35,175.9
2016,Karlsruhe,static_ft_total_g>35,175.9
2017,Karlsruhe,static_ft_total_g>35,184.6
2018,Karlsruhe,static_ft_total_g>35,167.2
2019,Karlsruhe,static_ft_total_g>35,196.7
2020,Karlsruhe,static_ft_total_g>35,238.0
2007,Wolfsburg,static_ft_total_g>35,308.5
2008,Wolfsburg,static_ft_total_g>35,346.8
2009,Wolfsburg,static_ft_total_g>35,393.9
2010,Wolfsburg,static_ft_total_g>35,473.1
2011,Wolfsburg,static_ft_total_g>35,405.3
2012,Wolfsburg,static_ft_total_g>35,422.9
2013,Wolfsburg,static_ft_total_g>35,390.4
2014,Wolfsburg,static_ft_total_g>35,378.8
2015,Wolfsburg,static_ft_total_g>35,384.8
2016,Wolfsburg,static_ft_total_g>35,331.8
2017,Wolfsburg,static_ft_total_g>35,275.8
2018,Wolfsburg,static_ft_total_g>35,258.1
2019,Wolfsburg,static_ft_total_g>35,299.4
2020,Wolfsburg,static_ft_total_g>35,305.5
2007,FC Koln,static_ft_total_g>35,258.6
2008,FC Koln,static_ft_total_g>35,211.6
2009,FC Koln,static_ft_total_g>35,190.9
2010,FC Koln,static_ft_total_g>35,202.5
2011,FC Koln,static_ft_total_g>35,293.5
2012,FC Koln,static_ft_total_g>35,346.5
2013,FC Koln,static_ft_total_g>35,293.6
2014,FC Koln,static_ft_total_g>35,275.9
2015,FC Koln,static_ft_total_g>35,234.6
2016,FC Koln,static_ft_total_g>35,237.5
2017,FC Koln,static_ft_total_g>35,252.2
2018,FC Koln,static_ft_total_g>35,305.3
2019,FC Koln,static_ft_total_g>35,287.8
2020,FC Koln,static_ft_total_g>35,373.3
2007,Augsburg,static_ft_total_g>35,149.7
2008,Augsburg,static_ft_total_g>35,141.0
2009,Augsburg,static_ft_total_g>35,155.6
2010,Augsburg,static_ft_total_g>35,167.3
2011,Augsburg,static_ft_total_g>35,184.7
2012,Augsburg,static_ft_total_g>35,231.9
2013,Augsburg,static_ft_total_g>35,240.8
2014,Augsburg,static_ft_total_g>35,267.4
2015,Augsburg,static_ft_total_g>35,282.2
2016,Augsburg,static_ft_total_g>35,311.3
2017,Augsburg,static_ft_total_g>35,299.4
2018,Augsburg,static_ft_total_g>35,284.6
2019,Augsburg,static_ft_total_g>35,367.2
2020,Augsburg,static_ft_total_g>35,370.0
2007,Duisburg,static_ft_total_g>35,202.8
2008,Duisburg,static_ft_total_g>35,223.2
2009,Duisburg,static_ft_total_g>35,208.4
2010,Duisburg,static_ft_total_g>35,190.7
2011,Duisburg,static_ft_total_g>35,196.4
2012,Duisburg,static_ft_total_g>35,173.1
2013,Duisburg,static_ft_total_g>35,173.1
2014,Duisburg,static_ft_total_g>35,208.3
2015,Duisburg,static_ft_total_g>35,175.9
2016,Duisburg,static_ft_total_g>35,175.9
2017,Duisburg,static_ft_total_g>35,184.6
2018,Duisburg,static_ft_total_g>35,167.2
2019,Duisburg,static_ft_total_g>35,196.7
2020,Duisburg,static_ft_total_g>35,238.0
2007,Stuttgart,static_ft_total_g>35,284.8
2008,Stuttgart,static_ft_total_g>35,387.8
2009,Stuttgart,static_ft_total_g>35,405.5
2010,Stuttgart,static_ft_total_g>35,376.2
2011,Stuttgart,static_ft_total_g>35,370.3
2012,Stuttgart,static_ft_total_g>35,376.0
2013,Stuttgart,static_ft_total_g>35,334.7
2014,Stuttgart,static_ft_total_g>35,352.4
2015,Stuttgart,static_ft_total_g>35,372.9
2016,Stuttgart,static_ft_total_g>35,472.9
2017,Stuttgart,static_ft_total_g>35,387.5
2018,Stuttgart,static_ft_total_g>35,284.8
2019,Stuttgart,static_ft_total_g>35,299.6
2020,Stuttgart,static_ft_total_g>35,282.1
2007,Bayern Munich,static_ft_total_g>35,320.3
2008,Bayern Munich,static_ft_total_g>35,293.9
2009,Bayern Munich,static_ft_total_g>35,341.0
2010,Bayern Munich,static_ft_total_g>35,320.2
2011,Bayern Munich,static_ft_total_g>35,373.2
2012,Bayern Munich,static_ft_total_g>35,346.8
2013,Bayern Munich,static_ft_total_g>35,332.0
2014,Bayern Munich,static_ft_total_g>35,376.2
2015,Bayern Munich,static_ft_total_g>35,367.1
2016,Bayern Munich,static_ft_total_g>35,366.9
2017,Bayern Munich,static_ft_total_g>35,372.9
