year,team,type_rating,value_rating
2003,Aachen,static_ft_total,0
2003,Aachen,static_ft_home,0
2003,Aachen,static_ft_away,0
2003,Aachen,static_ft_total_g>15,0
2003,Aachen,static_ft_total_g>25,0
2003,Aachen,static_ft_total_g>35,0
2003,Aachen,static_ft_total_g>15,0
2003,Aachen,static_ft_total_g>25,0
2003,Aachen,static_ft_total_g>35,0
2003,Aachen,static_ft_home_g>15,0
2003,Aachen,static_ft_home_g>25,0
2003,Aachen,static_ft_home_g>35,0
2003,Aachen,static_ft_away_g>15,0
2003,Aachen,static_ft_away_g>25,0
2003,Aachen,static_ft_away_g>35,0
2003,Aachen,static_ft_total_g<15,0
2003,Aachen,static_ft_total_g<25,0
2003,Aachen,static_ft_total_g<35,0
2003,Aachen,static_ft_total_g<15,0
2003,Aachen,static_ft_total_g<25,0
2003,Aachen,static_ft_total_g<35,0
2003,Aachen,static_ft_home_g<15,0
2003,Aachen,static_ft_home_g<25,0
2003,Aachen,static_ft_home_g<35,0
2003,Aachen,static_ft_away_g<15,0
2003,Aachen,static_ft_away_g<25,0
2003,Aachen,static_ft_away_g<35,0
2003,Aachen,static_ht_total,0
2003,Aachen,static_ht_home,0
2003,Aachen,static_ht_away,0
2003,Aachen,static_ht_total_g>15,0
2003,Aachen,static_ht_total_g>25,0
2003,Aachen,static_ht_total_g>35,0
2003,Aachen,static_ht_total_g>15,0
2003,Aachen,static_ht_total_g>25,0
2003,Aachen,static_ht_total_g>35,0
2003,Aachen,static_ht_home_g>15,0
2003,Aachen,static_ht_home_g>25,0
2003,Aachen,static_ht_home_g>35,0
2003,Aachen,static_ht_away_g>15,0
2003,Aachen,static_ht_away_g>25,0
2003,Aachen,static_ht_away_g>35,0
2003,Aachen,static_ht_total_g<15,0
2003,Aachen,static_ht_total_g<25,0
2003,Aachen,static_ht_total_g<35,0
2003,Aachen,static_ht_total_g<15,0
2003,Aachen,static_ht_total_g<25,0
2003,Aachen,static_ht_total_g<35,0
2003,Aachen,static_ht_home_g<15,0
2003,Aachen,static_ht_home_g<25,0
2003,Aachen,static_ht_home_g<35,0
2003,Aachen,static_ht_away_g<15,0
2003,Aachen,static_ht_away_g<25,0
2003,Aachen,static_ht_away_g<35,0
2003,Augsburg,static_ft_total,0
2003,Augsburg,static_ft_home,0
2003,Augsburg,static_ft_away,0
2003,Augsburg,static_ft_total_g>15,0
2003,Augsburg,static_ft_total_g>25,0
2003,Augsburg,static_ft_total_g>35,0
2003,Augsburg,static_ft_total_g>15,0
2003,Augsburg,static_ft_total_g>25,0
2003,Augsburg,static_ft_total_g>35,0
2003,Augsburg,static_ft_home_g>15,0
2003,Augsburg,static_ft_home_g>25,0
2003,Augsburg,static_ft_home_g>35,0
2003,Augsburg,static_ft_away_g>15,0
2003,Augsburg,static_ft_away_g>25,0
2003,Augsburg,static_ft_away_g>35,0
2003,Augsburg,static_ft_total_g<15,0
2003,Augsburg,static_ft_total_g<25,0
2003,Augsburg,static_ft_total_g<35,0
2003,Augsburg,static_ft_total_g<15,0
2003,Augsburg,static_ft_total_g<25,0
2003,Augsburg,static_ft_total_g<35,0
2003,Augsburg,static_ft_home_g<15,0
2003,Augsburg,static_ft_home_g<25,0
2003,Augsburg,static_ft_home_g<35,0
2003,Augsburg,static_ft_away_g<15,0
2003,Augsburg,static_ft_away_g<25,0
2003,Augsburg,static_ft_away_g<35,0
2003,Augsburg,static_ht_total,0
2003,Augsburg,static_ht_home,0
2003,Augsburg,static_ht_away,0
2003,Augsburg,static_ht_total_g>15,0
2003,Augsburg,static_ht_total_g>25,0
2003,Augsburg,static_ht_total_g>35,0
2003,Augsburg,static_ht_total_g>15,0
2003,Augsburg,static_ht_total_g>25,0
2003,Augsburg,static_ht_total_g>35,0
2003,Augsburg,static_ht_home_g>15,0
2003,Augsburg,static_ht_home_g>25,0
2003,Augsburg,static_ht_home_g>35,0
2003,Augsburg,static_ht_away_g>15,0
2003,Augsburg,static_ht_away_g>25,0
2003,Augsburg,static_ht_away_g>35,0
2003,Augsburg,static_ht_total_g<15,0
2003,Augsburg,static_ht_total_g<25,0
2003,Augsburg,static_ht_total_g<35,0
2003,Augsburg,static_ht_total_g<15,0
2003,Augsburg,static_ht_total_g<25,0
2003,Augsburg,static_ht_total_g<35,0
2003,Augsburg,static_ht_home_g<15,0
2003,Augsburg,static_ht_home_g<25,0
2003,Augsburg,static_ht_home_g<35,0
2003,Augsburg,static_ht_away_g<15,0
2003,Augsburg,static_ht_away_g<25,0
2003,Augsburg,static_ht_away_g<35,0
2003,Bayern Munich,static_ft_total,588
2003,Bayern Munich,static_ft_home,764
2003,Bayern Munich,static_ft_away,411
2003,Bayern Munich,static_ft_total_g>15,823
2003,Bayern Munich,static_ft_total_g>25,529
2003,Bayern Munich,static_ft_total_g>35,441
2003,Bayern Munich,static_ft_total_g>15,823
2003,Bayern Munich,static_ft_total_g>25,529
2003,Bayern Munich,static_ft_total_g>35,441
2003,Bayern Munich,static_ft_home_g>15,823
2003,Bayern Munich,static_ft_home_g>25,647
2003,Bayern Munich,static_ft_home_g>35,588
2003,Bayern Munich,static_ft_away_g>15,823
2003,Bayern Munich,static_ft_away_g>25,411
2003,Bayern Munich,static_ft_away_g>35,294
2003,Bayern Munich,static_ft_total_g<15,176
2003,Bayern Munich,static_ft_total_g<25,470
2003,Bayern Munich,static_ft_total_g<35,558
2003,Bayern Munich,static_ft_total_g<15,176
2003,Bayern Munich,static_ft_total_g<25,470
2003,Bayern Munich,static_ft_total_g<35,558
2003,Bayern Munich,static_ft_home_g<15,176
2003,Bayern Munich,static_ft_home_g<25,352
2003,Bayern Munich,static_ft_home_g<35,411
2003,Bayern Munich,static_ft_away_g<15,176
2003,Bayern Munich,static_ft_away_g<25,588
2003,Bayern Munich,static_ft_away_g<35,705
2003,Bayern Munich,static_ht_total,441
2003,Bayern Munich,static_ht_home,588
2003,Bayern Munich,static_ht_away,294
2003,Bayern Munich,static_ht_total_g>15,441
2003,Bayern Munich,static_ht_total_g>25,147
2003,Bayern Munich,static_ht_total_g>35,29
2003,Bayern Munich,static_ht_total_g>15,441
2003,Bayern Munich,static_ht_total_g>25,147
2003,Bayern Munich,static_ht_total_g>35,29
2003,Bayern Munich,static_ht_home_g>15,588
2003,Bayern Munich,static_ht_home_g>25,176
2003,Bayern Munich,static_ht_home_g>35,0
2003,Bayern Munich,static_ht_away_g>15,294
2003,Bayern Munich,static_ht_away_g>25,117
2003,Bayern Munich,static_ht_away_g>35,58
2003,Bayern Munich,static_ht_total_g<15,558
2003,Bayern Munich,static_ht_total_g<25,852
2003,Bayern Munich,static_ht_total_g<35,970
2003,Bayern Munich,static_ht_total_g<15,558
2003,Bayern Munich,static_ht_total_g<25,852
2003,Bayern Munich,static_ht_total_g<35,970
2003,Bayern Munich,static_ht_home_g<15,411
2003,Bayern Munich,static_ht_home_g<25,823
2003,Bayern Munich,static_ht_home_g<35,1000
2003,Bayern Munich,static_ht_away_g<15,705
2003,Bayern Munich,static_ht_away_g<25,882
2003,Bayern Munich,static_ht_away_g<35,941
2003,Bielefeld,static_ft_total,0
2003,Bielefeld,static_ft_home,0
2003,Bielefeld,static_ft_away,0
2003,Bielefeld,static_ft_total_g>15,0
2003,Bielefeld,static_ft_total_g>25,0
2003,Bielefeld,static_ft_total_g>35,0
2003,Bielefeld,static_ft_total_g>15,0
2003,Bielefeld,static_ft_total_g>25,0
2003,Bielefeld,static_ft_total_g>35,0
2003,Bielefeld,static_ft_home_g>15,0
2003,Bielefeld,static_ft_home_g>25,0
2003,Bielefeld,static_ft_home_g>35,0
2003,Bielefeld,static_ft_away_g>15,0
2003,Bielefeld,static_ft_away_g>25,0
2003,Bielefeld,static_ft_away_g>35,0
2003,Bielefeld,static_ft_total_g<15,0
2003,Bielefeld,static_ft_total_g<25,0
2003,Bielefeld,static_ft_total_g<35,0
2003,Bielefeld,static_ft_total_g<15,0
2003,Bielefeld,static_ft_total_g<25,0
2003,Bielefeld,static_ft_total_g<35,0
2003,Bielefeld,static_ft_home_g<15,0
2003,Bielefeld,static_ft_home_g<25,0
2003,Bielefeld,static_ft_home_g<35,0
2003,Bielefeld,static_ft_away_g<15,0
2003,Bielefeld,static_ft_away_g<25,0
2003,Bielefeld,static_ft_away_g<35,0
2003,Bielefeld,static_ht_total,0
2003,Bielefeld,static_ht_home,0
2003,Bielefeld,static_ht_away,0
2003,Bielefeld,static_ht_total_g>15,0
2003,Bielefeld,static_ht_total_g>25,0
2003,Bielefeld,static_ht_total_g>35,0
2003,Bielefeld,static_ht_total_g>15,0
2003,Bielefeld,static_ht_total_g>25,0
2003,Bielefeld,static_ht_total_g>35,0
2003,Bielefeld,static_ht_home_g>15,0
2003,Bielefeld,static_ht_home_g>25,0
2003,Bielefeld,static_ht_home_g>35,0
2003,Bielefeld,static_ht_away_g>15,0
2003,Bielefeld,static_ht_away_g>25,0
2003,Bielefeld,static_ht_away_g>35,0
