Date,idGame,team,Round_as_Home,Round_as_Away,Round_as_Total,Round_by_Week_Total
2019-08-16,Bayern Munich_Hertha_2019,Bayern Munich,1,1,1,1
2019-08-16,Bayern Munich_Hertha_2019,Hertha,1,1,1,1
2019-08-17,Freiburg_Mainz_2019,Mainz,1,1,1,1
2019-08-17,Wolfsburg_FC Koln_2019,FC Koln,1,1,1,1
2019-08-17,Leverkusen_Paderborn_2019,Leverkusen,1,1,1,1
2019-08-17,M'gladbach_Schalke 04_2019,Schalke 04,1,1,1,1
2019-08-17,Werder Bremen_Fortuna Dusseldorf_2019,Fortuna Dusseldorf,1,1,1,1
2019-08-17,Wolfsburg_FC Koln_2019,Wolfsburg,1,1,1,1
2019-08-17,Freiburg_Mainz_2019,Freiburg,1,1,1,1
2019-08-17,Dortmund_Augsburg_2019,Dortmund,1,1,1,1
2019-08-17,M'gladbach_Schalke 04_2019,M'gladbach,1,1,1,1
2019-08-17,Leverkusen_Paderborn_2019,Paderborn,1,1,1,1
2019-08-17,Dortmund_Augsburg_2019,Augsburg,1,1,1,1
2019-08-17,Werder Bremen_Fortuna Dusseldorf_2019,Werder Bremen,1,1,1,1
2019-08-18,Union Berlin_RB Leipzig_2019,RB Leipzig,1,1,1,1
2019-08-18,Ein Frankfurt_Hoffenheim_2019,Hoffenheim,1,1,1,1
2019-08-18,Union Berlin_RB Leipzig_2019,Union Berlin,1,1,1,1
2019-08-18,Ein Frankfurt_Hoffenheim_2019,Ein Frankfurt,1,1,1,1
2019-08-23,FC Koln_Dortmund_2019,FC Koln,1,1,2,2
2019-08-23,FC Koln_Dortmund_2019,Dortmund,1,1,2,2
2019-08-24,Hoffenheim_Werder Bremen_2019,Hoffenheim,1,1,2,2
2019-08-24,Schalke 04_Bayern Munich_2019,Bayern Munich,1,1,2,2
2019-08-24,Augsburg_Union Berlin_2019,Union Berlin,1,1,2,2
2019-08-24,Paderborn_Freiburg_2019,Paderborn,1,1,2,2
2019-08-24,Augsburg_Union Berlin_2019,Augsburg,1,1,2,2
2019-08-24,Mainz_M'gladbach_2019,M'gladbach,1,1,2,2
2019-08-24,Paderborn_Freiburg_2019,Freiburg,1,1,2,2
2019-08-24,Fortuna Dusseldorf_Leverkusen_2019,Leverkusen,1,1,2,2
2019-08-24,Schalke 04_Bayern Munich_2019,Schalke 04,1,1,2,2
2019-08-24,Mainz_M'gladbach_2019,Mainz,1,1,2,2
2019-08-24,Hoffenheim_Werder Bremen_2019,Werder Bremen,1,1,2,2
2019-08-24,Fortuna Dusseldorf_Leverkusen_2019,Fortuna Dusseldorf,1,1,2,2
2019-08-25,RB Leipzig_Ein Frankfurt_2019,RB Leipzig,1,1,2,2
2019-08-25,Hertha_Wolfsburg_2019,Hertha,1,1,2,2
2019-08-25,RB Leipzig_Ein Frankfurt_2019,Ein Frankfurt,1,1,2,2
2019-08-25,Hertha_Wolfsburg_2019,Wolfsburg,1,1,2,2
2019-08-30,M'gladbach_RB Leipzig_2019,M'gladbach,2,1,3,3
2019-08-30,M'gladbach_RB Leipzig_2019,RB Leipzig,1,2,3,3
2019-08-31,Schalke 04_Hertha_2019,Hertha,1,2,3,3
