year,team,home_away_total,type_rating,points,game_id,date,Round_as_Home,Round_as_Away,Round_as_Total,Round_by_Week_Total,Rating_Initial
2019,Bayern Munich,home,ft_home,1,Bayern Munich_Hertha_2019,2019-08-16,1,1,1,1,793.5
2019,Bayern Munich,home,ft_home_g<15,0,Bayern Munich_Hertha_2019,2019-08-16,1,1,1,1,122.9
2019,Bayern Munich,home,ft_home_g<25,0,Bayern Munich_Hertha_2019,2019-08-16,1,1,1,1,258.6
2019,Bayern Munich,home,ft_home_g<35,0,Bayern Munich_Hertha_2019,2019-08-16,1,1,1,1,411.3
2019,Bayern Munich,home,ft_home_g>15,1,Bayern Munich_Hertha_2019,2019-08-16,1,1,1,1,876.1
2019,Bayern Munich,home,ft_home_g>25,1,Bayern Munich_Hertha_2019,2019-08-16,1,1,1,1,740.4
2019,Bayern Munich,home,ft_home_g>35,1,Bayern Munich_Hertha_2019,2019-08-16,1,1,1,1,587.7
2019,Bayern Munich,total,ft_total,1,Bayern Munich_Hertha_2019,2019-08-16,1,1,1,1,749.5
2019,Bayern Munich,total,ft_total_g<15,0,Bayern Munich_Hertha_2019,2019-08-16,1,1,1,1,152.4
2019,Bayern Munich,total,ft_total_g<15,0,Bayern Munich_Hertha_2019,2019-08-16,1,1,1,1,152.4
2019,Bayern Munich,total,ft_total_g<25,0,Bayern Munich_Hertha_2019,2019-08-16,1,1,1,1,317.2
2019,Bayern Munich,total,ft_total_g<25,0,Bayern Munich_Hertha_2019,2019-08-16,1,1,1,1,317.2
2019,Bayern Munich,total,ft_total_g<35,0,Bayern Munich_Hertha_2019,2019-08-16,1,1,1,1,517.1
2019,Bayern Munich,total,ft_total_g<35,0,Bayern Munich_Hertha_2019,2019-08-16,1,1,1,1,517.1
2019,Bayern Munich,total,ft_total_g>15,1,Bayern Munich_Hertha_2019,2019-08-16,1,1,1,1,846.6
2019,Bayern Munich,total,ft_total_g>15,1,Bayern Munich_Hertha_2019,2019-08-16,1,1,1,1,846.6
2019,Bayern Munich,total,ft_total_g>25,1,Bayern Munich_Hertha_2019,2019-08-16,1,1,1,1,681.8
2019,Bayern Munich,total,ft_total_g>25,1,Bayern Munich_Hertha_2019,2019-08-16,1,1,1,1,681.8
2019,Bayern Munich,total,ft_total_g>35,1,Bayern Munich_Hertha_2019,2019-08-16,1,1,1,1,481.9
2019,Bayern Munich,total,ft_total_g>35,1,Bayern Munich_Hertha_2019,2019-08-16,1,1,1,1,481.9
2019,Bayern Munich,home,ht_home,0,Bayern Munich_Hertha_2019,2019-08-16,1,1,1,1,635.0
2019,Bayern Munich,home,ht_home_g<15,0,Bayern Munich_Hertha_2019,2019-08-16,1,1,1,1,328.9
2019,Bayern Munich,home,ht_home_g<25,0,Bayern Munich_Hertha_2019,2019-08-16,1,1,1,1,717.1
2019,Bayern Munich,home,ht_home_g<35,1,Bayern Munich_Hertha_2019,2019-08-16,1,1,1,1,935.1
2019,Bayern Munich,home,ht_home_g>15,1,Bayern Munich_Hertha_2019,2019-08-16,1,1,1,1,670.1
2019,Bayern Munich,home,ht_home_g>25,1,Bayern Munich_Hertha_2019,2019-08-16,1,1,1,1,281.9
2019,Bayern Munich,home,ht_home_g>35,0,Bayern Munich_Hertha_2019,2019-08-16,1,1,1,1,75.7
2019,Bayern Munich,total,ht_total,0,Bayern Munich_Hertha_2019,2019-08-16,1,1,1,1,570.0
2019,Bayern Munich,total,ht_total_g<15,0,Bayern Munich_Hertha_2019,2019-08-16,1,1,1,1,458.3
2019,Bayern Munich,total,ht_total_g<15,0,Bayern Munich_Hertha_2019,2019-08-16,1,1,1,1,458.3
2019,Bayern Munich,total,ht_total_g<25,0,Bayern Munich_Hertha_2019,2019-08-16,1,1,1,1,805.7
2019,Bayern Munich,total,ht_total_g<25,0,Bayern Munich_Hertha_2019,2019-08-16,1,1,1,1,805.7
2019,Bayern Munich,total,ht_total_g<35,1,Bayern Munich_Hertha_2019,2019-08-16,1,1,1,1,955.7
2019,Bayern Munich,total,ht_total_g<35,1,Bayern Munich_Hertha_2019,2019-08-16,1,1,1,1,955.7
2019,Bayern Munich,total,ht_total_g>15,1,Bayern Munich_Hertha_2019,2019-08-16,1,1,1,1,540.7
2019,Bayern Munich,total,ht_total_g>15,1,Bayern Munich_Hertha_2019,2019-08-16,1,1,1,1,540.7
2019,Bayern Munich,total,ht_total_g>25,1,Bayern Munich_Hertha_2019,2019-08-16,1,1,1,1,193.3
2019,Bayern Munich,total,ht_total_g>25,1,Bayern Munich_Hertha_2019,2019-08-16,1,1,1,1,193.3
2019,Bayern Munich,total,ht_total_g>35,0,Bayern Munich_Hertha_2019,2019-08-16,1,1,1,1,49.3
2019,Bayern Munich,total,ht_total_g>35,0,Bayern Munich_Hertha_2019,2019-08-16,1,1,1,1,49.3
2019,Hertha,away,ft_away,1,Bayern Munich_Hertha_2019,2019-08-16,1,1,1,1,270.4
