,LBD,BbAvAHA,BbMxAHH,WHA,BbAH,IWD,GBH,WHH,BbMxAHA,BbOU,GBA,B365H,BWD,LBH,BbAvAHH,BWH,BWA,B365D,SBD,BbMx<2.5,SBH,SJA,WHD,IWA,BbAHh,Bb1X2,BbAvD,LBA,SBA,BbAv<2.5,BbAv>2.5,GBD,BbMxH,BbAvH,BbMx>2.5,BbMxA,VCH,BbAvA,VCA,IWH,BbMxD,B365A,SJH,SJD,VCD,HomeTeam,AwayTeam,idGame
0,4.0,1.85,2.09,8.0,28,4.4,1.27,1.28,1.9,39,11.0,1.28,5.0,1.29,1.98,1.25,10.0,4.5,4.75,2.12,1.28,10.0,4.5,8.5,-1.5,47,4.82,10.0,11.0,2.01,1.75,5.0,1.33,1.27,1.83,13.25,1.3,10.72,11.0,1.3,5.5,13.0,1.29,4.5,4.5,Arsenal,Aston Villa,Arsenal_Aston Villa_2006
1,3.2,1.83,2.1,2.4,27,3.1,2.7,2.6,1.92,39,2.55,2.62,3.1,2.5,1.96,2.6,2.55,3.2,3.2,1.75,2.7,2.6,3.1,2.6,0.0,47,3.15,2.5,2.5,1.63,2.17,3.25,2.9,2.66,2.3,2.7,2.65,2.53,2.5,2.5,3.32,2.6,2.5,3.2,3.25,Bolton,Tottenham,Bolton_Tottenham_2006
2,3.25,1.93,2.0,5.5,26,3.4,1.65,1.57,1.96,39,5.5,1.66,3.4,1.62,1.94,1.65,5.0,3.4,3.4,1.76,1.62,5.5,3.3,4.3,-0.75,46,3.46,5.0,6.0,1.69,2.07,3.5,1.73,1.63,2.2,6.0,1.6,5.35,5.5,1.7,3.7,5.5,1.57,3.5,3.5,Everton,Watford,Everton_Watford_2006
3,3.2,1.81,2.18,4.33,26,3.4,1.7,1.72,1.93,39,5.0,1.72,3.35,1.67,2.06,1.7,4.7,3.5,3.4,1.75,1.67,5.0,3.2,4.3,-0.75,44,3.39,5.0,5.25,1.66,2.12,3.5,1.87,1.71,2.25,5.25,1.65,4.72,5.0,1.7,3.55,4.75,1.62,3.5,3.5,Newcastle,Wigan,Newcastle_Wigan_2006
4,3.2,2.06,1.86,2.87,27,3.1,2.4,2.2,2.2,39,2.9,2.3,3.1,2.25,1.75,2.45,2.7,3.1,3.2,1.69,2.38,2.88,3.1,2.6,0.0,46,3.2,2.75,2.88,1.64,2.15,3.2,2.51,2.37,2.26,3.2,2.4,2.83,2.75,2.5,3.33,3.1,2.25,3.25,3.25,Portsmouth,Blackburn,Portsmouth_Blackburn_2006
5,3.2,2.08,1.8,2.8,28,3.1,2.5,2.25,2.33,39,2.75,2.5,3.1,2.25,1.7,2.55,2.6,3.1,3.2,1.72,2.5,2.75,3.1,2.6,0.0,45,3.19,2.75,2.7,1.65,2.14,3.2,2.55,2.37,2.25,3.2,2.4,2.82,2.75,2.5,3.3,2.8,2.38,3.2,3.25,Reading,Middlesbrough,Reading_Middlesbrough_2006
6,3.5,1.98,1.97,1.53,26,3.6,6.5,5.5,2.1,38,1.55,6.0,3.5,5.5,1.88,5.9,1.55,3.8,3.4,1.77,6.5,1.57,3.5,1.6,1.0,44,3.63,1.53,1.57,1.69,2.06,3.6,8.15,6.5,2.21,1.71,5.5,1.54,1.55,4.8,4.0,1.53,5.5,3.5,3.75,Sheffield United,Liverpool,Sheffield United_Liverpool_2006
7,3.2,2.11,1.8,3.6,29,3.2,2.05,1.9,2.18,39,3.6,2.0,3.2,1.91,1.77,2.1,3.2,3.2,3.2,1.78,2.05,3.4,3.1,3.3,-0.25,46,3.23,3.5,3.6,1.68,2.1,3.2,2.1,2.0,2.25,4.0,2.0,3.56,3.75,2.0,3.4,3.75,2.0,3.25,3.1,West Ham,Charlton,West Ham_Charlton_2006
8,5.0,1.97,1.92,11.0,25,4.8,1.22,1.2,2.05,37,12.0,1.22,5.5,1.2,1.85,1.2,12.0,5.5,5.5,2.1,1.2,12.0,5.0,9.5,-1.5,46,5.49,11.0,15.0,1.97,1.76,6.0,1.25,1.21,1.84,18.0,1.22,12.6,12.0,1.25,6.25,13.0,1.22,5.0,5.5,Chelsea,Man City,Chelsea_Man City_2006
9,4.0,1.84,2.14,9.5,26,4.4,1.27,1.22,1.9,38,11.0,1.22,4.85,1.3,1.99,1.27,9.5,5.5,5.0,2.15,1.25,10.0,5.0,8.5,-1.5,46,4.98,10.0,12.0,2.0,1.73,5.0,1.3,1.26,1.83,13.95,1.28,11.07,9.0,1.3,5.5,13.0,1.25,5.0,5.0,Man United,Fulham,Man United_Fulham_2006
