,LBD,BbAvAHA,BbMxAHH,WHA,BbAH,IWD,GBH,WHH,BbMxAHA,BbOU,GBA,B365H,BWD,LBH,BbAvAHH,BWH,BWA,BSH,B365D,SBD,BbMx<2.5,SBH,SJA,WHD,IWA,BbAHh,Bb1X2,BbAvD,LBA,SBA,BSD,BSA,BbAv<2.5,BbAv>2.5,GBD,BbMxH,BbAvH,BbMx>2.5,BbMxA,VCH,BbAvA,VCA,IWH,BbMxD,B365A,SJH,SJD,VCD,HomeTeam,AwayTeam,idGame
0,3.2,1.95,1.95,,26,3.2,4.4,,2.07,39,2.04,4.0,3.2,3.5,1.85,3.65,1.95,3.4,3.25,3.2,1.7,3.75,2.0,,1.9,0.5,43,3.23,1.9,1.91,3.25,2.0,1.63,2.14,3.5,4.0,3.67,2.3,2.1,3.5,1.95,2.0,3.6,3.4,1.9,3.4,3.25,3.2,Aston Villa,Liverpool,Aston Villa_Liverpool_2007
1,3.0,2.04,1.83,,26,3.1,2.4,,2.18,40,2.8,2.5,3.2,2.37,1.75,2.4,2.7,2.4,3.2,3.2,1.75,2.4,2.75,,3.0,0.0,45,3.18,2.75,2.7,3.2,2.7,1.65,2.1,3.25,2.6,2.41,2.33,3.05,2.3,2.8,2.9,2.2,3.25,2.75,2.38,3.2,3.25,Bolton,Newcastle,Bolton_Newcastle_2007
2,3.2,1.71,2.26,,25,3.1,2.8,,1.76,39,2.4,2.8,3.15,2.6,2.09,2.95,2.25,2.7,3.25,3.2,1.9,2.7,2.38,,2.4,0.0,43,3.19,2.37,2.4,3.2,2.4,1.63,2.13,3.25,3.25,2.85,2.35,2.55,2.7,2.38,2.4,2.7,3.3,2.4,2.75,3.2,3.25,Derby,Portsmouth,Derby_Portsmouth_2007
3,3.5,1.94,1.97,,26,3.5,1.68,,2.02,40,5.0,1.66,3.4,1.61,1.94,1.65,5.0,1.67,3.4,3.4,1.83,1.62,5.5,,4.5,-0.75,44,3.45,4.5,5.25,3.3,5.0,1.73,2.0,3.5,1.75,1.66,2.2,6.0,1.7,5.25,5.0,1.65,3.65,5.5,1.57,3.5,3.4,Everton,Wigan,Everton_Wigan_2007
4,3.2,1.97,1.9,,26,3.1,2.4,,2.1,39,2.8,2.37,3.15,2.25,1.77,2.35,2.8,2.3,3.25,3.2,1.75,2.4,2.88,,2.8,0.0,43,3.18,2.75,2.7,3.2,2.8,1.67,2.08,3.25,2.7,2.41,2.3,2.95,2.5,2.81,2.65,2.3,3.25,2.87,2.25,3.25,3.25,Middlesbrough,Blackburn,Middlesbrough_Blackburn_2007
5,3.0,1.79,2.06,,26,3.1,3.4,,1.82,39,2.1,3.4,3.2,2.87,2.09,3.2,2.1,3.0,3.25,3.2,1.83,3.0,2.25,,2.2,0.25,41,3.21,2.25,2.2,3.2,2.2,1.7,2.04,3.25,3.5,3.18,2.15,2.25,3.0,2.18,2.25,3.0,3.33,2.1,2.88,3.25,3.2,Sunderland,Tottenham,Sunderland_Tottenham_2007
6,3.2,2.0,1.9,,27,3.2,2.1,,2.07,38,3.5,2.0,3.2,2.0,1.87,1.95,3.6,1.91,3.2,3.2,1.73,2.0,3.75,,3.3,-0.25,44,3.2,3.2,3.5,3.2,3.75,1.65,2.09,3.2,2.2,2.05,2.3,3.9,2.0,3.52,3.6,2.0,3.35,3.75,1.91,3.2,3.25,West Ham,Man City,West Ham_Man City_2007
7,3.75,2.03,1.9,,25,4.2,1.33,,2.07,37,10.0,1.33,4.75,1.33,1.86,1.3,8.25,1.33,4.5,4.5,2.05,1.3,9.0,,7.5,-1.25,43,4.49,9.0,9.0,4.33,8.0,1.93,1.81,4.5,1.37,1.32,1.98,11.0,1.3,9.4,9.5,1.35,5.0,10.0,1.3,4.5,4.5,Arsenal,Fulham,Arsenal_Fulham_2007
8,5.0,2.0,1.91,,24,5.2,1.2,,2.07,37,13.0,1.2,5.75,1.2,1.85,1.15,17.0,1.2,6.0,5.6,2.23,1.17,13.0,,11.0,-1.5,43,5.74,11.0,15.0,5.5,12.0,1.99,1.72,6.0,1.26,1.19,1.82,17.0,1.15,13.52,17.0,1.2,7.0,13.0,1.17,6.0,6.0,Chelsea,Birmingham,Chelsea_Birmingham_2007
9,4.5,1.87,2.06,,24,5.2,1.25,,1.92,37,13.0,1.22,5.5,1.25,2.01,1.2,12.0,1.22,5.5,5.6,2.25,1.2,12.0,,11.0,-1.75,43,5.26,10.0,11.0,5.0,12.0,2.07,1.68,5.0,1.27,1.23,1.75,16.2,1.22,12.24,12.0,1.2,6.0,13.0,1.22,5.0,5.5,Man United,Reading,Man United_Reading_2007
