,LBD,BbAvAHA,BbMxAHH,PSA,WHA,BbAH,IWD,GBH,WHH,BbMxAHA,BbOU,GBA,B365H,BWD,LBH,BbAvAHH,BWH,BWA,BSH,B365D,BbMx<2.5,SJA,WHD,IWA,BbAHh,Bb1X2,BbAvD,LBA,BSD,BSA,BbAv<2.5,BbAv>2.5,GBD,BbMxH,BbAvH,BbMx>2.5,BbMxA,VCH,BbAvA,VCA,PSD,IWH,BbMxD,B365A,SJH,SJD,PSH,VCD,HomeTeam,AwayTeam,idGame
0,4.5,1.91,2.02,8.78,8.0,23,4.5,1.35,1.44,1.96,33,9.0,1.4,4.6,1.4,1.96,1.35,9.0,1.4,4.5,2.15,9.5,4.0,7.3,-1.25,39,4.47,8.0,4.33,8.5,2.05,1.76,4.6,1.44,1.4,1.83,9.5,1.44,8.37,8.5,4.76,1.35,4.89,8.5,1.36,4.5,1.44,4.75,Arsenal,Sunderland,Arsenal_Sunderland_2012
1,3.5,2.09,1.83,4.8,4.5,21,3.4,1.8,1.85,2.14,35,4.4,1.8,3.5,1.8,1.8,1.8,4.4,1.83,3.6,2.01,4.5,3.3,4.0,-0.5,39,3.59,4.5,3.5,4.33,1.92,1.89,3.5,1.85,1.8,1.95,4.8,1.83,4.44,4.75,3.81,1.8,3.82,4.5,1.8,3.6,1.82,3.75,Fulham,Norwich,Fulham_Norwich_2012
2,3.3,1.97,1.93,2.82,2.8,23,3.2,2.6,2.7,2.03,35,2.75,2.5,3.3,2.6,1.88,2.6,2.75,2.5,3.4,2.01,2.8,3.0,2.7,0.0,39,3.32,2.7,3.4,2.7,1.92,1.88,3.3,2.7,2.55,2.0,2.85,2.62,2.73,2.75,3.47,2.4,3.47,2.75,2.5,3.4,2.65,3.4,Newcastle,Tottenham,Newcastle_Tottenham_2012
3,3.4,2.13,1.8,4.01,3.8,22,3.3,2.0,2.0,2.21,33,3.6,2.0,3.4,2.0,1.75,2.0,3.6,2.0,3.4,1.81,3.6,3.3,3.1,-0.25,39,3.37,3.75,3.4,3.6,1.73,2.09,3.4,2.1,2.01,2.18,4.2,2.0,3.76,4.0,3.53,2.1,3.55,3.8,2.1,3.3,2.05,3.5,QPR,Swansea,QPR_Swansea_2012
4,3.3,1.86,2.07,3.26,2.9,24,3.2,2.4,2.4,1.91,33,3.1,2.38,3.2,2.4,2.01,2.4,3.1,2.3,3.25,1.76,3.0,3.3,2.7,-0.25,39,3.27,2.88,3.3,3.1,1.67,2.18,3.2,2.45,2.36,2.28,3.26,2.4,3.03,3.25,3.37,2.4,3.4,3.1,2.4,3.2,2.4,3.3,Reading,Stoke,Reading_Stoke_2012
5,3.5,1.92,2.0,1.94,2.0,22,3.3,4.1,3.8,1.97,33,1.85,4.2,3.5,3.75,1.96,4.1,1.85,4.0,3.5,1.81,1.91,3.3,2.0,0.5,39,3.44,1.95,3.4,1.91,1.74,2.08,3.5,4.38,4.01,2.18,2.0,4.33,1.93,1.95,3.59,3.3,3.61,1.91,4.0,3.4,4.39,3.6,West Brom,Liverpool,West Brom_Liverpool_2012
6,3.3,1.97,1.95,3.43,3.2,25,3.3,2.25,2.3,2.04,33,3.3,2.2,3.3,2.25,1.9,2.25,3.3,2.3,3.3,1.85,3.3,3.2,3.0,-0.25,39,3.32,3.1,3.3,3.1,1.77,2.03,3.3,2.3,2.23,2.1,3.51,2.25,3.23,3.4,3.49,2.15,3.46,3.4,2.25,3.3,2.26,3.4,West Ham,Aston Villa,West Ham_Aston Villa_2012
7,7.0,2.02,1.9,19.75,15.0,24,5.8,1.18,1.2,2.08,26,16.0,1.17,6.25,1.17,1.85,1.18,16.0,1.17,7.0,2.68,19.0,6.0,13.0,-1.75,39,6.78,15.0,6.5,17.0,2.51,1.5,6.25,1.21,1.18,1.56,19.38,1.2,15.6,19.0,7.5,1.17,7.55,17.0,1.17,7.0,1.2,7.0,Man City,Southampton,Man City_Southampton_2012
8,3.8,2.09,1.9,1.65,1.67,24,3.9,6.0,5.5,2.16,35,1.55,6.0,3.9,6.5,1.8,6.0,1.55,6.0,3.75,2.05,1.53,3.6,1.5,1.0,39,3.84,1.53,4.0,1.53,1.93,1.88,3.9,6.75,6.09,1.93,1.67,6.5,1.58,1.65,4.02,5.5,4.0,1.62,6.5,4.0,6.05,3.8,Wigan,Chelsea,Wigan_Chelsea_2012
9,3.6,1.88,2.03,1.92,1.91,20,3.4,4.6,4.33,1.91,32,1.83,4.33,3.5,4.0,1.99,4.6,1.83,4.0,3.6,1.9,1.91,3.3,1.85,0.5,36,3.47,1.85,3.4,1.91,1.83,1.97,3.5,4.45,4.18,2.08,1.91,4.3,1.88,1.87,3.77,3.8,3.71,1.83,4.0,3.5,4.27,3.7,Everton,Man United,Everton_Man United_2012
