,LBD,BbAvAHA,BbMxAHH,PSA,WHA,BbAH,IWD,WHH,BbMxAHA,BbOU,B365H,BWD,LBH,BbAvAHH,BWH,BWA,B365D,BbMx<2.5,SJA,WHD,IWA,BbAHh,Bb1X2,BbAvD,LBA,BbAv<2.5,BbAv>2.5,BbMxH,BbAvH,BbMx>2.5,BbMxA,VCH,BbAvA,VCA,PSD,IWH,BbMxD,B365A,SJH,SJD,PSH,VCD,HomeTeam,AwayTeam,idGame
0,4.5,,,8.3,8.5,,4.6,1.36,,22,1.44,5.0,1.4,,1.36,7.75,4.75,2.56,7.5,4.8,7.5,,33,4.68,7.5,2.37,1.56,1.44,1.4,1.62,9.7,1.44,7.87,7.5,5.2,1.37,5.2,8.0,1.4,4.5,1.41,4.8,Arsenal,Aston Villa,Arsenal_Aston Villa_2013
1,4.2,,,9.35,9.0,,4.4,1.36,,30,1.4,4.33,1.44,,1.4,8.25,5.0,2.12,9.5,4.6,7.3,,32,4.54,7.5,2.02,1.79,1.44,1.38,1.86,10.0,1.4,8.88,9.5,4.88,1.4,4.95,9.5,1.36,4.5,1.41,5.0,Liverpool,Stoke,Liverpool_Stoke_2013
2,3.3,,,2.35,2.3,,3.3,3.1,,31,3.2,3.25,3.0,,3.1,2.3,3.4,1.91,2.3,3.3,2.3,,33,3.27,2.3,1.82,1.98,3.35,3.12,2.08,2.4,3.12,2.31,2.4,3.41,2.9,3.41,2.4,3.0,3.4,3.32,3.4,Norwich,Everton,Norwich_Everton_2013
3,3.25,,,3.58,3.3,,3.2,2.2,,31,2.3,3.2,2.2,,2.25,3.25,3.4,1.84,3.3,3.3,3.2,,33,3.3,3.3,1.77,2.04,2.3,2.22,2.14,3.58,2.3,3.29,3.3,3.37,2.2,3.45,3.4,2.25,3.3,2.25,3.4,Sunderland,Fulham,Sunderland_Fulham_2013
4,3.5,,,2.03,1.91,,3.5,4.0,,31,4.2,3.5,4.0,,4.1,1.87,3.5,2.06,1.9,3.4,1.8,,33,3.4,1.9,1.98,1.83,4.33,3.84,1.93,2.1,3.8,1.99,2.05,3.52,4.2,3.6,2.0,4.0,3.6,4.1,3.6,Swansea,Man United,Swansea_Man United_2013
5,3.3,,,3.21,3.2,,3.3,2.25,,31,2.4,3.25,2.2,,2.3,3.1,3.4,2.02,3.2,3.3,3.1,,33,3.33,3.25,1.93,1.87,2.43,2.31,2.02,3.3,2.4,3.07,3.12,3.38,2.2,3.45,3.2,2.25,3.4,2.42,3.4,West Brom,Southampton,West Brom_Southampton_2013
6,3.4,,,4.21,3.8,,3.45,1.95,,31,2.0,3.4,1.9,,1.91,4.0,3.6,2.0,4.0,3.5,3.8,,33,3.47,4.0,1.9,1.89,2.0,1.94,2.0,4.4,2.0,3.94,4.0,3.57,1.9,3.65,4.0,1.91,3.5,1.99,3.6,West Ham,Cardiff,West Ham_Cardiff_2013
7,6.5,,,19.5,15.0,,5.8,1.2,,22,1.2,6.25,1.2,,1.19,15.0,7.0,2.63,15.0,6.0,13.0,,32,6.68,15.0,2.45,1.53,1.22,1.19,1.59,21.0,1.22,15.53,15.0,7.4,1.2,7.7,21.0,1.2,6.5,1.2,6.5,Chelsea,Hull,Chelsea_Hull_2013
8,3.5,,,1.8,1.75,,3.5,4.75,,31,4.75,3.7,4.5,,4.75,1.72,3.75,2.12,1.73,3.6,1.8,,33,3.61,1.8,1.99,1.81,5.2,4.66,1.89,1.85,4.5,1.77,1.85,3.69,4.2,3.95,1.83,4.8,3.8,5.16,3.75,Crystal Palace,Tottenham,Crystal Palace_Tottenham_2013
9,5.5,,,11.66,10.0,,5.0,1.29,,27,1.33,5.25,1.28,,1.3,9.75,5.5,2.44,10.0,5.5,9.0,,30,5.27,10.0,2.3,1.6,1.33,1.3,1.68,12.0,1.33,10.35,10.5,5.86,1.3,5.86,11.0,1.3,5.25,1.31,5.5,Man City,Newcastle,Man City_Newcastle_2013
10,5.5,2.03,1.88,11.9,9.5,21.0,5.0,1.3,2.14,22,1.29,5.25,1.29,1.84,1.28,10.0,5.5,2.56,10.0,5.5,9.0,-1.5,34,5.42,9.5,2.38,1.55,1.33,1.29,1.62,14.0,1.29,10.17,12.0,5.89,1.3,6.4,10.0,1.3,5.25,1.3,5.75,Chelsea,Aston Villa,Chelsea_Aston Villa_2013
11,3.5,1.92,2.01,1.93,1.95,18.0,3.3,3.75,1.96,32,4.0,3.6,4.0,1.96,3.8,1.91,3.75,2.22,1.91,3.6,2.0,0.5,34,3.55,1.91,2.1,1.73,4.2,3.93,1.83,2.0,3.9,1.91,1.95,3.83,3.6,3.83,1.95,4.0,3.5,4.18,3.8,Aston Villa,Liverpool,Aston Villa_Liverpool_2013
12,3.75,1.94,2.05,7.01,6.0,21.0,3.9,1.55,2.0,32,1.57,4.1,1.57,1.92,1.53,6.0,4.33,2.1,6.0,4.0,5.6,-1.0,34,3.94,6.0,2.02,1.79,1.6,1.55,1.89,7.1,1.6,6.27,6.0,4.33,1.55,4.35,6.5,1.57,4.0,1.55,4.2,Everton,West Brom,Everton_West Brom_2013
13,3.4,2.09,1.82,2.13,2.1,18.0,3.3,3.4,2.15,32,3.8,3.5,3.5,1.79,3.6,2.0,3.5,2.12,2.1,3.5,2.1,0.5,34,3.38,2.1,2.0,1.8,3.8,3.51,1.88,2.15,3.5,2.1,2.15,3.58,3.3,3.58,2.1,3.5,3.4,3.7,3.5,Fulham,Arsenal,Fulham_Arsenal_2013
14,3.3,2.21,1.71,3.15,3.1,18.0,3.3,2.4,2.38,32,2.45,3.25,2.4,1.68,2.4,2.95,3.4,1.79,3.0,3.1,2.75,0.0,34,3.25,2.9,1.69,2.17,2.5,2.39,2.3,3.33,2.5,3.01,3.1,3.4,2.4,3.4,3.1,2.4,3.3,2.44,3.25,Hull,Norwich,Hull_Norwich_2013
15,3.3,1.7,2.31,3.41,3.3,18.0,3.3,2.2,1.74,31,2.3,3.2,2.2,2.21,2.25,3.25,3.4,1.91,3.3,3.3,3.3,-0.5,34,3.29,3.3,1.82,1.98,2.32,2.22,2.05,3.55,2.3,3.29,3.3,3.4,2.1,3.4,3.4,2.2,3.4,2.31,3.4,Newcastle,West Ham,Newcastle_West Ham_2013
16,3.75,1.71,2.25,5.57,5.5,20.0,3.45,1.67,1.77,32,1.73,3.8,1.72,2.19,1.65,5.0,3.8,1.93,5.0,3.6,4.0,-1.0,34,3.66,4.5,1.84,1.96,1.85,1.69,2.04,5.63,1.75,5.16,5.0,4.01,1.85,4.1,5.5,1.73,3.6,1.68,3.6,Southampton,Sunderland,Southampton_Sunderland_2013
17,3.4,2.04,1.87,5.16,4.6,18.0,3.5,1.85,2.09,32,1.83,3.4,1.83,1.84,1.8,4.6,3.6,1.73,4.8,3.3,4.2,-0.5,34,3.42,4.5,1.67,2.19,1.91,1.83,2.32,5.1,1.85,4.54,4.8,3.65,1.8,3.65,5.0,1.8,3.5,1.81,3.5,Stoke,Crystal Palace,Stoke_Crystal Palace_2013
18,4.5,1.73,2.24,1.46,1.4,21.0,4.0,7.5,1.78,30,8.5,4.2,6.5,2.16,8.25,1.42,4.75,2.44,1.44,4.5,1.45,1.0,34,4.39,1.45,2.21,1.66,8.5,7.32,1.72,1.47,7.5,1.44,1.45,4.75,7.0,4.9,1.44,7.0,4.5,7.99,4.75,Cardiff,Man City,Cardiff_Man City_2013
19,4.0,1.78,2.22,6.45,5.0,20.0,4.0,1.65,1.86,32,1.62,3.75,1.57,2.09,1.57,6.25,4.0,2.15,5.8,4.0,6.1,-1.0,34,3.78,5.5,2.02,1.79,1.66,1.6,1.88,6.58,1.65,5.95,5.75,4.04,1.5,4.0,6.5,1.57,4.0,1.62,4.0,Tottenham,Swansea,Tottenham_Swansea_2013
20,3.2,1.8,2.13,3.02,2.8,16.0,3.2,2.4,1.83,30,2.45,3.4,2.37,2.09,2.3,3.0,3.4,2.18,3.13,3.5,3.2,-0.25,32,3.33,3.1,2.03,1.78,2.5,2.38,1.85,3.2,2.5,2.94,2.9,3.51,2.2,3.51,3.1,2.25,3.5,2.48,3.5,Man United,Chelsea,Man United_Chelsea_2013
21,3.4,1.98,1.92,2.37,2.25,17.0,3.3,3.2,2.03,33,3.25,3.25,3.1,1.89,3.1,2.3,3.4,1.87,2.25,3.3,2.2,0.25,35,3.31,2.25,1.79,2.01,3.33,3.13,2.11,2.41,3.25,2.29,2.38,3.35,3.1,3.45,2.38,3.25,3.3,3.33,3.4,Cardiff,Everton,Cardiff_Everton_2013
