,PSA,MaxAHA,WHA,IWD,WHH,AvgAHH,B365H,BWD,B365<2.5,AvgA,MaxD,PAHH,BWH,AHh,BWA,AvgAHA,P>2.5,B365D,AvgH,WHD,B365>2.5,MaxA,IWA,PAHA,Max>2.5,B365AHA,P<2.5,MaxH,VCH,MaxAHH,Avg>2.5,PSD,VCA,AvgD,IWH,Avg<2.5,B365A,Max<2.5,B365AHH,PSH,VCD,HomeTeam,AwayTeam,idGame
0,18.05,2.0,21.0,8.0,1.12,1.94,1.14,8.25,3.0,19.83,10.0,1.97,1.14,-2.25,18.5,1.94,1.4,10.0,1.14,8.5,1.4,23.0,18.0,1.95,1.45,1.94,3.11,1.16,1.14,1.97,1.41,9.59,23.0,8.75,1.15,2.92,19.0,3.11,1.96,1.15,9.5,Liverpool,Norwich,Liverpool_Norwich_2019
1,1.26,1.92,1.24,6.1,13.0,1.99,12.0,5.75,2.75,1.25,6.75,2.02,11.5,1.75,1.26,1.89,1.49,6.5,11.84,6.0,1.44,1.29,1.25,1.9,1.51,1.9,2.77,13.0,12.0,2.02,1.48,6.53,1.25,6.28,11.0,2.65,1.22,2.77,2.0,11.68,6.5,West Ham,Man City,West Ham_Man City_2019
2,3.9,1.91,3.8,3.55,2.0,2.0,1.95,3.6,1.9,3.83,3.65,2.04,1.95,-0.5,3.9,1.88,1.96,3.6,2.01,3.5,1.9,4.0,3.8,1.88,2.0,1.89,1.96,2.06,2.0,2.04,1.9,3.57,4.0,3.53,1.97,1.93,3.6,1.99,2.01,2.04,3.6,Bournemouth,Sheffield United,Bournemouth_Sheffield United_2019
3,2.81,2.0,2.75,3.2,2.7,1.91,2.62,3.2,1.72,2.78,3.33,1.93,2.65,0.0,2.75,1.98,2.17,3.2,2.68,3.2,2.1,2.85,2.75,2.0,2.2,1.98,1.77,2.8,2.7,1.94,2.12,3.31,2.8,3.22,2.65,1.73,2.75,1.78,1.92,2.71,3.3,Burnley,Southampton,Burnley_Southampton_2019
4,2.39,2.09,2.35,3.2,3.1,1.84,3.0,3.2,1.66,2.4,3.4,1.88,3.2,0.25,2.35,2.04,2.23,3.25,3.13,3.3,2.2,2.52,2.4,2.05,2.25,2.05,1.74,3.21,3.2,1.88,2.18,3.37,2.45,3.27,3.1,1.7,2.37,1.74,1.85,3.21,3.3,Crystal Palace,Everton,Crystal Palace_Everton_2019
5,4.37,1.98,4.2,3.4,1.95,1.94,1.9,3.4,1.72,4.26,3.5,1.98,1.9,-0.5,4.33,1.94,2.19,3.4,1.94,3.4,2.1,4.6,4.25,1.95,2.24,1.95,1.76,2.0,1.95,1.98,2.16,3.44,4.33,3.41,1.93,1.71,4.0,1.76,1.95,1.98,3.5,Watford,Brighton,Watford_Brighton_2019
6,10.96,2.0,10.0,5.5,1.29,1.93,1.3,5.5,2.2,10.51,5.95,1.99,1.3,-1.5,10.0,1.94,1.64,5.25,1.3,5.5,1.66,12.0,9.6,1.93,1.7,1.93,2.4,1.33,1.3,2.0,1.65,5.84,12.0,5.53,1.3,2.26,10.0,2.4,1.97,1.3,5.5,Tottenham,Aston Villa,Tottenham_Aston Villa_2019
7,3.66,2.04,3.5,3.25,2.2,1.91,2.2,3.3,1.66,3.48,3.38,1.9,2.25,-0.25,3.3,1.98,2.23,3.2,2.22,3.25,2.2,3.66,3.45,2.04,2.25,2.0,1.74,2.29,2.25,1.95,2.17,3.34,3.6,3.28,2.2,1.7,3.4,1.74,1.9,2.21,3.3,Leicester,Wolves,Leicester_Wolves_2019
8,1.81,2.08,1.78,3.85,4.5,1.85,4.5,3.75,2.0,1.79,4.0,1.86,4.5,0.75,1.78,2.03,1.83,3.75,4.49,3.75,1.8,1.83,1.77,2.07,1.83,2.05,2.1,4.7,4.6,1.88,1.77,3.93,1.8,3.82,4.4,2.07,1.72,2.14,1.85,4.58,3.9,Newcastle,Arsenal,Newcastle_Arsenal_2019
9,3.63,2.04,3.5,3.35,2.15,1.89,2.1,3.3,1.8,3.49,3.43,1.9,2.15,-0.25,3.5,2.0,2.05,3.3,2.19,3.3,2.0,3.63,3.4,2.04,2.1,2.0,1.87,2.28,2.25,1.92,2.01,3.37,3.5,3.32,2.15,1.83,3.5,1.87,1.9,2.21,3.3,Man United,Chelsea,Man United_Chelsea_2019
