,HC,HR,FTAG,HTHG,AST,AR,Div,HTR,Referee,AwayTeam,HST,HY,HomeTeam,HF,AS,HS,HTAG,FTHG,AC,AF,AY,Date,FTR,idGame
0,6,0,1,0,3,0,E0,D,M Clattenburg,Aston Villa,2,3,Bournemouth,13,7,11,0,0,3,13,4,08/08/2015,A,Bournemouth_Aston Villa_2015
1,4,1,2,2,10,0,E0,H,M Oliver,Swansea,3,1,Chelsea,15,18,11,1,2,8,16,3,08/08/2015,D,Chelsea_Swansea_2015
2,8,0,2,0,5,0,E0,A,M Jones,Watford,5,1,Everton,7,11,10,1,2,2,13,2,08/08/2015,D,Everton_Watford_2015
3,6,0,2,3,5,0,E0,H,L Mason,Sunderland,8,2,Leicester,13,10,19,0,4,3,17,4,08/08/2015,H,Leicester_Sunderland_2015
4,1,0,0,1,4,0,E0,H,J Moss,Tottenham,1,2,Man United,12,9,9,0,1,2,12,3,08/08/2015,H,Man United_Tottenham_2015
5,1,0,3,0,7,0,E0,A,S Hooper,Crystal Palace,6,1,Norwich,14,11,17,1,1,4,20,0,08/08/2015,A,Norwich_Crystal Palace_2015
6,5,0,2,0,4,0,E0,A,M Atkinson,West Ham,6,1,Arsenal,12,8,22,1,0,4,9,3,09/08/2015,A,Arsenal_West Ham_2015
7,6,0,2,1,5,0,E0,D,C Pawson,Southampton,4,2,Newcastle,9,15,9,1,2,6,12,4,09/08/2015,D,Newcastle_Southampton_2015
8,3,0,1,0,3,0,E0,D,A Taylor,Liverpool,1,2,Stoke,9,8,7,0,0,5,16,4,09/08/2015,A,Stoke_Liverpool_2015
9,6,0,3,0,7,0,E0,A,M Dean,Man City,2,4,West Brom,12,19,9,2,0,6,9,1,10/08/2015,A,West Brom_Man City_2015
10,3,0,1,0,2,0,E0,A,M Dean,Man United,1,2,Aston Villa,14,9,5,1,0,5,10,2,14/08/2015,A,Aston Villa_Man United_2015
11,9,0,3,0,4,0,E0,A,M Oliver,Everton,4,4,Southampton,11,10,17,2,0,9,10,2,15/08/2015,A,Southampton_Everton_2015
12,6,0,3,0,6,0,E0,A,K Friend,Norwich,2,1,Sunderland,7,19,6,2,1,6,7,2,15/08/2015,A,Sunderland_Norwich_2015
13,4,0,0,1,2,1,E0,H,M Jones,Newcastle,6,2,Swansea,11,4,19,0,2,4,8,1,15/08/2015,H,Swansea_Newcastle_2015
14,4,0,2,2,7,0,E0,H,R Madley,Stoke,7,2,Tottenham,15,16,13,0,2,3,11,2,15/08/2015,D,Tottenham_Stoke_2015
15,2,0,0,0,0,0,E0,D,P Tierney,West Brom,5,1,Watford,13,6,16,0,0,4,10,2,15/08/2015,D,Watford_West Brom_2015
16,8,1,2,0,6,0,E0,A,A Taylor,Leicester,3,1,West Ham,11,11,10,2,1,4,12,3,15/08/2015,A,West Ham_Leicester_2015
