year,team,type_rating,value_rating
2016,Arsenal,static_ft_total_g>35,421
2016,Arsenal,static_ft_total_g>35,421
2016,Aston Villa,static_ft_total_g>35,184
2016,Aston Villa,static_ft_total_g>35,184
2016,Birmingham,static_ft_total_g>35,184
2016,Birmingham,static_ft_total_g>35,184
2016,Blackburn,static_ft_total_g>35,184
2016,Blackburn,static_ft_total_g>35,184
2016,Blackpool,static_ft_total_g>35,184
2016,Blackpool,static_ft_total_g>35,184
2016,Bolton,static_ft_total_g>35,184
2016,Bolton,static_ft_total_g>35,184
2016,Bournemouth,static_ft_total_g>35,473
2016,Bournemouth,static_ft_total_g>35,473
2016,Brighton,static_ft_total_g>35,184
2016,Brighton,static_ft_total_g>35,184
2016,Burnley,static_ft_total_g>35,210
2016,Burnley,static_ft_total_g>35,210
2016,Cardiff,static_ft_total_g>35,184
2016,Cardiff,static_ft_total_g>35,184
2016,Charlton,static_ft_total_g>35,184
2016,Charlton,static_ft_total_g>35,184
2016,Chelsea,static_ft_total_g>35,289
2016,Chelsea,static_ft_total_g>35,289
2016,Crystal Palace,static_ft_total_g>35,315
2016,Crystal Palace,static_ft_total_g>35,315
2016,Derby,static_ft_total_g>35,184
2016,Derby,static_ft_total_g>35,184
2016,Everton,static_ft_total_g>35,315
2016,Everton,static_ft_total_g>35,315
2016,Fulham,static_ft_total_g>35,184
2016,Fulham,static_ft_total_g>35,184
2016,Huddersfield,static_ft_total_g>35,184
2016,Huddersfield,static_ft_total_g>35,184
2016,Hull,static_ft_total_g>35,368
2016,Hull,static_ft_total_g>35,368
2016,Leeds,static_ft_total_g>35,184
2016,Leeds,static_ft_total_g>35,184
2016,Leicester,static_ft_total_g>35,315
2016,Leicester,static_ft_total_g>35,315
2016,Liverpool,static_ft_total_g>35,394
2016,Liverpool,static_ft_total_g>35,394
2016,Man City,static_ft_total_g>35,421
2016,Man City,static_ft_total_g>35,421
2016,Man United,static_ft_total_g>35,184
2016,Man United,static_ft_total_g>35,184
2016,Middlesbrough,static_ft_total_g>35,184
2016,Middlesbrough,static_ft_total_g>35,184
2016,Newcastle,static_ft_total_g>35,184
2016,Newcastle,static_ft_total_g>35,184
2016,Norwich,static_ft_total_g>35,184
2016,Norwich,static_ft_total_g>35,184
2016,Portsmouth,static_ft_total_g>35,184
2016,Portsmouth,static_ft_total_g>35,184
