year,team,type_rating,value_rating
2007,West Ham,static_ft_home_g<25,415.1
2008,West Ham,static_ft_home_g<25,473.1
2009,West Ham,static_ft_home_g<25,515.3
2010,West Ham,static_ft_home_g<25,468.0
2011,West Ham,static_ft_home_g<25,415.4
2012,West Ham,static_ft_home_g<25,320.6
2013,West Ham,static_ft_home_g<25,341.8
2014,West Ham,static_ft_home_g<25,394.3
2015,West Ham,static_ft_home_g<25,478.3
2016,West Ham,static_ft_home_g<25,478.5
2017,West Ham,static_ft_home_g<25,499.6
2018,West Ham,static_ft_home_g<25,510.2
2019,West Ham,static_ft_home_g<25,473.5
2020,West Ham,static_ft_home_g<25,452.5
2007,Brighton,static_ft_home_g<25,309.9
2008,Brighton,static_ft_home_g<25,309.8
2009,Brighton,static_ft_home_g<25,315.0
2010,Brighton,static_ft_home_g<25,251.8
2011,Brighton,static_ft_home_g<25,204.4
2012,Brighton,static_ft_home_g<25,194.0
2013,Brighton,static_ft_home_g<25,194.1
2014,Brighton,static_ft_home_g<25,225.9
2015,Brighton,static_ft_home_g<25,267.9
2016,Brighton,static_ft_home_g<25,230.9
2017,Brighton,static_ft_home_g<25,178.4
2018,Brighton,static_ft_home_g<25,325.6
2019,Brighton,static_ft_home_g<25,441.3
2020,Brighton,static_ft_home_g<25,551.9
2007,Liverpool,static_ft_home_g<25,573.1
2008,Liverpool,static_ft_home_g<25,525.9
2009,Liverpool,static_ft_home_g<25,478.7
2010,Liverpool,static_ft_home_g<25,415.5
2011,Liverpool,static_ft_home_g<25,405.1
2012,Liverpool,static_ft_home_g<25,494.4
2013,Liverpool,static_ft_home_g<25,499.5
2014,Liverpool,static_ft_home_g<25,415.4
2015,Liverpool,static_ft_home_g<25,405.0
2016,Liverpool,static_ft_home_g<25,415.4
2017,Liverpool,static_ft_home_g<25,378.4
2018,Liverpool,static_ft_home_g<25,399.6
2019,Liverpool,static_ft_home_g<25,383.8
2020,Liverpool,static_ft_home_g<25,352.1
2007,Leicester,static_ft_home_g<25,336.2
2008,Leicester,static_ft_home_g<25,309.8
2009,Leicester,static_ft_home_g<25,315.0
2010,Leicester,static_ft_home_g<25,251.8
2011,Leicester,static_ft_home_g<25,204.4
2012,Leicester,static_ft_home_g<25,194.0
2013,Leicester,static_ft_home_g<25,194.1
2014,Leicester,static_ft_home_g<25,225.9
2015,Leicester,static_ft_home_g<25,352.3
2016,Leicester,static_ft_home_g<25,420.6
2017,Leicester,static_ft_home_g<25,420.6
2018,Leicester,static_ft_home_g<25,488.8
2019,Leicester,static_ft_home_g<25,504.7
2020,Leicester,static_ft_home_g<25,478.6
2007,West Brom,static_ft_home_g<25,441.5
2008,West Brom,static_ft_home_g<25,383.5
2009,West Brom,static_ft_home_g<25,330.8
2010,West Brom,static_ft_home_g<25,251.8
2011,West Brom,static_ft_home_g<25,267.6
2012,West Brom,static_ft_home_g<25,346.6
2013,West Brom,static_ft_home_g<25,367.8
2014,West Brom,static_ft_home_g<25,488.9
2015,West Brom,static_ft_home_g<25,499.4
2016,West Brom,static_ft_home_g<25,515.3
2017,West Brom,static_ft_home_g<25,525.9
2018,West Brom,static_ft_home_g<25,499.5
2019,West Brom,static_ft_home_g<25,404.9
2020,West Brom,static_ft_home_g<25,288.9
2007,Portsmouth,static_ft_home_g<25,573.4
2008,Portsmouth,static_ft_home_g<25,662.8
2009,Portsmouth,static_ft_home_g<25,557.5
2010,Portsmouth,static_ft_home_g<25,489.2
2011,Portsmouth,static_ft_home_g<25,341.6
2012,Portsmouth,static_ft_home_g<25,252.1
2013,Portsmouth,static_ft_home_g<25,220.5
2014,Portsmouth,static_ft_home_g<25,225.9
2015,Portsmouth,static_ft_home_g<25,267.9
2016,Portsmouth,static_ft_home_g<25,230.9
2017,Portsmouth,static_ft_home_g<25,178.4
2018,Portsmouth,static_ft_home_g<25,157.2
2019,Portsmouth,static_ft_home_g<25,189.0
2020,Portsmouth,static_ft_home_g<25,183.6
2007,Chelsea,static_ft_home_g<25,473.2
2008,Chelsea,static_ft_home_g<25,531.1
