,WHD,IWH,LBA,B365AH,SBH,SBA,SOA,LBAH,WHA,B365A,LBH,GBA,B365D,B365H,B365<2.5,LBAHA,WHH,SOH,SOD,LBAHH,B365>2.5,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
0,3.2,2.2,2.5,0.0,2.37,2.62,2.63,-0.25,2.62,2.625,2.4,2.7,3.2,2.375,1.8,1.8,2.3,2.38,3.2,2.05,1.9,2.8,2.0,2.4,3.2,1.8,2.05,1.85,0.0,1.85,3.1,3.25,3.2,1.8,Bradford,Norwich,Bradford_Norwich_2003
1,3.2,2.3,2.75,-0.25,2.2,2.87,2.8,-0.25,2.75,2.75,2.2,2.9,3.25,2.25,2.0,1.8,2.25,2.2,3.25,2.05,1.72,2.6,1.8,2.25,3.2,2.05,1.8,1.9,-0.25,1.79,3.1,3.25,3.2,2.0,Burnley,Crystal Palace,Burnley_Crystal Palace_2003
2,3.25,1.75,4.0,-0.5,1.72,4.33,4.33,-0.5,4.2,4.0,1.8,4.15,3.25,1.8,1.8,2.0,1.72,1.73,3.25,1.85,1.9,3.8,2.0,1.8,3.25,1.85,2.0,1.9,-0.5,1.79,3.3,3.2,3.25,1.8,Derby,Stoke,Derby_Stoke_2003
3,3.2,1.8,3.4,-0.5,1.8,4.0,4.0,-0.5,3.75,3.75,1.909,3.75,3.25,1.833,1.83,1.95,1.83,1.8,3.25,1.9,1.83,3.6,1.88,1.9,3.25,2.0,1.85,1.95,-0.5,1.75,3.3,3.25,3.25,1.9,Ipswich,Reading,Ipswich_Reading_2003
4,3.2,2.0,3.2,-0.5,1.9,3.5,3.5,-0.5,3.2,3.25,2.0,3.4,3.25,2.0,1.83,1.9,2.0,1.91,3.25,1.95,1.83,3.1,1.8,2.0,3.25,2.1,1.75,1.85,-0.5,1.85,3.2,3.2,3.25,2.0,Millwall,Wigan,Millwall_Wigan_2003
5,3.2,2.1,3.0,-0.25,2.1,3.0,3.0,-0.25,2.8,2.8,2.1,3.05,3.25,2.2,1.8,1.95,2.2,2.1,3.25,1.9,1.9,2.9,1.9,2.15,3.25,1.975,1.875,1.85,-0.25,1.85,3.2,3.2,3.25,1.9,Nott'm Forest,Sunderland,Nott'm Forest_Sunderland_2003
6,3.2,2.6,2.2,0.25,2.62,2.37,2.38,0.25,2.25,2.2,2.75,2.35,3.25,2.8,2.0,2.05,2.75,2.63,3.2,1.8,1.72,2.3,2.05,2.7,3.2,1.8,2.05,1.85,0.25,1.85,3.1,3.25,3.25,1.75,Preston,West Ham,Preston_West Ham_2003
7,3.25,2.3,2.75,-0.25,2.3,2.75,2.75,-0.25,2.5,2.7,2.2,2.65,3.2,2.3,1.8,1.85,2.4,2.25,3.25,2.0,1.9,2.6,2.0,2.4,3.2,2.0,1.9,1.85,0.0,1.85,3.1,3.25,3.25,1.8,Rotherham,Cardiff,Rotherham_Cardiff_2003
8,3.5,1.6,5.0,-0.75,1.57,5.5,5.5,-0.75,5.0,5.5,1.615,5.4,3.4,1.571,1.9,2.05,1.57,1.57,3.4,1.8,1.8,4.6,2.0,1.6,3.4,1.8,2.05,1.95,-0.75,1.75,3.4,3.25,3.4,1.8,Sheffield United,Gillingham,Sheffield United_Gillingham_2003
9,3.2,2.6,2.2,0.0,2.75,2.3,2.25,0.25,2.25,2.25,2.8,2.3,3.25,2.75,1.8,2.05,2.75,2.75,3.25,1.8,1.9,2.3,2.05,2.8,3.2,2.05,1.8,1.85,0.25,1.85,3.1,3.2,3.25,1.75,Walsall,West Brom,Walsall_West Brom_2003
10,3.2,1.9,3.0,-0.5,1.9,3.5,3.25,-0.5,3.5,3.5,2.0,3.4,3.25,1.909,1.9,1.85,1.9,2.0,3.25,2.0,1.8,3.4,1.8,2.0,3.25,2.0,1.85,1.9,-0.5,1.79,3.2,3.4,3.25,2.0,Wimbledon,Crewe,Wimbledon_Crewe_2003
11,3.4,1.8,3.75,-0.5,1.83,3.75,3.75,-0.5,3.6,4.0,1.8,3.9,3.5,1.727,1.9,2.0,1.8,1.83,3.25,1.85,1.8,3.6,2.0,1.85,3.3,1.9,1.95,1.9,-0.5,1.79,3.3,3.25,3.35,1.8,Cardiff,Bradford,Cardiff_Bradford_2003
12,3.25,1.9,3.0,-0.5,2.0,3.25,3.25,-0.5,3.4,3.5,2.1,3.25,3.25,1.909,1.8,1.85,1.9,2.0,3.25,2.0,1.9,3.3,2.05,2.1,3.25,2.05,1.8,1.9,-0.25,1.79,3.3,3.2,3.25,1.75,Coventry,Walsall,Coventry_Walsall_2003
13,3.2,2.7,2.2,0.25,2.75,2.25,2.25,0.0,2.25,2.3,2.75,2.35,3.2,2.7,1.8,1.75,2.75,2.75,3.25,2.1,1.9,2.2,1.8,2.75,3.25,1.825,2.025,1.95,0.25,1.75,3.2,3.25,3.3,2.0,Crewe,Ipswich,Crewe_Ipswich_2003
14,3.2,2.0,3.4,-0.5,1.9,3.5,3.5,-0.5,3.2,3.75,1.909,3.65,3.25,1.833,1.8,2.0,2.0,1.91,3.25,1.85,1.9,3.1,1.9,1.95,3.25,1.875,1.975,1.75,-0.5,1.95,3.2,3.25,3.3,1.9,Crystal Palace,Watford,Crystal Palace_Watford_2003
15,3.2,1.9,3.2,-0.5,2.1,3.0,3.25,-0.5,3.0,3.5,2.0,3.5,3.25,1.909,1.72,1.8,2.1,2.0,3.25,2.05,2.0,3.3,2.05,2.0,3.25,1.95,1.9,1.71,-0.25,2.0,3.3,3.2,3.25,1.75,Gillingham,Derby,Gillingham_Derby_2003
16,3.4,1.65,5.0,-0.75,1.72,4.33,4.33,-0.75,4.33,4.333,1.615,4.55,3.25,1.727,1.8,1.9,1.66,1.73,3.25,1.95,1.9,4.2,1.8,1.75,3.25,2.05,1.8,2.0,-0.75,1.71,3.4,3.25,3.3,2.0,Norwich,Rotherham,Norwich_Rotherham_2003
