,WHD,IWH,LBA,B365AH,SBH,SBA,BWD,LBAH,WHA,B365A,LBH,GBA,B365D,B365H,B365<2.5,LBAHA,WHH,BWA,LBAHH,BWH,B365>2.5,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
0,3.1,2.6,2.5,0.0,2.5,2.5,3.2,0.0,2.37,2.4,2.5,2.5,3.4,2.6,1.95,1.84,2.62,2.4,2.0,2.6,1.85,2.3,2.5,2.6,3.2,1.925,1.925,1.85,0.5,1.85,3.0,3.2,3.2,1.43,Burnley,Sheffield United,Burnley_Sheffield United_2004
1,3.1,2.3,2.75,0.0,2.38,2.62,3.2,-0.25,2.62,2.7,2.25,2.55,3.2,2.4,1.8,1.84,2.37,2.6,2.0,2.4,2.0,2.6,1.42,2.55,3.2,1.9,1.95,1.9,-0.5,1.79,3.0,3.2,3.2,2.55,Coventry,Sunderland,Coventry_Sunderland_2004
2,3.1,2.3,2.5,0.0,2.4,2.6,3.25,0.0,2.62,2.5,2.4,2.55,3.3,2.5,1.85,1.78,2.37,2.3,2.06,2.7,1.95,2.6,1.42,2.55,3.2,1.9,1.95,1.85,-0.5,1.85,3.0,3.25,3.2,2.55,Crewe,Cardiff,Crewe_Cardiff_2004
3,3.1,1.6,5.5,0.5,1.62,5.0,3.6,-0.75,5.0,5.5,1.57,5.6,3.6,1.57,2.05,2.02,1.66,6.0,1.82,1.5,1.75,4.4,2.06,1.63,3.4,1.9,1.95,1.75,-0.5,1.95,3.3,3.25,3.25,1.63,Ipswich,Gillingham,Ipswich_Gillingham_2004
4,3.2,1.75,4.5,-0.5,1.73,4.33,3.25,-0.5,3.75,4.0,1.62,4.3,3.4,1.8,1.85,1.88,1.83,5.0,1.96,1.65,1.95,3.8,1.83,1.81,3.25,1.925,1.925,1.79,-0.5,1.9,3.1,3.5,3.2,1.81,Leeds,Derby,Leeds_Derby_2004
5,3.1,2.2,2.75,-0.25,2.1,3.0,3.2,-0.75,2.87,3.0,2.2,2.95,3.2,2.2,1.8,1.88,2.2,3.1,1.96,2.1,2.0,2.9,1.55,2.22,3.25,2.0,1.85,1.9,-0.5,1.79,2.9,3.25,3.25,2.22,Leicester,West Ham,Leicester_West Ham_2004
6,3.2,2.2,2.75,0.0,2.25,2.8,3.2,-0.75,2.75,2.8,2.25,2.75,3.25,2.3,1.85,1.96,2.25,2.5,1.88,2.5,1.95,2.7,1.48,2.35,3.2,1.9,1.95,1.9,-0.5,1.79,3.0,3.2,3.2,2.35,Plymouth,Millwall,Plymouth_Millwall_2004
7,3.2,1.9,3.4,-0.5,2.0,3.25,3.25,-0.5,3.5,3.75,1.91,3.85,3.25,1.9,1.9,1.86,1.9,3.75,1.98,1.85,1.9,3.3,1.75,1.9,3.25,2.1,1.75,1.79,-0.5,1.9,3.1,3.25,3.2,1.9,Preston,Watford,Preston_Watford_2004
8,3.1,1.8,3.75,-0.5,1.83,4.0,3.3,-0.5,4.0,4.0,1.83,4.3,3.25,1.83,1.9,1.96,1.8,4.5,1.88,1.7,1.9,3.6,1.83,1.8,3.1,1.975,1.875,1.85,-0.5,1.85,3.1,3.2,3.2,1.8,QPR,Rotherham,QPR_Rotherham_2004
9,3.25,1.75,4.5,-0.5,1.73,4.33,3.25,-0.75,4.2,4.5,1.67,4.35,3.6,1.66,1.85,1.92,1.72,4.0,1.92,1.8,1.95,3.8,1.89,1.75,3.25,1.8,2.05,1.85,-0.5,1.85,3.1,3.25,3.35,1.75,Reading,Brighton,Reading_Brighton_2004
10,3.2,2.0,3.2,-0.5,2.0,3.25,3.25,-0.5,3.5,3.75,2.0,3.5,3.25,1.9,1.8,1.88,1.9,3.75,1.96,1.85,2.0,3.1,1.67,2.0,3.25,1.975,1.875,1.9,-0.5,1.79,3.0,3.2,3.2,2.0,Wigan,Nott'm Forest,Wigan_Nott'm Forest_2004
11,3.0,2.6,2.38,0.0,2.8,2.25,3.25,0.0,2.37,2.37,2.6,2.4,3.2,2.75,1.8,2.04,2.7,2.3,1.8,2.7,2.0,2.3,2.4,2.75,3.2,2.05,1.8,1.9,0.5,1.79,3.0,3.2,3.15,1.47,Stoke,Wolves,Stoke_Wolves_2004
12,3.2,2.2,2.8,-0.25,2.25,2.8,3.2,-0.25,2.8,2.9,2.2,2.85,3.2,2.37,1.8,1.8,2.2,2.9,2.04,2.2,2.0,2.8,1.8,2.3,3.2,1.95,1.9,1.9,-0.25,1.79,3.0,3.2,3.2,2.0,Watford,QPR,Watford_QPR_2004
13,3.2,2.2,2.75,0.0,2.38,2.62,3.25,0.0,2.62,2.75,2.25,2.8,3.4,2.25,1.8,1.98,2.3,2.75,1.86,2.25,2.0,2.8,1.77,2.3,3.2,1.8,2.05,1.9,-0.25,1.79,3.0,3.2,3.25,2.05,Brighton,Plymouth,Brighton_Plymouth_2004
14,3.2,2.2,2.75,-0.25,2.25,2.8,3.2,-0.25,2.8,3.0,2.2,2.9,3.2,2.2,1.95,1.86,2.2,2.9,1.98,2.2,1.85,2.9,1.85,2.25,3.2,1.9,1.95,1.85,-0.25,1.85,3.0,3.25,3.2,1.95,Cardiff,Coventry,Cardiff_Coventry_2004
15,3.2,2.9,2.25,0.25,2.75,2.25,,0.0,2.25,2.25,2.75,2.3,3.4,2.75,1.9,1.88,2.75,,1.96,,1.9,2.2,2.05,2.8,3.25,1.85,2.0,1.79,0.25,1.9,3.0,3.2,3.25,1.77,Gillingham,Leeds,Gillingham_Leeds_2004
16,3.2,2.2,2.75,-0.25,2.2,2.88,3.2,0.0,2.62,2.87,2.25,2.8,3.4,2.2,1.7,1.94,2.3,2.9,1.9,2.2,2.1,2.8,1.8,2.3,3.2,2.1,1.75,1.95,-0.25,1.75,3.0,3.2,3.25,2.0,Millwall,Wigan,Millwall_Wigan_2004
17,3.2,2.1,2.8,-0.25,2.25,2.8,3.2,-0.25,3.0,3.0,2.2,3.0,3.5,2.1,1.85,1.96,2.1,2.65,1.88,2.35,1.95,2.9,1.85,2.2,3.2,2.0,1.85,1.85,-0.25,1.85,3.0,3.2,3.2,1.95,Rotherham,Burnley,Rotherham_Burnley_2004
18,3.25,1.9,4.0,-0.5,1.8,4.0,3.3,-0.5,3.8,4.33,1.8,4.1,3.2,1.8,1.75,1.92,1.8,4.5,1.92,1.7,2.05,3.4,1.81,1.83,3.25,1.925,1.925,1.85,-0.5,1.85,3.0,3.2,3.25,1.83,Sheffield United,Stoke,Sheffield United_Stoke_2004
19,3.5,1.55,5.0,-1.0,1.53,5.5,3.7,-1.0,5.5,6.0,1.57,6.0,3.6,1.53,1.85,1.78,1.53,6.5,2.06,1.45,1.95,4.8,1.9,1.55,3.6,2.1,1.75,1.85,-1.0,1.85,3.4,3.5,3.5,1.9,Sunderland,Crewe,Sunderland_Crewe_2004
20,3.2,1.8,3.75,-0.75,1.73,4.33,3.25,-0.75,4.33,4.5,1.8,4.5,3.4,1.72,1.9,1.76,1.72,5.0,2.08,1.65,1.9,3.6,1.85,1.75,3.25,2.125,1.775,1.85,-0.75,1.85,3.1,3.25,3.3,1.95,West Ham,Reading,West Ham_Reading_2004
21,3.1,2.6,2.5,0.0,2.6,2.4,3.25,0.0,2.37,2.5,2.5,2.45,3.2,2.6,1.9,1.84,2.62,2.25,2.0,2.75,1.9,2.3,1.8,2.65,3.2,2.0,1.85,1.95,0.0,1.75,3.0,3.2,3.2,2.0,Derby,Leicester,Derby_Leicester_2004
22,3.2,2.2,3.0,-0.25,2.25,2.75,3.2,0.0,2.75,2.62,2.1,2.9,3.4,2.25,1.95,1.96,2.25,3.1,1.88,2.1,1.85,2.8,1.8,2.25,3.25,2.0,1.85,1.79,-0.25,1.9,3.0,3.2,3.2,2.0,Nott'm Forest,Ipswich,Nott'm Forest_Ipswich_2004
23,3.3,1.55,5.0,-0.75,1.62,5.0,3.5,-0.5,5.5,5.5,1.57,5.3,3.6,1.57,2.0,1.94,1.57,5.0,1.9,1.6,1.8,4.8,1.8,1.6,3.4,1.9,1.95,1.75,-0.75,1.95,3.4,3.5,3.5,2.0,Wolves,Preston,Wolves_Preston_2004
24,3.2,1.85,3.75,-0.5,1.91,3.5,3.25,,3.75,4.0,1.83,4.0,3.3,1.9,1.9,,1.83,4.0,,1.8,1.9,3.4,1.78,1.85,3.25,2.05,1.8,1.85,-0.5,1.85,3.1,3.2,3.2,1.85,Cardiff,Plymouth,Cardiff_Plymouth_2004
25,3.1,2.4,2.38,0.0,2.5,2.5,3.2,0.25,2.5,2.5,2.6,2.52,3.3,2.5,1.9,1.94,2.5,2.6,1.9,2.4,1.9,2.4,1.9,2.52,3.2,1.925,1.925,1.79,0.0,1.9,3.1,3.2,3.25,1.9,Brighton,Coventry,Brighton_Coventry_2004
26,3.1,2.4,2.5,0.0,2.38,2.62,3.2,0.0,2.6,2.5,2.4,2.52,3.3,2.5,2.0,1.96,2.4,2.6,1.88,2.4,1.8,2.4,1.95,2.52,3.2,1.825,2.025,1.75,0.0,1.95,3.1,3.25,3.25,1.85,Derby,Ipswich,Derby_Ipswich_2004
27,3.1,2.2,2.6,-0.25,2.25,2.75,3.2,-0.25,2.75,2.7,2.38,2.85,3.4,2.3,1.95,1.86,2.3,2.6,1.98,2.4,1.85,2.7,1.8,2.3,3.25,2.05,1.8,1.79,-0.25,1.9,3.0,3.2,3.15,2.0,Gillingham,Preston,Gillingham_Preston_2004
28,3.1,2.4,2.4,0.0,2.5,2.5,3.2,0.0,2.37,2.37,2.5,2.5,3.3,2.62,1.7,1.72,2.62,2.5,2.12,2.5,2.1,2.4,1.85,2.6,3.2,1.95,1.9,2.05,0.0,1.65,3.1,3.25,3.15,1.95,Millwall,Leicester,Millwall_Leicester_2004
29,2.9,1.7,4.5,-0.75,1.73,4.33,3.3,-0.75,4.5,4.5,1.62,4.55,3.6,1.66,1.9,1.96,1.8,4.5,1.88,1.7,1.9,4.0,1.8,1.75,3.25,2.0,1.85,1.85,-0.75,1.85,3.1,3.5,3.2,2.0,Nott'm Forest,Crewe,Nott'm Forest_Crewe_2004
30,3.1,2.2,2.5,0.0,2.5,2.5,3.2,0.0,2.62,2.6,2.4,2.65,3.2,2.5,1.7,2.02,2.37,2.65,1.82,2.35,2.1,2.7,1.95,2.42,3.2,1.825,2.025,2.0,0.0,1.71,3.0,3.25,3.2,1.85,Rotherham,Stoke,Rotherham_Stoke_2004
31,3.1,2.0,3.2,-0.5,2.1,3.1,3.2,-0.25,3.2,3.75,2.0,3.35,3.25,1.9,1.85,2.08,2.05,3.1,1.76,2.1,1.95,3.1,2.0,2.1,3.2,2.125,1.725,1.9,-0.25,1.79,3.0,3.2,3.2,1.8,Sheffield United,Reading,Sheffield United_Reading_2004
32,3.3,1.7,5.0,-1.0,1.57,5.5,3.5,-1.0,5.0,5.5,1.62,5.35,3.6,1.57,1.8,1.86,1.61,5.0,1.98,1.6,2.0,4.0,1.8,1.6,3.4,2.0,1.85,1.9,-1.0,1.79,3.1,3.25,3.45,2.0,Sunderland,QPR,Sunderland_QPR_2004
33,3.1,2.0,3.4,-0.5,2.1,3.0,3.2,-0.25,3.3,3.4,1.91,3.35,3.25,2.0,1.9,2.1,2.0,3.0,1.74,2.15,1.9,3.1,2.0,2.05,3.25,2.1,1.75,1.85,-0.25,1.85,3.0,3.25,3.2,1.8,Watford,Burnley,Watford_Burnley_2004
34,3.2,2.0,3.75,-0.25,2.1,3.0,3.2,-0.25,3.5,3.2,1.83,3.35,3.2,2.1,1.8,1.98,1.9,3.5,1.86,1.95,2.0,3.1,1.95,2.05,3.25,1.85,2.0,1.9,-0.25,1.79,3.0,3.2,3.2,1.85,Wolves,Leeds,Wolves_Leeds_2004
35,3.0,2.0,3.4,-0.25,2.0,3.3,3.25,-0.25,3.4,3.4,1.91,3.5,3.25,2.0,1.85,2.04,2.0,4.0,1.8,1.8,1.95,3.1,1.66,2.0,3.2,1.8,2.05,1.9,-0.5,1.79,3.0,3.25,3.15,2.0,West Ham,Wigan,West Ham_Wigan_2004
36,3.1,2.2,2.8,0.0,2.25,2.75,3.1,0.0,2.75,2.87,2.2,2.8,3.25,2.37,1.8,1.96,2.3,2.8,1.88,2.3,2.0,2.9,1.75,2.35,3.25,1.75,2.1,1.9,-0.25,1.79,2.9,3.2,3.15,2.05,Preston,Sheffield United,Preston_Sheffield United_2004
37,3.1,2.6,2.5,0.0,2.5,2.5,3.2,0.0,2.5,2.5,2.5,2.55,3.2,2.5,1.9,1.98,2.5,2.5,1.86,2.5,1.9,2.4,1.9,2.55,3.2,1.95,1.9,1.85,0.0,1.85,2.9,3.2,3.2,1.9,Burnley,Wolves,Burnley_Wolves_2004
38,3.1,2.0,3.2,-0.25,2.1,3.0,3.25,-0.25,3.0,3.0,2.0,3.1,3.25,2.1,1.8,2.0,2.15,3.25,1.84,2.0,2.0,3.1,1.95,2.15,3.25,1.85,2.0,1.9,-0.25,1.79,3.1,3.2,3.2,1.85,Coventry,Millwall,Coventry_Millwall_2004
39,3.1,2.9,2.38,0.25,2.8,2.25,3.2,0.25,2.3,2.25,2.75,2.3,3.25,2.75,1.9,2.0,2.75,2.2,1.84,2.9,1.9,2.2,2.0,2.85,3.2,1.8,2.05,1.85,0.25,1.85,2.9,3.0,3.2,1.8,Crewe,West Ham,Crewe_West Ham_2004
40,3.2,1.9,4.0,-0.5,1.83,3.75,3.25,-0.5,3.75,3.75,1.73,3.75,3.25,1.83,2.05,1.88,1.83,4.0,1.96,1.8,1.75,3.4,1.74,1.9,3.25,1.975,1.875,1.75,-0.5,1.95,3.1,3.4,3.25,1.9,Ipswich,Cardiff,Ipswich_Cardiff_2004
41,3.2,2.0,3.2,-0.25,2.0,3.3,3.2,-0.25,3.1,3.5,2.0,3.0,3.25,1.9,1.85,1.84,2.05,3.1,2.0,2.1,1.95,3.2,1.95,2.15,3.2,1.825,2.025,1.9,-0.25,1.79,3.0,3.2,3.3,1.85,Leeds,Nott'm Forest,Leeds_Nott'm Forest_2004
42,3.5,1.55,5.0,-0.75,1.57,5.5,3.5,-0.75,5.5,5.5,1.57,5.4,3.4,1.57,1.95,2.06,1.53,5.0,1.78,1.6,1.85,4.6,1.95,1.6,3.4,1.825,2.025,1.85,-0.75,1.85,3.4,3.5,3.45,1.85,Leicester,Watford,Leicester_Watford_2004
43,3.1,2.2,2.6,0.0,2.38,2.62,3.2,0.0,2.62,2.7,2.38,2.55,3.2,2.3,1.8,2.14,2.37,2.5,1.7,2.5,2.0,2.9,1.95,2.55,3.2,1.825,2.025,1.9,0.0,1.79,2.9,3.2,3.2,1.85,Plymouth,Sunderland,Plymouth_Sunderland_2004
44,3.2,2.2,2.75,-0.25,2.25,2.8,3.25,-0.25,2.75,2.75,2.25,2.8,3.25,2.25,1.8,1.82,2.25,2.75,2.02,2.25,2.0,2.9,1.75,2.3,3.2,2.075,1.775,1.9,-0.25,1.79,2.9,3.2,3.25,2.05,QPR,Derby,QPR_Derby_2004
45,2.9,1.7,5.0,-0.75,1.67,4.5,3.25,-0.75,4.5,5.0,1.67,4.8,3.4,1.61,1.85,1.88,1.8,5.0,1.96,1.65,1.95,4.0,1.75,1.7,3.4,2.1,1.75,1.9,-0.75,1.79,3.2,3.2,3.3,2.05,Reading,Rotherham,Reading_Rotherham_2004
46,3.2,1.9,3.75,-0.5,1.83,3.75,3.25,-0.5,3.75,4.0,1.83,3.6,3.25,1.8,1.8,1.92,1.83,4.0,1.92,1.8,2.0,3.4,1.69,1.95,3.25,1.95,1.9,1.9,-0.5,1.79,3.1,3.2,3.2,1.95,Stoke,Gillingham,Stoke_Gillingham_2004
47,3.75,1.45,7.0,-1.0,1.44,6.5,3.6,-1.0,7.0,7.5,1.4,7.0,3.75,1.4,1.9,1.98,1.4,6.0,1.86,1.5,1.9,5.0,2.0,1.45,3.75,1.825,2.025,1.79,-1.0,1.9,3.8,3.75,3.75,1.8,Wigan,Brighton,Wigan_Brighton_2004
48,3.1,1.9,3.75,-0.5,2.0,3.25,3.2,,3.6,3.75,1.8,3.5,3.2,2.0,1.9,,1.9,3.1,,2.1,1.9,3.3,1.67,2.0,3.25,2.1,1.75,1.85,-0.5,1.85,3.1,3.25,3.2,2.0,Gillingham,QPR,Gillingham_QPR_2004
