,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,SBH,SBA,SJA,BbMxH,BWD,BbAvA,WHA,B365A,SJD,LBH,GBD,VCH,GBA,B365D,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,Bb1X2,BWH,IWA,BbMx>2.5,VCD,BbAvAHA,SJH,GBH,BbAH,SBD,BbAvAHH,VCA,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,3.1,3.4,1.7,3.1,2.3,2.5,2.38,2.75,2.88,2.5,3.25,2.73,2.75,2.62,3.4,2.5,3.25,2.25,2.7,3.25,2.31,27,2.37,-0.25,1.83,2.3,2.14,2.85,1.99,46,2.2,2.6,2.2,3.25,1.77,2.2,2.35,13,3.2,2.06,2.75,3.0,3.2,3.17,1.75,Crewe,Burnley,Crewe_Burnley_2005
1,6.25,3.8,1.9,3.4,1.6,5.5,1.57,5.5,5.5,1.65,3.8,5.43,4.8,5.5,3.5,1.53,3.6,1.6,5.0,3.75,1.55,27,1.53,-1.0,1.8,1.6,2.17,5.5,1.77,46,1.5,4.4,1.85,3.6,1.73,1.57,1.6,12,3.5,2.12,4.5,3.4,3.5,3.49,2.0,Crystal Palace,Luton,Crystal Palace_Luton_2005
2,5.5,3.55,1.85,3.4,1.65,4.5,1.67,4.75,5.0,1.67,3.5,4.81,4.8,4.5,3.25,1.67,3.5,1.65,5.0,3.5,1.63,27,1.66,-0.75,2.09,1.6,1.83,4.55,1.84,46,1.65,4.2,1.95,3.4,2.03,1.67,1.6,12,3.5,1.8,4.5,3.3,3.25,3.4,1.95,Derby,Brighton,Derby_Brighton_2005
3,3.5,3.4,1.77,3.2,2.0,2.8,2.0,3.4,3.4,2.2,3.25,3.16,3.2,3.4,3.25,2.2,3.25,2.0,3.3,3.25,2.05,26,2.0,-0.25,2.05,2.0,1.85,2.85,1.92,45,2.2,3.1,2.1,3.25,2.01,2.0,2.0,12,3.25,1.81,3.25,3.1,3.2,3.21,1.85,Hull,QPR,Hull_QPR_2005
4,5.0,3.6,1.95,3.25,1.65,4.5,1.62,5.0,5.0,1.85,3.6,4.52,4.2,4.5,3.5,1.67,3.5,1.75,4.5,3.5,1.68,27,1.66,-0.75,1.78,1.72,2.11,4.8,1.73,46,1.6,4.2,1.85,3.25,1.76,1.62,1.67,12,3.5,2.07,4.35,3.3,3.25,3.38,2.05,Ipswich,Cardiff,Ipswich_Cardiff_2005
5,5.65,3.6,1.88,3.3,1.7,5.0,1.62,5.0,5.5,1.72,3.4,4.78,4.5,5.0,3.5,1.57,3.5,1.65,5.0,3.5,1.63,26,1.61,-0.75,2.0,1.66,1.94,4.3,1.8,45,1.7,4.0,1.9,3.4,1.95,1.57,1.61,11,3.5,1.87,4.5,3.2,3.5,3.4,1.97,Norwich,Coventry,Norwich_Coventry_2005
6,4.75,3.5,1.75,3.25,1.75,4.33,1.73,4.33,4.33,1.83,3.45,4.26,4.2,4.0,3.4,1.73,3.5,1.8,4.3,3.6,1.73,27,1.72,-0.5,2.1,1.72,1.83,4.25,1.94,46,1.7,3.8,2.1,3.25,2.04,1.73,1.72,12,3.4,1.79,4.0,3.2,3.2,3.32,1.8,Reading,Plymouth,Reading_Plymouth_2005
7,4.0,3.3,1.73,3.1,2.0,3.2,2.1,3.4,4.0,2.1,3.25,3.36,3.3,3.75,3.25,2.0,3.25,2.0,3.4,3.2,1.98,26,2.0,-0.5,1.9,2.0,2.04,2.95,1.97,45,2.15,3.1,2.11,3.1,1.84,1.83,2.0,14,3.25,1.99,3.4,3.1,3.2,3.19,1.8,Sheffield United,Leicester,Sheffield United_Leicester_2005
8,3.4,3.3,1.76,3.1,2.1,2.8,2.2,3.2,3.4,2.3,3.3,3.05,3.1,3.4,3.25,2.2,3.2,2.1,3.2,3.25,2.12,26,2.1,-0.25,1.95,2.1,2.0,3.25,1.94,44,2.0,3.0,2.1,3.25,1.88,2.0,2.1,14,3.2,1.94,3.0,3.0,3.2,3.16,1.81,Southampton,Wolves,Southampton_Wolves_2005
9,3.6,3.3,1.65,3.2,2.1,3.0,2.2,3.0,3.2,2.3,3.3,3.03,2.8,3.2,3.2,2.1,3.25,2.1,3.15,3.2,2.14,27,2.1,-0.25,1.9,2.2,2.0,3.4,2.06,45,1.95,3.0,2.27,3.25,1.86,2.1,2.1,13,3.2,1.96,3.0,3.0,3.2,3.19,1.7,Stoke,Sheffield Weds,Stoke_Sheffield Weds_2005
10,2.7,3.3,1.69,3.1,2.4,2.6,2.5,2.6,2.75,2.75,3.2,2.48,2.5,2.5,3.2,2.38,3.3,2.5,2.5,3.25,2.53,27,2.5,0.0,1.89,2.5,2.05,2.3,2.0,46,2.75,2.5,2.1,3.2,1.83,2.38,2.5,13,3.2,1.97,2.5,3.0,3.2,3.16,1.8,Watford,Preston,Watford_Preston_2005
11,6.0,3.5,1.68,3.2,1.75,4.33,1.7,5.0,5.5,1.75,3.45,4.62,4.5,5.5,3.5,1.67,3.4,1.65,4.5,3.4,1.66,20,1.66,-0.75,1.96,1.7,1.89,4.25,1.97,44,1.7,3.8,2.1,3.4,1.92,1.57,1.7,3,3.4,1.84,4.5,3.2,3.4,3.34,1.75,Leeds,Millwall,Leeds_Millwall_2005
