,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,SBH,SBA,SJA,BbMxH,BWD,BbAvA,WHA,B365A,SJD,BSD,LBH,GBD,VCH,GBA,B365D,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,BSA,Bb1X2,BWH,IWA,BbMx>2.5,VCD,BbAvAHA,SJH,GBH,BbAH,SBD,BbAvAHH,VCA,BSH,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,4.5,3.58,1.82,3.5,1.85,4.5,1.8,4.2,4.5,1.98,3.3,4.18,4.5,4.33,3.5,3.5,1.8,3.4,1.83,4.0,3.5,1.85,36,1.83,0.0,3.25,1.8,1.36,3.75,1.93,4.33,38,1.85,3.5,2.01,3.5,3.06,1.8,1.83,17,3.25,1.34,4.33,1.8,3.2,3.5,3.4,1.93,Norwich,Watford,Norwich_Watford_2010
1,4.5,3.5,1.74,3.3,1.85,4.0,1.85,4.0,4.0,2.0,3.25,3.98,3.6,4.0,3.25,3.4,1.91,3.3,1.95,4.0,3.4,1.89,31,1.91,0.0,3.0,1.83,1.4,3.8,2.02,4.33,36,1.85,3.5,2.13,3.3,2.86,1.91,1.85,16,3.25,1.37,4.0,1.83,3.2,3.4,3.33,1.82,Bristol City,Millwall,Bristol City_Millwall_2010
2,3.45,3.32,1.69,3.2,2.2,3.1,2.25,2.85,3.0,2.3,3.2,3.15,3.0,3.2,3.4,3.25,2.25,3.2,2.25,3.1,3.25,2.21,28,2.25,0.0,2.42,2.1,1.67,2.85,2.08,3.3,36,2.25,2.8,2.2,3.3,2.27,2.2,2.2,22,3.25,1.59,3.2,2.2,3.1,3.3,3.22,1.75,Burnley,Nott'm Forest,Burnley_Nott'm Forest_2010
3,3.45,3.35,1.62,3.2,2.2,3.1,2.2,2.95,3.0,2.33,3.2,3.04,3.0,3.25,3.25,3.3,2.25,3.25,2.25,2.85,3.2,2.25,25,2.25,0.0,2.35,2.1,1.68,2.75,2.18,3.0,35,2.3,2.8,2.3,3.2,2.2,2.25,2.3,20,3.25,1.62,3.3,2.25,3.1,3.3,3.23,1.68,Coventry,Portsmouth,Coventry_Portsmouth_2010
4,2.8,3.3,1.63,3.1,2.45,2.5,2.7,2.4,2.5,2.77,3.2,2.59,2.5,2.63,3.25,3.25,2.75,3.25,2.62,2.45,3.25,2.6,28,2.63,0.0,1.99,2.5,1.96,2.4,2.16,2.75,36,2.6,2.45,2.27,3.2,1.87,2.63,2.65,26,3.2,1.88,2.75,2.5,3.1,3.3,3.19,1.67,Crystal Palace,Leicester,Crystal Palace_Leicester_2010
5,3.59,3.3,1.61,3.2,2.1,3.5,2.2,3.0,3.1,2.27,3.2,3.21,3.0,3.25,3.25,3.25,2.1,3.2,2.2,3.1,3.2,2.18,28,2.25,0.0,2.4,2.1,1.63,2.9,2.19,3.1,37,2.2,3.0,2.33,3.25,2.28,2.2,2.2,22,3.2,1.58,3.4,2.3,3.1,3.3,3.21,1.67,Hull,Swansea,Hull_Swansea_2010
6,4.0,3.4,1.66,3.2,2.0,3.75,2.0,3.4,3.5,2.15,3.25,3.6,3.3,3.8,3.4,3.25,2.0,3.25,2.1,3.75,3.3,2.02,27,2.0,0.0,2.75,1.95,1.55,3.15,2.1,4.0,36,2.05,3.1,2.22,3.3,2.56,2.0,1.95,19,3.25,1.46,3.6,1.95,3.2,3.4,3.26,1.73,Leeds,Derby,Leeds_Derby_2010
7,4.5,3.63,1.66,3.3,1.8,4.33,1.85,4.0,4.33,1.92,3.3,4.09,3.75,4.5,3.25,3.4,1.83,3.3,1.83,3.8,3.4,1.86,32,1.83,0.0,3.25,1.8,1.4,3.75,2.11,4.5,37,1.85,3.7,2.2,3.5,2.98,1.83,1.9,17,3.25,1.35,4.33,1.8,3.2,3.5,3.34,1.74,Middlesbrough,Ipswich,Middlesbrough_Ipswich_2010
8,3.4,3.36,1.77,3.2,2.2,3.25,2.25,2.85,3.0,2.35,3.25,3.14,3.2,3.2,3.25,3.25,2.2,3.25,2.25,3.25,3.25,2.21,32,2.25,0.0,2.4,2.0,1.69,2.8,1.98,3.2,35,2.25,2.8,2.1,3.3,2.24,2.25,2.1,22,3.25,1.6,3.3,2.2,3.1,3.3,3.23,1.84,Preston,Doncaster,Preston_Doncaster_2010
9,5.5,3.81,1.83,3.4,1.65,5.5,1.65,5.0,5.0,1.73,3.5,4.97,4.33,5.25,3.5,3.6,1.67,3.5,1.73,4.75,3.6,1.67,32,1.67,0.0,4.02,1.67,1.3,4.5,1.91,5.0,36,1.65,4.4,2.0,3.6,3.67,1.67,1.67,16,3.4,1.24,5.0,1.67,3.3,3.5,3.52,1.91,QPR,Barnsley,QPR_Barnsley_2010
10,7.05,4.18,1.94,3.6,1.55,6.5,1.53,5.75,6.0,1.57,3.5,6.31,5.5,7.0,3.75,3.6,1.57,3.5,1.5,6.0,4.0,1.53,34,1.5,0.0,5.46,1.5,1.22,5.5,1.8,6.5,37,1.55,4.8,1.87,4.0,4.64,1.53,1.57,17,3.6,1.16,7.0,1.57,3.5,3.6,3.71,2.05,Reading,Scunthorpe,Reading_Scunthorpe_2010
11,3.8,3.4,1.74,3.3,2.0,3.5,2.05,3.25,3.25,2.15,3.3,3.48,3.2,3.6,3.4,3.25,2.1,3.25,2.15,3.5,3.25,2.05,33,2.1,0.0,2.65,1.95,1.55,3.35,2.02,3.4,36,1.95,3.1,2.11,3.3,2.53,2.1,2.0,18,3.25,1.47,3.5,2.15,3.2,3.3,3.26,1.84,Cardiff,Sheffield United,Cardiff_Sheffield United_2010
12,3.0,3.3,1.61,3.25,2.45,2.8,2.35,2.7,2.8,2.62,3.2,2.76,2.8,2.75,3.25,3.25,2.5,3.25,2.5,2.6,3.2,2.46,29,2.6,0.0,2.14,2.5,1.83,2.6,2.2,2.9,37,2.4,2.45,2.33,3.2,2.01,2.4,2.5,27,3.25,1.76,2.88,2.4,3.1,3.3,3.21,1.67,Barnsley,Crystal Palace,Barnsley_Crystal Palace_2010
13,3.02,3.4,1.72,3.2,2.3,3.0,2.5,2.55,2.88,2.52,3.2,2.85,2.88,2.88,3.4,3.3,2.3,3.25,2.38,2.75,3.2,2.39,32,2.5,0.0,2.16,2.5,1.83,2.75,2.04,2.88,39,2.3,2.6,2.14,3.25,2.05,2.25,2.4,25,3.2,1.72,3.0,2.4,3.1,3.4,3.23,1.84,Derby,Cardiff,Derby_Cardiff_2010
14,4.38,3.54,1.67,3.6,2.0,3.6,1.9,3.6,3.75,2.0,3.2,3.8,3.8,4.0,3.4,3.4,2.0,3.4,1.95,3.75,3.4,1.94,31,1.91,0.0,2.9,1.91,1.55,3.2,2.1,3.6,38,2.05,3.1,2.22,3.5,2.68,1.91,1.9,18,3.4,1.42,3.8,2.0,3.2,3.4,3.33,1.72,Doncaster,Bristol City,Doncaster_Bristol City_2010
15,3.2,3.3,1.7,3.2,2.2,2.9,2.25,2.85,2.88,2.51,3.2,2.95,3.0,3.0,3.25,3.3,2.38,3.2,2.38,3.0,3.2,2.33,32,2.4,0.0,2.25,2.38,1.77,2.9,2.07,3.0,41,2.2,2.8,2.16,3.2,2.15,2.38,2.25,23,3.25,1.65,3.0,2.3,3.1,3.3,3.21,1.82,Ipswich,Burnley,Ipswich_Burnley_2010
16,3.12,3.3,1.61,3.25,2.2,2.8,2.4,2.7,2.88,2.5,3.2,2.85,2.9,3.0,3.2,3.25,2.5,3.25,2.38,2.75,3.25,2.4,29,2.38,0.0,2.22,2.4,1.77,2.55,2.18,2.9,38,2.45,2.8,2.31,3.2,2.08,2.38,2.4,24,3.2,1.7,3.1,2.4,3.1,3.3,3.21,1.7,Leicester,Middlesbrough,Leicester_Middlesbrough_2010
17,3.0,3.4,1.63,3.2,2.4,2.8,2.4,2.65,2.88,2.64,3.2,2.8,2.88,2.88,3.25,3.25,2.5,3.25,2.5,2.75,3.2,2.44,29,2.5,0.0,2.1,2.5,1.86,2.6,2.15,2.8,39,2.4,2.5,2.25,3.25,2.02,2.38,2.4,26,3.25,1.75,2.88,2.5,3.1,3.3,3.21,1.68,Millwall,Hull,Millwall_Hull_2010
18,2.75,3.4,1.77,3.25,2.45,2.8,2.55,2.5,2.63,2.8,3.2,2.58,2.6,2.6,3.4,3.25,2.5,3.1,2.75,2.6,3.2,2.64,34,2.75,0.0,1.97,2.7,2.0,2.5,1.98,2.6,40,2.5,2.45,2.09,3.2,1.87,2.5,2.6,27,3.2,1.88,2.62,2.62,3.1,3.3,3.2,1.87,Portsmouth,Reading,Portsmouth_Reading_2010
19,2.81,3.3,1.79,3.3,2.3,2.62,2.5,2.55,2.63,2.75,3.1,2.66,2.75,2.7,3.2,3.2,2.62,3.2,2.62,2.65,3.2,2.57,34,2.63,0.0,2.02,2.5,1.94,2.65,1.95,2.7,38,2.45,2.6,2.0,3.2,1.92,2.63,2.5,26,3.2,1.83,2.75,2.6,3.1,3.3,3.2,1.94,Scunthorpe,Norwich,Scunthorpe_Norwich_2010
20,3.43,3.35,1.63,3.3,2.1,3.25,2.2,2.95,3.0,2.3,3.3,3.07,3.1,3.2,3.25,3.3,2.25,3.2,2.25,3.0,3.25,2.25,28,2.25,0.0,2.38,2.3,1.65,2.75,2.15,3.1,38,2.25,3.0,2.25,3.2,2.21,2.3,2.25,18,3.25,1.59,3.3,2.25,3.1,3.25,3.23,1.73,Sheffield United,QPR,Sheffield United_QPR_2010
21,4.8,3.55,1.73,3.5,1.8,4.5,1.8,4.0,4.33,1.91,3.25,4.28,4.33,4.5,3.4,3.4,1.8,3.4,1.83,4.2,3.4,1.83,33,1.83,0.0,3.29,1.83,1.37,4.0,2.03,4.33,38,1.8,3.7,2.16,3.4,3.11,1.8,1.8,17,3.4,1.33,4.4,1.83,3.2,3.5,3.34,1.76,Swansea,Preston,Swansea_Preston_2010
22,3.4,3.39,1.8,3.3,2.2,3.3,2.25,2.88,3.4,2.31,3.2,3.13,3.25,3.2,3.25,3.25,2.2,3.2,2.25,3.0,3.25,2.23,34,2.25,0.0,2.5,2.2,1.66,3.0,1.94,3.3,38,2.15,2.8,2.02,3.3,2.25,2.1,2.25,22,3.25,1.59,3.25,2.2,3.1,3.3,3.23,1.91,Watford,Coventry,Watford_Coventry_2010
23,4.65,3.57,1.67,3.4,1.8,4.5,1.8,4.2,4.33,1.91,3.25,4.33,4.5,4.5,3.4,3.4,1.83,3.4,1.8,4.2,3.4,1.82,33,1.83,0.0,3.75,1.83,1.37,4.0,2.1,4.5,38,1.8,3.7,2.22,3.5,3.2,1.83,1.8,18,3.25,1.32,4.5,1.8,3.2,3.4,3.37,1.74,Nott'm Forest,Leeds,Nott'm Forest_Leeds_2010
24,4.35,3.4,1.74,3.2,1.9,4.0,1.9,3.7,3.75,2.05,3.25,3.89,4.0,3.8,3.4,3.3,1.91,3.25,2.0,4.0,3.3,1.94,30,2.0,0.0,3.15,2.0,1.5,3.75,2.02,4.2,36,1.85,3.4,2.16,3.3,2.78,1.91,1.9,17,3.25,1.39,4.0,1.91,3.2,3.4,3.26,1.81,Bristol City,Barnsley,Bristol City_Barnsley_2010
25,3.79,3.32,1.73,3.3,2.0,3.75,2.0,3.4,3.6,2.15,3.2,3.51,3.5,3.5,3.25,3.3,2.0,3.25,2.1,3.4,3.3,2.06,31,2.1,0.0,2.75,2.1,1.55,3.35,2.03,3.75,37,2.0,3.1,2.13,3.3,2.56,2.0,2.05,17,3.25,1.45,3.6,2.0,3.2,3.4,3.25,1.8,Burnley,Leicester,Burnley_Leicester_2010
26,4.5,3.66,1.76,3.5,1.9,4.5,1.8,4.2,4.0,1.93,3.45,4.13,4.2,4.33,3.5,3.4,1.8,3.25,1.83,4.0,3.5,1.85,31,1.83,0.0,3.4,1.83,1.5,3.75,1.99,4.5,37,1.8,3.4,2.1,3.5,2.94,1.83,1.9,17,3.25,1.35,4.33,1.8,3.2,3.5,3.38,1.83,Cardiff,Doncaster,Cardiff_Doncaster_2010
