,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,SJA,BbMxH,BWD,BbAvA,WHA,B365A,SJD,BSD,LBH,PSD,VCH,GBD,GBA,B365D,PSA,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,BSA,Bb1X2,BWH,IWA,BbMx>2.5,VCD,PSH,BbAvAHA,SJH,GBH,BbAH,BbAvAHH,VCA,BSH,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,5.5,3.81,1.92,3.75,1.85,4.33,4.0,1.85,3.5,4.66,4.2,5.0,3.6,3.5,1.83,3.71,1.8,3.5,4.2,3.5,5.26,1.76,33,1.73,-0.75,2.0,1.8,1.99,4.2,1.87,4.75,36,1.8,3.8,1.94,3.7,1.78,1.93,1.83,1.8,17,1.94,5.0,1.75,3.4,3.5,3.54,2.0,Cardiff,Huddersfield,Cardiff_Huddersfield_2012
1,2.4,3.45,1.83,3.25,3.0,2.25,2.3,3.33,3.2,2.28,2.2,2.25,3.3,3.3,3.1,3.45,3.3,3.2,2.25,3.25,2.3,3.03,32,3.2,0.25,2.01,3.3,1.94,2.25,1.96,2.3,36,3.1,2.2,2.05,3.4,3.33,1.97,3.0,3.1,18,1.89,2.3,2.88,3.2,3.3,3.27,1.92,Barnsley,Middlesbrough,Barnsley_Middlesbrough_2012
2,4.95,3.6,1.69,3.2,1.8,4.33,4.33,1.85,3.3,4.3,4.0,4.5,3.4,3.5,1.83,3.6,1.83,3.3,4.5,3.4,4.95,1.83,32,1.83,-0.5,2.09,1.8,1.86,4.5,2.13,4.0,36,1.8,4.0,2.25,3.5,1.83,2.05,1.83,1.8,18,1.83,5.0,1.8,3.4,3.5,3.42,1.76,Birmingham,Charlton,Birmingham_Charlton_2012
3,2.5,3.49,1.93,3.2,2.7,2.4,2.4,3.0,3.3,2.41,2.4,2.38,3.3,3.25,2.9,3.49,3.0,3.3,2.35,3.4,2.49,2.84,32,2.88,0.0,1.82,3.0,2.14,2.35,1.85,2.3,36,2.85,2.4,1.92,3.5,2.95,1.78,2.88,2.85,20,2.08,2.45,2.88,3.2,3.25,3.27,2.03,Burnley,Bolton,Burnley_Bolton_2012
4,3.2,3.3,1.59,3.2,2.3,3.1,2.88,2.55,3.2,2.96,3.2,3.2,3.2,3.3,2.3,3.27,2.5,3.2,3.0,3.2,3.11,2.37,26,2.3,0.0,2.22,2.3,1.77,3.0,2.25,2.9,36,2.3,2.8,2.4,3.2,2.55,2.15,2.4,2.3,19,1.71,3.12,2.3,3.2,3.25,3.2,1.64,Crystal Palace,Watford,Crystal Palace_Watford_2012
5,3.13,3.43,1.8,3.25,2.4,3.0,2.88,2.5,3.2,2.93,3.0,3.0,3.25,3.25,2.25,3.43,2.4,3.2,3.0,3.25,3.07,2.36,31,2.38,0.0,2.25,2.38,1.75,3.0,1.98,2.9,35,2.3,2.7,2.1,3.4,2.45,2.17,2.4,2.3,19,1.7,3.12,2.3,3.2,3.25,3.25,1.89,Derby,Sheffield Weds,Derby_Sheffield Weds_2012
6,3.69,3.34,1.59,3.2,2.2,3.3,3.2,2.3,3.1,3.23,3.4,3.4,3.25,3.3,2.2,3.34,2.2,3.1,3.4,3.2,3.69,2.2,26,2.2,-0.25,2.04,2.2,1.93,3.4,2.23,2.88,36,2.15,3.0,2.38,3.3,2.2,2.0,2.2,2.15,19,1.86,3.6,2.3,3.2,3.25,3.23,1.65,Hull,Brighton,Hull_Brighton_2012
7,2.9,3.56,1.98,3.25,2.4,2.62,2.75,2.63,3.3,2.74,2.8,2.75,3.3,3.3,2.6,3.54,2.55,3.3,2.7,3.3,2.9,2.48,32,2.5,0.0,2.08,2.5,1.87,2.7,1.8,2.75,36,2.45,2.7,1.87,3.5,2.52,2.01,2.5,2.45,21,1.83,2.8,2.38,3.2,3.3,3.27,2.07,Ipswich,Blackburn,Ipswich_Blackburn_2012
8,3.09,3.48,2.01,3.25,2.3,2.88,2.8,2.5,3.4,2.88,3.0,2.88,3.3,3.3,2.4,3.48,2.4,3.4,2.8,3.4,3.09,2.37,33,2.38,0.0,2.22,2.4,1.77,2.8,1.78,2.88,36,2.5,2.8,1.85,3.5,2.42,2.14,2.4,2.5,20,1.72,3.1,2.4,3.2,3.3,3.29,2.1,Leeds,Wolves,Leeds_Wolves_2012
9,6.78,4.24,2.17,4.0,1.65,5.5,5.5,1.65,3.9,5.67,5.0,6.0,3.8,3.75,1.62,4.26,1.6,3.9,5.25,4.0,6.77,1.57,29,1.53,-0.75,2.28,1.5,1.74,5.25,1.66,5.5,36,1.57,4.6,1.72,4.1,1.56,2.21,1.62,1.57,18,1.69,6.5,1.57,3.5,3.75,3.83,2.34,Leicester,Peterboro,Leicester_Peterboro_2012
