,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,SJA,BbMxH,BWD,BbAvA,WHA,B365A,SJD,PSD,LBH,VCH,B365D,PSA,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,Bb1X2,BWH,IWA,BbMx>2.5,VCD,PSH,BbAvAHA,SJH,BbAH,BbAvAHH,VCA,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,3.53,3.55,1.83,3.3,2.2,3.1,3.2,2.32,3.3,3.26,3.3,3.5,3.3,3.47,2.3,2.3,3.3,3.48,2.23,43,2.3,0.0,2.47,2.2,1.69,3.0,1.96,44,2.25,3.0,2.05,3.4,2.25,2.31,2.25,21,1.62,3.4,3.1,3.3,3.31,1.94,Blackburn,Cardiff,Blackburn_Cardiff_2014
1,4.39,3.59,1.71,3.4,2.0,3.75,4.0,2.02,3.2,3.96,4.0,4.2,3.4,3.58,2.0,1.95,3.5,4.41,1.95,40,2.0,-0.5,1.99,1.95,2.06,3.75,2.09,42,2.0,3.3,2.17,3.5,1.93,1.92,1.95,18,1.93,4.33,3.2,3.3,3.37,1.8,Brentford,Charlton,Brentford_Charlton_2014
2,4.6,3.55,1.69,3.3,1.75,4.33,4.33,1.98,3.25,4.27,4.33,4.5,3.3,3.56,1.85,1.92,3.5,4.53,1.89,36,1.95,-0.5,2.02,1.91,1.93,4.0,2.12,42,1.91,4.2,2.25,3.5,1.91,1.97,1.9,18,1.88,4.5,3.3,3.4,3.36,1.77,Brighton,Sheffield Weds,Brighton_Sheffield Weds_2014
3,6.5,4.33,2.06,4.0,1.6,5.5,5.8,1.61,4.0,5.88,5.5,6.5,4.0,4.31,1.57,1.6,4.33,6.24,1.56,38,1.57,-1.0,1.94,1.57,2.05,5.5,1.74,42,1.55,4.8,1.8,4.3,1.58,1.88,1.57,20,1.96,6.0,3.6,4.0,4.01,2.2,Derby,Rotherham,Derby_Rotherham_2014
4,2.8,3.4,1.81,3.1,2.5,2.75,2.63,2.78,3.2,2.66,2.7,2.8,3.25,3.38,2.5,2.7,3.4,2.74,2.63,41,2.7,0.0,1.99,2.7,1.96,2.6,1.97,41,2.6,2.6,2.08,3.4,2.75,1.93,2.63,20,1.9,2.75,3.1,3.3,3.24,1.89,Huddersfield,Bournemouth,Huddersfield_Bournemouth_2014
5,2.9,3.42,1.74,3.1,2.5,2.75,2.75,2.74,3.2,2.72,2.7,2.8,3.2,3.42,2.5,2.7,3.4,2.87,2.59,38,2.7,0.0,2.05,2.7,1.92,2.6,2.05,42,2.6,2.6,2.15,3.4,2.6,1.96,2.63,20,1.87,2.8,3.1,3.3,3.22,1.85,Ipswich,Fulham,Ipswich_Fulham_2014
6,5.01,3.75,1.77,3.4,1.8,4.33,4.5,1.85,3.3,4.5,4.5,5.0,3.5,3.65,1.83,1.83,3.75,4.73,1.8,40,1.8,-0.75,1.87,1.83,2.11,4.5,2.02,42,1.8,4.0,2.1,3.75,1.85,1.82,1.8,17,2.04,4.8,3.2,3.5,3.5,1.87,Middlesbrough,Birmingham,Middlesbrough_Birmingham_2014
7,3.45,3.44,1.76,3.1,2.3,3.0,3.25,2.38,3.2,3.18,3.1,3.25,3.3,3.44,2.3,2.3,3.4,3.4,2.26,40,2.38,0.0,2.47,2.38,1.73,3.2,2.03,42,2.2,2.8,2.13,3.4,2.24,2.31,2.25,18,1.62,3.3,3.1,3.3,3.28,1.85,Millwall,Leeds,Millwall_Leeds_2014
8,11.02,5.7,2.12,5.0,1.3,8.5,9.5,1.36,5.25,9.42,9.0,11.0,5.25,5.58,1.33,1.3,5.5,9.36,1.31,33,1.33,-1.5,2.0,1.33,1.96,9.0,1.69,39,1.28,8.5,1.79,5.5,1.35,1.92,1.3,20,1.92,11.0,4.4,5.0,5.18,2.3,Nott'm Forest,Blackpool,Nott'm Forest_Blackpool_2014
9,3.85,3.68,1.91,3.3,2.0,3.4,3.6,2.15,3.3,3.53,3.5,3.75,3.4,3.69,2.1,2.1,3.6,3.78,2.06,38,2.1,-0.25,2.18,2.1,1.86,3.6,1.86,42,2.0,3.3,2.0,3.6,2.04,2.07,2.05,19,1.79,3.6,3.2,3.4,3.4,2.03,Watford,Bolton,Watford_Bolton_2014
10,4.87,3.77,1.74,3.4,1.9,4.5,4.5,1.91,3.3,4.36,4.33,4.6,3.5,3.69,1.83,1.83,3.75,4.78,1.82,40,1.83,-0.5,2.12,1.83,1.9,4.33,2.06,42,1.83,3.6,2.17,3.75,1.83,2.06,1.83,16,1.81,4.75,3.2,3.4,3.52,1.84,Wigan,Reading,Wigan_Reading_2014
11,3.41,3.46,1.75,3.2,2.2,3.0,3.2,2.4,3.25,3.12,3.2,3.4,3.3,3.46,2.25,2.38,3.4,3.28,2.28,40,2.3,-0.25,1.93,2.3,2.03,3.1,2.04,44,2.2,3.0,2.16,3.4,2.32,1.89,2.25,17,1.97,3.25,3.1,3.2,3.27,1.85,Wolves,Norwich,Wolves_Norwich_2014
12,2.5,3.4,1.54,3.2,2.7,2.37,2.38,3.31,3.1,2.37,2.5,2.4,3.13,3.22,2.87,3.25,3.3,2.42,3.08,38,3.3,0.0,1.75,2.8,2.31,2.35,2.4,48,3.0,2.4,2.62,3.12,3.31,1.68,3.13,23,2.2,2.5,3.1,3.3,3.16,1.61,Birmingham,Brighton,Birmingham_Brighton_2014
13,1.8,3.9,1.85,3.4,4.0,1.75,1.73,5.5,3.5,1.72,1.75,1.75,3.5,3.76,4.5,5.0,3.8,1.74,4.98,45,5.25,0.75,2.01,5.0,1.94,1.7,1.92,48,4.75,1.8,2.04,3.8,5.39,1.96,5.0,22,1.89,1.75,3.2,3.5,3.56,1.96,Blackpool,Blackburn,Blackpool_Blackburn_2014
14,2.8,3.42,1.76,3.1,2.5,2.7,2.63,2.78,3.1,2.66,2.7,2.75,3.2,3.38,2.55,2.7,3.4,2.77,2.64,45,2.7,0.0,1.98,2.7,1.96,2.6,2.02,48,2.7,2.6,2.1,3.4,2.72,1.93,2.63,24,1.9,2.8,3.1,3.3,3.22,1.87,Bolton,Nott'm Forest,Bolton_Nott'm Forest_2014
15,4.75,3.85,1.98,3.4,1.9,4.2,4.33,1.9,3.4,4.35,4.5,4.5,3.4,3.73,1.85,1.87,3.75,4.57,1.82,45,1.85,-0.75,1.89,1.83,2.1,4.0,1.81,48,1.85,3.6,1.91,3.75,1.85,1.8,1.83,22,2.05,4.5,3.2,3.5,3.51,2.08,Bournemouth,Brentford,Bournemouth_Brentford_2014
16,5.5,3.85,1.83,3.4,1.7,5.5,5.0,1.79,3.6,4.9,5.0,5.25,3.6,3.9,1.66,1.75,3.9,5.32,1.72,45,1.73,-0.75,1.94,1.75,2.04,5.0,1.94,48,1.65,4.3,2.03,3.9,1.72,1.88,1.73,22,1.97,5.0,3.4,3.6,3.59,1.93,Cardiff,Huddersfield,Cardiff_Huddersfield_2014
17,2.4,3.41,1.6,3.2,3.0,2.3,2.25,3.41,3.2,2.28,2.3,2.3,3.2,3.35,3.1,3.4,3.4,2.28,3.19,38,3.4,0.25,2.03,3.2,1.94,2.25,2.27,48,3.1,2.2,2.38,3.4,3.47,1.97,3.25,22,1.89,2.3,3.1,3.3,3.21,1.71,Charlton,Wigan,Charlton_Wigan_2014
