,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,BbMxH,BWD,BbAvA,WHA,B365A,PSD,LBH,VCH,B365D,PSA,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,Bb1X2,BWH,IWA,BbMx>2.5,VCD,PSH,BbAvAHA,BbAH,BbAvAHH,VCA,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,3.5,3.4,1.65,3.3,2.4,3.4,2.4,3.2,3.17,3.1,3.4,3.36,2.3,2.38,3.4,3.29,2.29,41,2.3,0.0,2.34,2.3,1.75,3.2,2.19,43,2.2,2.7,2.28,3.4,2.39,2.25,24,1.65,3.25,3.1,3.3,3.23,1.72,Brighton,Nott'm Forest,Brighton_Nott'm Forest_2015
1,3.1,3.44,1.69,3.1,2.4,3.0,2.5,3.3,2.93,3.0,3.1,3.44,2.5,2.5,3.4,3.02,2.41,41,2.45,-0.25,1.81,2.5,2.14,3.0,2.11,44,2.25,2.7,2.2,3.4,2.48,1.77,25,2.07,3.0,3.1,3.1,3.24,1.83,Birmingham,Reading,Birmingham_Reading_2015
2,3.0,3.44,1.79,3.0,2.3,2.88,2.63,3.3,2.8,2.9,2.88,3.44,2.62,2.55,3.4,2.87,2.51,43,2.63,0.0,2.11,2.62,1.87,2.75,1.98,44,2.4,2.8,2.1,3.4,2.59,2.02,26,1.8,3.0,3.1,3.25,3.24,2.0,Blackburn,Wolves,Blackburn_Wolves_2015
3,2.15,3.53,1.8,3.3,3.2,2.1,3.9,3.3,2.05,2.1,2.1,3.53,3.4,3.8,3.5,2.06,3.58,43,3.75,0.5,2.09,3.6,1.86,1.95,1.97,44,3.8,2.1,2.06,3.5,3.9,2.03,26,1.8,2.1,3.1,3.4,3.36,2.0,Bolton,Derby,Bolton_Derby_2015
4,3.8,3.68,1.96,3.3,2.0,3.6,2.1,3.25,3.48,3.6,3.8,3.68,2.1,2.1,3.6,3.6,2.04,43,2.05,-0.5,1.84,2.1,2.1,3.7,1.81,44,2.0,3.3,1.9,3.6,2.1,1.79,26,2.04,3.6,3.2,3.3,3.45,2.11,Brentford,Ipswich,Brentford_Ipswich_2015
5,3.5,3.56,1.85,3.3,2.1,3.1,2.3,3.25,3.27,3.0,3.4,3.56,2.3,2.2,3.5,3.49,2.17,42,2.25,-0.25,2.04,2.3,1.91,3.4,1.92,43,2.1,3.2,2.0,3.5,2.18,1.97,24,1.86,3.5,3.1,3.4,3.36,2.0,Cardiff,Fulham,Cardiff_Fulham_2015
6,2.55,3.45,1.76,3.1,2.8,2.5,3.05,3.2,2.44,2.5,2.5,3.45,3.0,2.9,3.4,2.52,2.89,42,3.0,0.25,2.16,3.0,1.81,2.35,2.02,44,2.9,2.3,2.12,3.4,2.95,2.08,25,1.76,2.55,3.1,3.25,3.25,1.86,Charlton,QPR,Charlton_QPR_2015
7,5.5,3.88,1.81,3.4,1.6,5.5,1.75,3.6,5.09,5.5,5.5,3.88,1.73,1.75,3.8,5.43,1.69,42,1.73,-0.75,2.04,1.73,1.98,5.0,1.97,44,1.65,4.8,2.06,3.8,1.71,1.92,25,1.9,5.25,3.6,3.4,3.63,2.1,Hull,Huddersfield,Hull_Huddersfield_2015
8,2.6,3.4,1.64,3.2,2.7,2.6,3.1,3.2,2.46,2.6,2.5,3.32,2.75,3.1,3.4,2.52,2.9,41,3.0,0.25,2.16,2.75,1.81,2.5,2.21,43,2.75,2.4,2.33,3.3,3.06,2.09,24,1.76,2.5,3.1,3.3,3.19,1.7,Leeds,Burnley,Leeds_Burnley_2015
9,2.75,3.43,1.79,3.1,2.4,2.7,2.93,3.1,2.54,2.7,2.63,3.43,2.6,2.88,3.4,2.55,2.74,43,2.88,0.0,1.97,2.7,2.1,2.6,1.99,44,2.7,2.7,2.07,3.4,2.93,1.83,26,1.99,2.63,3.1,3.4,3.28,1.87,Rotherham,Milton Keynes Dons,Rotherham_Milton Keynes Dons_2015
10,3.4,3.4,1.69,3.0,2.3,3.2,2.45,3.25,3.14,3.3,3.3,3.35,2.38,2.3,3.3,3.2,2.3,42,2.38,-0.25,1.92,2.38,2.07,3.25,2.12,44,2.15,2.8,2.21,3.3,2.41,1.84,25,1.99,3.4,3.1,3.2,3.21,1.75,Sheffield Weds,Bristol City,Sheffield Weds_Bristol City_2015
11,2.46,3.4,1.65,3.1,2.8,2.4,3.2,3.25,2.37,2.4,2.4,3.3,3.1,3.1,3.4,2.46,3.02,37,3.2,0.25,2.13,3.1,1.83,2.35,2.17,43,2.9,2.3,2.33,3.4,3.16,2.06,24,1.78,2.45,3.1,3.3,3.2,1.73,Preston,Middlesbrough,Preston_Middlesbrough_2015
12,2.75,3.63,2.0,3.1,2.5,2.7,2.8,3.3,2.57,2.7,2.7,3.63,2.7,2.75,3.5,2.62,2.66,41,2.7,0.0,1.94,2.7,2.02,2.65,1.77,42,2.5,2.6,1.85,3.6,2.72,1.87,27,1.96,2.63,3.1,3.2,3.37,2.15,Bristol City,Brentford,Bristol City_Brentford_2015
13,5.0,3.65,1.73,3.2,1.85,4.5,1.91,3.5,4.43,4.5,4.75,3.65,1.85,1.85,3.6,4.72,1.82,40,1.85,-0.5,2.09,1.91,1.86,4.25,2.07,41,1.8,3.8,2.17,3.6,1.85,2.02,27,1.81,4.8,3.2,3.4,3.49,1.8,Burnley,Birmingham,Burnley_Birmingham_2015
