,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,BbMxH,BWD,BbAvA,WHA,B365A,PSD,VCH,B365D,PSA,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,Bb1X2,BWH,IWA,BbMx>2.5,VCD,PSH,BbAvAHA,BbAH,BbAvAHH,VCA,IWD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,2.28,3.36,1.67,3.2,3.4,3.75,3.2,2.21,2.2,2.25,3.33,3.6,3.3,2.23,3.44,38,3.6,0.25,1.95,3.5,2.01,2.2,2.18,41,3.5,2.15,2.25,3.3,3.61,1.88,20,1.96,2.25,3.15,3.23,1.73,Reading,Derby,Reading_Derby_2018
1,3.04,3.3,1.64,3.2,2.45,2.65,3.25,2.9,2.88,3.0,3.2,2.55,3.3,3.04,2.51,35,2.6,-0.25,1.77,2.5,2.23,2.9,2.21,40,2.4,2.85,2.35,3.3,2.61,1.72,19,2.15,3.0,3.05,3.16,1.7,Birmingham,Norwich,Birmingham_Norwich_2018
2,7.08,4.75,2.21,4.4,1.48,1.55,4.1,6.32,5.8,7.0,4.45,1.5,4.75,6.92,1.5,35,1.5,-1.0,2.09,1.5,1.89,6.5,1.64,38,1.48,5.9,1.7,4.75,1.52,2.01,22,1.83,6.5,4.25,4.33,2.26,Brentford,Rotherham,Brentford_Rotherham_2018
3,3.0,3.4,1.77,3.25,2.45,2.66,3.25,2.83,2.8,2.87,3.29,2.55,3.4,3.0,2.53,38,2.6,-0.25,1.77,2.5,2.25,2.75,2.02,41,2.5,2.8,2.13,3.4,2.57,1.71,19,2.16,3.0,3.15,3.23,1.83,Bristol City,Nott'm Forest,Bristol City_Nott'm Forest_2018
4,2.83,3.25,1.65,3.0,2.6,2.8,3.25,2.74,2.7,2.8,3.17,2.75,3.25,2.83,2.68,36,2.75,-0.25,1.69,2.75,2.36,2.75,2.2,40,2.5,2.7,2.28,3.25,2.8,1.65,18,2.28,2.8,3.05,3.12,1.7,Ipswich,Blackburn,Ipswich_Blackburn_2018
5,2.87,3.2,1.58,3.1,2.65,2.85,3.1,2.73,2.7,2.87,3.1,2.8,3.2,2.85,2.74,35,2.75,0.0,1.98,2.7,1.97,2.65,2.32,41,2.7,2.7,2.46,3.2,2.84,1.92,19,1.92,2.8,2.95,3.05,1.63,Millwall,Middlesbrough,Millwall_Middlesbrough_2018
6,4.5,3.6,1.77,3.6,1.85,1.96,3.3,4.09,4.0,4.5,3.53,1.95,3.6,4.49,1.91,38,1.9,-0.5,1.99,1.85,1.97,3.9,2.02,41,1.95,4.1,2.13,3.6,1.93,1.93,18,1.92,4.2,3.35,3.43,1.84,Preston,QPR,Preston_QPR_2018
7,3.56,3.4,1.66,3.3,2.2,2.3,3.2,3.36,3.2,3.5,3.3,2.25,3.4,3.56,2.23,37,2.25,-0.25,1.98,2.25,1.97,3.25,2.19,41,2.3,3.3,2.29,3.4,2.26,1.92,20,1.92,3.5,3.1,3.22,1.72,Sheffield United,Swansea,Sheffield United_Swansea_2018
8,9.0,4.53,1.89,4.5,1.45,1.5,4.2,7.54,7.5,9.0,4.53,1.45,4.5,8.52,1.44,39,1.44,-1.0,2.18,1.4,1.8,7.5,1.89,41,1.44,6.8,2.0,4.5,1.45,2.1,21,1.75,8.0,4.2,4.3,1.96,West Brom,Bolton,West Brom_Bolton_2018
9,3.66,3.4,1.66,3.3,2.15,2.25,3.25,3.41,3.3,3.6,3.28,2.25,3.4,3.66,2.2,37,2.2,-0.25,2.02,2.2,1.95,3.3,2.18,41,2.2,3.35,2.25,3.4,2.23,1.96,20,1.89,3.5,3.1,3.23,1.72,Wigan,Sheffield Weds,Wigan_Sheffield Weds_2018
10,2.8,3.3,1.75,3.2,2.65,2.81,3.25,2.65,2.62,2.8,3.25,2.7,3.3,2.76,2.7,35,2.75,0.25,2.34,2.7,1.7,2.65,2.05,39,2.6,2.6,2.13,3.3,2.81,2.26,18,1.66,2.63,3.15,3.2,1.81,Leeds,Stoke,Leeds_Stoke_2018
11,2.86,3.3,1.73,3.2,2.55,2.75,3.2,2.76,2.75,2.8,3.24,2.6,3.3,2.86,2.61,34,2.75,-0.25,1.71,2.6,2.31,2.75,2.06,39,2.55,2.75,2.16,3.3,2.72,1.66,18,2.24,2.75,3.15,3.19,1.8,Hull,Aston Villa,Hull_Aston Villa_2018
12,3.73,3.3,1.62,3.1,2.15,2.3,3.3,3.46,3.5,3.6,3.28,2.25,3.3,3.6,2.2,34,2.25,-0.25,1.99,2.2,1.95,3.6,2.25,37,2.05,3.4,2.38,3.3,2.26,1.95,18,1.9,3.6,3.1,3.17,1.67,Middlesbrough,Sheffield United,Middlesbrough_Sheffield United_2018
13,3.1,3.3,1.69,3.2,2.45,2.57,3.2,2.95,3.0,3.0,3.22,2.55,3.3,3.07,2.48,34,2.54,-0.25,1.8,2.4,2.19,2.9,2.13,36,2.45,2.9,2.22,3.2,2.56,1.75,16,2.12,3.0,3.05,3.16,1.75,Nott'm Forest,West Brom,Nott'm Forest_West Brom_2018
14,4.25,3.5,1.78,3.3,1.95,2.05,3.4,3.91,3.75,4.1,3.39,2.05,3.5,4.25,1.99,37,2.0,-0.25,2.24,2.0,1.77,4.2,2.03,39,1.95,3.8,2.11,3.5,2.02,2.15,19,1.72,4.0,3.3,3.36,1.85,Aston Villa,Wigan,Aston Villa_Wigan_2018
15,3.2,3.3,1.67,3.0,2.45,2.6,3.3,3.03,3.0,3.1,3.17,2.55,3.25,3.09,2.47,35,2.54,-0.25,1.81,2.5,2.19,3.1,2.19,38,2.35,2.9,2.3,3.25,2.59,1.77,20,2.1,3.1,3.05,3.12,1.73,Blackburn,Millwall,Blackburn_Millwall_2018
16,2.65,3.31,1.71,3.0,2.85,3.1,3.2,2.51,2.5,2.6,3.29,3.0,3.3,2.61,2.9,36,3.0,0.25,2.22,3.0,1.77,2.6,2.1,39,2.85,2.45,2.19,3.3,2.96,2.14,19,1.73,2.55,3.15,3.22,1.77,Bolton,Bristol City,Bolton_Bristol City_2018
17,3.7,3.52,1.84,3.3,2.05,2.2,3.5,3.51,3.5,3.7,3.52,2.15,3.5,3.65,2.1,36,2.14,-0.25,2.08,2.1,1.86,3.7,1.96,37,2.0,3.4,2.01,3.5,2.14,2.03,19,1.82,3.6,3.3,3.4,1.93,Derby,Leeds,Derby_Leeds_2018
18,6.0,3.76,1.61,3.6,1.67,1.75,3.6,5.43,5.5,6.0,3.76,1.73,3.6,5.91,1.7,32,1.72,-0.75,1.99,1.67,1.96,5.25,2.26,38,1.72,5.3,2.36,3.75,1.69,1.93,20,1.91,5.5,3.45,3.55,1.67,Middlesbrough,Birmingham,Middlesbrough_Birmingham_2018
19,2.81,3.32,1.7,3.25,2.6,2.76,3.2,2.74,2.7,2.8,3.32,2.75,3.3,2.8,2.66,35,2.75,-0.25,1.7,2.62,2.33,2.75,2.13,38,2.65,2.7,2.23,3.3,2.72,1.66,19,2.26,2.8,3.1,3.18,1.76,Norwich,West Brom,Norwich_West Brom_2018
20,6.04,3.8,1.72,3.7,1.65,1.7,3.7,5.55,5.5,6.0,3.8,1.7,3.8,6.04,1.66,36,1.66,-0.75,2.04,1.65,1.9,5.5,2.09,39,1.67,5.3,2.17,3.8,1.68,1.98,20,1.86,5.75,3.55,3.67,1.8,Nott'm Forest,Reading,Nott'm Forest_Reading_2018
21,2.7,3.4,1.79,3.25,2.7,2.87,3.3,2.57,2.5,2.62,3.34,2.8,3.4,2.65,2.77,34,2.87,0.25,2.26,2.8,1.73,2.55,2.0,36,2.75,2.5,2.06,3.4,2.86,2.2,19,1.69,2.63,3.2,3.27,1.88,QPR,Sheffield United,QPR_Sheffield United_2018
22,3.25,3.4,1.63,3.2,2.3,2.46,3.0,3.11,3.1,3.25,3.39,2.4,3.3,3.24,2.38,32,2.4,-0.25,1.88,2.3,2.1,3.1,2.22,38,2.45,3.05,2.3,3.4,2.37,1.83,20,2.02,3.2,3.1,3.2,1.7,Rotherham,Ipswich,Rotherham_Ipswich_2018
23,3.3,3.48,1.85,3.4,2.25,2.4,3.3,3.09,2.9,3.3,3.48,2.4,3.3,3.24,2.31,37,2.37,-0.25,1.91,2.38,2.06,3.1,1.95,39,2.3,3.0,2.0,3.4,2.33,1.85,20,1.99,3.13,3.25,3.33,1.93,Sheffield Weds,Hull,Sheffield Weds_Hull_2018
24,3.31,3.54,2.03,3.4,2.2,2.3,3.4,3.19,3.1,3.3,3.49,2.3,3.5,3.3,2.24,36,2.3,-0.25,1.96,2.25,1.98,3.25,1.77,39,2.2,3.05,1.84,3.5,2.29,1.92,21,1.93,3.25,3.35,3.41,2.11,Stoke,Brentford,Stoke_Brentford_2018
25,3.25,3.3,1.71,3.25,2.35,2.5,3.2,3.13,3.0,3.2,3.29,2.45,3.3,3.18,2.37,36,2.45,-0.25,1.86,2.38,2.09,3.2,2.12,39,2.3,3.05,2.2,3.3,2.45,1.82,21,2.04,3.2,3.1,3.2,1.78,Swansea,Preston,Swansea_Preston_2018
26,2.6,3.35,1.69,3.2,2.85,3.25,3.25,2.45,2.45,2.5,3.35,3.1,3.3,2.45,3.0,38,3.1,0.25,2.14,2.9,1.81,2.4,2.15,40,2.95,2.45,2.21,3.3,3.12,2.08,19,1.77,2.5,3.1,3.21,1.77,Birmingham,Swansea,Birmingham_Swansea_2018
27,2.75,3.4,1.66,3.2,2.65,2.95,3.2,2.63,2.6,2.6,3.23,2.88,3.4,2.68,2.79,37,2.9,0.25,2.33,2.75,1.73,2.65,2.2,41,2.7,2.65,2.26,3.3,2.93,2.23,19,1.67,2.63,3.05,3.16,1.71,Bristol City,Middlesbrough,Bristol City_Middlesbrough_2018
28,3.32,3.4,1.76,3.3,2.25,2.4,3.3,3.17,3.1,3.2,3.36,2.38,3.4,3.32,2.3,38,2.4,-0.25,1.91,2.3,2.04,3.25,2.04,41,2.25,3.1,2.14,3.4,2.35,1.86,20,1.98,3.2,3.15,3.3,1.83,Hull,Blackburn,Hull_Blackburn_2018
29,2.1,3.4,1.65,3.2,3.75,4.22,3.25,2.04,2.05,2.1,3.33,3.9,3.4,2.05,3.84,37,3.9,0.25,1.8,3.75,2.21,2.05,2.22,41,3.8,2.0,2.31,3.4,4.22,1.74,19,2.12,2.1,3.2,3.27,1.7,Ipswich,Aston Villa,Ipswich_Aston Villa_2018
30,8.67,5.0,2.31,4.33,1.43,1.46,4.75,7.26,7.0,8.0,4.84,1.44,4.75,8.34,1.43,35,1.44,-1.25,1.95,1.44,2.01,7.25,1.59,41,1.4,6.5,1.63,4.8,1.43,1.9,20,1.95,7.5,4.4,4.65,2.43,Leeds,Rotherham,Leeds_Rotherham_2018
31,3.34,3.35,1.74,3.3,2.25,2.4,3.25,3.21,3.1,3.3,3.27,2.38,3.3,3.34,2.3,38,2.4,-0.25,1.92,2.3,2.02,3.2,2.07,41,2.25,3.1,2.15,3.3,2.38,1.87,20,1.97,3.3,3.15,3.24,1.81,Millwall,Derby,Millwall_Derby_2018
32,3.15,3.4,1.66,3.3,2.4,2.6,3.25,2.98,2.88,3.1,3.26,2.5,3.3,3.15,2.46,37,2.5,-0.25,1.81,2.45,2.14,2.95,2.18,41,2.4,2.95,2.27,3.4,2.5,1.77,20,2.1,3.0,3.15,3.21,1.73,Preston,Stoke,Preston_Stoke_2018
