,WHD,IWH,MaxAHH,Avg>2.5,AvgA,BWD,Max<2.5,B365A,PSD,WHA,Max>2.5,VCH,AHh,B365D,PSA,P<2.5,B365<2.5,B365H,MaxAHA,AvgD,AvgAHA,WHH,BWA,PAHA,BWH,B365>2.5,IWA,MaxD,VCD,PSH,P>2.5,MaxA,PAHH,AvgH,B365AHH,B365AHA,Avg<2.5,MaxH,VCA,IWD,AvgAHH,HomeTeam,AwayTeam,idGame
0,3.3,2.25,2.03,2.06,3.19,3.2,1.82,3.3,3.29,3.2,2.13,2.38,-0.25,3.3,3.24,1.79,1.8,2.37,1.91,3.28,1.87,2.3,3.2,1.89,2.35,2.0,3.1,3.4,3.3,2.34,2.11,3.4,2.03,2.32,2.01,1.89,1.76,2.45,3.25,3.2,1.99,Luton,Middlesbrough,Luton_Middlesbrough_2019
1,3.5,3.2,2.03,1.85,2.17,3.4,2.02,2.2,3.57,2.15,1.9,3.4,0.25,3.5,2.15,2.02,1.9,3.5,1.92,3.45,1.88,3.3,2.15,1.88,3.2,1.9,2.1,3.66,3.6,3.38,1.88,2.25,2.03,3.3,1.99,1.91,1.96,3.5,2.2,3.4,1.99,Barnsley,Fulham,Barnsley_Fulham_2019
2,3.7,1.77,2.1,2.01,4.48,3.4,1.89,4.75,3.87,4.6,2.08,1.8,-0.75,3.75,4.64,1.89,1.8,1.83,1.87,3.64,1.83,1.78,4.33,1.87,1.83,2.0,4.35,3.87,3.8,1.76,2.01,4.85,2.05,1.8,2.02,1.77,1.81,1.85,4.75,3.5,2.03,Blackburn,Charlton,Blackburn_Charlton_2019
3,3.75,1.7,1.98,1.86,4.92,3.6,2.03,5.5,3.86,5.0,1.92,1.73,-0.75,4.0,5.0,2.03,1.9,1.7,1.97,3.75,1.93,1.73,4.75,1.95,1.72,1.9,4.6,4.0,3.9,1.71,1.87,5.5,1.97,1.72,1.96,1.94,1.95,1.77,5.2,3.65,1.93,Brentford,Birmingham,Brentford_Birmingham_2019
4,3.3,2.55,2.28,2.16,2.84,3.1,1.74,2.9,3.16,2.8,2.22,2.6,-0.25,3.3,2.91,1.74,1.66,2.62,1.74,3.17,1.7,2.55,2.85,1.71,2.5,2.2,2.75,3.4,3.4,2.63,2.2,2.95,2.26,2.58,2.15,1.67,1.69,2.65,2.88,3.1,2.22,Millwall,Preston,Millwall_Preston_2019
5,3.3,2.5,2.28,2.13,2.86,3.1,1.76,2.9,3.17,2.88,2.21,2.55,-0.25,3.3,2.94,1.74,1.72,2.62,1.77,3.19,1.71,2.5,2.8,1.72,2.55,2.1,2.75,3.4,3.4,2.61,2.19,3.0,2.24,2.56,2.1,1.7,1.71,2.65,2.9,3.15,2.2,Reading,Sheffield Weds,Reading_Sheffield Weds_2019
6,3.5,1.77,2.11,2.09,4.69,3.5,1.81,5.25,3.49,4.8,2.17,1.8,-0.75,3.6,4.9,1.76,1.8,1.8,1.86,3.51,1.82,1.8,4.4,1.81,1.8,2.0,4.5,3.65,3.6,1.81,2.16,5.25,2.11,1.8,2.07,1.83,1.74,1.85,5.0,3.45,2.06,Stoke,QPR,Stoke_QPR_2019
7,3.5,1.97,2.08,1.87,3.7,3.4,2.02,4.0,3.39,3.7,1.92,2.1,-0.5,3.5,3.88,2.02,1.9,2.05,1.87,3.45,1.82,2.05,3.9,1.85,1.91,1.9,3.6,3.62,3.6,2.05,1.88,4.0,2.07,2.03,2.05,1.85,1.94,2.12,3.6,3.4,2.04,Swansea,Hull,Swansea_Hull_2019
8,3.2,2.9,1.82,2.08,2.46,3.2,1.81,2.5,3.21,2.45,2.17,3.0,0.25,3.3,2.46,1.75,1.72,3.1,2.2,3.19,2.11,3.0,2.45,2.12,2.85,2.1,2.4,3.3,3.3,3.1,2.17,2.55,1.81,2.99,1.75,2.05,1.74,3.15,2.55,3.15,1.76,Wigan,Cardiff,Wigan_Cardiff_2019
9,3.25,2.35,2.14,1.91,2.97,3.2,1.97,3.0,3.34,3.0,1.96,2.55,-0.25,3.4,3.06,1.96,1.9,2.5,1.84,3.29,1.79,2.45,2.85,1.83,2.45,1.9,2.9,3.4,3.4,2.42,1.93,3.13,2.09,2.42,2.11,1.79,1.9,2.55,2.9,3.2,2.08,Nott'm Forest,West Brom,Nott'm Forest_West Brom_2019
