,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
0,1,Huddersfield,11,1,0,0,0,0,0,3,8,H,12,2012-08-17,Cardiff,E1,6,5,7,13,D,4,Cardiff_Huddersfield_2012
1,3,Middlesbrough,9,1,0,0,1,0,0,2,9,H,12,2012-08-18,Barnsley,E1,5,9,11,16,H,3,Barnsley_Middlesbrough_2012
2,0,Charlton,9,1,0,1,0,0,0,1,10,D,9,2012-08-18,Birmingham,E1,4,7,3,14,D,7,Birmingham_Charlton_2012
3,1,Bolton,10,2,0,0,1,0,0,2,11,H,11,2012-08-18,Burnley,E1,5,7,7,14,H,9,Burnley_Bolton_2012
4,0,Watford,10,2,0,3,2,0,1,2,8,A,13,2012-08-18,Crystal Palace,E1,5,2,4,4,H,4,Crystal Palace_Watford_2012
5,1,Sheffield Weds,7,2,0,2,2,0,1,2,14,D,7,2012-08-18,Derby,E1,6,4,9,6,H,4,Derby_Sheffield Weds_2012
6,2,Brighton,10,1,0,0,0,0,0,1,16,H,18,2012-08-18,Hull,E1,4,8,3,13,D,4,Hull_Brighton_2012
7,1,Blackburn,8,1,0,1,0,0,1,2,19,D,7,2012-08-18,Ipswich,E1,2,7,5,12,A,2,Ipswich_Blackburn_2012
8,4,Wolves,10,1,0,0,1,0,0,2,16,H,6,2012-08-18,Leeds,E1,1,7,8,12,H,8,Leeds_Wolves_2012
9,2,Peterboro,9,2,0,0,0,0,0,2,9,H,3,2012-08-18,Leicester,E1,2,4,9,7,D,3,Leicester_Peterboro_2012
10,1,Blackpool,8,0,0,2,0,0,1,2,7,A,11,2012-08-18,Millwall,E1,8,3,8,9,A,4,Millwall_Blackpool_2012
11,1,Bristol City,4,1,0,0,0,0,0,1,4,H,6,2012-08-18,Nott'm Forest,E1,3,4,4,10,D,7,Nott'm Forest_Bristol City_2012
12,0,Leeds,6,2,0,1,0,0,1,2,14,H,5,2012-08-21,Blackpool,E1,3,8,5,20,A,4,Blackpool_Leeds_2012
13,3,Derby,13,2,0,0,0,0,0,1,15,H,7,2012-08-21,Bolton,E1,4,10,6,16,D,5,Bolton_Derby_2012
14,0,Cardiff,5,0,0,0,0,0,0,1,10,D,10,2012-08-21,Brighton,E1,6,9,14,16,D,5,Brighton_Cardiff_2012
15,2,Crystal Palace,12,4,0,1,2,0,0,2,12,H,7,2012-08-21,Bristol City,E1,4,6,7,13,H,2,Bristol City_Crystal Palace_2012
16,0,Leicester,6,2,0,1,2,0,0,1,11,H,15,2012-08-21,Charlton,E1,6,7,6,9,H,4,Charlton_Leicester_2012
17,1,Nott'm Forest,10,1,0,1,0,0,0,3,13,D,11,2012-08-21,Huddersfield,E1,6,1,4,12,D,7,Huddersfield_Nott'm Forest_2012
18,1,Burnley,4,3,0,2,1,0,1,1,9,H,12,2012-08-21,Middlesbrough,E1,6,6,4,10,D,5,Middlesbrough_Burnley_2012
19,1,Millwall,8,1,0,2,1,0,1,2,11,A,18,2012-08-21,Peterboro,E1,10,4,1,9,D,8,Peterboro_Millwall_2012
20,1,Birmingham,9,3,0,2,2,0,0,1,8,H,11,2012-08-21,Sheffield Weds,E1,5,5,5,13,H,6,Sheffield Weds_Birmingham_2012
21,1,Ipswich,12,0,0,1,0,0,0,0,7,A,14,2012-08-21,Watford,E1,4,5,4,7,D,5,Watford_Ipswich_2012
22,0,Barnsley,11,3,0,1,1,0,0,1,13,H,13,2012-08-21,Wolves,E1,4,9,6,14,H,3,Wolves_Barnsley_2012
23,1,Hull,11,1,0,0,0,0,0,0,4,H,12,2012-08-22,Blackburn,E1,5,5,8,10,D,5,Blackburn_Hull_2012
24,3,Nott'm Forest,16,2,0,2,1,0,1,3,14,D,13,2012-08-24,Bolton,E1,6,7,8,15,D,7,Bolton_Nott'm Forest_2012
25,1,Leicester,6,2,0,1,1,0,0,1,15,H,12,2012-08-25,Blackburn,E1,7,4,3,8,H,12,Blackburn_Leicester_2012
26,1,Ipswich,7,6,0,0,2,0,0,1,7,H,5,2012-08-25,Blackpool,E1,3,7,5,11,H,5,Blackpool_Ipswich_2012
27,1,Barnsley,4,5,0,1,3,0,1,3,6,H,6,2012-08-25,Brighton,E1,3,6,4,11,H,4,Brighton_Barnsley_2012
28,0,Cardiff,10,4,0,2,2,0,0,1,7,H,14,2012-08-25,Bristol City,E1,8,6,5,13,H,6,Bristol City_Cardiff_2012
29,0,Hull,10,0,0,0,0,0,0,0,9,D,13,2012-08-25,Charlton,E1,8,6,8,9,D,6,Charlton_Hull_2012
30,1,Burnley,11,2,0,0,1,0,0,0,6,H,6,2012-08-25,Huddersfield,E1,3,7,6,10,H,9,Huddersfield_Burnley_2012
31,1,Crystal Palace,9,2,0,1,1,0,0,2,15,H,9,2012-08-25,Middlesbrough,E1,7,10,9,19,H,3,Middlesbrough_Crystal Palace_2012
32,4,Leeds,13,1,0,2,0,0,1,0,17,A,9,2012-08-25,Peterboro,E1,4,7,8,13,A,5,Peterboro_Leeds_2012
33,4,Millwall,11,3,0,2,1,0,2,1,14,H,7,2012-08-25,Sheffield Weds,E1,4,8,7,17,A,2,Sheffield Weds_Millwall_2012
34,1,Birmingham,9,2,0,0,2,0,0,0,9,H,8,2012-08-25,Watford,E1,3,3,5,10,H,2,Watford_Birmingham_2012
35,0,Derby,9,1,0,1,1,0,0,0,5,D,12,2012-08-25,Wolves,E1,11,3,4,7,H,7,Wolves_Derby_2012
36,1,Bristol City,7,1,0,0,0,1,0,1,9,H,12,2012-09-01,Barnsley,E1,5,7,7,14,D,5,Barnsley_Bristol City_2012
37,3,Peterboro,8,1,0,0,1,0,0,1,7,H,7,2012-09-01,Birmingham,E1,1,5,2,14,H,4,Birmingham_Peterboro_2012
38,2,Brighton,10,1,0,3,0,0,1,4,10,A,17,2012-09-01,Burnley,E1,10,4,4,10,A,11,Burnley_Brighton_2012
39,2,Sheffield Weds,14,2,0,1,1,0,0,3,19,H,11,2012-09-01,Crystal Palace,E1,8,5,2,10,H,10,Crystal Palace_Sheffield Weds_2012
40,1,Watford,7,5,0,1,3,0,0,1,13,H,4,2012-09-01,Derby,E1,1,11,6,12,H,3,Derby_Watford_2012
41,1,Bolton,13,3,0,1,1,0,1,1,7,H,12,2012-09-01,Hull,E1,6,5,5,11,D,8,Hull_Bolton_2012
42,1,Huddersfield,6,2,0,2,0,0,1,1,13,D,15,2012-09-01,Ipswich,E1,8,5,10,15,A,3,Ipswich_Huddersfield_2012
43,2,Blackburn,20,3,0,3,1,0,2,3,17,D,15,2012-09-01,Leeds,E1,8,8,5,14,A,9,Leeds_Blackburn_2012
44,0,Blackpool,6,1,0,0,0,0,0,2,5,H,6,2012-09-01,Leicester,E1,1,3,14,7,D,7,Leicester_Blackpool_2012
45,3,Middlesbrough,9,3,0,1,2,0,1,3,6,H,13,2012-09-01,Millwall,E1,6,6,3,9,H,4,Millwall_Middlesbrough_2012
46,4,Charlton,11,2,0,1,1,0,0,3,11,H,4,2012-09-01,Nott'm Forest,E1,1,5,6,10,H,7,Nott'm Forest_Charlton_2012
47,1,Wolves,15,3,0,1,2,0,1,1,8,H,7,2012-09-02,Cardiff,E1,4,10,11,12,H,6,Cardiff_Wolves_2012
48,1,Sheffield Weds,7,3,0,0,1,0,0,2,9,H,8,2012-09-14,Brighton,E1,4,6,5,9,H,6,Brighton_Sheffield Weds_2012
49,2,Crystal Palace,6,0,0,1,0,0,0,3,14,A,12,2012-09-14,Charlton,E1,6,6,2,17,D,9,Charlton_Crystal Palace_2012
50,0,Blackpool,7,1,0,1,1,0,1,1,11,D,14,2012-09-15,Barnsley,E1,9,3,4,7,D,7,Barnsley_Blackpool_2012
51,2,Watford,14,2,0,1,2,0,0,2,17,H,10,2012-09-15,Bolton,E1,4,7,6,15,H,10,Bolton_Watford_2012
52,0,Blackburn,9,3,0,5,1,0,1,0,8,A,10,2012-09-15,Bristol City,E1,9,4,3,6,D,1,Bristol City_Blackburn_2012
53,1,Peterboro,8,5,0,2,2,0,2,1,9,H,11,2012-09-15,Burnley,E1,6,13,9,26,D,11,Burnley_Peterboro_2012
54,1,Leeds,10,2,0,1,0,0,0,2,10,H,5,2012-09-15,Cardiff,E1,3,7,5,17,D,0,Cardiff_Leeds_2012
55,3,Derby,10,1,0,0,1,0,0,1,14,H,5,2012-09-15,Huddersfield,E1,1,3,7,5,H,10,Huddersfield_Derby_2012
56,1,Millwall,7,4,0,1,4,0,0,2,7,H,7,2012-09-15,Hull,E1,4,17,4,26,H,5,Hull_Millwall_2012
