,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,Referee,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
0,4,Nott'm Forest,16,1,0,0,0,K Stroud,0,0,2,11,H,17,2015-08-07,Brighton,E1,3,7,10,18,D,3,Brighton_Nott'm Forest_2015
1,4,Reading,14,2,0,1,1,P Bankes,0,0,5,16,H,20,2015-08-08,Birmingham,E1,7,3,2,5,H,5,Birmingham_Reading_2015
2,2,Wolves,5,1,0,2,1,M Haywood,0,2,3,16,A,10,2015-08-08,Blackburn,E1,3,5,4,14,A,3,Blackburn_Wolves_2015
3,1,Derby,15,0,0,0,0,A Madley,1,0,1,13,D,8,2015-08-08,Bolton,E1,1,2,4,12,D,9,Bolton_Derby_2015
4,1,Ipswich,12,2,0,2,0,D Coote,0,1,0,11,D,15,2015-08-08,Brentford,E1,9,5,9,23,A,5,Brentford_Ipswich_2015
5,1,Fulham,8,1,0,1,0,D Bond,0,0,1,6,D,8,2015-08-08,Cardiff,E1,1,4,7,17,D,3,Cardiff_Fulham_2015
6,3,QPR,12,2,0,0,0,R Madley,0,0,2,13,H,11,2015-08-08,Charlton,E1,4,4,3,14,D,11,Charlton_QPR_2015
7,1,Huddersfield,12,2,0,0,1,K Hill,0,0,3,18,H,6,2015-08-08,Hull,E1,1,5,8,11,H,4,Hull_Huddersfield_2015
8,1,Burnley,10,1,0,1,0,K Friend,0,0,2,10,D,10,2015-08-08,Leeds,E1,4,4,4,15,D,4,Leeds_Burnley_2015
9,1,Milton Keynes Dons,9,1,0,4,1,N Miller,0,3,3,12,A,8,2015-08-08,Rotherham,E1,4,6,12,15,A,2,Rotherham_Milton Keynes Dons_2015
10,1,Bristol City,15,2,0,0,0,J Adcock,0,0,3,14,H,6,2015-08-08,Sheffield Weds,E1,3,5,7,13,D,2,Sheffield Weds_Bristol City_2015
11,2,Middlesbrough,13,0,0,0,0,C Kavanagh,0,0,1,11,D,7,2015-08-09,Preston,E1,0,2,1,9,D,1,Preston_Middlesbrough_2015
