,Time,HY,AwayTeam,HF,AR,FTHG,FTAG,HTHG,Referee,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
0,19:45:00,1,Middlesbrough,13,0,1,0,1,K Stroud,0,0,0,14,H,11,2020-09-11,Watford,E1,4,2,6,10,H,6,Watford_Middlesbrough_2020
1,12:30:00,4,Brentford,16,0,1,0,1,T Harrington,0,0,1,11,H,16,2020-09-12,Birmingham,E1,4,3,6,11,H,3,Birmingham_Brentford_2020
2,12:30:00,1,Rotherham,12,0,0,1,0,J Linington,0,0,1,19,A,12,2020-09-12,Wycombe,E1,2,4,3,10,D,4,Wycombe_Rotherham_2020
3,15:00:00,1,Luton,14,0,0,1,0,Jj Gillett,0,0,3,10,A,3,2020-09-12,Barnsley,E1,1,1,5,10,D,6,Barnsley_Luton_2020
4,15:00:00,2,Blackburn,12,0,3,2,1,G Ward,0,1,0,16,H,15,2020-09-12,Bournemouth,E1,2,5,5,12,D,2,Bournemouth_Blackburn_2020
5,15:00:00,2,Coventry,10,0,2,1,1,J Brooks,0,1,1,12,H,16,2020-09-12,Bristol City,E1,4,6,5,11,D,7,Bristol City_Coventry_2020
6,15:00:00,0,Sheffield Weds,10,0,0,2,0,A Madley,0,2,1,19,A,8,2020-09-12,Cardiff,E1,4,2,4,7,A,6,Cardiff_Sheffield Weds_2020
7,15:00:00,3,Reading,15,0,0,2,0,D Bond,0,2,2,7,A,8,2020-09-12,Derby,E1,3,2,6,9,A,2,Derby_Reading_2020
8,15:00:00,1,Norwich,19,0,0,1,0,G Eltringham,0,0,3,15,A,16,2020-09-12,Huddersfield,E1,5,1,3,7,D,7,Huddersfield_Norwich_2020
9,15:00:00,1,Stoke,15,0,0,0,0,J Simpson,0,0,1,13,D,13,2020-09-12,Millwall,E1,4,1,2,9,D,8,Millwall_Stoke_2020
10,15:00:00,0,Swansea,16,0,0,1,0,R Jones,0,0,0,11,A,6,2020-09-12,Preston,E1,1,4,2,11,D,3,Preston_Swansea_2020
11,15:00:00,1,Nott'm Forest,13,0,2,0,0,T Robinson,0,0,2,11,H,6,2020-09-12,QPR,E1,0,3,4,9,D,2,QPR_Nott'm Forest_2020
12,19:45:00,1,QPR,10,0,3,2,1,S Martin,0,1,2,11,H,7,2020-09-18,Coventry,E1,4,5,7,12,D,4,Coventry_QPR_2020
13,12:30:00,0,Cardiff,8,0,0,2,0,J Linington,0,2,0,12,A,9,2020-09-19,Nott'm Forest,E1,4,3,9,13,A,2,Nott'm Forest_Cardiff_2020
14,15:00:00,0,Wycombe,17,1,5,0,3,P Bankes,0,0,1,13,H,9,2020-09-19,Blackburn,E1,1,16,12,23,H,2,Blackburn_Wycombe_2020
15,15:00:00,1,Huddersfield,13,0,3,0,0,C Pawson,0,0,0,9,H,10,2020-09-19,Brentford,E1,4,6,6,23,D,3,Brentford_Huddersfield_2020
16,15:00:00,2,Derby,15,0,2,1,1,D Whitestone,0,0,0,13,H,14,2020-09-19,Luton,E1,3,3,4,9,H,5,Luton_Derby_2020
17,15:00:00,1,Bournemouth,12,0,1,1,0,M Donohue,0,1,2,20,D,9,2020-09-19,Middlesbrough,E1,4,7,7,18,A,7,Middlesbrough_Bournemouth_2020
18,15:00:00,1,Preston,6,0,2,2,1,J Brooks,0,2,2,13,D,16,2020-09-19,Norwich,E1,6,6,4,14,A,9,Norwich_Preston_2020
19,15:00:00,1,Barnsley,11,2,2,0,0,T Robinson,0,0,2,20,H,9,2020-09-19,Reading,E1,2,5,6,6,D,5,Reading_Barnsley_2020
20,15:00:00,1,Millwall,14,0,0,1,0,L Doughty,0,0,2,11,A,8,2020-09-19,Rotherham,E1,2,1,8,14,D,3,Rotherham_Millwall_2020
