year,team,type_rating,value_rating
2016,Aston Villa,static_ft_total_g>35,152
2016,Aston Villa,static_ft_total_g>35,152
2016,Barnsley,static_ft_total_g>35,304
2016,Barnsley,static_ft_total_g>35,304
2016,Birmingham,static_ft_total_g>35,217
2016,Birmingham,static_ft_total_g>35,217
2016,Blackburn,static_ft_total_g>35,282
2016,Blackburn,static_ft_total_g>35,282
2016,Blackpool,static_ft_total_g>35,86
2016,Blackpool,static_ft_total_g>35,86
2016,Bolton,static_ft_total_g>35,86
2016,Bolton,static_ft_total_g>35,86
2016,Bournemouth,static_ft_total_g>35,86
2016,Bournemouth,static_ft_total_g>35,86
2016,Bradford,static_ft_total_g>35,86
2016,Bradford,static_ft_total_g>35,86
2016,Brentford,static_ft_total_g>35,369
2016,Brentford,static_ft_total_g>35,369
2016,Brighton,static_ft_total_g>35,173
2016,Brighton,static_ft_total_g>35,173
2016,Bristol City,static_ft_total_g>35,326
2016,Bristol City,static_ft_total_g>35,326
2016,Burnley,static_ft_total_g>35,86
2016,Burnley,static_ft_total_g>35,86
2016,Burton,static_ft_total_g>35,152
2016,Burton,static_ft_total_g>35,152
2016,Cardiff,static_ft_total_g>35,260
2016,Cardiff,static_ft_total_g>35,260
2016,Charlton,static_ft_total_g>35,86
2016,Charlton,static_ft_total_g>35,86
2016,Colchester,static_ft_total_g>35,86
2016,Colchester,static_ft_total_g>35,86
2016,Coventry,static_ft_total_g>35,86
2016,Coventry,static_ft_total_g>35,86
2016,Crewe,static_ft_total_g>35,86
2016,Crewe,static_ft_total_g>35,86
2016,Crystal Palace,static_ft_total_g>35,86
2016,Crystal Palace,static_ft_total_g>35,86
2016,Derby,static_ft_total_g>35,195
2016,Derby,static_ft_total_g>35,195
2016,Doncaster,static_ft_total_g>35,86
2016,Doncaster,static_ft_total_g>35,86
2016,Fulham,static_ft_total_g>35,434
2016,Fulham,static_ft_total_g>35,434
2016,Gillingham,static_ft_total_g>35,86
2016,Gillingham,static_ft_total_g>35,86
2016,Huddersfield,static_ft_total_g>35,195
2016,Huddersfield,static_ft_total_g>35,195
2016,Hull,static_ft_total_g>35,86
2016,Hull,static_ft_total_g>35,86
2016,Ipswich,static_ft_total_g>35,173
2016,Ipswich,static_ft_total_g>35,173
2016,Leeds,static_ft_total_g>35,130
2016,Leeds,static_ft_total_g>35,130
2016,Leicester,static_ft_total_g>35,86
2016,Leicester,static_ft_total_g>35,86
2016,Luton,static_ft_total_g>35,86
2016,Luton,static_ft_total_g>35,86
2016,Middlesbrough,static_ft_total_g>35,86
2016,Middlesbrough,static_ft_total_g>35,86
2016,Millwall,static_ft_total_g>35,86
2016,Millwall,static_ft_total_g>35,86
2016,Milton Keynes Dons,static_ft_total_g>35,86
2016,Milton Keynes Dons,static_ft_total_g>35,86
2016,Newcastle,static_ft_total_g>35,304
2016,Newcastle,static_ft_total_g>35,304
2016,Norwich,static_ft_total_g>35,456
2016,Norwich,static_ft_total_g>35,456
2016,Nott'm Forest,static_ft_total_g>35,282
2016,Nott'm Forest,static_ft_total_g>35,282
2016,Peterboro,static_ft_total_g>35,86
2016,Peterboro,static_ft_total_g>35,86
2016,Plymouth,static_ft_total_g>35,86
2016,Plymouth,static_ft_total_g>35,86
2016,Portsmouth,static_ft_total_g>35,86
2016,Portsmouth,static_ft_total_g>35,86
2016,Preston,static_ft_total_g>35,326
2016,Preston,static_ft_total_g>35,326
2016,QPR,static_ft_total_g>35,152
2016,QPR,static_ft_total_g>35,152
2016,Reading,static_ft_total_g>35,326
2016,Reading,static_ft_total_g>35,326
2016,Rotherham,static_ft_total_g>35,347
2016,Rotherham,static_ft_total_g>35,347
2016,Scunthorpe,static_ft_total_g>35,86
2016,Scunthorpe,static_ft_total_g>35,86
2016,Sheffield United,static_ft_total_g>35,86
2016,Sheffield United,static_ft_total_g>35,86
2016,Sheffield Weds,static_ft_total_g>35,86
2016,Sheffield Weds,static_ft_total_g>35,86
2016,Southampton,static_ft_total_g>35,86
2016,Southampton,static_ft_total_g>35,86
2016,Southend,static_ft_total_g>35,86
2016,Southend,static_ft_total_g>35,86
2016,Stoke,static_ft_total_g>35,86
2016,Stoke,static_ft_total_g>35,86
