year,team,type_rating,value_rating
2007,Sheffield United,static_ft_total_g>35,217.1
2008,Sheffield United,static_ft_total_g>35,225.9
2009,Sheffield United,static_ft_total_g>35,210.5
2010,Sheffield United,static_ft_total_g>35,217.1
2011,Sheffield United,static_ft_total_g>35,256.2
2012,Sheffield United,static_ft_total_g>35,201.7
2013,Sheffield United,static_ft_total_g>35,177.9
2014,Sheffield United,static_ft_total_g>35,158.4
2015,Sheffield United,static_ft_total_g>35,138.8
2016,Sheffield United,static_ft_total_g>35,101.8
2017,Sheffield United,static_ft_total_g>35,88.5
2018,Sheffield United,static_ft_total_g>35,134.2
2019,Sheffield United,static_ft_total_g>35,190.6
2020,Sheffield United,static_ft_total_g>35,190.8
2007,Yeovil,static_ft_total_g>35,116.9
2008,Yeovil,static_ft_total_g>35,121.3
2009,Yeovil,static_ft_total_g>35,121.2
2010,Yeovil,static_ft_total_g>35,108.0
2011,Yeovil,static_ft_total_g>35,121.2
2012,Yeovil,static_ft_total_g>35,116.8
2013,Yeovil,static_ft_total_g>35,132.2
2014,Yeovil,static_ft_total_g>35,178.0
2015,Yeovil,static_ft_total_g>35,164.9
2016,Yeovil,static_ft_total_g>35,119.2
2017,Yeovil,static_ft_total_g>35,97.2
2018,Yeovil,static_ft_total_g>35,125.4
2019,Yeovil,static_ft_total_g>35,106.0
2020,Yeovil,static_ft_total_g>35,127.9
2007,Derby,static_ft_total_g>35,219.3
2008,Derby,static_ft_total_g>35,173.6
2009,Derby,static_ft_total_g>35,186.7
2010,Derby,static_ft_total_g>35,216.9
2011,Derby,static_ft_total_g>35,251.6
2012,Derby,static_ft_total_g>35,238.5
2013,Derby,static_ft_total_g>35,244.9
2014,Derby,static_ft_total_g>35,284.0
2015,Derby,static_ft_total_g>35,323.2
2016,Derby,static_ft_total_g>35,301.7
2017,Derby,static_ft_total_g>35,258.2
2018,Derby,static_ft_total_g>35,230.0
2019,Derby,static_ft_total_g>35,232.0
2020,Derby,static_ft_total_g>35,253.7
2007,Leicester,static_ft_total_g>35,197.2
2008,Leicester,static_ft_total_g>35,182.2
2009,Leicester,static_ft_total_g>35,151.7
2010,Leicester,static_ft_total_g>35,145.3
2011,Leicester,static_ft_total_g>35,230.0
2012,Leicester,static_ft_total_g>35,255.9
2013,Leicester,static_ft_total_g>35,262.6
2014,Leicester,static_ft_total_g>35,256.2
2015,Leicester,static_ft_total_g>35,197.5
2016,Leicester,static_ft_total_g>35,127.9
2017,Leicester,static_ft_total_g>35,97.2
2018,Leicester,static_ft_total_g>35,125.4
2019,Leicester,static_ft_total_g>35,106.0
2020,Leicester,static_ft_total_g>35,127.9
2007,Norwich,static_ft_total_g>35,241.1
2008,Norwich,static_ft_total_g>35,221.3
2009,Norwich,static_ft_total_g>35,253.8
2010,Norwich,static_ft_total_g>35,186.2
2011,Norwich,static_ft_total_g>35,238.3
2012,Norwich,static_ft_total_g>35,192.7
2013,Norwich,static_ft_total_g>35,171.2
2014,Norwich,static_ft_total_g>35,162.7
2015,Norwich,static_ft_total_g>35,225.6
2016,Norwich,static_ft_total_g>35,166.9
2017,Norwich,static_ft_total_g>35,279.9
2018,Norwich,static_ft_total_g>35,275.7
2019,Norwich,static_ft_total_g>35,358.4
2020,Norwich,static_ft_total_g>35,297.6
2007,QPR,static_ft_total_g>35,221.4
2008,QPR,static_ft_total_g>35,258.4
2009,QPR,static_ft_total_g>35,212.7
2010,QPR,static_ft_total_g>35,236.5
2011,QPR,static_ft_total_g>35,219.0
2012,QPR,static_ft_total_g>35,171.1
2013,QPR,static_ft_total_g>35,160.4
2014,QPR,static_ft_total_g>35,147.5
2015,QPR,static_ft_total_g>35,138.8
2016,QPR,static_ft_total_g>35,171.4
2017,QPR,static_ft_total_g>35,167.1
2018,QPR,static_ft_total_g>35,214.8
2019,QPR,static_ft_total_g>35,240.7
2020,QPR,static_ft_total_g>35,306.0
2007,Southampton,static_ft_total_g>35,179.9
2008,Southampton,static_ft_total_g>35,253.7
2009,Southampton,static_ft_total_g>35,275.3
2010,Southampton,static_ft_total_g>35,207.8
2011,Southampton,static_ft_total_g>35,173.3
2012,Southampton,static_ft_total_g>35,210.4
2013,Southampton,static_ft_total_g>35,191.0
2014,Southampton,static_ft_total_g>35,182.4
2015,Southampton,static_ft_total_g>35,158.4
2016,Southampton,static_ft_total_g>35,101.8
2017,Southampton,static_ft_total_g>35,88.5
2018,Southampton,static_ft_total_g>35,125.4
2019,Southampton,static_ft_total_g>35,106.0
2020,Southampton,static_ft_total_g>35,127.9
2007,Wigan,static_ft_total_g>35,149.5
2008,Wigan,static_ft_total_g>35,136.5
2009,Wigan,static_ft_total_g>35,121.2
2010,Wigan,static_ft_total_g>35,108.0
2011,Wigan,static_ft_total_g>35,121.2
2012,Wigan,static_ft_total_g>35,116.8
2013,Wigan,static_ft_total_g>35,132.2
2014,Wigan,static_ft_total_g>35,169.2
2015,Wigan,static_ft_total_g>35,193.1
2016,Wigan,static_ft_total_g>35,140.9
2017,Wigan,static_ft_total_g>35,138.8
2018,Wigan,static_ft_total_g>35,153.9
2019,Wigan,static_ft_total_g>35,188.8
2020,Wigan,static_ft_total_g>35,221.5
2007,Peterboro,static_ft_total_g>35,116.9
2008,Peterboro,static_ft_total_g>35,121.3
2009,Peterboro,static_ft_total_g>35,121.2
2010,Peterboro,static_ft_total_g>35,186.4
2011,Peterboro,static_ft_total_g>35,180.0
2012,Peterboro,static_ft_total_g>35,260.4
2013,Peterboro,static_ft_total_g>35,308.1
2014,Peterboro,static_ft_total_g>35,253.9
2015,Peterboro,static_ft_total_g>35,203.9
2016,Peterboro,static_ft_total_g>35,121.3
2017,Peterboro,static_ft_total_g>35,88.5
2018,Peterboro,static_ft_total_g>35,125.4
2019,Peterboro,static_ft_total_g>35,106.0
2020,Peterboro,static_ft_total_g>35,127.9
2007,Birmingham,static_ft_total_g>35,134.1
2008,Birmingham,static_ft_total_g>35,134.2
2009,Birmingham,static_ft_total_g>35,129.8
2010,Birmingham,static_ft_total_g>35,112.3
2011,Birmingham,static_ft_total_g>35,121.2
2012,Birmingham,static_ft_total_g>35,212.4
2013,Birmingham,static_ft_total_g>35,299.5
2014,Birmingham,static_ft_total_g>35,349.5
2015,Birmingham,static_ft_total_g>35,345.2
2016,Birmingham,static_ft_total_g>35,247.3
2017,Birmingham,static_ft_total_g>35,216.9
2018,Birmingham,static_ft_total_g>35,195.1
2019,Birmingham,static_ft_total_g>35,251.5
2020,Birmingham,static_ft_total_g>35,277.6
2007,Wimbledon,static_ft_total_g>35,132.2
2008,Wimbledon,static_ft_total_g>35,121.3
2009,Wimbledon,static_ft_total_g>35,121.2
2010,Wimbledon,static_ft_total_g>35,108.0
2011,Wimbledon,static_ft_total_g>35,121.2
2012,Wimbledon,static_ft_total_g>35,116.8
2013,Wimbledon,static_ft_total_g>35,132.2
2014,Wimbledon,static_ft_total_g>35,143.2
2015,Wimbledon,static_ft_total_g>35,138.8
2016,Wimbledon,static_ft_total_g>35,101.8
2017,Wimbledon,static_ft_total_g>35,88.5
2018,Wimbledon,static_ft_total_g>35,125.4
2019,Wimbledon,static_ft_total_g>35,106.0
2020,Wimbledon,static_ft_total_g>35,127.9
2007,Huddersfield,static_ft_total_g>35,116.9
2008,Huddersfield,static_ft_total_g>35,121.3
2009,Huddersfield,static_ft_total_g>35,121.2
2010,Huddersfield,static_ft_total_g>35,108.0
2011,Huddersfield,static_ft_total_g>35,121.2
2012,Huddersfield,static_ft_total_g>35,116.8
2013,Huddersfield,static_ft_total_g>35,219.0
2014,Huddersfield,static_ft_total_g>35,243.1
2015,Huddersfield,static_ft_total_g>35,303.9
2016,Huddersfield,static_ft_total_g>35,308.2
2017,Huddersfield,static_ft_total_g>35,260.3
2018,Huddersfield,static_ft_total_g>35,229.8
2019,Huddersfield,static_ft_total_g>35,151.7
2020,Huddersfield,static_ft_total_g>35,164.8
2007,Fulham,static_ft_total_g>35,116.9
2008,Fulham,static_ft_total_g>35,121.3
2009,Fulham,static_ft_total_g>35,121.2
2010,Fulham,static_ft_total_g>35,108.0
2011,Fulham,static_ft_total_g>35,121.2
2012,Fulham,static_ft_total_g>35,116.8
2013,Fulham,static_ft_total_g>35,132.2
2014,Fulham,static_ft_total_g>35,143.2
2015,Fulham,static_ft_total_g>35,225.6
2016,Fulham,static_ft_total_g>35,297.3
2017,Fulham,static_ft_total_g>35,368.9
2018,Fulham,static_ft_total_g>35,334.3
2019,Fulham,static_ft_total_g>35,221.4
2020,Fulham,static_ft_total_g>35,171.5
2007,Reading,static_ft_total_g>35,199.5
2008,Reading,static_ft_total_g>35,171.3
2009,Reading,static_ft_total_g>35,217.0
2010,Reading,static_ft_total_g>35,254.0
2011,Reading,static_ft_total_g>35,277.8
2012,Reading,static_ft_total_g>35,288.6
2013,Reading,static_ft_total_g>35,232.2
2014,Reading,static_ft_total_g>35,243.0
2015,Reading,static_ft_total_g>35,230.0
2016,Reading,static_ft_total_g>35,223.5
2017,Reading,static_ft_total_g>35,267.1
2018,Reading,static_ft_total_g>35,266.9
2019,Reading,static_ft_total_g>35,277.7
2020,Reading,static_ft_total_g>35,247.2
2007,Brighton,static_ft_total_g>35,164.6
2008,Brighton,static_ft_total_g>35,149.5
2009,Brighton,static_ft_total_g>35,129.9
2010,Brighton,static_ft_total_g>35,108.0
2011,Brighton,static_ft_total_g>35,121.2
2012,Brighton,static_ft_total_g>35,160.4
2013,Brighton,static_ft_total_g>35,208.1
2014,Brighton,static_ft_total_g>35,197.4
2015,Brighton,static_ft_total_g>35,188.5
2016,Brighton,static_ft_total_g>35,221.1
2017,Brighton,static_ft_total_g>35,203.6
2018,Brighton,static_ft_total_g>35,203.6
2019,Brighton,static_ft_total_g>35,147.3
2020,Brighton,static_ft_total_g>35,136.6
2007,Bournemouth,static_ft_total_g>35,116.9
2008,Bournemouth,static_ft_total_g>35,121.3
2009,Bournemouth,static_ft_total_g>35,121.2
2010,Bournemouth,static_ft_total_g>35,108.0
2011,Bournemouth,static_ft_total_g>35,121.2
