year,team,home_away_total,type_rating,points,game_id,date
2007,Barnsley,total,dynamic_ft_total,0,Barnsley_Coventry_2007,2007-08-11
2007,Barnsley,total,dynamic_ft_total,1,Colchester_Barnsley_2007,2007-08-18
2007,Barnsley,total,dynamic_ft_total,3,Barnsley_Plymouth_2007,2007-08-25
2007,Barnsley,total,dynamic_ft_total,0,West Brom_Barnsley_2007,2007-09-01
2007,Barnsley,total,dynamic_ft_total,3,Barnsley_Scunthorpe_2007,2007-09-15
2007,Barnsley,total,dynamic_ft_total,1,Stoke_Barnsley_2007,2007-09-18
2007,Barnsley,total,dynamic_ft_total,3,Southampton_Barnsley_2007,2007-09-22
2007,Barnsley,total,dynamic_ft_total,1,Barnsley_Cardiff_2007,2007-09-29
2007,Barnsley,total,dynamic_ft_total,3,Barnsley_Bristol City_2007,2007-10-02
2007,Barnsley,total,dynamic_ft_total,1,Charlton_Barnsley_2007,2007-10-06
2007,Barnsley,total,dynamic_ft_total,1,Barnsley_Burnley_2007,2007-10-20
2007,Barnsley,total,dynamic_ft_total,0,Hull_Barnsley_2007,2007-10-22
2007,Barnsley,total,dynamic_ft_total,0,Leicester_Barnsley_2007,2007-10-27
2007,Barnsley,total,dynamic_ft_total,3,Barnsley_Preston_2007,2007-11-03
2007,Barnsley,total,dynamic_ft_total,3,Barnsley_Blackpool_2007,2007-11-05
2007,Barnsley,total,dynamic_ft_total,0,Wolves_Barnsley_2007,2007-11-10
2007,Barnsley,total,dynamic_ft_total,3,Barnsley_Watford_2007,2007-11-24
2007,Barnsley,total,dynamic_ft_total,0,Sheffield Weds_Barnsley_2007,2007-11-27
2007,Barnsley,total,dynamic_ft_total,1,Ipswich_Barnsley_2007,2007-12-01
2007,Barnsley,total,dynamic_ft_total,3,Barnsley_Wolves_2007,2007-12-04
2007,Barnsley,total,dynamic_ft_total,1,Barnsley_Crystal Palace_2007,2007-12-08
2007,Barnsley,total,dynamic_ft_total,0,Sheffield United_Barnsley_2007,2007-12-15
2007,Barnsley,total,dynamic_ft_total,0,Bristol City_Barnsley_2007,2007-12-22
2007,Barnsley,total,dynamic_ft_total,1,Barnsley_Stoke_2007,2007-12-26
2007,Barnsley,total,dynamic_ft_total,1,Barnsley_Southampton_2007,2007-12-29
2007,Barnsley,total,dynamic_ft_total,1,Scunthorpe_Barnsley_2007,2008-01-01
2007,Barnsley,total,dynamic_ft_total,0,Barnsley_Norwich_2007,2008-01-12
2007,Barnsley,total,dynamic_ft_total,0,QPR_Barnsley_2007,2008-01-19
2007,Barnsley,total,dynamic_ft_total,3,Barnsley_Colchester_2007,2008-01-29
2007,Barnsley,total,dynamic_ft_total,0,Coventry_Barnsley_2007,2008-02-02
