Date,idGame,team,Round_as_Home,Round_as_Away,Round_as_Total,Round_by_Week_Total
2011-08-05,Hull_Blackpool_2011,Blackpool,1,1,1,1
2011-08-05,Hull_Blackpool_2011,Hull,1,1,1,1
2011-08-06,Reading_Millwall_2011,Millwall,1,1,1,1
2011-08-06,Reading_Millwall_2011,Reading,1,1,1,1
2011-08-06,Bristol City_Ipswich_2011,Bristol City,1,1,1,1
2011-08-06,Coventry_Leicester_2011,Coventry,1,1,1,1
2011-08-06,Southampton_Leeds_2011,Leeds,1,1,1,1
2011-08-06,Nott'm Forest_Barnsley_2011,Nott'm Forest,1,1,1,1
2011-08-06,Derby_Birmingham_2011,Birmingham,1,1,1,1
2011-08-06,Burnley_Watford_2011,Burnley,1,1,1,1
2011-08-06,Brighton_Doncaster_2011,Doncaster,1,1,1,1
2011-08-06,Middlesbrough_Portsmouth_2011,Portsmouth,1,1,1,1
2011-08-06,Brighton_Doncaster_2011,Brighton,1,1,1,1
2011-08-06,Peterboro_Crystal Palace_2011,Crystal Palace,1,1,1,1
2011-08-06,Burnley_Watford_2011,Watford,1,1,1,1
2011-08-06,Coventry_Leicester_2011,Leicester,1,1,1,1
2011-08-06,Derby_Birmingham_2011,Derby,1,1,1,1
2011-08-06,Southampton_Leeds_2011,Southampton,1,1,1,1
2011-08-06,Bristol City_Ipswich_2011,Ipswich,1,1,1,1
2011-08-06,Nott'm Forest_Barnsley_2011,Barnsley,1,1,1,1
2011-08-06,Peterboro_Crystal Palace_2011,Peterboro,1,1,1,1
2011-08-06,Middlesbrough_Portsmouth_2011,Middlesbrough,1,1,1,1
2011-08-07,West Ham_Cardiff_2011,Cardiff,1,1,1,1
2011-08-07,West Ham_Cardiff_2011,West Ham,1,1,1,1
2011-08-13,Doncaster_West Ham_2011,Doncaster,1,1,2,2
2011-08-13,Portsmouth_Brighton_2011,Portsmouth,1,1,2,2
2011-08-13,Millwall_Nott'm Forest_2011,Millwall,1,1,2,2
2011-08-13,Birmingham_Coventry_2011,Birmingham,1,1,2,2
2011-08-13,Ipswich_Hull_2011,Ipswich,1,1,2,2
2011-08-13,Birmingham_Coventry_2011,Coventry,1,1,2,2
2011-08-13,Leicester_Reading_2011,Leicester,1,1,2,2
2011-08-13,Leeds_Middlesbrough_2011,Leeds,1,1,2,2
2011-08-13,Leeds_Middlesbrough_2011,Middlesbrough,1,1,2,2
2011-08-13,Watford_Derby_2011,Derby,1,1,2,2
2011-08-13,Barnsley_Southampton_2011,Barnsley,1,1,2,2
2011-08-13,Leicester_Reading_2011,Reading,1,1,2,2
2011-08-13,Portsmouth_Brighton_2011,Brighton,1,1,2,2
2011-08-13,Crystal Palace_Burnley_2011,Burnley,1,1,2,2
2011-08-13,Barnsley_Southampton_2011,Southampton,1,1,2,2
2011-08-13,Doncaster_West Ham_2011,West Ham,1,1,2,2
2011-08-13,Watford_Derby_2011,Watford,1,1,2,2
2011-08-13,Crystal Palace_Burnley_2011,Crystal Palace,1,1,2,2
2011-08-13,Ipswich_Hull_2011,Hull,1,1,2,2
2011-08-13,Millwall_Nott'm Forest_2011,Nott'm Forest,1,1,2,2
2011-08-14,Cardiff_Bristol City_2011,Cardiff,1,1,2,2
2011-08-14,Blackpool_Peterboro_2011,Peterboro,1,1,2,2
2011-08-14,Blackpool_Peterboro_2011,Blackpool,1,1,2,2
2011-08-14,Cardiff_Bristol City_2011,Bristol City,1,1,2,2
2011-08-16,Leeds_Hull_2011,Leeds,2,1,3,3
2011-08-16,Doncaster_Nott'm Forest_2011,Doncaster,2,1,3,3
2011-08-16,Barnsley_Middlesbrough_2011,Barnsley,2,1,3,3
2011-08-16,Ipswich_Southampton_2011,Ipswich,2,1,3,3
2011-08-16,Barnsley_Middlesbrough_2011,Middlesbrough,1,2,3,3
2011-08-16,Crystal Palace_Coventry_2011,Crystal Palace,2,1,3,3
2011-08-16,Leeds_Hull_2011,Hull,1,2,3,3
2011-08-16,Crystal Palace_Coventry_2011,Coventry,1,2,3,3
2011-08-16,Doncaster_Nott'm Forest_2011,Nott'm Forest,1,2,3,3
2011-08-16,Portsmouth_Reading_2011,Portsmouth,2,1,3,3
2011-08-16,Ipswich_Southampton_2011,Southampton,1,2,3,3
2011-08-16,Watford_West Ham_2011,West Ham,1,2,3,3
2011-08-16,Watford_West Ham_2011,Watford,2,1,3,3
2011-08-16,Portsmouth_Reading_2011,Reading,1,2,3,3
2011-08-17,Leicester_Bristol City_2011,Bristol City,1,2,3,3
2011-08-17,Millwall_Peterboro_2011,Peterboro,1,2,3,3
2011-08-17,Blackpool_Derby_2011,Derby,1,2,3,3
2011-08-17,Millwall_Peterboro_2011,Millwall,2,1,3,3
2011-08-17,Cardiff_Brighton_2011,Cardiff,2,1,3,3
2011-08-17,Leicester_Bristol City_2011,Leicester,2,1,3,3
2011-08-17,Blackpool_Derby_2011,Blackpool,2,1,3,3
2011-08-17,Cardiff_Brighton_2011,Brighton,1,2,3,3
2011-08-20,Reading_Barnsley_2011,Reading,2,2,4,3
2011-08-20,Reading_Barnsley_2011,Barnsley,2,2,4,3
2011-08-20,Burnley_Cardiff_2011,Cardiff,2,2,4,3
2011-08-20,Brighton_Blackpool_2011,Brighton,2,2,4,3
2011-08-20,Bristol City_Portsmouth_2011,Bristol City,2,2,4,3
2011-08-20,Brighton_Blackpool_2011,Blackpool,2,2,4,3
2011-08-20,Derby_Doncaster_2011,Derby,2,2,4,3
2011-08-20,Peterboro_Ipswich_2011,Ipswich,2,2,4,3
2011-08-20,Coventry_Watford_2011,Coventry,2,2,4,3
2011-08-20,Bristol City_Portsmouth_2011,Portsmouth,2,2,4,3
2011-08-20,Peterboro_Ipswich_2011,Peterboro,2,2,4,3
2011-08-20,Southampton_Millwall_2011,Southampton,2,2,4,3
2011-08-20,Nott'm Forest_Leicester_2011,Leicester,2,2,4,3
2011-08-20,Hull_Crystal Palace_2011,Hull,2,2,4,3
2011-08-20,Southampton_Millwall_2011,Millwall,2,2,4,3
2011-08-20,Hull_Crystal Palace_2011,Crystal Palace,2,2,4,3
2011-08-20,Burnley_Cardiff_2011,Burnley,2,1,3,3
2011-08-20,Coventry_Watford_2011,Watford,2,2,4,3
2011-08-20,Derby_Doncaster_2011,Doncaster,2,2,4,3
2011-08-20,Nott'm Forest_Leicester_2011,Nott'm Forest,2,2,4,3
2011-08-21,West Ham_Leeds_2011,West Ham,2,2,4,3
2011-08-21,Middlesbrough_Birmingham_2011,Birmingham,1,2,3,3
2011-08-21,West Ham_Leeds_2011,Leeds,2,2,4,3
2011-08-21,Middlesbrough_Birmingham_2011,Middlesbrough,2,2,4,3
