year,team,home_away_total,type_rating,points,game_id,date,Round_as_Home,Round_as_Away,Round_as_Total,Round_by_Week_Total,Rating_Initial
2013,Barnsley,home,ft_home,0,Barnsley_Wigan_2013,2013-08-03,1,1,1,1,404.0
2013,Barnsley,home,ft_home_g<15,0,Barnsley_Wigan_2013,2013-08-03,1,1,1,1,238.6
2013,Barnsley,home,ft_home_g<25,0,Barnsley_Wigan_2013,2013-08-03,1,1,1,1,582.4
2013,Barnsley,home,ft_home_g<35,0,Barnsley_Wigan_2013,2013-08-03,1,1,1,1,747.5
2013,Barnsley,home,ft_home_g>15,1,Barnsley_Wigan_2013,2013-08-03,1,1,1,1,760.4
2013,Barnsley,home,ft_home_g>25,1,Barnsley_Wigan_2013,2013-08-03,1,1,1,1,416.6
2013,Barnsley,home,ft_home_g>35,1,Barnsley_Wigan_2013,2013-08-03,1,1,1,1,251.5
2013,Barnsley,total,ft_total,0,Barnsley_Wigan_2013,2013-08-03,1,1,1,1,297.4
2013,Barnsley,total,ft_total_g<15,0,Barnsley_Wigan_2013,2013-08-03,1,1,1,1,240.8
2013,Barnsley,total,ft_total_g<15,0,Barnsley_Wigan_2013,2013-08-03,1,1,1,1,240.8
2013,Barnsley,total,ft_total_g<25,0,Barnsley_Wigan_2013,2013-08-03,1,1,1,1,545.0
2013,Barnsley,total,ft_total_g<25,0,Barnsley_Wigan_2013,2013-08-03,1,1,1,1,545.0
2013,Barnsley,total,ft_total_g<35,0,Barnsley_Wigan_2013,2013-08-03,1,1,1,1,732.4
2013,Barnsley,total,ft_total_g<35,0,Barnsley_Wigan_2013,2013-08-03,1,1,1,1,732.4
2013,Barnsley,total,ft_total_g>15,1,Barnsley_Wigan_2013,2013-08-03,1,1,1,1,758.2
2013,Barnsley,total,ft_total_g>15,1,Barnsley_Wigan_2013,2013-08-03,1,1,1,1,758.2
2013,Barnsley,total,ft_total_g>25,1,Barnsley_Wigan_2013,2013-08-03,1,1,1,1,454.0
2013,Barnsley,total,ft_total_g>25,1,Barnsley_Wigan_2013,2013-08-03,1,1,1,1,454.0
2013,Barnsley,total,ft_total_g>35,1,Barnsley_Wigan_2013,2013-08-03,1,1,1,1,266.6
2013,Barnsley,total,ft_total_g>35,1,Barnsley_Wigan_2013,2013-08-03,1,1,1,1,266.6
2013,Barnsley,home,ht_home,0,Barnsley_Wigan_2013,2013-08-03,1,1,1,1,290.7
2013,Barnsley,home,ht_home_g<15,1,Barnsley_Wigan_2013,2013-08-03,1,1,1,1,673.5
2013,Barnsley,home,ht_home_g<25,1,Barnsley_Wigan_2013,2013-08-03,1,1,1,1,917.0
2013,Barnsley,home,ht_home_g<35,1,Barnsley_Wigan_2013,2013-08-03,1,1,1,1,960.4
2013,Barnsley,home,ht_home_g>15,0,Barnsley_Wigan_2013,2013-08-03,1,1,1,1,325.5
2013,Barnsley,home,ht_home_g>25,0,Barnsley_Wigan_2013,2013-08-03,1,1,1,1,82.0
2013,Barnsley,home,ht_home_g>35,0,Barnsley_Wigan_2013,2013-08-03,1,1,1,1,43.0
2013,Barnsley,total,ht_total,0,Barnsley_Wigan_2013,2013-08-03,1,1,1,1,254.0
2013,Barnsley,total,ht_total_g<15,1,Barnsley_Wigan_2013,2013-08-03,1,1,1,1,708.3
2013,Barnsley,total,ht_total_g<15,1,Barnsley_Wigan_2013,2013-08-03,1,1,1,1,708.3
2013,Barnsley,total,ht_total_g<25,1,Barnsley_Wigan_2013,2013-08-03,1,1,1,1,903.8
2013,Barnsley,total,ht_total_g<25,1,Barnsley_Wigan_2013,2013-08-03,1,1,1,1,903.8
2013,Barnsley,total,ht_total_g<35,1,Barnsley_Wigan_2013,2013-08-03,1,1,1,1,958.2
2013,Barnsley,total,ht_total_g<35,1,Barnsley_Wigan_2013,2013-08-03,1,1,1,1,958.2
2013,Barnsley,total,ht_total_g>15,0,Barnsley_Wigan_2013,2013-08-03,1,1,1,1,290.7
2013,Barnsley,total,ht_total_g>15,0,Barnsley_Wigan_2013,2013-08-03,1,1,1,1,290.7
2013,Barnsley,total,ht_total_g>25,0,Barnsley_Wigan_2013,2013-08-03,1,1,1,1,95.2
2013,Barnsley,total,ht_total_g>25,0,Barnsley_Wigan_2013,2013-08-03,1,1,1,1,95.2
2013,Barnsley,total,ht_total_g>35,0,Barnsley_Wigan_2013,2013-08-03,1,1,1,1,40.8
2013,Barnsley,total,ht_total_g>35,0,Barnsley_Wigan_2013,2013-08-03,1,1,1,1,40.8
2013,Birmingham,home,ft_home,0,Birmingham_Watford_2013,2013-08-03,1,1,1,1,356.2
2013,Birmingham,home,ft_home_g<15,1,Birmingham_Watford_2013,2013-08-03,1,1,1,1,199.2
