,teams
0,Aston Villa
1,Barnsley
2,Birmingham
3,Blackburn
4,Blackpool
5,Bolton
6,Bournemouth
7,Bradford
8,Brentford
9,Brighton
10,Bristol City
11,Burnley
12,Burton
13,Cardiff
14,Charlton
15,Colchester
16,Coventry
17,Crewe
18,Crystal Palace
19,Derby
20,Doncaster
21,Fulham
22,Gillingham
23,Huddersfield
24,Hull
25,Ipswich
26,Leeds
27,Leicester
28,Luton
29,Middlesbrough
30,Millwall
31,Milton Keynes Dons
32,Newcastle
33,Norwich
34,Nott'm Forest
35,Peterboro
36,Plymouth
37,Portsmouth
38,Preston
39,QPR
40,Reading
41,Rotherham
42,Scunthorpe
43,Sheffield United
44,Sheffield Weds
45,Southampton
46,Southend
47,Stoke
48,Sunderland
49,Swansea
50,Walsall
51,Watford
52,West Brom
53,West Ham
54,Wigan
55,Wimbledon
56,Wolves
57,Wycombe
58,Yeovil
