,WHD,IWH,LBA,B365AH,SBH,SBA,SOA,LBAH,WHA,B365A,LBH,GBA,B365D,B365H,B365<2.5,LBAHA,WHH,SOH,SOD,LBAHH,B365>2.5,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
0,4.5,1.35,8.0,-1.25,1.4,7.5,7.5,-1.25,8.0,8.0,1.333,7.0,3.8,1.4,2.1,1.95,1.28,1.4,3.75,1.9,1.7,7.0,1.9,1.44,3.75,1.975,1.925,1.75,-1.25,1.95,4.0,4.0,4.0,1.9,Arsenal,Everton,Arsenal_Everton_2003
1,3.2,2.5,2.8,-0.25,2.25,2.8,2.75,0.0,2.8,2.75,2.2,2.8,3.25,2.375,1.85,2.1,2.2,2.25,3.25,1.75,1.95,2.5,1.75,2.35,3.2,2.1,1.8,1.85,-0.25,1.85,3.0,3.2,3.25,2.05,Birmingham,Tottenham,Birmingham_Tottenham_2003
2,3.5,1.7,4.5,-0.75,1.57,5.5,5.5,-0.75,5.0,5.5,1.615,5.0,3.4,1.615,1.9,1.85,1.57,1.57,3.4,2.0,1.9,4.2,1.85,1.68,3.4,1.95,1.95,1.85,-0.75,1.85,3.2,3.5,3.4,1.95,Blackburn,Wolves,Blackburn_Wolves_2003
3,3.2,2.1,2.6,-0.25,2.2,2.87,2.8,0.0,2.62,2.8,2.375,2.7,3.25,2.3,1.7,2.0,2.3,2.2,3.25,1.85,2.1,3.0,2.0,2.4,3.2,2.1,1.8,1.95,0.0,1.75,3.1,3.2,3.25,1.8,Fulham,Middlesbrough,Fulham_Middlesbrough_2003
4,3.2,2.2,2.5,0.0,2.4,2.6,2.63,0.0,2.62,2.6,2.5,2.6,3.2,2.5,1.8,2.0,2.3,2.38,3.2,1.85,2.0,2.8,1.95,2.5,3.2,1.85,2.05,1.95,0.0,1.75,3.1,3.2,3.25,1.85,Leicester,Southampton,Leicester_Southampton_2003
5,5.0,1.3,10.0,-1.75,1.25,9.0,8.5,-1.75,9.5,10.0,1.25,9.0,4.5,1.286,2.2,1.9,1.22,1.25,5.0,1.95,1.66,8.0,1.85,1.3,5.0,2.05,1.85,1.65,-1.75,2.1,4.2,4.5,4.8,1.95,Man United,Bolton,Man United_Bolton_2003
6,3.2,2.4,2.6,-0.25,2.25,2.8,2.8,-0.25,2.62,2.75,2.375,2.7,3.25,2.375,1.9,1.75,2.3,2.38,3.3,2.1,1.9,2.6,1.75,2.4,3.2,2.1,1.8,1.9,-0.25,1.8,3.0,3.2,3.25,2.05,Portsmouth,Aston Villa,Portsmouth_Aston Villa_2003
7,3.3,2.1,2.75,0.0,2.3,2.75,2.75,-0.25,2.5,2.75,2.25,2.75,3.4,2.25,1.95,1.8,2.37,2.25,3.25,2.05,1.85,3.0,1.75,2.38,3.2,1.8,2.1,1.9,-0.25,1.8,3.1,3.2,3.25,2.05,Charlton,Man City,Charlton_Man City_2003
8,3.2,2.7,2.2,0.25,2.62,2.37,2.25,0.25,2.1,2.375,2.8,2.3,3.25,2.75,2.0,2.05,3.0,2.9,3.4,1.8,1.8,2.3,2.0,2.85,3.2,1.825,2.075,1.8,0.25,1.9,3.0,3.2,3.25,1.8,Leeds,Newcastle,Leeds_Newcastle_2003
9,3.0,2.3,2.75,-0.25,2.2,2.87,3.0,-0.25,2.8,2.875,2.25,3.25,3.25,2.25,1.9,1.8,2.3,2.25,3.3,2.05,1.9,2.7,1.85,2.25,3.2,2.1,1.8,1.9,-0.25,1.8,3.0,3.2,3.25,2.05,Liverpool,Chelsea,Liverpool_Chelsea_2003
10,3.1,2.4,2.4,0.0,2.4,2.6,2.5,0.0,2.5,2.5,2.5,2.6,3.3,2.5,1.8,1.9,2.5,2.5,3.2,1.95,2.0,2.6,1.9,2.5,3.2,1.95,1.95,1.85,0.0,1.85,3.0,3.25,3.25,1.9,Bolton,Blackburn,Bolton_Blackburn_2003
11,5.0,1.25,10.0,-1.5,1.25,9.0,10.0,-1.5,9.5,10.0,1.25,10.0,5.0,1.25,2.05,2.1,1.22,1.22,5.0,1.75,1.75,9.0,2.05,1.26,5.0,1.775,2.125,1.6,-1.5,2.15,4.5,4.5,5.0,1.75,Chelsea,Leicester,Chelsea_Leicester_2003
12,3.4,1.8,4.0,-0.5,1.72,4.33,4.5,-0.5,4.0,4.0,1.727,4.0,3.4,1.8,1.7,2.05,1.72,1.67,3.4,1.8,2.1,3.8,2.0,1.85,3.25,1.85,2.05,1.9,-0.5,1.79,3.1,3.4,3.3,1.8,Everton,Fulham,Everton_Fulham_2003
13,3.4,1.65,4.5,-0.75,1.66,4.5,4.5,-0.75,4.33,4.5,1.615,5.0,3.6,1.667,1.9,2.05,1.66,1.67,3.4,1.8,1.9,4.4,2.0,1.67,3.4,1.825,2.075,1.85,-0.75,1.85,3.3,3.5,3.4,1.8,Man City,Portsmouth,Man City_Portsmouth_2003
14,3.1,3.1,2.2,0.25,3.0,2.1,2.2,0.25,2.2,2.2,2.75,2.1,3.2,3.0,2.1,1.75,2.87,3.0,3.4,2.1,1.7,2.1,1.6,3.1,3.25,2.025,1.875,1.65,0.0,2.05,3.0,3.25,3.4,2.3,Newcastle,Man United,Newcastle_Man United_2003
15,3.2,1.9,3.2,-0.5,1.9,3.6,3.5,-0.5,3.5,3.75,2.0,3.6,3.25,1.909,1.7,1.85,1.9,1.91,3.25,2.0,2.1,3.5,1.85,2.0,3.2,2.0,1.9,2.0,-0.5,1.71,3.1,3.2,3.2,1.95,Southampton,Birmingham,Southampton_Birmingham_2003
16,3.2,2.0,3.0,-0.25,2.2,2.9,3.0,-0.25,3.0,3.4,2.1,3.3,3.25,2.0,1.85,1.85,2.1,2.1,3.25,2.0,1.95,3.2,1.8,2.1,3.2,2.025,1.875,1.85,-0.25,1.85,3.1,3.2,3.2,2.0,Tottenham,Leeds,Tottenham_Leeds_2003
17,3.1,2.2,2.75,0.0,2.25,2.8,2.62,-0.25,2.8,2.7,2.25,2.75,3.25,2.375,1.75,1.8,2.25,2.38,3.2,2.05,2.05,2.9,1.75,2.35,3.2,1.8,2.1,1.85,-0.25,1.85,3.0,3.2,3.3,2.05,Wolves,Charlton,Wolves_Charlton_2003
18,3.1,3.1,2.2,0.25,2.87,2.2,2.2,,2.1,2.2,2.75,2.15,3.2,3.0,1.75,,3.1,3.0,3.4,,2.05,2.1,1.85,3.1,3.2,1.95,1.95,1.85,0.25,1.85,3.0,3.25,3.3,1.95,Aston Villa,Liverpool,Aston Villa_Liverpool_2003
19,3.25,3.8,1.8,0.5,4.33,1.72,1.8,0.5,1.72,1.8,4.0,1.75,3.4,4.0,1.85,1.8,4.2,4.33,3.4,2.05,1.95,1.8,2.2,4.4,3.25,2.05,1.85,1.75,1.0,1.95,3.1,3.2,3.4,1.65,Middlesbrough,Arsenal,Middlesbrough_Arsenal_2003
20,3.2,1.85,3.0,-0.5,1.9,3.5,3.75,-0.5,3.2,3.4,2.0,3.5,3.25,2.0,1.9,1.85,2.0,1.91,3.5,2.0,1.9,3.6,1.85,2.0,3.25,2.1,1.8,1.79,-0.5,1.9,3.1,3.4,3.2,1.95,Blackburn,Man City,Blackburn_Man City_2003
21,3.1,2.2,2.75,,2.3,2.7,2.75,0.0,2.6,2.75,2.25,2.7,3.2,2.375,1.85,2.1,2.4,2.25,3.25,1.75,1.95,2.9,2.05,2.4,3.2,,,1.85,0.0,1.9,3.0,3.2,3.25,1.75,Charlton,Everton,Charlton_Everton_2003
22,3.2,1.9,3.0,,2.0,3.25,3.25,-0.25,3.2,3.4,2.0,3.35,3.25,2.0,1.8,2.0,2.0,2.0,3.25,1.85,2.0,3.5,2.0,2.05,3.25,,,1.85,-0.25,1.85,3.1,3.4,3.25,1.8,Leeds,Southampton,Leeds_Southampton_2003
23,3.1,2.3,2.6,,2.37,2.62,2.75,0.0,2.62,2.6,2.375,2.7,3.2,2.5,1.75,2.05,2.37,2.25,3.25,1.8,2.05,2.7,2.0,2.4,3.2,,,1.9,0.0,1.79,3.0,3.2,3.25,1.8,Leicester,Middlesbrough,Leicester_Middlesbrough_2003
24,3.2,2.2,3.0,,2.0,3.25,3.25,-0.25,3.2,3.2,2.1,3.25,3.25,2.1,1.85,2.05,2.0,2.0,3.25,1.8,1.95,2.9,2.0,2.1,3.25,,,1.9,-0.25,1.79,3.0,3.2,3.25,1.8,Portsmouth,Bolton,Portsmouth_Bolton_2003
25,4.5,1.3,10.0,-1.5,1.25,8.5,8.5,-1.75,8.0,8.5,1.25,10.0,5.0,1.286,2.0,1.8,1.28,1.25,5.0,2.05,1.8,8.0,2.0,1.26,5.0,1.875,2.025,1.6,-1.5,2.15,4.2,4.5,5.0,1.8,Arsenal,Aston Villa,Arsenal_Aston Villa_2003
26,3.4,1.55,5.5,-1.0,1.53,6.0,5.5,-1.0,6.0,7.0,1.533,6.5,3.5,1.5,1.85,1.8,1.5,1.57,3.4,2.05,1.95,4.8,1.8,1.53,3.4,2.1,1.8,1.79,-1.0,1.9,3.5,3.5,3.5,2.0,Liverpool,Tottenham,Liverpool_Tottenham_2003
27,6.5,1.15,12.0,-2.25,1.12,17.0,17.0,-2.25,15.0,15.0,1.167,16.0,6.5,1.143,2.62,2.0,1.11,1.12,7.5,1.85,1.44,12.0,2.0,1.13,6.0,1.875,2.025,1.4,-2.25,2.65,6.0,5.5,7.0,1.8,Man United,Wolves,Man United_Wolves_2003
28,3.2,1.75,4.5,-0.75,1.72,4.33,4.33,,4.33,5.0,1.667,4.7,3.4,1.667,1.75,,1.72,1.73,3.25,,2.05,4.0,1.65,1.7,3.25,2.075,1.825,1.85,-1.0,1.85,3.2,3.25,3.4,2.2,Aston Villa,Leicester,Aston Villa_Leicester_2003
