,WHD,IWH,LBA,B365AH,SBH,SBA,BWD,LBAH,WHA,B365A,LBH,GBA,B365D,B365H,B365<2.5,LBAHA,WHH,BWA,LBAHH,BWH,B365>2.5,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
0,3.1,1.85,4.33,-0.5,1.91,3.75,3.25,-0.5,4.0,4.33,1.73,3.5,3.1,1.9,1.75,1.82,1.8,4.0,2.02,1.9,2.05,3.6,2.05,2.0,3.25,2.0,1.9,1.91,-0.25,1.79,3.1,3.2,3.25,1.7,Aston Villa,Southampton,Aston Villa_Southampton_2004
1,2.87,1.8,4.5,-0.5,1.73,4.33,3.25,-0.5,4.0,5.0,1.67,4.75,3.1,1.8,1.8,2.04,1.9,4.5,1.8,1.8,2.0,3.8,1.95,1.77,3.4,1.85,2.05,1.85,-0.5,1.85,3.1,3.25,3.3,1.77,Blackburn,West Brom,Blackburn_West Brom_2004
2,3.2,2.2,3.0,-0.25,2.25,2.88,3.2,-0.25,2.9,3.1,2.2,3.1,3.2,2.25,1.8,1.8,2.15,3.3,2.04,2.1,2.0,2.9,1.85,2.25,3.2,2.0,1.9,1.86,-0.25,1.85,3.0,3.0,3.2,2.0,Bolton,Charlton,Bolton_Charlton_2004
3,3.1,2.0,3.0,-0.25,2.0,3.4,3.2,-0.25,3.2,3.4,2.1,3.25,3.25,2.1,1.9,2.06,2.05,3.3,1.78,2.1,1.9,3.2,2.0,2.1,3.25,1.85,2.05,1.85,-0.25,1.85,3.1,3.2,3.25,1.85,Man City,Fulham,Man City_Fulham_2004
4,3.0,2.3,2.75,0.0,2.3,2.8,3.2,-0.25,2.7,3.0,2.25,2.95,3.25,2.3,1.8,1.9,2.37,2.7,1.94,2.4,2.0,2.6,,2.35,3.25,1.8,2.1,1.9,,1.79,3.1,3.2,3.15,,Middlesbrough,Newcastle,Middlesbrough_Newcastle_2004
5,3.1,1.9,3.5,-0.25,2.1,3.2,3.2,-0.25,3.3,3.4,1.91,3.2,3.25,2.1,1.85,2.04,2.0,3.3,1.8,2.1,1.95,3.5,1.95,2.15,3.25,1.825,2.075,1.9,-0.25,1.79,3.1,3.2,3.2,1.9,Norwich,Crystal Palace,Norwich_Crystal Palace_2004
6,3.2,2.3,2.6,0.0,2.3,2.8,3.2,-0.25,2.62,2.87,2.38,2.8,3.2,2.4,1.8,1.76,2.3,3.0,2.08,2.25,2.0,2.7,2.0,2.45,3.2,1.8,2.1,1.95,0.0,1.75,3.0,3.2,3.2,1.85,Portsmouth,Birmingham,Portsmouth_Birmingham_2004
7,3.1,2.7,2.25,0.25,3.0,2.2,3.2,0.25,2.3,2.25,2.75,2.4,3.2,3.1,1.9,1.8,2.75,2.25,2.04,3.0,1.9,2.3,1.9,2.75,3.2,1.975,1.925,1.85,0.25,1.85,3.0,3.2,3.2,1.95,Tottenham,Liverpool,Tottenham_Liverpool_2004
8,3.2,2.0,3.0,-0.25,2.1,3.2,3.1,-0.5,3.2,3.4,2.1,3.35,3.25,2.1,1.85,1.84,2.0,3.2,2.0,2.15,1.95,3.2,2.2,2.1,3.25,1.85,2.05,1.9,0.0,1.79,3.1,3.2,3.25,1.6,Chelsea,Man United,Chelsea_Man United_2004
9,3.1,4.0,1.62,0.75,5.0,1.67,3.4,0.75,1.61,1.61,5.0,1.77,3.4,6.0,1.9,1.88,5.5,1.7,1.96,5.0,1.9,1.75,1.9,4.75,3.3,2.05,1.85,1.75,0.75,1.95,3.2,3.25,3.3,1.95,Everton,Arsenal,Everton_Arsenal_2004
