,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,SBH,SBA,SJA,BbMxH,BWD,BbAvA,WHA,B365A,SJD,LBH,GBD,VCH,GBA,B365D,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,Bb1X2,BWH,IWA,BbMx>2.5,VCD,BbAvAHA,SJH,GBH,BbAH,SBD,BbAvAHH,VCA,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,3.4,3.3,1.7,3.2,2.1,3.2,2.2,3.2,3.4,2.4,3.25,3.05,2.8,3.0,3.25,2.1,3.2,2.2,3.1,3.25,2.2,36,2.3,-0.25,1.92,2.2,2.1,3.15,2.01,56,2.1,3.1,2.2,3.25,1.84,2.0,2.25,22,3.2,2.01,3.1,3.0,3.0,3.16,1.87,Aston Villa,Bolton,Aston Villa_Bolton_2005
1,1.8,3.7,1.79,3.2,3.8,1.83,4.33,1.75,1.83,5.65,3.35,1.69,1.72,1.72,3.25,3.75,3.4,4.5,1.83,3.4,4.69,36,5.0,0.75,1.93,4.33,2.05,1.75,1.93,56,4.35,1.8,2.1,3.3,1.86,4.0,4.25,23,3.6,2.0,1.8,3.1,3.2,3.36,1.87,Everton,Man United,Everton_Man United_2005
2,3.05,3.3,1.69,3.2,2.2,2.88,2.3,3.0,3.0,2.6,3.2,2.87,2.62,2.87,3.2,2.25,3.3,2.35,2.95,3.25,2.31,36,2.37,0.0,2.11,2.3,1.85,2.8,2.04,56,2.3,2.9,2.24,3.25,2.05,2.2,2.3,21,3.2,1.81,2.8,3.0,3.0,3.16,1.77,Fulham,Birmingham,Fulham_Birmingham_2005
3,5.6,3.63,1.77,3.3,1.7,4.5,1.7,5.0,5.0,1.8,3.45,4.79,4.33,5.0,3.25,1.67,3.45,1.75,4.75,3.4,1.69,36,1.72,-0.75,1.83,1.7,2.19,4.8,1.94,55,1.65,4.2,2.1,3.25,1.76,1.67,1.73,23,3.4,2.1,5.0,3.2,3.25,3.38,1.9,Man City,West Brom,Man City_West Brom_2005
4,2.5,3.35,1.71,3.1,2.5,2.3,2.7,2.5,2.38,3.3,3.35,2.35,2.3,2.4,3.2,2.75,3.3,2.8,2.45,3.2,2.81,36,2.87,0.25,2.04,2.75,1.89,2.2,2.02,56,2.9,2.5,2.23,3.25,2.0,2.75,2.7,21,3.2,1.86,2.35,3.0,3.1,3.17,1.8,Middlesbrough,Liverpool,Middlesbrough_Liverpool_2005
5,2.5,3.3,1.75,3.2,2.5,2.25,2.7,2.5,2.5,3.25,3.25,2.35,2.3,2.5,3.2,2.75,3.3,2.75,2.6,3.2,2.79,36,2.75,0.25,2.03,2.62,1.95,2.4,1.96,56,2.65,2.5,2.1,3.25,1.99,2.6,2.55,21,3.2,1.87,2.4,3.0,3.2,3.18,1.84,Portsmouth,Tottenham,Portsmouth_Tottenham_2005
6,3.05,3.35,1.74,3.2,2.2,2.75,2.4,2.8,2.88,2.6,3.25,2.82,2.62,2.9,3.25,2.38,3.35,2.4,2.75,3.2,2.33,35,2.37,-0.25,1.86,2.3,2.07,2.85,1.98,55,2.25,2.9,2.12,3.25,1.83,2.25,2.4,21,3.25,2.03,2.75,3.0,3.0,3.17,1.82,Sunderland,Charlton,Sunderland_Charlton_2005
7,2.9,3.35,1.71,3.2,2.3,2.75,2.5,2.7,2.75,2.6,3.3,2.74,2.62,2.75,3.2,2.38,3.3,2.4,2.75,3.2,2.4,35,2.5,0.0,2.08,2.3,1.86,2.9,2.02,55,2.2,2.7,2.25,3.25,2.04,2.38,2.4,20,3.2,1.82,2.75,3.0,3.0,3.16,1.8,West Ham,Blackburn,West Ham_Blackburn_2005
8,8.73,4.45,2.01,3.75,1.45,7.0,1.4,7.5,7.5,1.5,4.0,7.36,7.0,8.0,4.0,1.4,4.0,1.45,7.5,4.2,1.42,36,1.4,-1.25,1.89,1.4,2.08,9.0,1.7,54,1.35,5.4,1.8,3.8,1.83,1.4,1.44,22,4.33,2.03,7.5,3.8,3.75,3.91,2.25,Arsenal,Newcastle,Arsenal_Newcastle_2005
9,1.4,5.0,1.95,4.5,6.0,1.33,9.5,1.3,1.33,12.5,4.6,1.32,1.28,1.33,4.5,8.0,4.25,11.0,1.36,4.5,9.05,34,10.0,1.5,2.0,8.0,2.0,1.3,1.76,54,9.0,1.4,1.88,4.5,1.91,8.0,9.0,20,4.8,1.92,1.3,3.9,4.0,4.32,2.11,Wigan,Chelsea,Wigan_Chelsea_2005
