,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,SBH,SBA,SJA,BbMxH,BWD,BbAvA,WHA,B365A,SJD,BSD,LBH,GBD,VCH,GBA,B365D,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,BSA,Bb1X2,BWH,IWA,BbMx>2.5,VCD,BbAvAHA,SJH,GBH,BbAH,SBD,BbAvAHH,VCA,BSH,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,2.1,3.4,1.63,,3.6,1.9,3.75,1.91,2.0,4.0,3.2,1.95,,1.9,3.25,3.25,3.5,3.5,3.5,2.04,3.25,3.67,39,4.0,0.5,2.07,,1.95,1.95,2.14,2.0,43,3.65,1.9,2.3,3.2,1.95,3.4,4.4,26,3.2,1.85,2.0,3.4,3.2,3.2,3.23,1.7,Aston Villa,Liverpool,Aston Villa_Liverpool_2007
1,3.05,3.25,1.65,,2.2,2.75,2.4,2.7,2.75,2.6,3.2,2.8,,2.75,3.2,3.2,2.37,3.25,2.3,2.8,3.2,2.41,40,2.5,0.0,2.18,,1.83,2.7,2.1,2.7,45,2.4,3.0,2.33,3.25,2.04,2.38,2.4,26,3.2,1.75,2.9,2.4,3.1,3.0,3.18,1.75,Bolton,Newcastle,Bolton_Newcastle_2007
2,2.55,3.3,1.63,,2.7,2.37,2.7,2.4,2.38,3.25,3.15,2.38,,2.4,3.2,3.2,2.6,3.25,2.7,2.4,3.25,2.85,39,2.8,0.0,1.76,,2.26,2.25,2.13,2.4,43,2.95,2.4,2.35,3.25,1.71,2.75,2.8,25,3.2,2.09,2.4,2.7,3.1,3.2,3.19,1.9,Derby,Portsmouth,Derby_Portsmouth_2007
3,6.0,3.65,1.73,,1.65,4.5,1.62,5.25,5.5,1.75,3.4,5.25,,5.5,3.5,3.3,1.61,3.5,1.7,5.0,3.4,1.66,40,1.66,-0.75,2.02,,1.97,5.0,2.0,5.0,44,1.65,4.5,2.2,3.4,1.94,1.57,1.68,26,3.4,1.94,5.0,1.67,3.5,3.5,3.45,1.83,Everton,Wigan,Everton_Wigan_2007
4,2.95,3.25,1.67,,2.3,2.75,2.4,2.7,2.88,2.7,3.15,2.81,,2.87,3.25,3.2,2.25,3.25,2.5,2.8,3.25,2.41,39,2.37,0.0,2.1,,1.9,2.8,2.08,2.8,43,2.35,2.8,2.3,3.25,1.97,2.25,2.4,26,3.2,1.77,2.65,2.3,3.1,3.2,3.18,1.75,Middlesbrough,Blackburn,Middlesbrough_Blackburn_2007
5,2.25,3.33,1.7,,3.0,2.25,3.0,2.2,2.25,3.5,3.2,2.18,,2.1,3.25,3.2,2.87,3.25,3.0,2.1,3.25,3.18,39,3.4,0.25,1.82,,2.06,2.1,2.04,2.2,41,3.2,2.2,2.15,3.2,1.79,2.88,3.4,26,3.2,2.09,2.25,3.0,3.1,3.0,3.21,1.83,Sunderland,Tottenham,Sunderland_Tottenham_2007
6,3.9,3.35,1.65,,2.0,3.2,2.0,3.5,3.75,2.2,3.2,3.52,,3.75,3.2,3.2,2.0,3.2,2.0,3.5,3.2,2.05,38,2.0,-0.25,2.07,,1.9,3.6,2.09,3.75,44,1.95,3.3,2.3,3.25,2.0,1.91,2.1,27,3.2,1.87,3.6,1.91,3.2,3.2,3.2,1.73,West Ham,Man City,West Ham_Man City_2007
7,11.0,5.0,1.93,,1.35,9.0,1.3,9.0,9.0,1.37,4.75,9.4,,10.0,4.5,4.33,1.33,4.5,1.3,10.0,4.5,1.32,37,1.33,-1.25,2.07,,1.9,8.25,1.81,8.0,43,1.3,7.5,1.98,4.5,2.03,1.3,1.33,25,4.5,1.86,9.5,1.33,4.2,3.75,4.49,2.05,Arsenal,Fulham,Arsenal_Fulham_2007
8,17.0,7.0,1.99,,1.2,11.0,1.17,15.0,13.0,1.26,5.75,13.52,,13.0,6.0,5.5,1.2,6.0,1.15,13.0,6.0,1.19,37,1.2,-1.5,2.07,,1.91,17.0,1.72,12.0,43,1.15,11.0,1.82,6.0,2.0,1.17,1.2,24,5.6,1.85,17.0,1.2,5.2,5.0,5.74,2.23,Chelsea,Birmingham,Chelsea_Birmingham_2007
9,16.2,6.0,2.07,,1.2,10.0,1.2,11.0,12.0,1.27,5.5,12.24,,13.0,5.0,5.0,1.25,5.0,1.22,13.0,5.5,1.23,37,1.22,-1.75,1.92,,2.06,12.0,1.68,12.0,43,1.2,11.0,1.75,5.5,1.87,1.22,1.25,24,5.6,2.01,12.0,1.22,5.2,4.5,5.26,2.25,Man United,Reading,Man United_Reading_2007
10,4.9,3.45,1.7,,1.8,4.0,1.85,4.0,4.33,1.91,3.2,4.34,,4.33,3.4,3.3,1.8,3.4,1.73,4.25,3.4,1.82,37,1.8,-0.5,2.05,,1.92,4.3,2.04,4.0,42,1.8,4.0,2.2,3.4,1.99,1.73,1.85,24,3.2,1.88,4.5,1.83,3.2,3.2,3.3,1.8,Tottenham,Everton,Tottenham_Everton_2007
11,3.1,3.35,1.63,,2.2,2.75,2.4,2.65,2.75,2.58,3.2,2.86,,3.0,3.2,3.2,2.2,3.25,2.25,2.8,3.25,2.36,37,2.3,-0.25,1.89,,2.1,3.0,2.14,2.8,41,2.2,3.0,2.35,3.25,1.83,2.38,2.4,20,3.25,2.06,3.0,2.3,3.1,3.25,3.21,1.75,Birmingham,Sunderland,Birmingham_Sunderland_2007
12,3.35,3.35,1.67,,2.1,3.0,2.2,2.95,2.88,2.35,3.2,3.04,,3.2,3.25,3.2,2.1,3.2,2.25,3.1,3.25,2.24,38,2.2,-0.25,1.98,,2.01,3.2,2.07,3.0,42,2.1,3.2,2.2,3.25,1.9,2.25,2.25,21,3.25,1.97,3.0,2.2,3.1,3.2,3.22,1.8,Fulham,Bolton,Fulham_Bolton_2007
13,6.5,3.75,1.72,,1.6,5.5,1.57,5.25,5.0,1.7,3.5,5.42,,5.5,3.5,3.3,1.53,3.5,1.55,5.25,3.6,1.62,38,1.61,-0.75,2.18,,1.82,5.25,2.02,5.0,42,1.6,5.0,2.2,3.6,2.09,1.62,1.65,22,3.6,1.8,6.0,1.67,3.5,3.5,3.5,1.8,Man City,Derby,Man City_Derby_2007
14,1.72,3.75,1.85,,4.3,1.5,5.5,1.55,1.57,6.0,3.4,1.61,,1.61,3.5,3.5,6.0,3.6,5.5,1.6,3.6,5.57,38,5.5,0.75,1.9,,2.09,1.6,1.87,1.57,42,5.5,1.7,2.05,3.5,1.86,5.5,5.75,22,3.6,2.03,1.6,5.5,3.4,3.4,3.51,1.95,Portsmouth,Man United,Portsmouth_Man United_2007
15,1.61,3.85,1.79,,4.8,1.53,5.5,1.55,1.57,7.0,3.75,1.55,,1.53,3.5,3.5,5.5,3.6,6.5,1.55,3.75,6.17,37,6.5,1.0,2.15,,1.83,1.5,1.94,1.53,41,6.0,1.6,2.11,3.6,2.08,5.5,6.25,22,3.6,1.78,1.53,6.0,3.6,3.5,3.61,1.85,Reading,Chelsea,Reading_Chelsea_2007
16,3.3,3.3,1.65,,2.3,2.6,2.3,2.8,2.88,2.45,3.15,2.91,,3.0,3.25,3.25,2.37,3.2,2.35,3.0,3.25,2.33,38,2.3,-0.25,1.9,,2.06,2.9,2.09,2.88,42,2.3,2.8,2.2,3.2,1.86,2.25,2.3,22,3.25,2.02,2.9,2.25,3.1,3.2,3.2,1.75,Wigan,Middlesbrough,Wigan_Middlesbrough_2007
17,3.1,3.33,1.69,,2.4,2.75,2.3,2.8,2.75,2.55,3.2,2.85,,2.87,3.2,3.25,2.38,3.2,2.3,2.9,3.25,2.38,43,2.37,0.0,2.29,,1.75,2.85,2.07,2.75,48,2.3,2.7,2.21,3.25,2.08,2.38,2.35,29,3.25,1.7,2.9,2.3,3.1,3.0,3.21,1.8,Birmingham,West Ham,Birmingham_West Ham_2007
