,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,SJA,BbMxH,BWD,BbAvA,WHA,B365A,SJD,BSD,LBH,PSD,VCH,GBD,GBA,B365D,PSA,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,BSA,Bb1X2,BWH,IWA,BbMx>2.5,VCD,PSH,BbAvAHA,SJH,GBH,BbAH,BbAvAHH,VCA,BSH,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,9.5,4.89,2.05,4.0,1.35,8.0,9.5,1.44,4.6,8.37,8.0,8.5,4.5,4.33,1.4,4.76,1.44,4.6,9.0,4.5,8.78,1.4,33,1.4,-1.25,1.96,1.44,2.02,9.0,1.76,8.5,39,1.35,7.3,1.83,4.75,1.44,1.91,1.36,1.35,23,1.96,8.5,1.4,4.5,4.5,4.47,2.15,Arsenal,Sunderland,Arsenal_Sunderland_2012
1,4.8,3.82,1.92,3.3,1.8,4.5,4.5,1.85,3.5,4.44,4.5,4.5,3.6,3.5,1.8,3.81,1.83,3.5,4.4,3.6,4.8,1.8,35,1.8,-0.5,2.14,1.85,1.83,4.4,1.89,4.33,39,1.8,4.0,1.95,3.75,1.82,2.09,1.8,1.8,21,1.8,4.75,1.83,3.4,3.5,3.59,2.01,Fulham,Norwich,Fulham_Norwich_2012
2,2.85,3.47,1.92,3.0,2.4,2.7,2.8,2.7,3.3,2.73,2.8,2.75,3.4,3.4,2.6,3.47,2.62,3.3,2.75,3.4,2.82,2.55,35,2.5,0.0,2.03,2.7,1.93,2.75,1.88,2.7,39,2.6,2.7,2.0,3.4,2.65,1.97,2.5,2.6,23,1.88,2.75,2.5,3.2,3.3,3.32,2.01,Newcastle,Tottenham,Newcastle_Tottenham_2012
3,4.2,3.55,1.73,3.3,2.1,3.75,3.6,2.1,3.4,3.76,3.8,3.8,3.3,3.4,2.0,3.53,2.0,3.4,3.6,3.4,4.01,2.01,33,2.0,-0.25,2.21,2.0,1.8,3.6,2.09,3.6,39,2.0,3.1,2.18,3.5,2.05,2.13,2.1,2.0,22,1.75,4.0,2.0,3.3,3.4,3.37,1.81,QPR,Swansea,QPR_Swansea_2012
4,3.26,3.4,1.67,3.3,2.4,2.88,3.0,2.45,3.2,3.03,2.9,3.1,3.2,3.3,2.4,3.37,2.4,3.2,3.1,3.25,3.26,2.36,33,2.38,-0.25,1.91,2.4,2.07,3.1,2.18,3.1,39,2.4,2.7,2.28,3.3,2.4,1.86,2.4,2.4,24,2.01,3.25,2.3,3.2,3.3,3.27,1.76,Reading,Stoke,Reading_Stoke_2012
5,2.0,3.61,1.74,3.3,3.3,1.95,1.91,4.38,3.5,1.93,2.0,1.91,3.4,3.4,3.75,3.59,4.33,3.5,1.85,3.5,1.94,4.01,33,4.2,0.5,1.97,3.8,2.0,1.85,2.08,1.91,39,4.1,2.0,2.18,3.6,4.39,1.92,4.0,4.1,22,1.96,1.95,4.0,3.3,3.5,3.44,1.81,West Brom,Liverpool,West Brom_Liverpool_2012
6,3.51,3.46,1.77,3.2,2.15,3.1,3.3,2.3,3.3,3.23,3.2,3.4,3.3,3.3,2.25,3.49,2.25,3.3,3.3,3.3,3.43,2.23,33,2.2,-0.25,2.04,2.3,1.95,3.3,2.03,3.1,39,2.25,3.0,2.1,3.4,2.26,1.97,2.25,2.25,25,1.9,3.4,2.3,3.3,3.3,3.32,1.85,West Ham,Aston Villa,West Ham_Aston Villa_2012
7,19.38,7.55,2.51,6.0,1.17,15.0,19.0,1.21,6.25,15.6,15.0,17.0,7.0,6.5,1.17,7.5,1.2,6.25,16.0,7.0,19.75,1.18,26,1.17,-1.75,2.08,1.2,1.9,16.0,1.5,17.0,39,1.18,13.0,1.56,7.0,1.2,2.02,1.17,1.18,24,1.85,19.0,1.17,5.8,7.0,6.78,2.68,Man City,Southampton,Man City_Southampton_2012
8,1.67,4.0,1.93,3.6,5.5,1.53,1.53,6.75,3.9,1.58,1.67,1.62,4.0,4.0,6.5,4.02,6.5,3.9,1.55,3.75,1.65,6.09,35,6.0,1.0,2.16,5.5,1.9,1.55,1.88,1.53,39,6.0,1.5,1.93,3.8,6.05,2.09,6.5,6.0,24,1.8,1.65,6.0,3.9,3.8,3.84,2.05,Wigan,Chelsea,Wigan_Chelsea_2012
9,1.91,3.71,1.83,3.3,3.8,1.85,1.91,4.45,3.5,1.88,1.91,1.83,3.5,3.4,4.0,3.77,4.3,3.5,1.83,3.6,1.92,4.18,32,4.33,0.5,1.91,4.33,2.03,1.83,1.97,1.91,36,4.6,1.85,2.08,3.7,4.27,1.88,4.0,4.6,20,1.99,1.87,4.0,3.4,3.6,3.47,1.9,Everton,Man United,Everton_Man United_2012
10,14.0,6.2,2.31,5.5,1.25,11.0,12.0,1.29,5.25,11.84,10.0,13.0,5.5,5.5,1.25,6.15,1.25,5.25,12.5,5.5,13.8,1.25,23,1.25,-1.5,2.1,1.29,1.88,12.5,1.58,13.0,38,1.25,10.0,1.65,6.0,1.27,2.03,1.27,1.25,22,1.85,13.0,1.25,5.0,6.0,5.56,2.45,Chelsea,Reading,Chelsea_Reading_2012
11,2.6,3.4,1.66,3.2,2.5,2.5,2.5,3.25,3.3,2.42,2.5,2.4,3.25,3.3,2.75,3.36,3.1,3.3,2.45,3.4,2.47,2.93,31,2.9,0.0,1.85,2.88,2.33,2.45,2.19,2.5,38,2.95,2.6,2.34,3.3,3.14,1.7,2.88,2.95,21,2.2,2.45,2.75,3.2,3.3,3.29,1.73,Aston Villa,Everton,Aston Villa_Everton_2012
12,7.0,4.55,2.19,4.2,1.53,6.5,6.5,1.53,4.33,6.55,6.5,6.5,4.33,4.0,1.5,4.5,1.5,4.33,6.5,4.33,7.27,1.5,29,1.5,-1.0,2.08,1.5,1.92,6.5,1.65,6.5,38,1.5,5.5,1.72,4.4,1.51,2.02,1.5,1.5,25,1.85,7.0,1.5,3.8,4.0,4.16,2.36,Chelsea,Newcastle,Chelsea_Newcastle_2012
13,12.0,5.52,2.23,4.8,1.25,,11.0,1.33,5.25,10.39,9.0,11.0,5.25,5.0,,5.6,1.3,5.25,10.0,5.5,11.85,1.3,26,1.29,-1.5,1.95,1.35,2.02,10.0,1.62,10.0,38,1.28,10.0,1.68,5.5,1.32,1.9,1.3,1.28,24,1.97,11.5,1.3,5.0,,5.17,2.38,Man United,Fulham,Man United_Fulham_2012
14,3.25,3.52,2.0,3.4,2.1,2.88,3.2,2.38,3.3,3.11,2.9,3.2,3.4,3.25,2.38,3.5,2.3,3.3,3.1,3.4,3.25,2.29,34,2.25,-0.25,1.9,2.38,2.05,3.1,1.8,3.2,38,2.25,3.2,1.85,3.4,2.34,1.87,2.25,2.25,24,2.0,3.2,2.25,3.2,3.4,3.33,2.13,Norwich,QPR,Norwich_QPR_2012
15,3.65,3.53,1.88,3.5,2.1,3.5,3.6,2.2,3.4,3.46,3.25,3.5,3.5,3.5,2.1,3.51,2.15,3.4,3.5,3.4,3.56,2.12,34,2.1,-0.5,1.82,2.15,2.2,3.5,1.92,3.3,38,2.05,3.2,2.0,3.5,2.2,1.77,2.05,2.05,19,2.13,3.6,2.1,3.2,3.3,3.36,1.97,Southampton,Wigan,Southampton_Wigan_2012
