,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,SJA,BbMxH,BWD,BbAvA,WHA,B365A,SJD,PSD,LBH,VCH,B365D,PSA,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,Bb1X2,BWH,IWA,BbMx>2.5,VCD,PSH,BbAvAHA,SJH,BbAH,BbAvAHH,VCA,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,9.7,5.2,2.37,4.8,1.37,7.5,7.5,1.44,5.0,7.87,8.5,8.0,4.5,5.2,1.4,1.44,4.75,8.3,1.4,22,1.44,,,1.36,,7.75,1.56,33,1.36,7.5,1.62,4.8,1.41,,1.4,,,7.5,4.6,4.5,4.68,2.56,Arsenal,Aston Villa,Arsenal_Aston Villa_2013
1,10.0,4.95,2.02,4.6,1.4,7.5,9.5,1.44,4.33,8.88,9.0,9.5,4.5,4.88,1.44,1.4,5.0,9.35,1.38,30,1.4,,,1.36,,8.25,1.79,32,1.4,7.3,1.86,5.0,1.41,,1.36,,,9.5,4.4,4.2,4.54,2.12,Liverpool,Stoke,Liverpool_Stoke_2013
2,2.4,3.41,1.82,3.3,2.9,2.3,2.3,3.35,3.25,2.31,2.3,2.4,3.4,3.41,3.0,3.12,3.4,2.35,3.12,31,3.2,,,3.1,,2.3,1.98,33,3.1,2.3,2.08,3.4,3.32,,3.0,,,2.4,3.3,3.3,3.27,1.91,Norwich,Everton,Norwich_Everton_2013
3,3.58,3.45,1.77,3.3,2.2,3.3,3.3,2.3,3.2,3.29,3.3,3.4,3.3,3.37,2.2,2.3,3.4,3.58,2.22,31,2.3,,,2.2,,3.25,2.04,33,2.25,3.2,2.14,3.4,2.25,,2.25,,,3.3,3.2,3.25,3.3,1.84,Sunderland,Fulham,Sunderland_Fulham_2013
4,2.1,3.6,1.98,3.4,4.2,1.9,1.9,4.33,3.5,1.99,1.91,2.0,3.6,3.52,4.0,3.8,3.5,2.03,3.84,31,4.2,,,4.0,,1.87,1.83,33,4.1,1.8,1.93,3.6,4.1,,4.0,,,2.05,3.5,3.5,3.4,2.06,Swansea,Man United,Swansea_Man United_2013
5,3.3,3.45,1.93,3.3,2.2,3.25,3.2,2.43,3.25,3.07,3.2,3.2,3.4,3.38,2.2,2.4,3.4,3.21,2.31,31,2.4,,,2.25,,3.1,1.87,33,2.3,3.1,2.02,3.4,2.42,,2.25,,,3.12,3.3,3.3,3.33,2.02,West Brom,Southampton,West Brom_Southampton_2013
6,4.4,3.65,1.9,3.5,1.9,4.0,4.0,2.0,3.4,3.94,3.8,4.0,3.5,3.57,1.9,2.0,3.6,4.21,1.94,31,2.0,,,1.95,,4.0,1.89,33,1.91,3.8,2.0,3.6,1.99,,1.91,,,4.0,3.45,3.4,3.47,2.0,West Ham,Cardiff,West Ham_Cardiff_2013
7,21.0,7.7,2.45,6.0,1.2,15.0,15.0,1.22,6.25,15.53,15.0,21.0,6.5,7.4,1.2,1.22,7.0,19.5,1.19,22,1.2,,,1.2,,15.0,1.53,32,1.19,13.0,1.59,6.5,1.2,,1.2,,,15.0,5.8,6.5,6.68,2.63,Chelsea,Hull,Chelsea_Hull_2013
8,1.85,3.95,1.99,3.6,4.2,1.8,1.73,5.2,3.7,1.77,1.75,1.83,3.8,3.69,4.5,4.5,3.75,1.8,4.66,31,4.75,,,4.75,,1.72,1.81,33,4.75,1.8,1.89,3.75,5.16,,4.8,,,1.85,3.5,3.5,3.61,2.12,Crystal Palace,Tottenham,Crystal Palace_Tottenham_2013
9,12.0,5.86,2.3,5.5,1.3,10.0,10.0,1.33,5.25,10.35,10.0,11.0,5.25,5.86,1.28,1.33,5.5,11.66,1.3,27,1.33,,,1.29,,9.75,1.6,30,1.3,9.0,1.68,5.5,1.31,,1.3,,,10.5,5.0,5.5,5.27,2.44,Man City,Newcastle,Man City_Newcastle_2013
10,14.0,6.4,2.38,5.5,1.3,9.5,10.0,1.33,5.25,10.17,9.5,10.0,5.25,5.89,1.29,1.29,5.5,11.9,1.29,22,1.29,-1.5,2.14,1.3,1.88,10.0,1.55,34,1.28,9.0,1.62,5.75,1.3,2.03,1.3,21.0,1.84,12.0,5.0,5.5,5.42,2.56,Chelsea,Aston Villa,Chelsea_Aston Villa_2013
11,2.0,3.83,2.1,3.6,3.6,1.91,1.91,4.2,3.6,1.91,1.95,1.95,3.5,3.83,4.0,3.9,3.75,1.93,3.93,32,4.0,0.5,1.96,3.75,2.01,1.91,1.73,34,3.8,2.0,1.83,3.8,4.18,1.92,4.0,18.0,1.96,1.95,3.3,3.5,3.55,2.22,Aston Villa,Liverpool,Aston Villa_Liverpool_2013
12,7.1,4.35,2.02,4.0,1.55,6.0,6.0,1.6,4.1,6.27,6.0,6.5,4.0,4.33,1.57,1.6,4.33,7.01,1.55,32,1.57,-1.0,2.0,1.55,2.05,6.0,1.79,34,1.53,5.6,1.89,4.2,1.55,1.94,1.57,21.0,1.92,6.0,3.9,3.75,3.94,2.1,Everton,West Brom,Everton_West Brom_2013
13,2.15,3.58,2.0,3.5,3.3,2.1,2.1,3.8,3.5,2.1,2.1,2.1,3.4,3.58,3.5,3.5,3.5,2.13,3.51,32,3.8,0.5,2.15,3.4,1.82,2.0,1.8,34,3.6,2.1,1.88,3.5,3.7,2.09,3.5,18.0,1.79,2.15,3.3,3.4,3.38,2.12,Fulham,Arsenal,Fulham_Arsenal_2013
14,3.33,3.4,1.69,3.1,2.4,2.9,3.0,2.5,3.25,3.01,3.1,3.1,3.3,3.4,2.4,2.5,3.4,3.15,2.39,32,2.45,0.0,2.38,2.4,1.71,2.95,2.17,34,2.4,2.75,2.3,3.25,2.44,2.21,2.4,18.0,1.68,3.1,3.3,3.3,3.25,1.79,Hull,Norwich,Hull_Norwich_2013
15,3.55,3.4,1.82,3.3,2.1,3.3,3.3,2.32,3.2,3.29,3.3,3.4,3.4,3.4,2.2,2.3,3.4,3.41,2.22,31,2.3,-0.5,1.74,2.2,2.31,3.25,1.98,34,2.25,3.3,2.05,3.4,2.31,1.7,2.2,18.0,2.21,3.3,3.3,3.3,3.29,1.91,Newcastle,West Ham,Newcastle_West Ham_2013
16,5.63,4.1,1.84,3.6,1.85,4.5,5.0,1.85,3.8,5.16,5.5,5.5,3.6,4.01,1.72,1.75,3.8,5.57,1.69,32,1.73,-1.0,1.77,1.67,2.25,5.0,1.96,34,1.65,4.0,2.04,3.6,1.68,1.71,1.73,20.0,2.19,5.0,3.45,3.75,3.66,1.93,Southampton,Sunderland,Southampton_Sunderland_2013
17,5.1,3.65,1.67,3.3,1.8,4.5,4.8,1.91,3.4,4.54,4.6,5.0,3.5,3.65,1.83,1.85,3.6,5.16,1.83,32,1.83,-0.5,2.09,1.85,1.87,4.6,2.19,34,1.8,4.2,2.32,3.5,1.81,2.04,1.8,18.0,1.84,4.8,3.5,3.4,3.42,1.73,Stoke,Crystal Palace,Stoke_Crystal Palace_2013
18,1.47,4.9,2.21,4.5,7.0,1.45,1.44,8.5,4.2,1.44,1.4,1.44,4.5,4.75,6.5,7.5,4.75,1.46,7.32,30,8.5,1.0,1.78,7.5,2.24,1.42,1.66,34,8.25,1.45,1.72,4.75,7.99,1.73,7.0,21.0,2.16,1.45,4.0,4.5,4.39,2.44,Cardiff,Man City,Cardiff_Man City_2013
19,6.58,4.0,2.02,4.0,1.5,5.5,5.8,1.66,3.75,5.95,5.0,6.5,4.0,4.04,1.57,1.65,4.0,6.45,1.6,32,1.62,-1.0,1.86,1.65,2.22,6.25,1.79,34,1.57,6.1,1.88,4.0,1.62,1.78,1.57,20.0,2.09,5.75,4.0,4.0,3.78,2.15,Tottenham,Swansea,Tottenham_Swansea_2013
20,3.2,3.51,2.03,3.5,2.2,3.1,3.13,2.5,3.4,2.94,2.8,3.1,3.5,3.51,2.37,2.5,3.4,3.02,2.38,30,2.45,-0.25,1.83,2.4,2.13,3.0,1.78,32,2.3,3.2,1.85,3.5,2.48,1.8,2.25,16.0,2.09,2.9,3.2,3.2,3.33,2.18,Man United,Chelsea,Man United_Chelsea_2013
21,2.41,3.45,1.79,3.3,3.1,2.25,2.25,3.33,3.25,2.29,2.25,2.38,3.3,3.35,3.1,3.25,3.4,2.37,3.13,33,3.25,0.25,2.03,3.2,1.92,2.3,2.01,35,3.1,2.2,2.11,3.4,3.33,1.98,3.25,17.0,1.89,2.38,3.3,3.4,3.31,1.87,Cardiff,Everton,Cardiff_Everton_2013
22,3.1,3.35,1.69,3.25,2.4,2.7,2.88,2.6,3.25,2.89,2.9,3.0,3.25,3.31,2.5,2.6,3.3,3.09,2.49,33,2.6,0.0,2.17,2.45,1.87,2.75,2.15,35,2.55,2.85,2.26,3.25,2.54,2.08,2.5,18.0,1.78,3.0,3.2,3.3,3.22,1.76,Crystal Palace,Sunderland,Crystal Palace_Sunderland_2013
