,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,BbMxH,BWD,BbAvA,WHA,B365A,PSD,LBH,VCH,B365D,PSA,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,Bb1X2,BWH,IWA,BbMx>2.5,VCD,PSH,BbAvAHA,BbAH,BbAvAHH,VCA,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
0,4.33,3.65,1.79,3.5,2.1,4.0,2.1,3.3,3.98,4.0,4.0,3.65,2.05,2.0,3.6,4.27,1.96,43,2.0,-0.5,1.99,1.91,1.98,3.7,2.02,45,2.0,3.3,2.11,3.5,1.95,1.92,26,1.93,4.2,3.3,3.3,3.48,1.88,Bournemouth,Aston Villa,Bournemouth_Aston Villa_2015
1,11.26,5.0,1.99,4.0,1.33,10.0,1.43,4.75,9.57,10.0,11.0,4.92,1.4,1.4,5.0,10.39,1.37,43,1.36,-1.5,1.8,1.4,2.24,9.0,1.8,45,1.4,8.3,1.88,5.0,1.39,1.73,27,2.16,9.5,4.8,4.5,4.66,2.07,Chelsea,Swansea,Chelsea_Swansea_2015
2,5.77,4.0,1.96,3.5,1.7,5.0,1.75,3.5,5.25,5.0,5.5,3.95,1.75,1.73,3.9,5.62,1.69,44,1.7,-1.0,1.76,1.73,2.28,5.0,1.84,45,1.7,4.7,1.93,3.9,1.7,1.71,26,2.18,5.4,3.6,3.8,3.76,2.03,Everton,Watford,Everton_Watford_2015
3,4.52,3.5,1.67,3.1,2.0,4.2,2.03,3.3,4.06,2.7,4.33,3.48,2.0,2.0,3.5,4.34,1.96,43,1.95,-0.5,1.96,2.0,2.0,3.75,2.18,45,2.0,3.6,2.27,3.4,1.99,1.9,26,1.95,4.33,3.3,3.4,3.37,1.73,Leicester,Sunderland,Leicester_Sunderland_2015
4,6.5,4.2,2.01,3.6,1.65,5.5,1.71,4.0,5.65,6.0,6.0,4.09,1.67,1.67,4.0,5.9,1.63,40,1.65,-1.0,1.82,1.62,2.2,5.5,1.79,42,1.65,5.1,1.86,4.0,1.65,1.78,26,2.09,5.75,3.6,4.0,3.9,2.13,Man United,Tottenham,Man United_Tottenham_2015
5,3.11,3.42,1.67,3.1,2.4,2.9,2.63,3.2,2.92,2.88,3.0,3.35,2.62,2.6,3.3,3.08,2.53,43,2.55,0.0,2.17,2.6,1.83,2.7,2.18,45,2.6,2.85,2.25,3.25,2.52,2.08,27,1.78,3.0,3.2,3.2,3.21,1.75,Norwich,Crystal Palace,Norwich_Crystal Palace_2015
6,12.0,6.16,2.22,5.0,1.33,12.0,1.33,5.75,10.75,11.0,12.0,5.75,1.29,1.3,6.0,12.0,1.29,39,1.29,-1.5,2.06,1.3,1.96,10.5,1.64,45,1.28,8.3,1.71,5.75,1.31,1.96,27,1.89,12.0,4.8,5.5,5.53,2.3,Arsenal,West Ham,Arsenal_West Ham_2015
7,2.76,3.47,1.7,3.1,2.65,2.6,2.88,3.1,2.63,2.7,2.7,3.33,2.88,2.88,3.3,2.69,2.79,43,2.88,0.0,1.92,2.7,2.06,2.75,2.14,45,2.8,2.5,2.23,3.25,2.88,1.87,27,1.98,2.7,3.3,3.3,3.23,1.8,Newcastle,Southampton,Newcastle_Southampton_2015
8,2.35,3.51,1.75,3.1,2.9,2.3,3.51,3.4,2.24,2.3,2.3,3.46,3.4,3.4,3.4,2.25,3.33,43,3.4,0.25,1.96,3.3,2.0,2.3,2.06,45,3.2,2.3,2.15,3.4,3.48,1.91,26,1.95,2.3,3.3,3.3,3.33,1.82,Stoke,Liverpool,Stoke_Liverpool_2015
9,1.72,4.1,2.04,3.5,5.1,1.67,6.5,4.0,1.66,1.7,1.67,3.98,5.5,5.5,4.0,1.68,5.46,40,5.75,1.0,2.24,5.5,1.78,1.65,1.77,41,4.75,1.65,1.84,4.0,5.75,2.14,26,1.74,1.7,3.6,3.75,3.85,2.15,West Brom,Man City,West Brom_Man City_2015
