,WHD,IWH,MaxAHH,Avg>2.5,AvgA,BWD,Max<2.5,B365A,PSD,WHA,Max>2.5,VCH,AHh,B365D,PSA,P<2.5,B365<2.5,B365H,MaxAHA,AvgD,AvgAHA,WHH,BWA,PAHA,BWH,B365>2.5,IWA,MaxD,VCD,PSH,P>2.5,MaxA,PAHH,AvgH,B365AHH,B365AHA,Avg<2.5,MaxH,VCA,IWD,AvgAHH,HomeTeam,AwayTeam,idGame
0,4.2,6.0,2.0,1.76,1.55,4.25,2.18,1.53,4.51,1.53,1.84,6.5,1.0,4.33,1.56,2.13,2.1,6.0,1.99,4.34,1.95,6.5,1.57,1.96,5.5,1.72,1.57,4.55,4.2,6.16,1.8,1.6,1.96,5.94,1.93,1.97,2.1,6.55,1.55,3.9,1.93,Fulham,Arsenal,Fulham_Arsenal_2020
1,3.2,3.15,1.88,2.24,2.39,3.2,1.73,2.37,3.29,2.35,2.36,3.2,0.25,3.25,2.4,1.68,1.66,3.1,2.07,3.22,2.03,3.2,2.45,2.05,3.0,2.2,2.4,3.36,3.2,3.32,2.34,2.5,1.88,3.18,1.85,2.05,1.67,3.36,2.4,2.95,1.84,Crystal Palace,Southampton,Crystal Palace_Southampton_2020
2,6.0,1.35,2.0,1.52,9.68,6.25,2.68,9.5,6.25,10.0,1.56,1.3,-1.5,6.0,9.92,2.6,2.5,1.28,2.08,5.96,1.97,1.27,10.5,1.95,1.26,1.53,8.5,6.5,5.75,1.31,1.56,10.75,1.97,1.3,1.95,1.95,2.53,1.35,10.5,5.0,1.9,Liverpool,Leeds,Liverpool_Leeds_2020
3,3.5,2.15,2.17,1.97,3.42,3.4,1.95,3.4,3.61,3.4,2.05,2.15,-0.5,3.4,3.5,1.91,1.9,2.15,1.81,3.48,1.75,2.15,3.4,1.78,2.15,1.9,3.4,3.7,3.4,2.18,2.0,3.6,2.17,2.15,2.07,1.72,1.86,2.24,3.6,3.15,2.12,West Ham,Newcastle,West Ham_Newcastle_2020
4,3.6,3.85,1.93,1.92,1.97,3.6,2.03,1.95,3.59,1.95,2.02,4.0,0.5,3.6,2.0,1.91,1.9,3.8,2.02,3.57,1.97,3.8,2.0,2.0,3.7,1.9,2.0,3.82,3.5,4.0,2.0,2.04,1.92,3.87,1.91,1.99,1.9,4.0,1.95,3.2,1.88,West Brom,Leicester,West Brom_Leicester_2020
5,3.5,1.95,1.93,1.94,4.2,3.6,1.95,4.33,3.57,4.33,2.04,1.87,-0.5,3.6,4.3,1.9,1.9,1.83,2.02,3.55,1.96,1.88,4.33,1.99,1.85,1.9,4.1,3.68,3.5,1.94,2.01,4.5,1.93,1.9,1.91,1.99,1.88,1.98,4.33,3.25,1.9,Tottenham,Everton,Tottenham_Everton_2020
6,4.0,5.0,2.11,1.76,1.65,4.1,2.18,1.61,4.34,1.65,1.84,5.25,0.75,4.33,1.65,2.14,2.1,5.0,1.88,4.13,1.82,5.25,1.65,1.83,5.0,1.72,1.67,4.35,3.9,5.36,1.79,1.71,2.11,5.12,2.06,1.84,2.08,5.36,1.65,3.7,2.05,Brighton,Chelsea,Brighton_Chelsea_2020
7,3.1,3.35,1.88,2.68,2.41,3.1,1.53,2.37,3.03,2.38,2.88,3.4,0.25,3.1,2.46,1.48,1.5,3.25,2.07,3.0,2.02,3.3,2.3,2.06,3.4,2.62,2.45,3.24,3.0,3.41,2.84,2.52,1.85,3.36,1.86,2.04,1.48,3.46,2.38,2.7,1.84,Sheffield United,Wolves,Sheffield United_Wolves_2020
8,4.2,1.55,1.99,1.81,6.3,4.2,2.13,6.5,4.33,6.5,1.9,1.5,-1.0,4.2,6.46,2.05,2.03,1.5,2.04,4.25,1.97,1.52,6.0,1.96,1.55,1.87,6.0,4.5,4.2,1.55,1.87,7.0,1.97,1.54,1.91,1.99,2.03,1.59,7.0,4.0,1.91,Everton,West Brom,Everton_West Brom_2020
9,3.9,1.65,1.86,1.93,5.5,4.0,2.0,5.75,4.05,5.5,1.99,1.62,-0.75,3.9,5.61,1.96,1.93,1.61,2.14,3.97,2.07,1.63,5.5,2.08,1.62,1.97,5.5,4.15,3.9,1.65,1.96,6.0,1.85,1.64,1.81,2.09,1.91,1.7,6.0,3.7,1.82,Leeds,Fulham,Leeds_Fulham_2020
